 Total battles: 559
 Avg. weight/team: 0.221
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Snorlax            | 85.14594% | 699    | 62.522% | 534    | 61.889% | 
 | 2    | Ho-Oh              | 83.26156% | 823    | 73.614% | 683    | 79.158% | 
 | 3    | Tyranitar          | 76.08844% | 496    | 44.365% | 385    | 44.620% | 
 | 4    | Zapdos             | 72.95994% | 380    | 33.989% | 301    | 34.885% | 
 | 5    | Celebi             | 72.61457% | 718    | 64.222% | 549    | 63.628% | 
 | 6    | Cloyster           | 54.04113% | 315    | 28.175% | 252    | 29.206% | 
 | 7    | Misdreavus         | 22.73207% | 103    |  9.213% | 72     |  8.345% | 
 | 8    | Starmie            | 19.20858% | 114    | 10.197% | 95     | 11.010% | 
 | 9    | Marowak            | 14.48356% | 139    | 12.433% | 121    | 14.024% | 
 | 10   | Skarmory           | 13.15875% | 121    | 10.823% | 91     | 10.547% | 
 | 11   | Gengar             | 12.22095% | 208    | 18.605% | 147    | 17.037% | 
 | 12   | Rhydon             | 10.18592% | 46     |  4.114% | 37     |  4.288% | 
 | 13   | Blissey            |  7.29436% | 155    | 13.864% | 121    | 14.024% | 
 | 14   | Raikou             |  7.20620% | 275    | 24.597% | 232    | 26.888% | 
 | 15   | Machamp            |  5.29329% | 134    | 11.986% | 102    | 11.822% | 
 | 16   | Forretress         |  5.05581% | 107    |  9.571% | 93     | 10.778% | 
 | 17   | Jolteon            |  4.30806% | 73     |  6.530% | 65     |  7.533% | 
 | 18   | Suicune            |  4.16792% | 162    | 14.490% | 121    | 14.024% | 
 | 19   | Umbreon            |  3.89862% | 106    |  9.481% | 84     |  9.735% | 
 | 20   | Miltank            |  2.50956% | 61     |  5.456% | 48     |  5.563% | 
 | 21   | Muk                |  2.33014% | 17     |  1.521% | 13     |  1.507% | 
 | 22   | Moltres            |  2.11803% | 36     |  3.220% | 25     |  2.897% | 
 | 23   | Tentacruel         |  2.11553% | 14     |  1.252% | 13     |  1.507% | 
 | 24   | Victreebel         |  2.11553% | 15     |  1.342% | 10     |  1.159% | 
 | 25   | Weezing            |  2.11553% | 13     |  1.163% | 9      |  1.043% | 
 | 26   | Heracross          |  2.08469% | 123    | 11.002% | 93     | 10.778% | 
 | 27   | Lapras             |  1.72302% | 26     |  2.326% | 12     |  1.391% | 
 | 28   | Exeggutor          |  1.32227% | 75     |  6.708% | 56     |  6.490% | 
 | 29   | Aerodactyl         |  1.30814% | 23     |  2.057% | 12     |  1.391% | 
 | 30   | Nidoking           |  1.11162% | 66     |  5.903% | 55     |  6.374% | 
