 Total battles: 261
 Avg. weight/team: 0.667
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Misdreavus         | 41.60324% | 167    | 31.992% | 127    | 29.801% | 
 | 2    | Cradily            | 39.17673% | 161    | 30.843% | 127    | 29.801% | 
 | 3    | Kangaskhan         | 32.55822% | 157    | 30.077% | 131    | 30.739% | 
 | 4    | Hypno              | 31.94282% | 170    | 32.567% | 125    | 29.331% | 
 | 5    | Omastar            | 31.44796% | 134    | 25.670% | 119    | 27.923% | 
 | 6    | Tentacruel         | 30.44402% | 138    | 26.437% | 108    | 25.342% | 
 | 7    | Altaria            | 27.61551% | 131    | 25.096% | 106    | 24.873% | 
 | 8    | Quagsire           | 20.04450% | 91     | 17.433% | 75     | 17.599% | 
 | 9    | Nidoking           | 19.16468% | 102    | 19.540% | 86     | 20.180% | 
 | 10   | Aggron             | 18.80338% | 89     | 17.050% | 73     | 17.129% | 
 | 11   | Fearow             | 18.21954% | 71     | 13.602% | 57     | 13.375% | 
 | 12   | Electabuzz         | 15.35544% | 90     | 17.241% | 77     | 18.068% | 
 | 13   | Solrock            | 15.28499% | 77     | 14.751% | 67     | 15.722% | 
 | 14   | Gligar             | 14.66492% | 76     | 14.559% | 61     | 14.314% | 
 | 15   | Vileplume          | 13.76628% | 74     | 14.176% | 53     | 12.436% | 
 | 16   | Gorebyss           | 13.59804% | 68     | 13.027% | 53     | 12.436% | 
 | 17   | Qwilfish           | 13.43704% | 55     | 10.536% | 55     | 12.906% | 
 | 18   | Electrode          | 12.75952% | 65     | 12.452% | 52     | 12.202% | 
 | 19   | Lunatone           | 11.89369% | 52     |  9.962% | 41     |  9.621% | 
 | 20   | Hitmontop          | 11.75605% | 51     |  9.770% | 49     | 11.498% | 
 | 21   | Glalie             | 10.94883% | 44     |  8.429% | 44     | 10.325% | 
 | 22   | Walrein            | 10.18729% | 74     | 14.176% | 67     | 15.722% | 
 | 23   | Granbull           |  8.25737% | 50     |  9.579% | 43     | 10.090% | 
 | 24   | Muk                |  7.81876% | 51     |  9.770% | 49     | 11.498% | 
 | 25   | Blastoise          |  7.71826% | 45     |  8.621% | 38     |  8.917% | 
 | 26   | Lanturn            |  7.36842% | 39     |  7.471% | 33     |  7.743% | 
 | 27   | Primeape           |  7.07905% | 40     |  7.663% | 31     |  7.274% | 
 | 28   | Scyther            |  6.60930% | 47     |  9.004% | 40     |  9.386% | 
 | 29   | Pinsir             |  5.57195% | 32     |  6.130% | 28     |  6.570% | 
 | 30   | Hitmonlee          |  5.19444% | 37     |  7.088% | 27     |  6.336% | 
 | 31   | Poliwrath          |  5.16114% | 38     |  7.280% | 30     |  7.039% | 
 | 32   | Rapidash           |  5.08477% | 22     |  4.215% | 17     |  3.989% | 
 | 33   | Shiftry            |  4.60235% | 18     |  3.448% | 16     |  3.754% | 
 | 34   | Golem              |  4.25824% | 23     |  4.406% | 18     |  4.224% | 
 | 35   | Ampharos           |  4.11744% | 34     |  6.513% | 30     |  7.039% | 
 | 36   | Camerupt           |  3.76884% | 26     |  4.981% | 24     |  5.632% | 
 | 37   | Absol              |  3.74696% | 26     |  4.981% | 22     |  5.162% | 
 | 38   | Meganium           |  3.63182% | 32     |  6.130% | 31     |  7.274% | 
 | 39   | Sharpedo           |  3.47062% | 21     |  4.023% | 14     |  3.285% | 
 | 40   | Linoone            |  3.43879% | 26     |  4.981% | 13     |  3.050% | 
 | 41   | Manectric          |  3.22328% | 23     |  4.406% | 20     |  4.693% | 
 | 42   | Flareon            |  2.90576% | 27     |  5.172% | 23     |  5.397% | 
 | 43   | Ninetales          |  2.70190% | 17     |  3.257% | 9      |  2.112% | 
 | 44   | Banette            |  2.45125% | 21     |  4.023% | 19     |  4.458% | 
 | 45   | Stantler           |  2.21966% | 22     |  4.215% | 19     |  4.458% | 
 | 46   | Azumarill          |  2.03228% | 16     |  3.065% | 16     |  3.754% | 
 | 47   | Feraligatr         |  2.00410% | 13     |  2.490% | 12     |  2.816% | 
 | 48   | Mr. Mime           |  1.82569% | 13     |  2.490% | 11     |  2.581% | 
 | 49   | Persian            |  1.65615% | 10     |  1.916% | 8      |  1.877% | 
 | 50   | Victreebel         |  1.61261% | 11     |  2.107% | 11     |  2.581% | 
 | 51   | Exploud            |  1.53025% | 13     |  2.490% | 11     |  2.581% | 
 | 52   | Xatu               |  1.45501% | 10     |  1.916% | 9      |  2.112% | 
 | 53   | Magmar             |  1.43262% | 9      |  1.724% | 6      |  1.408% | 
 | 54   | Grumpig            |  1.37260% | 10     |  1.916% | 9      |  2.112% | 
 | 55   | Sneasel            |  1.30827% | 11     |  2.107% | 11     |  2.581% | 
 | 56   | Sandslash          |  1.26974% | 7      |  1.341% | 7      |  1.643% | 
 | 57   | Mantine            |  1.17343% | 7      |  1.341% | 7      |  1.643% | 
 | 58   | Clefable           |  1.06324% | 8      |  1.533% | 5      |  1.173% | 
 | 59   | Girafarig          |  0.94665% | 5      |  0.958% | 4      |  0.939% | 
 | 60   | Pikachu            |  0.93213% | 8      |  1.533% | 5      |  1.173% | 
 | 61   | Slowking           |  0.92329% | 6      |  1.149% | 5      |  1.173% | 
 | 62   | Kabutops           |  0.86482% | 11     |  2.107% | 8      |  1.877% | 
 | 63   | Shuckle            |  0.78929% | 7      |  1.341% | 7      |  1.643% | 
 | 64   | Raichu             |  0.72433% | 6      |  1.149% | 5      |  1.173% | 
 | 65   | Wailord            |  0.57802% | 5      |  0.958% | 4      |  0.939% | 
 | 66   | Crawdaunt          |  0.47254% | 4      |  0.766% | 3      |  0.704% | 
 | 67   | Nidoqueen          |  0.41768% | 4      |  0.766% | 4      |  0.939% | 
 | 68   | Sableye            |  0.38862% | 2      |  0.383% | 2      |  0.469% | 
 | 69   | Ditto              |  0.38657% | 4      |  0.766% | 3      |  0.704% | 
 | 70   | Cacturne           |  0.33681% | 3      |  0.575% | 2      |  0.469% | 
 | 71   | Castform           |  0.30777% | 3      |  0.575% | 3      |  0.704% | 
 | 72   | Togetic            |  0.30214% | 3      |  0.575% | 3      |  0.704% | 
 | 73   | Lickitung          |  0.25221% | 2      |  0.383% | 2      |  0.469% | 
 | 74   | Pidgeot            |  0.23715% | 3      |  0.575% | 3      |  0.704% | 
 | 75   | Politoed           |  0.21551% | 2      |  0.383% | 2      |  0.469% | 
