 Total battles: 13353
 Avg. weight/team: 0.621
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flygon             |  5.25646% | 1397   |  5.231% | 993    |  5.065% | 
 | 2    | Latios             |  5.18657% | 1417   |  5.306% | 908    |  4.632% | 
 | 3    | Tyranitar          |  4.96363% | 1334   |  4.995% | 1031   |  5.259% | 
 | 4    | Latias             |  4.78800% | 1281   |  4.797% | 808    |  4.122% | 
 | 5    | Ferrothorn         |  4.42630% | 1152   |  4.314% | 924    |  4.713% | 
 | 6    | Cryogonal          |  4.42251% | 1172   |  4.389% | 829    |  4.229% | 
 | 7    | Roselia            |  4.02261% | 1075   |  4.025% | 819    |  4.178% | 
 | 8    | Klefki             |  3.68310% | 994    |  3.722% | 807    |  4.117% | 
 | 9    | Blissey            |  3.63660% | 949    |  3.554% | 686    |  3.499% | 
 | 10   | Clefairy           |  3.50245% | 934    |  3.497% | 721    |  3.678% | 
 | 11   | Scizor-Mega        |  3.46279% | 925    |  3.464% | 674    |  3.438% | 
 | 12   | Rhyperior          |  3.41043% | 911    |  3.411% | 687    |  3.504% | 
 | 13   | Prinplup           |  3.36717% | 883    |  3.306% | 725    |  3.698% | 
 | 14   | Excadrill          |  3.35635% | 908    |  3.400% | 668    |  3.407% | 
 | 15   | Archeops           |  3.34315% | 904    |  3.385% | 673    |  3.433% | 
 | 16   | Bronzong           |  3.22595% | 858    |  3.213% | 694    |  3.540% | 
 | 17   | Diancie-Mega       |  2.97731% | 802    |  3.003% | 625    |  3.188% | 
 | 18   | Dialga             |  2.93176% | 767    |  2.872% | 595    |  3.035% | 
 | 19   | Camerupt           |  2.92961% | 765    |  2.865% | 619    |  3.158% | 
 | 20   | Pawniard           |  2.91048% | 774    |  2.898% | 583    |  2.974% | 
 | 21   | Blastoise          |  2.88066% | 759    |  2.842% | 570    |  2.908% | 
 | 22   | Mesprit            |  2.87800% | 776    |  2.906% | 601    |  3.066% | 
 | 23   | Rotom              |  2.87021% | 758    |  2.838% | 604    |  3.081% | 
 | 24   | Hitmonlee          |  2.84292% | 762    |  2.853% | 524    |  2.673% | 
 | 25   | Misdreavus         |  2.83639% | 741    |  2.775% | 551    |  2.811% | 
 | 26   | Ho-Oh              |  2.81577% | 746    |  2.793% | 550    |  2.806% | 
 | 27   | Hoopa              |  2.80287% | 739    |  2.767% | 475    |  2.423% | 
 | 28   | Manectric          |  2.77845% | 740    |  2.771% | 552    |  2.816% | 
 | 29   | Diancie            |  2.77108% | 750    |  2.808% | 577    |  2.943% | 
 | 30   | Malamar            |  2.75784% | 730    |  2.733% | 554    |  2.826% | 
 | 31   | Hitmontop          |  2.73007% | 711    |  2.662% | 509    |  2.596% | 
 | 32   | Gligar             |  2.72203% | 722    |  2.704% | 549    |  2.800% | 
 | 33   | Grumpig            |  2.65171% | 694    |  2.599% | 501    |  2.556% | 
 | 34   | Aromatisse         |  2.64442% | 713    |  2.670% | 500    |  2.550% | 
 | 35   | Piloswine          |  2.62192% | 696    |  2.606% | 568    |  2.897% | 
 | 36   | Ninetales          |  2.59588% | 688    |  2.576% | 478    |  2.438% | 
 | 37   | Vibrava            |  2.59233% | 684    |  2.561% | 507    |  2.586% | 
 | 38   | Scrafty            |  2.58768% | 693    |  2.595% | 495    |  2.525% | 
 | 39   | Feraligatr         |  2.58054% | 717    |  2.685% | 509    |  2.596% | 
 | 40   | Skuntank           |  2.56401% | 695    |  2.602% | 493    |  2.515% | 
 | 41   | Deoxys-Speed       |  2.56251% | 684    |  2.561% | 531    |  2.709% | 
 | 42   | Armaldo            |  2.56222% | 662    |  2.479% | 487    |  2.484% | 
 | 43   | Abomasnow          |  2.51679% | 676    |  2.531% | 486    |  2.479% | 
 | 44   | Landorus           |  2.51543% | 682    |  2.554% | 512    |  2.612% | 
 | 45   | Tangela            |  2.49033% | 669    |  2.505% | 472    |  2.408% | 
 | 46   | Genesect           |  2.48517% | 672    |  2.516% | 528    |  2.693% | 
 | 47   | Basculin           |  2.47462% | 650    |  2.434% | 464    |  2.367% | 
 | 48   | Swanna             |  2.45471% | 642    |  2.404% | 468    |  2.387% | 
 | 49   | Greninja           |  2.42700% | 643    |  2.408% | 517    |  2.637% | 
 | 50   | Empoleon           |  2.42287% | 661    |  2.475% | 526    |  2.683% | 
 | 51   | Poliwrath          |  2.41643% | 657    |  2.460% | 470    |  2.397% | 
 | 52   | Chatot             |  2.40614% | 667    |  2.498% | 474    |  2.418% | 
 | 53   | Shaymin-Sky        |  2.39168% | 645    |  2.415% | 418    |  2.132% | 
 | 54   | Heatran            |  2.38943% | 632    |  2.367% | 510    |  2.602% | 
 | 55   | Xerneas            |  2.37434% | 631    |  2.363% | 432    |  2.204% | 
 | 56   | Dodrio             |  2.37290% | 630    |  2.359% | 432    |  2.204% | 
 | 57   | Hitmonchan         |  2.35195% | 629    |  2.355% | 444    |  2.265% | 
 | 58   | Claydol            |  2.35079% | 627    |  2.348% | 458    |  2.336% | 
 | 59   | Vivillon           |  2.34819% | 626    |  2.344% | 450    |  2.295% | 
 | 60   | Aegislash          |  2.34311% | 622    |  2.329% | 463    |  2.362% | 
 | 61   | Samurott           |  2.33690% | 626    |  2.344% | 417    |  2.127% | 
 | 62   | Donphan            |  2.32810% | 618    |  2.314% | 487    |  2.484% | 
 | 63   | Mew                |  2.31570% | 604    |  2.262% | 423    |  2.158% | 
 | 64   | Skarmory           |  2.30660% | 625    |  2.340% | 459    |  2.341% | 
 | 65   | Groudon-Primal     |  2.30540% | 601    |  2.250% | 486    |  2.479% | 
 | 66   | Avalugg            |  2.29838% | 606    |  2.269% | 425    |  2.168% | 
 | 67   | Vullaby            |  2.29635% | 604    |  2.262% | 423    |  2.158% | 
 | 68   | Audino-Mega        |  2.28889% | 624    |  2.337% | 438    |  2.234% | 
 | 69   | Yveltal            |  2.26586% | 605    |  2.265% | 421    |  2.148% | 
 | 70   | Darkrai            |  2.26552% | 602    |  2.254% | 438    |  2.234% | 
 | 71   | Articuno           |  2.26018% | 595    |  2.228% | 408    |  2.081% | 
 | 72   | Mantine            |  2.22602% | 577    |  2.161% | 445    |  2.270% | 
 | 73   | Mamoswine          |  2.21633% | 600    |  2.247% | 481    |  2.454% | 
 | 74   | Omastar            |  2.21023% | 594    |  2.224% | 463    |  2.362% | 
 | 75   | Blaziken           |  2.18958% | 571    |  2.138% | 421    |  2.148% | 
 | 76   | Pelipper           |  2.17766% | 575    |  2.153% | 403    |  2.056% | 
 | 77   | Forretress         |  2.17381% | 585    |  2.191% | 471    |  2.403% | 
 | 78   | Clefable           |  2.17060% | 565    |  2.116% | 441    |  2.250% | 
 | 79   | Reshiram           |  2.17053% | 565    |  2.116% | 378    |  1.928% | 
 | 80   | Togekiss           |  2.12278% | 569    |  2.131% | 409    |  2.086% | 
 | 81   | Registeel          |  2.11112% | 558    |  2.089% | 432    |  2.204% | 
 | 82   | Giratina-Origin    |  2.09842% | 562    |  2.104% | 384    |  1.959% | 
 | 83   | Palkia             |  2.09456% | 551    |  2.063% | 388    |  1.979% | 
 | 84   | Crobat             |  2.08602% | 555    |  2.078% | 413    |  2.107% | 
 | 85   | Sableye-Mega       |  2.07647% | 554    |  2.074% | 451    |  2.301% | 
 | 86   | Deoxys             |  2.04676% | 564    |  2.112% | 419    |  2.137% | 
