 Total battles: 181287
 Avg. weight/team: 1.021
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Gyarados-Mega      | 11.39855% | 42189  | 11.399% | 13071  | 21.630% | 
 | 2    | Charizard-Mega-X   | 10.42942% | 38602  | 10.429% | 14420  | 23.863% | 
 | 3    | Mimikyu            |  9.25766% | 34265  |  9.258% | 13231  | 21.895% | 
 | 4    | Kyurem-Black       |  7.87326% | 29141  |  7.873% | 10577  | 17.503% | 
 | 5    | Tapu Koko          |  7.83571% | 29002  |  7.836% | 8855   | 14.654% | 
 | 6    | Greninja           |  6.01309% | 22256  |  6.013% | 7316   | 12.107% | 
 | 7    | Charizard-Mega-Y   |  5.84639% | 21639  |  5.846% | 7384   | 12.219% | 
 | 8    | Lopunny-Mega       |  5.25794% | 19461  |  5.258% | 7031   | 11.635% | 
 | 9    | Zygarde            |  4.84862% | 17946  |  4.849% | 5989   |  9.911% | 
 | 10   | Metagross-Mega     |  4.78567% | 17713  |  4.786% | 5812   |  9.618% | 
 | 11   | Porygon-Z          |  4.63356% | 17150  |  4.634% | 6050   | 10.012% | 
 | 12   | Landorus-Therian   |  4.12400% | 15264  |  4.124% | 4858   |  8.039% | 
 | 13   | Magearna           |  3.85085% | 14253  |  3.851% | 5076   |  8.400% | 
 | 14   | Tapu Lele          |  3.61093% | 13365  |  3.611% | 4428   |  7.328% | 
 | 15   | Alakazam-Mega      |  3.52691% | 13054  |  3.527% | 4156   |  6.877% | 
 | 16   | Naganadel          |  3.39722% | 12574  |  3.397% | 3964   |  6.560% | 
 | 17   | Magnezone          |  3.38804% | 12540  |  3.388% | 4266   |  7.060% | 
 | 18   | Venusaur-Mega      |  3.22431% | 11934  |  3.224% | 3826   |  6.331% | 
 | 19   | Blaziken-Mega      |  3.03356% | 11228  |  3.034% | 3795   |  6.280% | 
 | 20   | Kartana            |  2.93846% | 10876  |  2.938% | 3408   |  5.640% | 
 | 21   | Dragonite          |  2.81877% | 10433  |  2.819% | 3916   |  6.480% | 
 | 22   | Smeargle           |  2.70043% | 9995   |  2.700% | 4403   |  7.286% | 
 | 23   | Mawile-Mega        |  2.63343% | 9747   |  2.633% | 3231   |  5.347% | 
 | 24   | Victini            |  2.46511% | 9124   |  2.465% | 3394   |  5.617% | 
 | 25   | Aegislash          |  2.44430% | 9047   |  2.444% | 3173   |  5.251% | 
 | 26   | Blacephalon        |  2.40243% | 8892   |  2.402% | 2793   |  4.622% | 
 | 27   | Garchomp           |  2.33947% | 8659   |  2.339% | 3043   |  5.036% | 
 | 28   | Gardevoir-Mega     |  2.31894% | 8583   |  2.319% | 2843   |  4.705% | 
 | 29   | Snorlax            |  2.28490% | 8457   |  2.285% | 3426   |  5.669% | 
 | 30   | Whimsicott         |  2.23005% | 8254   |  2.230% | 2900   |  4.799% | 
 | 31   | Mew                |  2.22924% | 8251   |  2.229% | 3294   |  5.451% | 
 | 32   | Jirachi            |  2.16224% | 8003   |  2.162% | 2994   |  4.955% | 
 | 33   | Sawk               |  2.13306% | 7895   |  2.133% | 3579   |  5.923% | 
 | 34   | Scizor-Mega        |  2.00959% | 7438   |  2.010% | 2196   |  3.634% | 
 | 35   | Ferrothorn         |  1.97879% | 7324   |  1.979% | 2311   |  3.824% | 
 | 36   | Donphan            |  1.94177% | 7187   |  1.942% | 2660   |  4.402% | 
 | 37   | Celesteela         |  1.91935% | 7104   |  1.919% | 2350   |  3.889% | 
 | 38   | Heracross-Mega     |  1.89044% | 6997   |  1.890% | 2388   |  3.952% | 
 | 39   | Excadrill          |  1.88692% | 6984   |  1.887% | 2151   |  3.560% | 
 | 40   | Diancie-Mega       |  1.87477% | 6939   |  1.875% | 2420   |  4.005% | 
 | 41   | Genesect           |  1.84991% | 6847   |  1.850% | 2342   |  3.876% | 
 | 42   | Primarina          |  1.78372% | 6602   |  1.784% | 2312   |  3.826% | 
 | 43   | Chansey            |  1.77156% | 6557   |  1.772% | 1993   |  3.298% | 
 | 44   | Heatran            |  1.77048% | 6553   |  1.770% | 2002   |  3.313% | 
 | 45   | Tyranitar-Mega     |  1.69429% | 6271   |  1.694% | 1890   |  3.128% | 
 | 46   | Sableye-Mega       |  1.69186% | 6262   |  1.692% | 2069   |  3.424% | 
 | 47   | Lucario-Mega       |  1.68483% | 6236   |  1.685% | 2063   |  3.414% | 
 | 48   | Medicham-Mega      |  1.64133% | 6075   |  1.641% | 2202   |  3.644% | 
 | 49   | Magnemite          |  1.61459% | 5976   |  1.615% | 2431   |  4.023% | 
 | 50   | Aron               |  1.58054% | 5850   |  1.581% | 2448   |  4.051% | 
 | 51   | Slowbro-Mega       |  1.55839% | 5768   |  1.558% | 1717   |  2.841% | 
 | 52   | Aggron-Mega        |  1.52948% | 5661   |  1.529% | 2276   |  3.766% | 
 | 53   | Tapu Fini          |  1.51975% | 5625   |  1.520% | 1875   |  3.103% | 
 | 54   | Crustle            |  1.50435% | 5568   |  1.504% | 2118   |  3.505% | 
 | 55   | Togekiss           |  1.41817% | 5249   |  1.418% | 2061   |  3.411% | 
 | 56   | Golem              |  1.40952% | 5217   |  1.410% | 1919   |  3.176% | 
 | 57   | Gengar-Mega        |  1.39844% | 5176   |  1.398% | 1901   |  3.146% | 
 | 58   | Swampert-Mega      |  1.39196% | 5152   |  1.392% | 1794   |  2.969% | 
