 Total battles: 10856
 Avg. weight/team: 0.672
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Gyarados-Mega      | 16.72640% | 2789   | 12.559% | 889    | 24.567% | 
 | 2    | Kyurem-Black       | 11.18558% | 2024   |  9.114% | 716    | 19.786% | 
 | 3    | Metagross-Mega     |  9.86647% | 1551   |  6.984% | 572    | 15.807% | 
 | 4    | Charizard-Mega-X   |  9.21939% | 1794   |  8.078% | 651    | 17.990% | 
 | 5    | Tapu Koko          |  9.09612% | 1519   |  6.840% | 489    | 13.513% | 
 | 6    | Mimikyu            |  8.85605% | 1729   |  7.785% | 678    | 18.736% | 
 | 7    | Charizard-Mega-Y   |  7.46204% | 1334   |  6.007% | 448    | 12.380% | 
 | 8    | Landorus-Therian   |  6.34686% | 1032   |  4.647% | 321    |  8.871% | 
 | 9    | Zygarde            |  6.23997% | 1034   |  4.656% | 313    |  8.650% | 
 | 10   | Magearna           |  5.91858% | 1006   |  4.530% | 351    |  9.700% | 
 | 11   | Naganadel          |  5.41006% | 924    |  4.161% | 357    |  9.866% | 
 | 12   | Lopunny-Mega       |  5.20070% | 1108   |  4.989% | 380    | 10.501% | 
 | 13   | Tapu Fini          |  4.84411% | 802    |  3.611% | 206    |  5.693% | 
 | 14   | Tapu Lele          |  4.50259% | 724    |  3.260% | 240    |  6.632% | 
 | 15   | Porygon-Z          |  4.43252% | 879    |  3.958% | 332    |  9.175% | 
 | 16   | Garchomp           |  4.19021% | 732    |  3.296% | 265    |  7.323% | 
 | 17   | Aegislash          |  3.93115% | 713    |  3.211% | 258    |  7.130% | 
 | 18   | Dragonite          |  3.84177% | 731    |  3.292% | 234    |  6.466% | 
 | 19   | Medicham-Mega      |  3.76218% | 692    |  3.116% | 217    |  5.997% | 
 | 20   | Celesteela         |  3.54955% | 652    |  2.936% | 197    |  5.444% | 
 | 21   | Venusaur-Mega      |  3.45988% | 638    |  2.873% | 194    |  5.361% | 
 | 22   | Snorlax            |  3.43426% | 675    |  3.039% | 253    |  6.992% | 
 | 23   | Aggron-Mega        |  3.32175% | 726    |  3.269% | 267    |  7.378% | 
