 Total battles: 7252
 Avg. weight/team: 0.63
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Zygarde            | 20.75417% | 2402   | 16.561% | 1740   | 16.667% | 
 | 2    | Magearna           | 19.18620% | 2375   | 16.375% | 1780   | 17.050% | 
 | 3    | Chansey            | 19.11250% | 2348   | 16.189% | 1684   | 16.131% | 
 | 4    | Victini            | 17.61983% | 1990   | 13.720% | 1416   | 13.564% | 
 | 5    | Ferrothorn         | 16.98211% | 2387   | 16.458% | 1958   | 18.755% | 
 | 6    | Buzzwole           | 15.35165% | 1791   | 12.348% | 1256   | 12.031% | 
 | 7    | Gengar             | 14.17577% | 1822   | 12.562% | 1292   | 12.376% | 
 | 8    | Tapu Fini          | 13.51855% | 1543   | 10.638% | 1239   | 11.868% | 
 | 9    | Noivern            | 12.32462% | 1558   | 10.742% | 1064   | 10.192% | 
 | 10   | Landorus-Therian   | 11.35730% | 1471   | 10.142% | 1178   | 11.284% | 
 | 11   | Weavile            | 10.97009% | 1539   | 10.611% | 1199   | 11.485% | 
 | 12   | Mew                |  9.92274% | 1379   |  9.508% | 984    |  9.426% | 
 | 13   | Zapdos             |  9.60168% | 1320   |  9.101% | 973    |  9.320% | 
 | 14   | Alakazam-Mega      |  9.59209% | 1279   |  8.818% | 822    |  7.874% | 
 | 15   | Xurkitree          |  9.51876% | 1226   |  8.453% | 871    |  8.343% | 
 | 16   | Celesteela         |  9.24969% | 1280   |  8.825% | 917    |  8.784% | 
 | 17   | Blacephalon        |  8.92436% | 1343   |  9.260% | 933    |  8.937% | 
 | 18   | Skarmory           |  8.81838% | 1020   |  7.033% | 778    |  7.452% | 
 | 19   | Volcarona          |  8.66558% | 1311   |  9.039% | 872    |  8.353% | 
 | 20   | Tapu Koko          |  8.49712% | 1117   |  7.701% | 821    |  7.864% | 
 | 21   | Heatran            |  7.78891% | 1053   |  7.260% | 763    |  7.309% | 
 | 22   | Manaphy            |  7.39437% | 954    |  6.577% | 660    |  6.322% | 
 | 23   | Minior             |  7.38092% | 849    |  5.854% | 585    |  5.604% | 
 | 24   | Garchomp           |  6.86757% | 1171   |  8.074% | 830    |  7.950% | 
 | 25   | Kommo-o            |  6.61555% | 822    |  5.667% | 576    |  5.517% | 
 | 26   | Golisopod          |  6.49779% | 886    |  6.109% | 616    |  5.901% | 
 | 27   | Suicune            |  6.36327% | 726    |  5.006% | 568    |  5.441% | 
 | 28   | Snorlax            |  6.29968% | 934    |  6.440% | 674    |  6.456% | 
 | 29   | Toxapex            |  6.18450% | 903    |  6.226% | 685    |  6.562% | 
 | 30   | Bisharp            |  6.15051% | 788    |  5.433% | 564    |  5.402% | 
 | 31   | Swampert-Mega      |  5.73315% | 815    |  5.619% | 601    |  5.757% | 
 | 32   | Volcanion          |  5.53386% | 699    |  4.819% | 529    |  5.067% | 
 | 33   | Gyarados           |  4.41171% | 731    |  5.040% | 533    |  5.106% | 
 | 34   | Doublade           |  4.20336% | 483    |  3.330% | 362    |  3.468% | 
 | 35   | Latios             |  4.15915% | 542    |  3.737% | 366    |  3.506% | 
 | 36   | Stakataka          |  4.06149% | 496    |  3.420% | 333    |  3.190% | 
 | 37   | Naganadel          |  4.05562% | 512    |  3.530% | 355    |  3.400% | 
 | 38   | Scizor             |  4.02980% | 584    |  4.026% | 429    |  4.109% | 
 | 39   | Lucario            |  4.02071% | 683    |  4.709% | 484    |  4.636% | 
 | 40   | Swampert           |  3.87043% | 611    |  4.213% | 480    |  4.598% | 
 | 41   | Entei              |  3.75286% | 500    |  3.447% | 354    |  3.391% | 
 | 42   | Excadrill          |  3.71544% | 513    |  3.537% | 368    |  3.525% | 
 | 43   | Greninja           |  3.53942% | 581    |  4.006% | 427    |  4.090% | 
 | 44   | Infernape          |  3.28617% | 463    |  3.192% | 357    |  3.420% | 
 | 45   | Smeargle           |  3.26915% | 551    |  3.799% | 505    |  4.837% | 
 | 46   | Shuckle            |  3.24750% | 529    |  3.647% | 465    |  4.454% | 
 | 47   | Cofagrigus         |  3.23126% | 381    |  2.627% | 312    |  2.989% | 
 | 48   | Darmanitan         |  3.08008% | 430    |  2.965% | 307    |  2.941% | 
 | 49   | Chandelure         |  2.98731% | 419    |  2.889% | 280    |  2.682% | 
 | 50   | Clefable           |  2.90810% | 403    |  2.779% | 302    |  2.893% | 
 | 51   | Nihilego           |  2.89058% | 406    |  2.799% | 326    |  3.123% | 
 | 52   | Rotom-Wash         |  2.77420% | 382    |  2.634% | 253    |  2.423% | 
 | 53   | Tyranitar          |  2.68703% | 449    |  3.096% | 332    |  3.180% | 
 | 54   | Genesect           |  2.67389% | 388    |  2.675% | 266    |  2.548% | 
 | 55   | Klinklang          |  2.64993% | 306    |  2.110% | 202    |  1.935% | 
 | 56   | Mamoswine          |  2.59950% | 372    |  2.565% | 290    |  2.778% | 
 | 57   | Pyukumuku          |  2.55535% | 327    |  2.255% | 211    |  2.021% | 
 | 58   | Muk-Alola          |  2.51259% | 388    |  2.675% | 282    |  2.701% | 
 | 59   | Cresselia          |  2.46448% | 296    |  2.041% | 217    |  2.079% | 
 | 60   | Porygon-Z          |  2.41729% | 336    |  2.317% | 218    |  2.088% | 
 | 61   | Forretress         |  2.36891% | 317    |  2.186% | 271    |  2.596% | 
 | 62   | Mandibuzz          |  2.35992% | 256    |  1.765% | 175    |  1.676% | 
 | 63   | Raikou             |  2.28948% | 334    |  2.303% | 229    |  2.194% | 
 | 64   | Porygon2           |  2.27888% | 318    |  2.192% | 211    |  2.021% | 
 | 65   | Magnezone          |  2.27538% | 360    |  2.482% | 261    |  2.500% | 
 | 66   | Decidueye          |  2.23587% | 307    |  2.117% | 249    |  2.385% | 
 | 67   | Talonflame         |  2.22039% | 334    |  2.303% | 253    |  2.423% | 
 | 68   | Tapu Bulu          |  2.16462% | 311    |  2.144% | 220    |  2.107% | 
 | 69   | Conkeldurr         |  2.09368% | 276    |  1.903% | 190    |  1.820% | 
 | 70   | Hydreigon          |  2.07311% | 291    |  2.006% | 223    |  2.136% | 
 | 71   | Breloom            |  1.98833% | 333    |  2.296% | 266    |  2.548% | 
 | 72   | Thundurus-Therian  |  1.98477% | 240    |  1.655% | 170    |  1.628% | 
 | 73   | Charizard-Mega-X   |  1.97775% | 422    |  2.910% | 315    |  3.017% | 
 | 74   | Metagross          |  1.96944% | 293    |  2.020% | 202    |  1.935% | 
 | 75   | Lopunny-Mega       |  1.89329% | 291    |  2.006% | 208    |  1.992% | 
 | 76   | Blissey            |  1.83910% | 266    |  1.834% | 175    |  1.676% | 
 | 77   | Starmie            |  1.82372% | 287    |  1.979% | 200    |  1.916% | 
 | 78   | Hippowdon          |  1.80590% | 220    |  1.517% | 195    |  1.868% | 
 | 79   | Dusclops           |  1.71727% | 221    |  1.524% | 190    |  1.820% | 
 | 80   | Mimikyu            |  1.70773% | 273    |  1.882% | 200    |  1.916% | 
 | 81   | Tornadus           |  1.69785% | 246    |  1.696% | 200    |  1.916% | 
 | 82   | Gyarados-Mega      |  1.67375% | 248    |  1.710% | 169    |  1.619% | 
 | 83   | Mantine            |  1.66107% | 213    |  1.469% | 160    |  1.533% | 
 | 84   | Houndoom-Mega      |  1.64057% | 238    |  1.641% | 157    |  1.504% | 
 | 85   | Scizor-Mega        |  1.62775% | 258    |  1.779% | 179    |  1.715% | 
 | 86   | Hoopa              |  1.62047% | 183    |  1.262% | 134    |  1.284% | 
 | 87   | Gallade            |  1.55507% | 186    |  1.282% | 118    |  1.130% | 
 | 88   | Staraptor          |  1.55184% | 284    |  1.958% | 210    |  2.012% | 
 | 89   | Kyurem             |  1.48955% | 181    |  1.248% | 124    |  1.188% | 
 | 90   | Umbreon            |  1.48553% | 295    |  2.034% | 213    |  2.040% | 
 | 91   | Haxorus            |  1.44851% | 249    |  1.717% | 168    |  1.609% | 
 | 92   | Greninja-Ash       |  1.43948% | 319    |  2.199% | 223    |  2.136% | 
 | 93   | Thundurus          |  1.43049% | 180    |  1.241% | 123    |  1.178% | 
 | 94   | Gliscor            |  1.38460% | 203    |  1.400% | 158    |  1.513% | 
 | 95   | Aerodactyl         |  1.33725% | 177    |  1.220% | 162    |  1.552% | 
 | 96   | Alakazam           |  1.30284% | 246    |  1.696% | 163    |  1.561% | 
 | 97   | Azelf              |  1.29890% | 213    |  1.469% | 181    |  1.734% | 
 | 98   | Arcanine           |  1.27858% | 229    |  1.579% | 171    |  1.638% | 
 | 99   | Golurk             |  1.27702% | 129    |  0.889% | 102    |  0.977% | 
 | 100  | Hawlucha           |  1.26886% | 261    |  1.800% | 200    |  1.916% | 
 | 101  | Tapu Lele          |  1.25802% | 203    |  1.400% | 136    |  1.303% | 
 | 102  | Manectric-Mega     |  1.21616% | 165    |  1.138% | 122    |  1.169% | 
 | 103  | Marowak-Alola      |  1.21552% | 178    |  1.227% | 125    |  1.197% | 
 | 104  | Ribombee           |  1.21368% | 209    |  1.441% | 166    |  1.590% | 
 | 105  | Salamence          |  1.19358% | 269    |  1.855% | 182    |  1.743% | 
 | 106  | Metagross-Mega     |  1.12393% | 182    |  1.255% | 125    |  1.197% | 
 | 107  | Diancie-Mega       |  1.10142% | 195    |  1.344% | 141    |  1.351% | 
 | 108  | Vikavolt           |  1.07648% | 142    |  0.979% | 105    |  1.006% | 
 | 109  | Zoroark            |  1.07565% | 172    |  1.186% | 113    |  1.082% | 
 | 110  | Medicham-Mega      |  1.06564% | 154    |  1.062% | 125    |  1.197% | 
 | 111  | Galvantula         |  1.05911% | 157    |  1.082% | 146    |  1.399% | 
 | 112  | Florges            |  1.04756% | 137    |  0.945% | 101    |  0.967% | 
 | 113  | Jirachi            |  1.04118% | 203    |  1.400% | 135    |  1.293% | 
 | 114  | Tentacruel         |  1.03802% | 129    |  0.889% | 97     |  0.929% | 
 | 115  | Tyrantrum          |  1.03480% | 161    |  1.110% | 109    |  1.044% | 
 | 116  | Mawile-Mega        |  1.03136% | 126    |  0.869% | 74     |  0.709% | 
 | 117  | Chesnaught         |  0.98892% | 136    |  0.938% | 92     |  0.881% | 
 | 118  | Primarina          |  0.98498% | 198    |  1.365% | 145    |  1.389% | 
 | 119  | Beedrill-Mega      |  0.96665% | 150    |  1.034% | 110    |  1.054% | 
 | 120  | Crobat             |  0.96306% | 193    |  1.331% | 140    |  1.341% | 
 | 121  | Tornadus-Therian   |  0.96135% | 149    |  1.027% | 113    |  1.082% | 
 | 122  | Diancie            |  0.95627% | 113    |  0.779% | 76     |  0.728% | 
 | 123  | Uxie               |  0.95259% | 123    |  0.848% | 104    |  0.996% | 
 | 124  | Gallade-Mega       |  0.93579% | 162    |  1.117% | 111    |  1.063% | 
 | 125  | Garchomp-Mega      |  0.93268% | 217    |  1.496% | 159    |  1.523% | 
 | 126  | Drampa             |  0.93224% | 148    |  1.020% | 104    |  0.996% | 
 | 127  | Heliolisk          |  0.92731% | 148    |  1.020% | 102    |  0.977% | 
 | 128  | Tyranitar-Mega     |  0.90395% | 147    |  1.014% | 97     |  0.929% | 
