 Total battles: 468
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Sceptile-Mega      | 32.79915% | 307    | 32.799% | 233    | 34.098% | 
 | 2    | Dragonite          | 31.73077% | 297    | 31.731% | 188    | 27.512% | 
 | 3    | Rotom-Wash         | 25.10684% | 235    | 25.107% | 191    | 27.951% | 
 | 4    | Weavile            | 23.71795% | 222    | 23.718% | 153    | 22.390% | 
 | 5    | Tapu Koko          | 23.29060% | 218    | 23.291% | 160    | 23.415% | 
 | 6    | Thundurus          | 16.98718% | 159    | 16.987% | 107    | 15.659% | 
 | 7    | Heatran            | 15.70513% | 147    | 15.705% | 127    | 18.585% | 
 | 8    | Magearna           | 15.38462% | 144    | 15.385% | 112    | 16.390% | 
 | 9    | Excadrill          | 12.60684% | 118    | 12.607% | 96     | 14.049% | 
 | 10   | Bisharp            | 11.64530% | 109    | 11.645% | 75     | 10.976% | 
 | 11   | Landorus-Therian   | 11.53846% | 108    | 11.538% | 96     | 14.049% | 
 | 12   | Blacephalon        | 10.89744% | 102    | 10.897% | 73     | 10.683% | 
 | 13   | Tapu Lele          | 10.68376% | 100    | 10.684% | 57     |  8.341% | 
 | 14   | Registeel          |  8.11966% | 76     |  8.120% | 55     |  8.049% | 
 | 15   | Breloom            |  7.90598% | 74     |  7.906% | 55     |  8.049% | 
 | 16   | Chansey            |  7.26496% | 68     |  7.265% | 55     |  8.049% | 
 | 17   | Scizor-Mega        |  7.05128% | 66     |  7.051% | 45     |  6.585% | 
 | 18   | Celesteela         |  6.51709% | 61     |  6.517% | 44     |  6.439% | 
 | 19   | Serperior          |  6.30342% | 59     |  6.303% | 44     |  6.439% | 
 | 20   | Darmanitan         |  6.19658% | 58     |  6.197% | 39     |  5.707% | 
 | 21   | Hoopa-Unbound      |  6.19658% | 58     |  6.197% | 33     |  4.829% | 
 | 22   | Sableye-Mega       |  6.19658% | 58     |  6.197% | 50     |  7.317% | 
 | 23   | Slaking            |  5.98291% | 56     |  5.983% | 48     |  7.024% | 
 | 24   | Mew                |  5.76923% | 54     |  5.769% | 33     |  4.829% | 
 | 25   | Quagsire           |  5.66239% | 53     |  5.662% | 36     |  5.268% | 
 | 26   | Sableye            |  4.80769% | 45     |  4.808% | 40     |  5.854% | 
 | 27   | Salamence          |  4.27350% | 40     |  4.274% | 32     |  4.683% | 
 | 28   | Charizard-Mega-X   |  4.05983% | 38     |  4.060% | 29     |  4.244% | 
 | 29   | Feraligatr         |  3.95299% | 37     |  3.953% | 17     |  2.488% | 
 | 30   | Hawlucha           |  3.95299% | 37     |  3.953% | 25     |  3.659% | 
 | 31   | Scolipede          |  3.95299% | 37     |  3.953% | 33     |  4.829% | 
 | 32   | Tapu Bulu          |  3.73932% | 35     |  3.739% | 24     |  3.512% | 
 | 33   | Venusaur-Mega      |  3.63248% | 34     |  3.632% | 22     |  3.220% | 
 | 34   | Charizard-Mega-Y   |  3.52564% | 33     |  3.526% | 21     |  3.073% | 
 | 35   | Infernape          |  3.31197% | 31     |  3.312% | 19     |  2.780% | 
 | 36   | Mawile-Mega        |  3.20513% | 30     |  3.205% | 29     |  4.244% | 
 | 37   | Tornadus-Therian   |  3.20513% | 30     |  3.205% | 17     |  2.488% | 
 | 38   | Diancie-Mega       |  3.09829% | 29     |  3.098% | 26     |  3.805% | 
 | 39   | Ferrothorn         |  3.09829% | 29     |  3.098% | 20     |  2.927% | 
 | 40   | Greninja-Ash       |  3.09829% | 29     |  3.098% | 20     |  2.927% | 
 | 41   | Buzzwole           |  2.99145% | 28     |  2.991% | 16     |  2.341% | 
 | 42   | Kartana            |  2.88462% | 27     |  2.885% | 22     |  3.220% | 
 | 43   | Magnezone          |  2.88462% | 27     |  2.885% | 16     |  2.341% | 
 | 44   | Porygon-Z          |  2.88462% | 27     |  2.885% | 18     |  2.634% | 
 | 45   | Pyukumuku          |  2.88462% | 27     |  2.885% | 15     |  2.195% | 
 | 46   | Clefable           |  2.67094% | 25     |  2.671% | 11     |  1.610% | 
 | 47   | Diggersby          |  2.67094% | 25     |  2.671% | 16     |  2.341% | 
 | 48   | Galvantula         |  2.67094% | 25     |  2.671% | 23     |  3.366% | 
 | 49   | Alakazam-Mega      |  2.56410% | 24     |  2.564% | 14     |  2.049% | 
 | 50   | Azumarill          |  2.56410% | 24     |  2.564% | 19     |  2.780% | 
 | 51   | Espeon             |  2.56410% | 24     |  2.564% | 16     |  2.341% | 
 | 52   | Frogadier          |  2.56410% | 24     |  2.564% | 17     |  2.488% | 
 | 53   | Garchomp           |  2.56410% | 24     |  2.564% | 19     |  2.780% | 
 | 54   | Lycanroc-Dusk      |  2.56410% | 24     |  2.564% | 17     |  2.488% | 
 | 55   | Zapdos             |  2.56410% | 24     |  2.564% | 18     |  2.634% | 
 | 56   | Armaldo            |  2.45726% | 23     |  2.457% | 18     |  2.634% | 
 | 57   | Hydreigon          |  2.35043% | 22     |  2.350% | 14     |  2.049% | 
 | 58   | Regigigas          |  2.35043% | 22     |  2.350% | 14     |  2.049% | 
 | 59   | Victini            |  2.35043% | 22     |  2.350% | 17     |  2.488% | 
 | 60   | Beedrill-Mega      |  2.24359% | 21     |  2.244% | 14     |  2.049% | 
 | 61   | Ribombee           |  2.24359% | 21     |  2.244% | 20     |  2.927% | 
 | 62   | Swampert-Mega      |  2.24359% | 21     |  2.244% | 16     |  2.341% | 
