 Total battles: 523289
 Avg. weight/team: 0.131
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Rayquaza-Mega      | 44.78753% | 182793 | 17.466% | 111185 | 17.187% | 
 | 2    | Groudon-Primal     | 34.12771% | 135323 | 12.930% | 94976  | 14.681% | 
 | 3    | Marshadow          | 26.32891% | 113831 | 10.876% | 72955  | 11.277% | 
 | 4    | Necrozma-Dusk-Mane | 21.15356% | 65214  |  6.231% | 43465  |  6.719% | 
 | 5    | Xerneas            | 21.08180% | 86352  |  8.251% | 52226  |  8.073% | 
 | 6    | Arceus             | 19.53360% | 59815  |  5.715% | 34326  |  5.306% | 
 | 7    | Yveltal            | 18.11530% | 51134  |  4.886% | 35382  |  5.469% | 
 | 8    | Arceus-Fairy       | 16.95230% | 35545  |  3.396% | 24588  |  3.801% | 
 | 9    | Kyogre-Primal      | 16.53351% | 92191  |  8.809% | 56981  |  8.808% | 
 | 10   | Smeargle           | 14.51416% | 117318 | 11.210% | 69202  | 10.697% | 
 | 11   | Arceus-Ground      | 10.43701% | 19444  |  1.858% | 14525  |  2.245% | 
 | 12   | Arceus-Steel       |  8.09773% | 18551  |  1.773% | 12489  |  1.931% | 
 | 13   | Deoxys-Attack      |  7.57402% | 30817  |  2.945% | 16828  |  2.601% | 
 | 14   | Lugia              |  7.44946% | 38677  |  3.696% | 23493  |  3.632% | 
 | 15   | Zygarde            |  6.94350% | 43544  |  4.161% | 27344  |  4.227% | 
 | 16   | Ferrothorn         |  6.09170% | 45897  |  4.385% | 34423  |  5.321% | 
 | 17   | Espeon             |  5.73931% | 42372  |  4.049% | 25351  |  3.919% | 
 | 18   | Gengar-Mega        |  5.63901% | 38713  |  3.699% | 25596  |  3.957% | 
 | 19   | Ho-Oh              |  5.12392% | 21682  |  2.072% | 14447  |  2.233% | 
 | 20   | Ditto              |  5.01888% | 47089  |  4.499% | 16484  |  2.548% | 
 | 21   | Aegislash          |  4.92898% | 64805  |  6.192% | 41574  |  6.426% | 
 | 22   | Scolipede          |  4.80443% | 39303  |  3.755% | 29812  |  4.608% | 
 | 23   | Deoxys-Speed       |  4.76504% | 19440  |  1.857% | 15685  |  2.425% | 
 | 24   | Necrozma-Dawn-Wings |  4.60133% | 35921  |  3.432% | 21652  |  3.347% | 
 | 25   | Arceus-Dark        |  4.60080% | 9922   |  0.948% | 6746   |  1.043% | 
 | 26   | Arceus-Ghost       |  4.55787% | 13281  |  1.269% | 8495   |  1.313% | 
 | 27   | Mewtwo-Mega-Y      |  4.45375% | 36003  |  3.440% | 22461  |  3.472% | 
 | 28   | Darkrai            |  4.42016% | 52046  |  4.973% | 32419  |  5.011% | 
 | 29   | Eevee              |  4.07859% | 46509  |  4.444% | 36946  |  5.711% | 
 | 30   | Greninja           |  3.72292% | 44007  |  4.205% | 27609  |  4.268% | 
 | 31   | Celesteela         |  3.61846% | 22855  |  2.184% | 15337  |  2.371% | 
 | 32   | Chansey            |  3.56795% | 34763  |  3.322% | 19648  |  3.037% | 
 | 33   | Mimikyu            |  3.48567% | 53713  |  5.132% | 34400  |  5.317% | 
 | 34   | Greninja-Ash       |  3.46436% | 65831  |  6.290% | 42471  |  6.565% | 
 | 35   | Shuckle            |  3.46383% | 42077  |  4.020% | 26701  |  4.127% | 
 | 36   | Arceus-Water       |  3.43885% | 8981   |  0.858% | 5869   |  0.907% | 
 | 37   | Toxapex            |  3.38354% | 36632  |  3.500% | 24620  |  3.806% | 
 | 38   | Arceus-Poison      |  3.33562% | 7634   |  0.729% | 5131   |  0.793% | 
 | 39   | Skarmory           |  3.12688% | 27221  |  2.601% | 21637  |  3.345% | 
 | 40   | Cloyster           |  3.12053% | 37327  |  3.567% | 22532  |  3.483% | 
 | 41   | Drifblim           |  3.10309% | 24530  |  2.344% | 17956  |  2.776% | 
 | 42   | Shaymin-Sky        |  3.09634% | 25206  |  2.408% | 14601  |  2.257% | 
 | 43   | Blaziken           |  2.86121% | 33019  |  3.155% | 22232  |  3.437% | 
 | 44   | Mewtwo             |  2.72754% | 17693  |  1.691% | 10515  |  1.625% | 
 | 45   | Tapu Lele          |  2.70619% | 12115  |  1.158% | 7627   |  1.179% | 
 | 46   | Kyogre             |  2.67643% | 9932   |  0.949% | 6358   |  0.983% | 
 | 47   | Garchomp           |  2.61236% | 47837  |  4.571% | 30417  |  4.702% | 
 | 48   | Kartana            |  2.55111% | 32936  |  3.147% | 20397  |  3.153% | 
 | 49   | Naganadel          |  2.46279% | 25467  |  2.433% | 15458  |  2.389% | 
