 Total battles: 35798
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Rayquaza-Mega      | 37.28979% | 26698  | 37.290% | 14880  | 35.347% | 
 | 2    | Mewtwo-Mega-Y      | 25.66065% | 18372  | 25.661% | 10635  | 25.263% | 
 | 3    | Chansey            | 21.61992% | 15479  | 21.620% | 9697   | 23.035% | 
 | 4    | Shedinja           | 20.36985% | 14584  | 20.370% | 9569   | 22.731% | 
 | 5    | Zygarde-Complete   | 18.21191% | 13039  | 18.212% | 8155   | 19.372% | 
 | 6    | Gengar-Mega        | 18.13788% | 12986  | 18.138% | 7675   | 18.232% | 
 | 7    | Mewtwo-Mega-X      | 17.21884% | 12328  | 17.219% | 7100   | 16.866% | 
 | 8    | Giratina           | 13.54545% | 9698   | 13.545% | 6994   | 16.614% | 
 | 9    | Deoxys-Speed       | 12.62221% | 9037   | 12.622% | 6401   | 15.205% | 
 | 10   | Kyogre-Primal      | 11.22549% | 8037   | 11.225% | 4844   | 11.507% | 
 | 11   | Regigigas          | 10.44751% | 7480   | 10.448% | 4610   | 10.951% | 
 | 12   | Blissey            | 10.10392% | 7234   | 10.104% | 4463   | 10.602% | 
 | 13   | Necrozma-Ultra     |  9.47260% | 6782   |  9.473% | 3816   |  9.065% | 
 | 14   | Shuckle            |  9.24493% | 6619   |  9.245% | 3939   |  9.357% | 
 | 15   | Diancie-Mega       |  7.64847% | 5476   |  7.648% | 3752   |  8.913% | 
 | 16   | Yveltal            |  7.43896% | 5326   |  7.439% | 3343   |  7.941% | 
 | 17   | Registeel          |  7.35795% | 5268   |  7.358% | 3613   |  8.583% | 
 | 18   | Deoxys-Attack      |  7.28532% | 5216   |  7.285% | 2894   |  6.875% | 
 | 19   | Aegislash          |  7.17219% | 5135   |  7.172% | 3395   |  8.065% | 
 | 20   | Arceus             |  6.99760% | 5010   |  6.998% | 3017   |  7.167% | 
 | 21   | Slaking            |  6.39282% | 4577   |  6.393% | 2487   |  5.908% | 
 | 22   | Xerneas            |  6.32717% | 4530   |  6.327% | 2999   |  7.124% | 
 | 23   | Greninja-Ash       |  6.28247% | 4498   |  6.282% | 2746   |  6.523% | 
 | 24   | Tyranitar-Mega     |  6.28108% | 4497   |  6.281% | 3093   |  7.347% | 
 | 25   | Deoxys-Defense     |  5.57294% | 3990   |  5.573% | 2742   |  6.514% | 
 | 26   | Dialga             |  5.28800% | 3786   |  5.288% | 2379   |  5.651% | 
 | 27   | Kyurem-Black       |  5.27124% | 3774   |  5.271% | 2430   |  5.772% | 
 | 28   | Blaziken-Mega      |  5.20560% | 3727   |  5.206% | 2295   |  5.452% | 
 | 29   | Marshadow          |  4.65249% | 3331   |  4.652% | 1984   |  4.713% | 
 | 30   | Audino-Mega        |  4.60780% | 3299   |  4.608% | 2456   |  5.834% | 
 | 31   | Solgaleo           |  4.51701% | 3234   |  4.517% | 2237   |  5.314% | 
 | 32   | Arceus-Ghost       |  4.48209% | 3209   |  4.482% | 1980   |  4.703% | 
 | 33   | Necrozma-Dusk-Mane |  4.38432% | 3139   |  4.384% | 2002   |  4.756% | 
 | 34   | Darkrai            |  4.16783% | 2984   |  4.168% | 1924   |  4.570% | 
 | 35   | Lugia              |  4.15386% | 2974   |  4.154% | 1877   |  4.459% | 
 | 36   | Zeraora            |  3.90106% | 2793   |  3.901% | 1587   |  3.770% | 
