 Total battles: 18633
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Rayquaza-Mega      | 38.17421% | 14226  | 38.174% | 8066   | 36.442% | 
 | 2    | Chansey            | 24.58005% | 9160   | 24.580% | 5762   | 26.032% | 
 | 3    | Mewtwo-Mega-Y      | 23.84211% | 8885   | 23.842% | 5146   | 23.249% | 
 | 4    | Zygarde-Complete   | 20.43418% | 7615   | 20.434% | 4793   | 21.654% | 
 | 5    | Gengar-Mega        | 19.00660% | 7083   | 19.007% | 4296   | 19.409% | 
 | 6    | Mewtwo-Mega-X      | 18.66849% | 6957   | 18.668% | 3970   | 17.936% | 
 | 7    | Shedinja           | 18.24183% | 6798   | 18.242% | 4230   | 19.111% | 
 | 8    | Giratina           | 15.13981% | 5642   | 15.140% | 3885   | 17.552% | 
 | 9    | Kyogre-Primal      | 13.68271% | 5099   | 13.683% | 3128   | 14.132% | 
 | 10   | Regigigas          | 12.14244% | 4525   | 12.142% | 2694   | 12.171% | 
 | 11   | Deoxys-Speed       | 11.82043% | 4405   | 11.820% | 3233   | 14.606% | 
 | 12   | Blissey            | 10.98589% | 4094   | 10.986% | 2554   | 11.539% | 
 | 13   | Diancie-Mega       | 10.94832% | 4080   | 10.948% | 2795   | 12.628% | 
 | 14   | Yveltal            |  9.92862% | 3700   |  9.929% | 2340   | 10.572% | 
 | 15   | Registeel          |  9.83739% | 3666   |  9.837% | 2625   | 11.860% | 
 | 16   | Aegislash          |  9.40804% | 3506   |  9.408% | 2452   | 11.078% | 
 | 17   | Shuckle            |  9.15312% | 3411   |  9.153% | 2051   |  9.266% | 
 | 18   | Tyranitar-Mega     |  8.50910% | 3171   |  8.509% | 2158   |  9.750% | 
 | 19   | Necrozma-Ultra     |  8.25149% | 3075   |  8.251% | 1721   |  7.775% | 
 | 20   | Xerneas            |  7.95363% | 2964   |  7.954% | 1986   |  8.973% | 
 | 21   | Deoxys-Attack      |  7.36596% | 2745   |  7.366% | 1511   |  6.827% | 
 | 22   | Arceus             |  6.68706% | 2492   |  6.687% | 1422   |  6.425% | 
 | 23   | Solgaleo           |  6.50727% | 2425   |  6.507% | 1652   |  7.464% | 
 | 24   | Greninja-Ash       |  6.24161% | 2326   |  6.242% | 1491   |  6.736% | 
