 Total battles: 16581
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 15.13479% | 5019   | 15.135% | 0      |  0.000% | 
 | 2    | Tapu Koko          | 13.01791% | 4317   | 13.018% | 0      |  0.000% | 
 | 3    | Aegislash          |  9.42645% | 3126   |  9.426% | 0      |  0.000% | 
 | 4    | Amoonguss          |  9.21838% | 3057   |  9.218% | 0      |  0.000% | 
 | 5    | Tapu Fini          |  8.97111% | 2975   |  8.971% | 0      |  0.000% | 
 | 6    | Cresselia          |  7.92775% | 2629   |  7.928% | 0      |  0.000% | 
 | 7    | Tyranitar          |  7.82824% | 2596   |  7.828% | 0      |  0.000% | 
 | 8    | Charizard-Mega-Y   |  7.55383% | 2505   |  7.554% | 0      |  0.000% | 
 | 9    | Tapu Lele          |  7.29751% | 2420   |  7.298% | 0      |  0.000% | 
 | 10   | Arcanine           |  6.74567% | 2237   |  6.746% | 0      |  0.000% | 
 | 11   | Oranguru           |  6.32350% | 2097   |  6.324% | 0      |  0.000% | 
 | 12   | Mimikyu            |  5.95260% | 1974   |  5.953% | 0      |  0.000% | 
 | 13   | Pelipper           |  5.94355% | 1971   |  5.944% | 0      |  0.000% | 
 | 14   | Greninja           |  5.81388% | 1928   |  5.814% | 0      |  0.000% | 
 | 15   | Tapu Bulu          |  5.56963% | 1847   |  5.570% | 0      |  0.000% | 
 | 16   | Celesteela         |  5.34950% | 1774   |  5.349% | 0      |  0.000% | 
 | 17   | Garchomp           |  5.33743% | 1770   |  5.337% | 0      |  0.000% | 
 | 18   | Salamence-Mega     |  5.18063% | 1718   |  5.181% | 0      |  0.000% | 
 | 19   | Snorlax            |  4.99970% | 1658   |  5.000% | 0      |  0.000% | 
 | 20   | Metagross-Mega     |  4.99668% | 1657   |  4.997% | 0      |  0.000% | 
 | 21   | Zapdos             |  4.99367% | 1656   |  4.994% | 0      |  0.000% | 
 | 22   | Kartana            |  4.59261% | 1523   |  4.593% | 0      |  0.000% | 
 | 23   | Swampert-Mega      |  4.46294% | 1480   |  4.463% | 0      |  0.000% | 
 | 24   | Milotic            |  4.42072% | 1466   |  4.421% | 0      |  0.000% | 
 | 25   | Whimsicott         |  4.27296% | 1417   |  4.273% | 0      |  0.000% | 
 | 26   | Stakataka          |  4.20361% | 1394   |  4.204% | 0      |  0.000% | 
 | 27   | Kangaskhan-Mega    |  4.10108% | 1360   |  4.101% | 0      |  0.000% | 
 | 28   | Heatran            |  4.09203% | 1357   |  4.092% | 0      |  0.000% | 
 | 29   | Marowak-Alola      |  4.05886% | 1346   |  4.059% | 0      |  0.000% | 
 | 30   | Togekiss           |  4.02569% | 1335   |  4.026% | 0      |  0.000% | 
 | 31   | Mawile-Mega        |  4.00760% | 1329   |  4.008% | 0      |  0.000% | 
 | 32   | Excadrill          |  3.81461% | 1265   |  3.815% | 0      |  0.000% | 
 | 33   | Kommo-o            |  3.66685% | 1216   |  3.667% | 0      |  0.000% | 
 | 34   | Muk-Alola          |  3.63669% | 1206   |  3.637% | 0      |  0.000% | 
 | 35   | Gengar-Mega        |  3.61558% | 1199   |  3.616% | 0      |  0.000% | 
 | 36   | Ferrothorn         |  3.57337% | 1185   |  3.573% | 0      |  0.000% | 
 | 37   | Krookodile         |  3.38641% | 1123   |  3.386% | 0      |  0.000% | 
