 Total battles: 133015
 Avg. weight/team: 0.007
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mimikyu            | 34.60725% | 75273  | 27.527% | 28011  | 24.531% | 
 | 2    | Salamence-Mega     | 34.53257% | 50865  | 18.601% | 20449  | 17.909% | 
 | 3    | Landorus-Therian   | 30.17845% | 61949  | 22.654% | 29034  | 25.427% | 
 | 4    | Aegislash          | 28.24003% | 41717  | 15.255% | 16148  | 14.142% | 
 | 5    | Hippowdon          | 27.13726% | 37265  | 13.627% | 16790  | 14.704% | 
 | 6    | Greninja           | 25.84691% | 47948  | 17.534% | 20267  | 17.749% | 
 | 7    | Tapu Fini          | 23.34225% | 37397  | 13.676% | 16596  | 14.534% | 
 | 8    | Tapu Koko          | 20.91227% | 47024  | 17.196% | 20943  | 18.341% | 
 | 9    | Metagross-Mega     | 18.36590% | 29897  | 10.933% | 13190  | 11.552% | 
 | 10   | Tapu Lele          | 18.35592% | 37808  | 13.826% | 16368  | 14.335% | 
 | 11   | Gengar-Mega        | 17.29983% | 32563  | 11.908% | 13131  | 11.500% | 
 | 12   | Kangaskhan-Mega    | 16.26250% | 20011  |  7.318% | 9536   |  8.351% | 
 | 13   | Volcarona          | 15.69193% | 20800  |  7.606% | 7878   |  6.899% | 
 | 14   | Porygon2           | 13.40342% | 30996  | 11.335% | 12766  | 11.180% | 
 | 15   | Celesteela         | 12.29236% | 29080  | 10.634% | 11900  | 10.422% | 
 | 16   | Ferrothorn         | 12.05599% | 26209  |  9.584% | 12039  | 10.543% | 
 | 17   | Kartana            | 11.96291% | 19428  |  7.105% | 7748   |  6.786% | 
 | 18   | Naganadel          | 10.94548% | 25458  |  9.310% | 10341  |  9.056% | 
 | 19   | Tyranitar          | 10.66785% | 13113  |  4.795% | 4873   |  4.268% | 
 | 20   | Gliscor            | 10.33357% | 22438  |  8.205% | 8105   |  7.098% | 
 | 21   | Heatran            |  8.93303% | 24163  |  8.836% | 9444   |  8.271% | 
 | 22   | Thundurus-Therian  |  8.88171% | 22542  |  8.243% | 8882   |  7.779% | 
 | 23   | Breloom            |  8.62676% | 19428  |  7.105% | 7840   |  6.866% | 
 | 24   | Snorlax            |  8.46694% | 7972   |  2.915% | 3279   |  2.872% | 
 | 25   | Suicune            |  7.92550% | 10775  |  3.940% | 4399   |  3.853% | 
 | 26   | Excadrill          |  7.34849% | 14070  |  5.145% | 5644   |  4.943% | 
 | 27   | Gyarados-Mega      |  7.20177% | 19464  |  7.118% | 8417   |  7.371% | 
 | 28   | Charizard-Mega-X   |  6.81329% | 21406  |  7.828% | 9088   |  7.959% | 
 | 29   | Blaziken-Mega      |  5.63268% | 22623  |  8.273% | 10729  |  9.396% | 
 | 30   | Rotom-Wash         |  5.60183% | 7671   |  2.805% | 3406   |  2.983% | 
 | 31   | Mamoswine          |  5.34113% | 10892  |  3.983% | 5501   |  4.818% | 
 | 32   | Blaziken           |  4.94841% | 15802  |  5.779% | 7727   |  6.767% | 
 | 33   | Cresselia          |  4.76211% | 11467  |  4.193% | 4666   |  4.086% | 
