 Total battles: 635
 Avg. weight/team: 0.022
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 77.55633% | 158    | 12.441% | 54     | 10.182% | 
 | 2    | Mimikyu            | 66.80937% | 156    | 12.283% | 66     | 12.445% | 
 | 3    | Tapu Koko          | 65.07978% | 144    | 11.339% | 78     | 14.708% | 
 | 4    | Gothitelle         | 52.25240% | 29     |  2.283% | 0      |  0.000% | 
 | 5    | Ferrothorn         | 45.77846% | 114    |  8.976% | 35     |  6.600% | 
 | 6    | Rayquaza-Mega      | 43.97457% | 202    | 15.906% | 155    | 29.227% | 
 | 7    | Marshadow          | 27.78593% | 27     |  2.126% | 14     |  2.640% | 
 | 8    | Mawile-Mega        | 15.74139% | 25     |  1.969% | 5      |  0.943% | 
 | 9    | Latios             | 14.08803% | 94     |  7.402% | 30     |  5.657% | 
 | 10   | Aegislash          | 13.60479% | 63     |  4.961% | 26     |  4.903% | 
 | 11   | Metagross          | 13.53516% | 46     |  3.622% | 16     |  3.017% | 
 | 12   | Gyarados-Mega      | 11.01588% | 52     |  4.094% | 26     |  4.903% | 
 | 13   | Celesteela         | 10.81301% | 108    |  8.504% | 48     |  9.051% | 
 | 14   | Golduck            |  8.19495% | 8      |  0.630% | 3      |  0.566% | 
 | 15   | Arceus             |  7.63323% | 29     |  2.283% | 22     |  4.148% | 
 | 16   | Hippowdon          |  6.55135% | 24     |  1.890% | 17     |  3.206% | 
 | 17   | Gengar-Mega        |  5.79000% | 182    | 14.331% | 52     |  9.805% | 
 | 18   | Bronzong           |  5.69346% | 6      |  0.472% | 2      |  0.377% | 
 | 19   | Magnezone          |  5.23261% | 49     |  3.858% | 11     |  2.074% | 
 | 20   | Tapu Lele          |  5.19268% | 48     |  3.780% | 23     |  4.337% | 
 | 21   | Volcarona          |  4.82652% | 28     |  2.205% | 12     |  2.263% | 
 | 22   | Yveltal            |  4.77025% | 56     |  4.409% | 42     |  7.920% | 
 | 23   | Necrozma-Dusk-Mane |  4.73759% | 31     |  2.441% | 25     |  4.714% | 
 | 24   | Shuckle            |  4.73579% | 21     |  1.654% | 11     |  2.074% | 
 | 25   | Noivern            |  4.71890% | 88     |  6.929% | 12     |  2.263% | 
 | 26   | Heatran            |  4.68780% | 45     |  3.543% | 11     |  2.074% | 
 | 27   | Mamoswine          |  4.27687% | 24     |  1.890% | 7      |  1.320% | 
 | 28   | Landorus           |  3.98114% | 24     |  1.890% | 6      |  1.131% | 
 | 29   | Entei              |  3.96677% | 35     |  2.756% | 16     |  3.017% | 
 | 30   | Dialga             |  3.96513% | 12     |  0.945% | 9      |  1.697% | 
 | 31   | Golem              |  3.96513% | 11     |  0.866% | 3      |  0.566% | 
 | 32   | Mawile             |  3.96513% | 11     |  0.866% | 3      |  0.566% | 
 | 33   | Azelf              |  2.99557% | 9      |  0.709% | 2      |  0.377% | 
 | 34   | Xerneas            |  2.87867% | 52     |  4.094% | 28     |  5.280% | 
 | 35   | Salamence-Mega     |  1.90021% | 70     |  5.512% | 31     |  5.845% | 
 | 36   | Ditto              |  1.49689% | 41     |  3.228% | 29     |  5.468% | 
 | 37   | Blaziken-Mega      |  1.49101% | 98     |  7.717% | 33     |  6.223% | 
 | 38   | Groudon-Primal     |  1.47569% | 22     |  1.732% | 17     |  3.206% | 
 | 39   | Shedinja           |  1.34231% | 25     |  1.969% | 19     |  3.583% | 
 | 40   | Swampert-Mega      |  1.27178% | 58     |  4.567% | 20     |  3.771% | 
 | 41   | Banette-Mega       |  1.26596% | 52     |  4.094% | 34     |  6.411% | 
 | 42   | Rotom-Heat         |  1.26596% | 47     |  3.701% | 5      |  0.943% | 
 | 43   | Umbreon            |  1.26401% | 22     |  1.732% | 8      |  1.508% | 
 | 44   | Cresselia          |  1.26137% | 7      |  0.551% | 2      |  0.377% | 
 | 45   | Naganadel          |  1.19600% | 112    |  8.819% | 29     |  5.468% | 
 | 46   | Vileplume          |  1.15751% | 36     |  2.835% | 0      |  0.000% | 
 | 47   | Kartana            |  1.09078% | 25     |  1.969% | 10     |  1.886% | 
 | 48   | Galvantula         |  0.96956% | 7      |  0.551% | 1      |  0.189% | 
 | 49   | Greninja-Ash       |  0.92141% | 265    | 20.866% | 118    | 22.250% | 
 | 50   | Kyogre-Primal      |  0.68043% | 58     |  4.567% | 42     |  7.920% | 
 | 51   | Blaziken           |  0.58756% | 35     |  2.756% | 15     |  2.828% | 
 | 52   | Ninetales-Alola    |  0.55049% | 63     |  4.961% | 29     |  5.468% | 
 | 53   | Abomasnow-Mega     |  0.54918% | 27     |  2.126% | 16     |  3.017% | 
 | 54   | Exeggutor-Alola    |  0.54914% | 18     |  1.417% | 8      |  1.508% | 
 | 55   | Marowak-Alola      |  0.54914% | 11     |  0.866% | 2      |  0.377% | 
 | 56   | Bibarel            |  0.49844% | 19     |  1.496% | 6      |  1.131% | 
 | 57   | Huntail            |  0.47680% | 9      |  0.709% | 5      |  0.943% | 
 | 58   | Porygon2           |  0.47680% | 28     |  2.205% | 7      |  1.320% | 
 | 59   | Ninetales          |  0.46645% | 30     |  2.362% | 8      |  1.508% | 
 | 60   | Starmie            |  0.46645% | 27     |  2.126% | 17     |  3.206% | 
 | 61   | Volbeat            |  0.46314% | 16     |  1.260% | 9      |  1.697% | 
 | 62   | Regirock           |  0.44903% | 11     |  0.866% | 4      |  0.754% | 
 | 63   | Tyranitar-Mega     |  0.44048% | 33     |  2.598% | 10     |  1.886% | 
 | 64   | Ribombee           |  0.43991% | 8      |  0.630% | 7      |  1.320% | 
 | 65   | Swoobat            |  0.43527% | 10     |  0.787% | 6      |  1.131% | 
 | 66   | Illumise           |  0.41547% | 17     |  1.339% | 6      |  1.131% | 
 | 67   | Kyogre             |  0.40998% | 10     |  0.787% | 8      |  1.508% | 
 | 68   | Eelektross         |  0.40940% | 4      |  0.315% | 3      |  0.566% | 
 | 69   | Zoroark            |  0.34798% | 27     |  2.126% | 13     |  2.451% | 
 | 70   | Lopunny-Mega       |  0.34791% | 32     |  2.520% | 19     |  3.583% | 
 | 71   | Cradily            |  0.32033% | 11     |  0.866% | 4      |  0.754% | 
 | 72   | Stoutland          |  0.32033% | 9      |  0.709% | 1      |  0.189% | 
 | 73   | Arceus-Fairy       |  0.20220% | 9      |  0.709% | 6      |  1.131% | 
 | 74   | Greninja           |  0.16963% | 55     |  4.331% | 27     |  5.091% | 
 | 75   | Lucario-Mega       |  0.15522% | 77     |  6.063% | 33     |  6.223% | 
 | 76   | Moltres            |  0.15083% | 9      |  0.709% | 1      |  0.189% | 
 | 77   | Articuno           |  0.15083% | 15     |  1.181% | 5      |  0.943% | 
 | 78   | Eevee              |  0.15083% | 6      |  0.472% | 2      |  0.377% | 
 | 79   | Zapdos             |  0.15083% | 13     |  1.024% | 4      |  0.754% | 
 | 80   | Rhyperior          |  0.15081% | 8      |  0.630% | 2      |  0.377% | 
 | 81   | Abomasnow          |  0.15081% | 12     |  0.945% | 4      |  0.754% | 
 | 82   | Gallade            |  0.13864% | 16     |  1.260% | 3      |  0.566% | 
 | 83   | Feraligatr         |  0.12882% | 10     |  0.787% | 5      |  0.943% | 
 | 84   | Scizor-Mega        |  0.12875% | 22     |  1.732% | 11     |  2.074% | 
 | 85   | Regigigas          |  0.12870% | 2      |  0.157% | 1      |  0.189% | 
 | 86   | Roserade           |  0.12870% | 9      |  0.709% | 3      |  0.566% | 
 | 87   | Diancie-Mega       |  0.11813% | 13     |  1.024% | 5      |  0.943% | 
 | 88   | Metagross-Mega     |  0.11477% | 49     |  3.858% | 18     |  3.394% | 
 | 89   | Charizard-Mega-X   |  0.11460% | 133    | 10.472% | 72     | 13.576% | 
 | 90   | Kangaskhan-Mega    |  0.11223% | 36     |  2.835% | 20     |  3.771% | 
 | 91   | Muk-Alola          |  0.10845% | 8      |  0.630% | 2      |  0.377% | 
 | 92   | Mandibuzz          |  0.10043% | 1      |  0.079% | 0      |  0.000% | 
 | 93   | Venusaur-Mega      |  0.10043% | 17     |  1.339% | 6      |  1.131% | 
 | 94   | Decidueye          |  0.09435% | 46     |  3.622% | 19     |  3.583% | 
 | 95   | Blacephalon        |  0.09053% | 23     |  1.811% | 8      |  1.508% | 
 | 96   | Mewtwo-Mega-X      |  0.07663% | 20     |  1.575% | 17     |  3.206% | 
 | 97   | Alomomola          |  0.07526% | 7      |  0.551% | 2      |  0.377% | 
 | 98   | Magearna           |  0.07526% | 9      |  0.709% | 4      |  0.754% | 
 | 99   | Garchomp-Mega      |  0.07362% | 49     |  3.858% | 20     |  3.771% | 
 | 100  | Salazzle-Totem     |  0.07181% | 9      |  0.709% | 3      |  0.566% | 
 | 101  | Staraptor          |  0.06978% | 20     |  1.575% | 8      |  1.508% | 
 | 102  | Goodra             |  0.06866% | 33     |  2.598% | 8      |  1.508% | 
 | 103  | Ludicolo           |  0.06866% | 6      |  0.472% | 1      |  0.189% | 
 | 104  | Sandslash-Alola    |  0.06866% | 3      |  0.236% | 1      |  0.189% | 
 | 105  | Scrafty            |  0.06866% | 7      |  0.551% | 2      |  0.377% | 
 | 106  | Gliscor            |  0.06616% | 36     |  2.835% | 12     |  2.263% | 
 | 107  | Pyukumuku          |  0.06056% | 8      |  0.630% | 3      |  0.566% | 
 | 108  | Zygarde            |  0.05153% | 16     |  1.260% | 9      |  1.697% | 
 | 109  | Incineroar         |  0.04376% | 26     |  2.047% | 9      |  1.697% | 
 | 110  | Lucario            |  0.04053% | 24     |  1.890% | 8      |  1.508% | 
 | 111  | Gastrodon          |  0.03921% | 14     |  1.102% | 4      |  0.754% | 
 | 112  | Carbink            |  0.03657% | 2      |  0.157% | 2      |  0.377% | 
 | 113  | Houndoom           |  0.03657% | 3      |  0.236% | 0      |  0.000% | 
 | 114  | Machamp            |  0.03657% | 13     |  1.024% | 4      |  0.754% | 
 | 115  | Shiftry            |  0.03657% | 2      |  0.157% | 0      |  0.000% | 
 | 116  | Cryogonal          |  0.03117% | 13     |  1.024% | 5      |  0.943% | 
 | 117  | Sceptile-Mega      |  0.02529% | 35     |  2.756% | 20     |  3.771% | 
 | 118  | Aerodactyl-Mega    |  0.02214% | 21     |  1.654% | 11     |  2.074% | 
 | 119  | Rotom-Wash         |  0.01970% | 38     |  2.992% | 12     |  2.263% | 
 | 120  | Raichu             |  0.01872% | 12     |  0.945% | 4      |  0.754% | 
 | 121  | Volcanion          |  0.01859% | 25     |  1.969% | 15     |  2.828% | 
 | 122  | Pikachu            |  0.01728% | 68     |  5.354% | 23     |  4.337% | 
 | 123  | Heracross-Mega     |  0.01695% | 15     |  1.181% | 6      |  1.131% | 
 | 124  | Blastoise-Mega     |  0.01680% | 19     |  1.496% | 12     |  2.263% | 
 | 125  | Pheromosa          |  0.01525% | 90     |  7.087% | 32     |  6.034% | 
 | 126  | Mewtwo-Mega-Y      |  0.01517% | 16     |  1.260% | 13     |  2.451% | 
 | 127  | Gardevoir-Mega     |  0.01276% | 45     |  3.543% | 24     |  4.525% | 
 | 128  | Snorlax            |  0.01246% | 31     |  2.441% | 17     |  3.206% | 
 | 129  | Audino-Mega        |  0.01238% | 18     |  1.417% | 10     |  1.886% | 
 | 130  | Tapu Bulu          |  0.01153% | 17     |  1.339% | 3      |  0.566% | 
 | 131  | Blissey            |  0.01097% | 17     |  1.339% | 12     |  2.263% | 
 | 132  | Guzzlord           |  0.01097% | 16     |  1.260% | 5      |  0.943% | 
 | 133  | Wailord            |  0.01097% | 7      |  0.551% | 3      |  0.566% | 
 | 134  | Wobbuffet          |  0.01097% | 6      |  0.472% | 1      |  0.189% | 
 | 135  | Aggron-Mega        |  0.00605% | 23     |  1.811% | 11     |  2.074% | 
 | 136  | Manectric-Mega     |  0.00582% | 10     |  0.787% | 4      |  0.754% | 
 | 137  | Chandelure         |  0.00495% | 20     |  1.575% | 7      |  1.320% | 
 | 138  | Girafarig          |  0.00458% | 11     |  0.866% | 3      |  0.566% | 
 | 139  | Reuniclus          |  0.00413% | 7      |  0.551% | 4      |  0.754% | 
 | 140  | Houndoom-Mega      |  0.00413% | 11     |  0.866% | 8      |  1.508% | 
 | 141  | Gallade-Mega       |  0.00406% | 29     |  2.283% | 16     |  3.017% | 
 | 142  | Butterfree         |  0.00388% | 14     |  1.102% | 3      |  0.566% | 
 | 143  | Kyurem-White       |  0.00385% | 5      |  0.394% | 3      |  0.566% | 
 | 144  | Rayquaza           |  0.00384% | 12     |  0.945% | 9      |  1.697% | 
 | 145  | Serperior          |  0.00375% | 21     |  1.654% | 11     |  2.074% | 
 | 146  | Hypno              |  0.00351% | 5      |  0.394% | 1      |  0.189% | 
 | 147  | Jigglypuff         |  0.00351% | 5      |  0.394% | 1      |  0.189% | 
 | 148  | Magmortar          |  0.00351% | 10     |  0.787% | 4      |  0.754% | 
 | 149  | Rotom-Frost        |  0.00351% | 6      |  0.472% | 5      |  0.943% | 
 | 150  | Torkoal            |  0.00331% | 9      |  0.709% | 3      |  0.566% | 
 | 151  | Barbaracle         |  0.00315% | 11     |  0.866% | 4      |  0.754% | 
 | 152  | Primarina          |  0.00315% | 14     |  1.102% | 6      |  1.131% | 
 | 153  | Beedrill-Mega      |  0.00302% | 19     |  1.496% | 6      |  1.131% | 
 | 154  | Skarmory           |  0.00302% | 11     |  0.866% | 6      |  1.131% | 
 | 155  | Tangrowth          |  0.00302% | 13     |  1.024% | 2      |  0.377% | 
 | 156  | Togekiss           |  0.00302% | 17     |  1.339% | 8      |  1.508% | 
 | 157  | Tyranitar          |  0.00302% | 40     |  3.150% | 13     |  2.451% | 
 | 158  | Lickilicky         |  0.00180% | 2      |  0.157% | 0      |  0.000% | 
 | 159  | Krookodile         |  0.00160% | 9      |  0.709% | 2      |  0.377% | 
 | 160  | Mudsdale           |  0.00160% | 4      |  0.315% | 2      |  0.377% | 
 | 161  | Persian-Alola      |  0.00160% | 3      |  0.236% | 0      |  0.000% | 
 | 162  | Vikavolt           |  0.00160% | 4      |  0.315% | 2      |  0.377% | 
 | 163  | Latias-Mega        |  0.00149% | 7      |  0.551% | 4      |  0.754% | 
 | 164  | Stakataka          |  0.00149% | 8      |  0.630% | 4      |  0.754% | 
 | 165  | Lycanroc-Midnight  |  0.00106% | 28     |  2.205% | 17     |  3.206% | 
 | 166  | Chesnaught         |  0.00095% | 5      |  0.394% | 2      |  0.377% | 
 | 167  | Delphox            |  0.00095% | 7      |  0.551% | 2      |  0.377% | 
 | 168  | Raichu-Alola       |  0.00076% | 17     |  1.339% | 4      |  0.754% | 
 | 169  | Charizard          |  0.00076% | 24     |  1.890% | 16     |  3.017% | 
 | 170  | Bisharp            |  0.00064% | 63     |  4.961% | 7      |  1.320% | 
 | 171  | Exeggutor          |  0.00058% | 39     |  3.071% | 0      |  0.000% | 
 | 172  | Heliolisk          |  0.00058% | 38     |  2.992% | 34     |  6.411% | 
 | 173  | Infernape          |  0.00058% | 57     |  4.488% | 23     |  4.337% | 
 | 174  | Pidgeot            |  0.00057% | 10     |  0.787% | 9      |  1.697% | 
 | 175  | Ivysaur            |  0.00037% | 4      |  0.315% | 1      |  0.189% | 
 | 176  | Wartortle          |  0.00037% | 5      |  0.394% | 0      |  0.000% | 
 | 177  | Thundurus-Therian  |  0.00036% | 12     |  0.945% | 5      |  0.943% | 
 | 178  | Flareon            |  0.00034% | 11     |  0.866% | 3      |  0.566% | 
 | 179  | Lycanroc-Dusk      |  0.00033% | 34     |  2.677% | 12     |  2.263% | 
 | 180  | Gengar             |  0.00033% | 24     |  1.890% | 10     |  1.886% | 
 | 181  | Slaking            |  0.00027% | 13     |  1.024% | 2      |  0.377% | 
 | 182  | Mewtwo             |  0.00023% | 5      |  0.394% | 5      |  0.943% | 
 | 183  | Probopass          |  0.00023% | 5      |  0.394% | 1      |  0.189% | 
 | 184  | Rampardos          |  0.00021% | 5      |  0.394% | 2      |  0.377% | 
 | 185  | Leafeon            |  0.00020% | 5      |  0.394% | 0      |  0.000% | 
 | 186  | Arceus-Ghost       |  0.00020% | 2      |  0.157% | 2      |  0.377% | 
 | 187  | Glaceon            |  0.00020% | 10     |  0.787% | 3      |  0.566% | 
 | 188  | Drifblim           |  0.00016% | 16     |  1.260% | 6      |  1.131% | 
 | 189  | Bulbasaur          |  0.00016% | 5      |  0.394% | 0      |  0.000% | 
 | 190  | Chikorita          |  0.00016% | 4      |  0.315% | 2      |  0.377% | 
 | 191  | Cyndaquil          |  0.00016% | 2      |  0.157% | 1      |  0.189% | 
 | 192  | Squirtle           |  0.00016% | 5      |  0.394% | 0      |  0.000% | 
 | 193  | Totodile           |  0.00016% | 2      |  0.157% | 2      |  0.377% | 
 | 194  | Hitmonchan         |  0.00015% | 4      |  0.315% | 2      |  0.377% | 
 | 195  | Empoleon           |  0.00015% | 17     |  1.339% | 5      |  0.943% | 
 | 196  | Darkrai            |  0.00012% | 19     |  1.496% | 14     |  2.640% | 
 | 197  | Hoopa              |  0.00011% | 6      |  0.472% | 1      |  0.189% | 
 | 198  | Crawdaunt          |  0.00010% | 8      |  0.630% | 4      |  0.754% | 
 | 199  | Tropius            |  0.00010% | 1      |  0.079% | 0      |  0.000% | 
 | 200  | Scizor             |  0.00008% | 25     |  1.969% | 11     |  2.074% | 
 | 201  | Raikou             |  0.00007% | 8      |  0.630% | 5      |  0.943% | 
 | 202  | Kommo-o            |  0.00005% | 13     |  1.024% | 2      |  0.377% | 
 | 203  | Lunala             |  0.00005% | 4      |  0.315% | 3      |  0.566% | 
 | 204  | Liepard            |  0.00005% | 10     |  0.787% | 5      |  0.943% | 
 | 205  | Luxio              |  0.00005% | 1      |  0.079% | 0      |  0.000% | 
 | 206  | Persian            |  0.00005% | 1      |  0.079% | 0      |  0.000% | 
 | 207  | Pyroar             |  0.00005% | 6      |  0.472% | 4      |  0.754% | 
 | 208  | Silvally-Dark      |  0.00005% | 3      |  0.236% | 1      |  0.189% | 
 | 209  | Mew                |  0.00005% | 19     |  1.496% | 9      |  1.697% | 
 | 210  | Alakazam-Mega      |  0.00005% | 34     |  2.677% | 13     |  2.451% | 
 | 211  | Mr. Mime           |  0.00005% | 2      |  0.157% | 0      |  0.000% | 
 | 212  | Noctowl            |  0.00005% | 3      |  0.236% | 2      |  0.377% | 
 | 213  | Sneasel            |  0.00005% | 2      |  0.157% | 0      |  0.000% | 
 | 214  | Steelix-Mega       |  0.00005% | 7      |  0.551% | 6      |  1.131% | 
 | 215  | Charizard-Mega-Y   |  0.00004% | 46     |  3.622% | 31     |  5.845% | 
 | 216  | Ampharos-Mega      |  0.00004% | 16     |  1.260% | 7      |  1.320% | 
 | 217  | Gyarados           |  0.00003% | 19     |  1.496% | 7      |  1.320% | 
 | 218  | Heracross          |  0.00003% | 7      |  0.551% | 2      |  0.377% | 
 | 219  | Kabutops           |  0.00003% | 5      |  0.394% | 3      |  0.566% | 
 | 220  | Porygon-Z          |  0.00003% | 8      |  0.630% | 3      |  0.566% | 
 | 221  | Caterpie           |  0.00003% | 6      |  0.472% | 4      |  0.754% | 
 | 222  | Kingdra            |  0.00002% | 9      |  0.709% | 3      |  0.566% | 
 | 223  | Nidoking           |  0.00002% | 12     |  0.945% | 3      |  0.566% | 
 | 224  | Nidoqueen          |  0.00002% | 4      |  0.315% | 0      |  0.000% | 
 | 225  | Venusaur           |  0.00001% | 18     |  1.417% | 11     |  2.074% | 
 | 226  | Torterra           |  0.00001% | 10     |  0.787% | 8      |  1.508% | 
 | 227  | Donphan            |  0.00001% | 3      |  0.236% | 1      |  0.189% | 
 | 228  | Hawlucha           |  0.00001% | 51     |  4.016% | 28     |  5.280% | 
 | 229  | Talonflame         |  0.00001% | 42     |  3.307% | 27     |  5.091% | 
 | 230  | Kommo-o-Totem      |  0.00000% | 4      |  0.315% | 3      |  0.566% | 
 | 231  | Accelgor           |  0.00000% | 5      |  0.394% | 3      |  0.566% | 
 | 232  | Toxapex            |  0.00000% | 27     |  2.126% | 7      |  1.320% | 
 | 233  | Hydreigon          |  0.00000% | 25     |  1.969% | 12     |  2.263% | 
 | 234  | Breloom            |  0.00000% | 22     |  1.732% | 8      |  1.508% | 
 | 235  | Sceptile           |  0.00000% | 12     |  0.945% | 4      |  0.754% | 
 | 236  | Altaria-Mega       |  0.00000% | 13     |  1.024% | 4      |  0.754% | 
 | 237  | Chansey            |  0.00000% | 14     |  1.102% | 3      |  0.566% | 
 | 238  | Mimikyu-Totem      |  0.00000% | 5      |  0.394% | 3      |  0.566% | 
 | 239  | Fletchinder        |  0.00000% | 7      |  0.551% | 5      |  0.943% | 
 | 240  | Froakie            |  0.00000% | 6      |  0.472% | 5      |  0.943% | 
 | 241  | Noibat             |  0.00000% | 5      |  0.394% | 3      |  0.566% | 
 | 242  | Glalie             |  0.00000% | 13     |  1.024% | 6      |  1.131% | 
 | 243  | Goomy              |  0.00000% | 4      |  0.315% | 2      |  0.377% | 
 | 244  | Necrozma-Dawn-Wings |  0.00000% | 18     |  1.417% | 13     |  2.451% | 
 | 245  | Phanpy             |  0.00000% | 1      |  0.079% | 0      |  0.000% | 
 | 246  | Swellow            |  0.00000% | 3      |  0.236% | 3      |  0.566% | 
 | 247  | Unfezant           |  0.00000% | 6      |  0.472% | 1      |  0.189% | 
 | 248  | Weavile            |  0.00000% | 14     |  1.102% | 6      |  1.131% | 
 | 249  | Arcanine           |  0.00000% | 22     |  1.732% | 4      |  0.754% | 
 | 250  | Darmanitan         |  0.00000% | 11     |  0.866% | 3      |  0.566% | 
 | 251  | Drampa             |  0.00000% | 4      |  0.315% | 1      |  0.189% | 
 | 252  | Wishiwashi         |  0.00000% | 5      |  0.394% | 3      |  0.566% | 
 | 253  | Clawitzer          |  0.00000% | 8      |  0.630% | 4      |  0.754% | 
 | 254  | Dugtrio-Alola      |  0.00000% | 2      |  0.157% | 0      |  0.000% | 
 | 255  | Glalie-Mega        |  0.00000% | 7      |  0.551% | 3      |  0.566% | 
 | 256  | Kingler            |  0.00000% | 2      |  0.157% | 1      |  0.189% | 
 | 257  | Muk                |  0.00000% | 1      |  0.079% | 0      |  0.000% | 
 | 258  | Palpitoad          |  0.00000% | 1      |  0.079% | 1      |  0.189% | 
 | 259  | Tauros             |  0.00000% | 3      |  0.236% | 2      |  0.377% | 
 | 260  | Espeon             |  0.00000% | 14     |  1.102% | 7      |  1.320% | 
 | 261  | Jolteon            |  0.00000% | 15     |  1.181% | 8      |  1.508% | 
 | 262  | Sylveon            |  0.00000% | 12     |  0.945% | 8      |  1.508% | 
 | 263  | Vaporeon           |  0.00000% | 12     |  0.945% | 4      |  0.754% | 
 | 264  | Abra               |  0.00000% | 1      |  0.079% | 0      |  0.000% | 
 | 265  | Absol              |  0.00000% | 12     |  0.945% | 4      |  0.754% | 
 | 266  | Absol-Mega         |  0.00000% | 23     |  1.811% | 8      |  1.508% | 
 | 267  | Aerodactyl         |  0.00000% | 4      |  0.315% | 2      |  0.377% | 
 | 268  | Aggron             |  0.00000% | 7      |  0.551% | 3      |  0.566% | 
 | 269  | Aipom              |  0.00000% | 1      |  0.079% | 1      |  0.189% | 
 | 270  | Alakazam           |  0.00000% | 8      |  0.630% | 2      |  0.377% | 
 | 271  | Altaria            |  0.00000% | 4      |  0.315% | 2      |  0.377% | 
 | 272  | Ambipom            |  0.00000% | 13     |  1.024% | 4      |  0.754% | 
