 Total battles: 20818
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         |  6.88587% | 2867   |  6.886% | 1123   |  6.219% | 
 | 2    | Kartana            |  6.75617% | 2813   |  6.756% | 1654   |  9.160% | 
 | 3    | Hydreigon          |  6.57844% | 2739   |  6.578% | 1159   |  6.419% | 
 | 4    | Magnezone          |  6.54001% | 2723   |  6.540% | 1068   |  5.915% | 
 | 5    | Tapu Bulu          |  6.48477% | 2700   |  6.485% | 1186   |  6.568% | 
 | 6    | Garchomp           |  6.28543% | 2617   |  6.285% | 1231   |  6.818% | 
 | 7    | Gliscor            |  6.20136% | 2582   |  6.201% | 1102   |  6.103% | 
 | 8    | Stakataka          |  6.14853% | 2560   |  6.149% | 1056   |  5.848% | 
 | 9    | Bronzong           |  6.12931% | 2552   |  6.129% | 620    |  3.434% | 
 | 10   | Heatran            |  6.09809% | 2539   |  6.098% | 1016   |  5.627% | 
 | 11   | Clefable           |  6.08848% | 2535   |  6.088% | 906    |  5.018% | 
 | 12   | Landorus-Therian   |  6.07887% | 2531   |  6.079% | 1471   |  8.147% | 
 | 13   | Breloom            |  6.06687% | 2526   |  6.067% | 1187   |  6.574% | 
 | 14   | Tapu Koko          |  6.06446% | 2525   |  6.064% | 1476   |  8.174% | 
 | 15   | Umbreon            |  6.04525% | 2517   |  6.045% | 723    |  4.004% | 
 | 16   | Zapdos             |  6.01643% | 2505   |  6.016% | 1083   |  5.998% | 
 | 17   | Aegislash          |  5.99962% | 2498   |  6.000% | 1256   |  6.956% | 
 | 18   | Latios             |  5.96359% | 2483   |  5.964% | 1009   |  5.588% | 
 | 19   | Muk-Alola          |  5.95638% | 2480   |  5.956% | 986    |  5.461% | 
 | 20   | Amoonguss          |  5.94918% | 2477   |  5.949% | 802    |  4.442% | 
 | 21   | Rhyperior          |  5.93237% | 2470   |  5.932% | 1022   |  5.660% | 
 | 22   | Raikou             |  5.89154% | 2453   |  5.892% | 987    |  5.466% | 
 | 23   | Cresselia          |  5.88913% | 2452   |  5.889% | 745    |  4.126% | 
 | 24   | Dragonite          |  5.85311% | 2437   |  5.853% | 1312   |  7.266% | 
 | 25   | Naganadel          |  5.84110% | 2432   |  5.841% | 1559   |  8.634% | 
 | 26   | Xurkitree          |  5.83870% | 2431   |  5.839% | 1276   |  7.067% | 
 | 27   | Quagsire           |  5.83630% | 2430   |  5.836% | 761    |  4.215% | 
 | 28   | Kingdra            |  5.82669% | 2426   |  5.827% | 735    |  4.071% | 
 | 29   | Greninja           |  5.82188% | 2424   |  5.822% | 1283   |  7.106% | 
 | 30   | Excadrill          |  5.81468% | 2421   |  5.815% | 1104   |  6.114% | 
 | 31   | Buzzwole           |  5.79306% | 2412   |  5.793% | 1116   |  6.181% | 
 | 32   | Celesteela         |  5.75944% | 2398   |  5.759% | 1181   |  6.541% | 
 | 33   | Volcarona          |  5.75944% | 2398   |  5.759% | 1220   |  6.757% | 
 | 34   | Conkeldurr         |  5.75704% | 2397   |  5.757% | 1033   |  5.721% | 
 | 35   | Azumarill          |  5.74263% | 2391   |  5.743% | 1071   |  5.931% | 
 | 36   | Tapu Fini          |  5.70420% | 2375   |  5.704% | 1100   |  6.092% | 
 | 37   | Skarmory           |  5.67538% | 2363   |  5.675% | 697    |  3.860% | 
 | 38   | Nidoking           |  5.67298% | 2362   |  5.673% | 1279   |  7.083% | 
 | 39   | Mimikyu            |  5.67057% | 2361   |  5.671% | 1366   |  7.565% | 
 | 40   | Milotic            |  5.66097% | 2357   |  5.661% | 789    |  4.370% | 
 | 41   | Golisopod          |  5.64896% | 2352   |  5.649% | 846    |  4.685% | 
 | 42   | Reuniclus          |  5.64896% | 2352   |  5.649% | 597    |  3.306% | 
 | 43   | Pheromosa          |  5.63455% | 2346   |  5.635% | 1421   |  7.870% | 
 | 44   | Pyukumuku          |  5.61533% | 2338   |  5.615% | 500    |  2.769% | 
 | 45   | Primarina          |  5.60573% | 2334   |  5.606% | 1075   |  5.954% | 
 | 46   | Araquanid          |  5.60332% | 2333   |  5.603% | 903    |  5.001% | 
 | 47   | Espeon             |  5.58891% | 2327   |  5.589% | 658    |  3.644% | 
 | 48   | Tapu Lele          |  5.55289% | 2312   |  5.553% | 1246   |  6.901% | 
 | 49   | Suicune            |  5.51926% | 2298   |  5.519% | 823    |  4.558% | 
 | 50   | Togekiss           |  5.37035% | 2236   |  5.370% | 916    |  5.073% | 
 | 51   | Entei              |  5.36795% | 2235   |  5.368% | 843    |  4.669% | 
 | 52   | Weavile            |  5.36075% | 2232   |  5.361% | 1071   |  5.931% | 
 | 53   | Arcanine           |  5.34633% | 2226   |  5.346% | 909    |  5.034% | 
 | 54   | Toxapex            |  5.31992% | 2215   |  5.320% | 758    |  4.198% | 
 | 55   | Nihilego           |  5.31751% | 2214   |  5.318% | 971    |  5.378% | 
 | 56   | Hippowdon          |  5.26948% | 2194   |  5.269% | 662    |  3.666% | 
 | 57   | Steelix-Mega       |  5.26227% | 2191   |  5.262% | 713    |  3.949% | 
 | 58   | Mawile-Mega        |  5.25987% | 2190   |  5.260% | 1016   |  5.627% | 
 | 59   | Terrakion          |  5.19262% | 2162   |  5.193% | 1049   |  5.810% | 
 | 60   | Cloyster           |  5.16380% | 2150   |  5.164% | 1151   |  6.375% | 
 | 61   | Jellicent          |  5.15419% | 2146   |  5.154% | 575    |  3.185% | 
 | 62   | Mamoswine          |  5.12537% | 2134   |  5.125% | 951    |  5.267% | 
 | 63   | Venusaur-Mega      |  5.12537% | 2134   |  5.125% | 990    |  5.483% | 
 | 64   | Ditto              |  5.10856% | 2127   |  5.109% | 863    |  4.780% | 
 | 65   | Porygon2           |  5.09415% | 2121   |  5.094% | 887    |  4.912% | 
 | 66   | Slurpuff           |  5.07494% | 2113   |  5.075% | 850    |  4.708% | 
 | 67   | Blissey            |  5.06533% | 2109   |  5.065% | 576    |  3.190% | 
 | 68   | Politoed           |  5.04611% | 2101   |  5.046% | 585    |  3.240% | 
 | 69   | Snorlax            |  5.03411% | 2096   |  5.034% | 791    |  4.381% | 
 | 70   | Manectric-Mega     |  5.03170% | 2095   |  5.032% | 1178   |  6.524% | 
 | 71   | Pelipper           |  5.01969% | 2090   |  5.020% | 715    |  3.960% | 
 | 72   | Porygon-Z          |  5.00048% | 2082   |  5.000% | 1050   |  5.815% | 
 | 73   | Chansey            |  4.95725% | 2064   |  4.957% | 635    |  3.517% | 
 | 74   | Chandelure         |  4.89480% | 2038   |  4.895% | 890    |  4.929% | 
 | 75   | Blacephalon        |  4.87078% | 2028   |  4.871% | 1033   |  5.721% | 
 | 76   | Pinsir-Mega        |  4.84917% | 2019   |  4.849% | 924    |  5.117% | 
 | 77   | Altaria-Mega       |  4.82755% | 2010   |  4.828% | 864    |  4.785% | 
 | 78   | Blastoise-Mega     |  4.80834% | 2002   |  4.808% | 949    |  5.256% | 
 | 79   | Marowak-Alola      |  4.78912% | 1994   |  4.789% | 824    |  4.564% | 
 | 80   | Pidgeot-Mega       |  4.77712% | 1989   |  4.777% | 952    |  5.272% | 
 | 81   | Beedrill-Mega      |  4.74349% | 1975   |  4.743% | 1042   |  5.771% | 
 | 82   | Alakazam-Mega      |  4.69546% | 1955   |  4.695% | 815    |  4.514% | 
 | 83   | Metagross-Mega     |  4.69305% | 1954   |  4.693% | 1196   |  6.624% | 
 | 84   | Gardevoir-Mega     |  4.66663% | 1943   |  4.667% | 935    |  5.178% | 
 | 85   | Medicham-Mega      |  4.58738% | 1910   |  4.587% | 1083   |  5.998% | 
 | 86   | Mandibuzz          |  4.52013% | 1882   |  4.520% | 421    |  2.332% | 
 | 87   | Lapras             |  4.49851% | 1873   |  4.499% | 684    |  3.788% | 
 | 88   | Shuckle            |  4.49851% | 1873   |  4.499% | 675    |  3.738% | 
 | 89   | Lopunny-Mega       |  4.37842% | 1823   |  4.378% | 1090   |  6.037% | 
 | 90   | Kangaskhan-Mega    |  4.37122% | 1820   |  4.371% | 1021   |  5.655% | 
 | 91   | Blaziken           |  4.23432% | 1763   |  4.234% | 996    |  5.516% | 
 | 92   | Gigalith           |  4.21030% | 1753   |  4.210% | 500    |  2.769% | 
 | 93   | Gyarados           |  4.19829% | 1748   |  4.198% | 875    |  4.846% | 
 | 94   | Salamence-Mega     |  4.15025% | 1728   |  4.150% | 990    |  5.483% | 
 | 95   | Lucario-Mega       |  4.08541% | 1701   |  4.085% | 957    |  5.300% | 
 | 96   | Tyranitar          |  4.04938% | 1686   |  4.049% | 714    |  3.954% | 
 | 97   | Rotom-Heat         |  3.84523% | 1601   |  3.845% | 658    |  3.644% | 
 | 98   | Ninetales-Alola    |  3.60505% | 1501   |  3.605% | 759    |  4.204% | 
 | 99   | Latias             |  3.55702% | 1481   |  3.557% | 403    |  2.232% | 
 | 100  | Gengar-Mega        |  3.54501% | 1476   |  3.545% | 736    |  4.076% | 
 | 101  | Heracross-Mega     |  3.48016% | 1449   |  3.480% | 672    |  3.722% | 
 | 102  | Glalie             |  3.40571% | 1418   |  3.406% | 501    |  2.775% | 
 | 103  | Swampert-Mega      |  3.26640% | 1360   |  3.266% | 751    |  4.159% | 
 | 104  | Thundurus          |  3.22077% | 1341   |  3.221% | 629    |  3.484% | 
 | 105  | Kommo-o-Totem      |  3.15112% | 1312   |  3.151% | 868    |  4.807% | 
 | 106  | Scizor             |  3.05985% | 1274   |  3.060% | 519    |  2.874% | 
 | 107  | Kommo-o            |  2.96858% | 1236   |  2.969% | 585    |  3.240% | 
 | 108  | Charizard-Mega-X   |  2.94697% | 1227   |  2.947% | 631    |  3.495% | 
 | 109  | Scizor-Mega        |  2.75483% | 1147   |  2.755% | 560    |  3.101% | 
 | 110  | Sharpedo-Mega      |  2.70919% | 1128   |  2.709% | 540    |  2.991% | 
 | 111  | Slowbro            |  2.51225% | 1046   |  2.512% | 391    |  2.165% | 
 | 112  | Thundurus-Therian  |  2.49063% | 1037   |  2.491% | 566    |  3.135% | 
 | 113  | Slowbro-Mega       |  2.47142% | 1029   |  2.471% | 372    |  2.060% | 
 | 114  | Swampert           |  2.45461% | 1022   |  2.455% | 339    |  1.877% | 
 | 115  | Rotom-Wash         |  2.40177% | 1000   |  2.402% | 487    |  2.697% | 
 | 116  | Sharpedo           |  2.23605% | 931    |  2.236% | 464    |  2.570% | 
 | 117  | Charizard-Mega-Y   |  2.04871% | 853    |  2.049% | 511    |  2.830% | 
 | 118  | Latias-Mega        |  1.87338% | 780    |  1.873% | 302    |  1.673% | 
 | 119  | Heracross          |  1.72447% | 718    |  1.724% | 363    |  2.010% | 
