 Total battles: 44
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mew                | 25.00000% | 22     | 25.000% | 18     | 29.032% | 
 | 2    | Dragonite          | 19.31818% | 17     | 19.318% | 12     | 19.355% | 
 | 3    | Ferrothorn         | 14.77273% | 13     | 14.773% | 13     | 20.968% | 
 | 4    | Gliscor            | 14.77273% | 13     | 14.773% | 13     | 20.968% | 
 | 5    | Tapu Lele          | 13.63636% | 12     | 13.636% | 7      | 11.290% | 
 | 6    | Beedrill-Mega      | 12.50000% | 11     | 12.500% | 9      | 14.516% | 
 | 7    | Latios             | 12.50000% | 11     | 12.500% | 7      | 11.290% | 
 | 8    | Chansey            | 10.22727% | 9      | 10.227% | 8      | 12.903% | 
 | 9    | Clefable           | 10.22727% | 9      | 10.227% | 5      |  8.065% | 
 | 10   | Kartana            | 10.22727% | 9      | 10.227% | 8      | 12.903% | 
 | 11   | Kyurem-Black       | 10.22727% | 9      | 10.227% | 4      |  6.452% | 
 | 12   | Porygon-Z          | 10.22727% | 9      | 10.227% | 6      |  9.677% | 
 | 13   | Slowking           | 10.22727% | 9      | 10.227% | 6      |  9.677% | 
 | 14   | Volcanion          | 10.22727% | 9      | 10.227% | 7      | 11.290% | 
 | 15   | Volcarona          | 10.22727% | 9      | 10.227% | 6      |  9.677% | 
 | 16   | Buzzwole           |  9.09091% | 8      |  9.091% | 5      |  8.065% | 
 | 17   | Hydreigon          |  9.09091% | 8      |  9.091% | 7      | 11.290% | 
 | 18   | Blacephalon        |  7.95455% | 7      |  7.955% | 3      |  4.839% | 
 | 19   | Metagross          |  7.95455% | 7      |  7.955% | 6      |  9.677% | 
 | 20   | Thundurus          |  7.95455% | 7      |  7.955% | 3      |  4.839% | 
 | 21   | Tornadus-Therian   |  7.95455% | 7      |  7.955% | 6      |  9.677% | 
 | 22   | Avalugg            |  6.81818% | 6      |  6.818% | 4      |  6.452% | 
 | 23   | Ditto              |  6.81818% | 6      |  6.818% | 5      |  8.065% | 
 | 24   | Haxorus            |  6.81818% | 6      |  6.818% | 5      |  8.065% | 
 | 25   | Landorus-Therian   |  6.81818% | 6      |  6.818% | 4      |  6.452% | 
 | 26   | Tentacruel         |  6.81818% | 6      |  6.818% | 3      |  4.839% | 
 | 27   | Zygarde            |  6.81818% | 6      |  6.818% | 2      |  3.226% | 
 | 28   | Articuno           |  5.68182% | 5      |  5.682% | 4      |  6.452% | 
 | 29   | Cresselia          |  5.68182% | 5      |  5.682% | 4      |  6.452% | 
 | 30   | Dhelmise           |  5.68182% | 5      |  5.682% | 3      |  4.839% | 
 | 31   | Diancie-Mega       |  5.68182% | 5      |  5.682% | 3      |  4.839% | 
 | 32   | Diggersby          |  5.68182% | 5      |  5.682% | 3      |  4.839% | 
 | 33   | Kyurem             |  5.68182% | 5      |  5.682% | 2      |  3.226% | 
 | 34   | Lycanroc-Dusk      |  5.68182% | 5      |  5.682% | 2      |  3.226% | 
 | 35   | Mawile-Mega        |  5.68182% | 5      |  5.682% | 4      |  6.452% | 
 | 36   | Sableye-Mega       |  5.68182% | 5      |  5.682% | 5      |  8.065% | 
 | 37   | Slowbro-Mega       |  5.68182% | 5      |  5.682% | 4      |  6.452% | 
 | 38   | Tapu Bulu          |  5.68182% | 5      |  5.682% | 3      |  4.839% | 
 | 39   | Victini            |  5.68182% | 5      |  5.682% | 4      |  6.452% | 
 | 40   | Bisharp            |  4.54545% | 4      |  4.545% | 2      |  3.226% | 
 | 41   | Heatran            |  4.54545% | 4      |  4.545% | 3      |  4.839% | 
 | 42   | Kommo-o            |  4.54545% | 4      |  4.545% | 3      |  4.839% | 
 | 43   | Krabby             |  4.54545% | 4      |  4.545% | 3      |  4.839% | 
 | 44   | Latias-Mega        |  4.54545% | 4      |  4.545% | 3      |  4.839% | 
 | 45   | Lucario            |  4.54545% | 4      |  4.545% | 1      |  1.613% | 
 | 46   | Magearna           |  4.54545% | 4      |  4.545% | 2      |  3.226% | 
 | 47   | Pidgeot            |  4.54545% | 4      |  4.545% | 2      |  3.226% | 
