 Total battles: 4808
 Avg. weight/team: 0.652
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Crucibelle-Mega    | 36.39729% | 3656   | 38.020% | 2559   | 36.120% | 
 | 2    | Tomohawk           | 31.46570% | 2865   | 29.794% | 2268   | 32.013% | 
 | 3    | Cawmodore          | 25.43611% | 2418   | 25.146% | 1877   | 26.494% | 
 | 4    | Colossoil          | 24.87602% | 2310   | 24.022% | 1751   | 24.715% | 
 | 5    | Syclant            | 24.54473% | 2280   | 23.710% | 1625   | 22.937% | 
 | 6    | Pajantom           | 23.91272% | 2363   | 24.574% | 1640   | 23.149% | 
 | 7    | Aurumoth           | 22.18162% | 2248   | 23.378% | 1505   | 21.243% | 
 | 8    | Stratagem          | 18.96885% | 1705   | 17.731% | 1280   | 18.067% | 
 | 9    | Arghonaut          | 17.15777% | 1612   | 16.764% | 1243   | 17.545% | 
 | 10   | Plasmanta          | 16.88504% | 1622   | 16.868% | 1165   | 16.444% | 
 | 11   | Cyclohm            | 16.78318% | 1662   | 17.284% | 1240   | 17.503% | 
 | 12   | Kerfluffle         | 16.50187% | 1583   | 16.462% | 1156   | 16.317% | 
 | 13   | Volkraken          | 16.30076% | 1562   | 16.244% | 1119   | 15.795% | 
 | 14   | Kitsunoh           | 14.71610% | 1411   | 14.673% | 1045   | 14.750% | 
 | 15   | Malaconda          | 14.23195% | 1484   | 15.433% | 1054   | 14.877% | 
 | 16   | Naviathan          | 13.98998% | 1393   | 14.486% | 1017   | 14.355% | 
 | 17   | Revenankh          | 13.69962% | 1244   | 12.937% | 876    | 12.365% | 
 | 18   | Pyroak             | 13.68690% | 1331   | 13.842% | 1025   | 14.468% | 
 | 19   | Landorus-Therian   | 12.66520% | 986    | 10.254% | 848    | 11.970% | 
 | 20   | Mollux             | 11.63306% | 1099   | 11.429% | 811    | 11.447% | 
 | 21   | Necturna           | 11.57198% | 1173   | 12.198% | 847    | 11.955% | 
 | 22   | Krilowatt          |  9.25574% | 845    |  8.787% | 645    |  9.104% | 
 | 23   | Fidgit             |  8.56734% | 877    |  9.120% | 766    | 10.812% | 
 | 24   | Voodoom            |  7.88490% | 843    |  8.767% | 586    |  8.271% | 
 | 25   | Tapu Koko          |  6.48893% | 512    |  5.324% | 414    |  5.844% | 
 | 26   | Greninja-Ash       |  6.47704% | 567    |  5.896% | 413    |  5.829% | 
 | 27   | Ferrothorn         |  6.20115% | 555    |  5.772% | 443    |  6.253% | 
 | 28   | Magearna           |  4.35414% | 329    |  3.421% | 274    |  3.868% | 
 | 29   | Zygarde            |  4.06911% | 303    |  3.151% | 236    |  3.331% | 
 | 30   | Heatran            |  3.91022% | 300    |  3.120% | 244    |  3.444% | 
 | 31   | Kartana            |  3.86555% | 291    |  3.026% | 207    |  2.922% | 
 | 32   | Tapu Lele          |  3.66472% | 264    |  2.745% | 191    |  2.696% | 
 | 33   | Chansey            |  3.63532% | 279    |  2.901% | 215    |  3.035% | 
 | 34   | Scizor-Mega        |  3.61511% | 274    |  2.849% | 212    |  2.992% | 
 | 35   | Celesteela         |  3.43297% | 291    |  3.026% | 211    |  2.978% | 
 | 36   | Charizard-Mega-X   |  3.37088% | 336    |  3.494% | 241    |  3.402% | 
 | 37   | Tapu Bulu          |  3.36746% | 253    |  2.631% | 188    |  2.654% | 
 | 38   | Toxapex            |  3.18681% | 263    |  2.735% | 213    |  3.006% | 
 | 39   | Zapdos             |  3.05014% | 258    |  2.683% | 187    |  2.640% | 
 | 40   | Rotom-Wash         |  2.63937% | 260    |  2.704% | 203    |  2.865% | 
 | 41   | Excadrill          |  2.63629% | 231    |  2.402% | 184    |  2.597% | 
 | 42   | Blacephalon        |  2.59053% | 200    |  2.080% | 140    |  1.976% | 
 | 43   | Charizard-Mega-Y   |  2.45462% | 211    |  2.194% | 162    |  2.287% | 
 | 44   | Garchomp           |  2.40165% | 238    |  2.475% | 171    |  2.414% | 
 | 45   | Swampert-Mega      |  2.28755% | 183    |  1.903% | 158    |  2.230% | 
 | 46   | Pelipper           |  2.21085% | 173    |  1.799% | 159    |  2.244% | 
 | 47   | Skarmory           |  2.15153% | 171    |  1.778% | 151    |  2.131% | 
 | 48   | Greninja           |  1.96876% | 183    |  1.903% | 144    |  2.033% | 
 | 49   | Venusaur-Mega      |  1.90758% | 169    |  1.757% | 122    |  1.722% | 
 | 50   | Tyranitar          |  1.67789% | 134    |  1.394% | 117    |  1.651% | 
 | 51   | Gyarados-Mega      |  1.64935% | 155    |  1.612% | 108    |  1.524% | 
 | 52   | Talonflame         |  1.64816% | 143    |  1.487% | 110    |  1.553% | 
 | 53   | Medicham-Mega      |  1.62035% | 114    |  1.186% | 95     |  1.341% | 
 | 54   | Pinsir-Mega        |  1.58982% | 126    |  1.310% | 78     |  1.101% | 
 | 55   | Magnezone          |  1.55455% | 127    |  1.321% | 94     |  1.327% | 
 | 56   | Hawlucha           |  1.52082% | 132    |  1.373% | 82     |  1.157% | 
 | 57   | Kyurem-Black       |  1.45616% | 137    |  1.425% | 84     |  1.186% | 
 | 58   | Victini            |  1.37590% | 109    |  1.134% | 84     |  1.186% | 
 | 59   | Sableye-Mega       |  1.35611% | 109    |  1.134% | 96     |  1.355% | 
 | 60   | Lopunny-Mega       |  1.31834% | 134    |  1.394% | 97     |  1.369% | 
 | 61   | Volcarona          |  1.31483% | 126    |  1.310% | 76     |  1.073% | 
