 Total battles: 84835
 Avg. weight/team: 0.717
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Entei              |  0.81919% | 1438   |  0.793% | 405    |  1.432% | 
 | 2    | Togepi             |  0.81162% | 1456   |  0.803% | 90     |  0.318% | 
 | 3    | Buneary            |  0.80849% | 1447   |  0.798% | 85     |  0.301% | 
 | 4    | Flabebe            |  0.80639% | 1454   |  0.802% | 66     |  0.233% | 
 | 5    | Aggron             |  0.80440% | 1426   |  0.787% | 424    |  1.499% | 
 | 6    | Lotad              |  0.80419% | 1442   |  0.796% | 92     |  0.325% | 
 | 7    | Corsola            |  0.80280% | 1435   |  0.792% | 138    |  0.488% | 
 | 8    | Bounsweet          |  0.80112% | 1450   |  0.800% | 47     |  0.166% | 
 | 9    | Haunter            |  0.80084% | 1441   |  0.795% | 240    |  0.849% | 
 | 10   | Teddiursa          |  0.79808% | 1412   |  0.779% | 155    |  0.548% | 
 | 11   | Accelgor           |  0.79779% | 1443   |  0.796% | 215    |  0.760% | 
 | 12   | Hakamo-o           |  0.79761% | 1419   |  0.783% | 315    |  1.114% | 
 | 13   | Honedge            |  0.79747% | 1428   |  0.788% | 177    |  0.626% | 
 | 14   | Swanna             |  0.79588% | 1438   |  0.793% | 312    |  1.103% | 
 | 15   | Virizion           |  0.79509% | 1413   |  0.780% | 324    |  1.146% | 
 | 16   | Magearna           |  0.79506% | 1454   |  0.802% | 451    |  1.595% | 
 | 17   | Poliwrath          |  0.79351% | 1437   |  0.793% | 352    |  1.245% | 
 | 18   | Jellicent          |  0.79305% | 1417   |  0.782% | 340    |  1.202% | 
 | 19   | Stunfisk           |  0.79249% | 1418   |  0.782% | 218    |  0.771% | 
 | 20   | Altaria            |  0.79182% | 1445   |  0.797% | 267    |  0.944% | 
 | 21   | Steelix            |  0.79091% | 1430   |  0.789% | 349    |  1.234% | 
 | 22   | Octillery          |  0.78985% | 1420   |  0.783% | 341    |  1.206% | 
 | 23   | Bunnelby           |  0.78933% | 1441   |  0.795% | 111    |  0.393% | 
 | 24   | Phione             |  0.78924% | 1426   |  0.787% | 209    |  0.739% | 
 | 25   | Spheal             |  0.78882% | 1419   |  0.783% | 152    |  0.538% | 
 | 26   | Heatran            |  0.78822% | 1403   |  0.774% | 447    |  1.581% | 
 | 27   | Pupitar            |  0.78788% | 1396   |  0.770% | 128    |  0.453% | 
 | 28   | Voltorb            |  0.78750% | 1407   |  0.776% | 86     |  0.304% | 
 | 29   | Electrode          |  0.78720% | 1420   |  0.783% | 182    |  0.644% | 
 | 30   | Lilligant          |  0.78668% | 1416   |  0.781% | 160    |  0.566% | 
 | 31   | Pineco             |  0.78579% | 1433   |  0.791% | 52     |  0.184% | 
 | 32   | Tyrogue            |  0.78569% | 1416   |  0.781% | 90     |  0.318% | 
 | 33   | Zorua              |  0.78535% | 1375   |  0.759% | 100    |  0.354% | 
 | 34   | Silvally           |  0.78380% | 1402   |  0.773% | 382    |  1.351% | 
 | 35   | Spearow            |  0.78359% | 1405   |  0.775% | 58     |  0.205% | 
 | 36   | Scyther            |  0.78333% | 1429   |  0.788% | 178    |  0.629% | 
 | 37   | Furfrou            |  0.78328% | 1402   |  0.773% | 196    |  0.693% | 
 | 38   | Onix               |  0.78284% | 1403   |  0.774% | 138    |  0.488% | 
 | 39   | Victreebel         |  0.78249% | 1380   |  0.761% | 221    |  0.782% | 
 | 40   | Manectric          |  0.78207% | 1401   |  0.773% | 267    |  0.944% | 
