 Total battles: 144543
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 11.63391% | 33632  | 11.634% | 0      |  0.000% | 
 | 2    | Tapu Koko          | 10.51867% | 30408  | 10.519% | 0      |  0.000% | 
 | 3    | Charizard-Mega-Y   |  8.95581% | 25890  |  8.956% | 0      |  0.000% | 
 | 4    | Arcanine           |  7.36736% | 21298  |  7.367% | 0      |  0.000% | 
 | 5    | Garchomp           |  7.32031% | 21162  |  7.320% | 0      |  0.000% | 
 | 6    | Tapu Fini          |  7.19094% | 20788  |  7.191% | 0      |  0.000% | 
 | 7    | Tapu Lele          |  7.03528% | 20338  |  7.035% | 0      |  0.000% | 
 | 8    | Snorlax            |  6.72360% | 19437  |  6.724% | 0      |  0.000% | 
 | 9    | Pelipper           |  6.48250% | 18740  |  6.483% | 0      |  0.000% | 
 | 10   | Celesteela         |  6.32199% | 18276  |  6.322% | 0      |  0.000% | 
 | 11   | Zapdos             |  6.28256% | 18162  |  6.283% | 0      |  0.000% | 
 | 12   | Ferrothorn         |  5.99060% | 17318  |  5.991% | 0      |  0.000% | 
 | 13   | Tyranitar          |  5.98576% | 17304  |  5.986% | 0      |  0.000% | 
 | 14   | Whimsicott         |  5.70488% | 16492  |  5.705% | 0      |  0.000% | 
 | 15   | Aegislash          |  5.69519% | 16464  |  5.695% | 0      |  0.000% | 
 | 16   | Amoonguss          |  5.48072% | 15844  |  5.481% | 0      |  0.000% | 
 | 17   | Mimikyu            |  5.36726% | 15516  |  5.367% | 0      |  0.000% | 
 | 18   | Volcarona          |  5.34408% | 15449  |  5.344% | 0      |  0.000% | 
 | 19   | Oranguru           |  5.29012% | 15293  |  5.290% | 0      |  0.000% | 
 | 20   | Heatran            |  5.17286% | 14954  |  5.173% | 0      |  0.000% | 
 | 21   | Ninetales-Alola    |  5.13723% | 14851  |  5.137% | 0      |  0.000% | 
 | 22   | Kartana            |  5.12823% | 14825  |  5.128% | 0      |  0.000% | 
 | 23   | Swampert-Mega      |  5.11855% | 14797  |  5.119% | 0      |  0.000% | 
 | 24   | Cresselia          |  4.89301% | 14145  |  4.893% | 0      |  0.000% | 
 | 25   | Metagross-Mega     |  4.80238% | 13883  |  4.802% | 0      |  0.000% | 
 | 26   | Togekiss           |  4.72039% | 13646  |  4.720% | 0      |  0.000% | 
 | 27   | Tapu Bulu          |  4.64741% | 13435  |  4.647% | 0      |  0.000% | 
 | 28   | Marowak-Alola      |  4.23715% | 12249  |  4.237% | 0      |  0.000% | 
 | 29   | Gastrodon          |  4.04689% | 11699  |  4.047% | 0      |  0.000% | 
 | 30   | Stakataka          |  3.94416% | 11402  |  3.944% | 0      |  0.000% | 
 | 31   | Scrafty            |  3.88500% | 11231  |  3.885% | 0      |  0.000% | 
 | 32   | Greninja           |  3.72484% | 10768  |  3.725% | 0      |  0.000% | 
 | 33   | Excadrill          |  3.72242% | 10761  |  3.722% | 0      |  0.000% | 
 | 34   | Sceptile-Mega      |  3.59893% | 10404  |  3.599% | 0      |  0.000% | 
 | 35   | Volcanion          |  3.58336% | 10359  |  3.583% | 0      |  0.000% | 
 | 36   | Greninja-Ash       |  3.54531% | 10249  |  3.545% | 0      |  0.000% | 
 | 37   | Weavile            |  3.51660% | 10166  |  3.517% | 0      |  0.000% | 
 | 38   | Porygon2           |  3.47267% | 10039  |  3.473% | 0      |  0.000% | 
 | 39   | Politoed           |  3.46333% | 10012  |  3.463% | 0      |  0.000% | 
 | 40   | Milotic            |  3.44707% | 9965   |  3.447% | 0      |  0.000% | 
 | 41   | Clefable           |  3.25751% | 9417   |  3.258% | 0      |  0.000% | 
 | 42   | Venusaur-Mega      |  3.21807% | 9303   |  3.218% | 0      |  0.000% | 
 | 43   | Kommo-o            |  3.20527% | 9266   |  3.205% | 0      |  0.000% | 
 | 44   | Shedinja           |  3.20354% | 9261   |  3.204% | 0      |  0.000% | 
 | 45   | Mew                |  3.13817% | 9072   |  3.138% | 0      |  0.000% | 
 | 46   | Torkoal            |  3.12813% | 9043   |  3.128% | 0      |  0.000% | 
 | 47   | Salamence-Mega     |  3.11015% | 8991   |  3.110% | 0      |  0.000% | 
 | 48   | Bronzong           |  3.03543% | 8775   |  3.035% | 0      |  0.000% | 
 | 49   | Camerupt-Mega      |  2.97005% | 8586   |  2.970% | 0      |  0.000% | 
 | 50   | Kingdra            |  2.95794% | 8551   |  2.958% | 0      |  0.000% | 
 | 51   | Muk-Alola          |  2.95483% | 8542   |  2.955% | 0      |  0.000% | 
 | 52   | Gengar-Mega        |  2.94999% | 8528   |  2.950% | 0      |  0.000% | 
 | 53   | Hoopa-Unbound      |  2.86109% | 8271   |  2.861% | 0      |  0.000% | 
 | 54   | Tyranitar-Mega     |  2.85936% | 8266   |  2.859% | 0      |  0.000% | 
 | 55   | Dragonite          |  2.79225% | 8072   |  2.792% | 0      |  0.000% | 
 | 56   | Zygarde            |  2.77011% | 8008   |  2.770% | 0      |  0.000% | 
 | 57   | Jolteon            |  2.67394% | 7730   |  2.674% | 0      |  0.000% | 
 | 58   | Smeargle           |  2.60407% | 7528   |  2.604% | 0      |  0.000% | 
 | 59   | Serperior          |  2.59058% | 7489   |  2.591% | 0      |  0.000% | 
 | 60   | Kyurem-Black       |  2.58055% | 7460   |  2.581% | 0      |  0.000% | 
 | 61   | Diancie-Mega       |  2.47297% | 7149   |  2.473% | 0      |  0.000% | 
 | 62   | Toxapex            |  2.47262% | 7148   |  2.473% | 0      |  0.000% | 
 | 63   | Shuckle            |  2.41208% | 6973   |  2.412% | 0      |  0.000% | 
 | 64   | Rotom-Wash         |  2.38234% | 6887   |  2.382% | 0      |  0.000% | 
 | 65   | Naganadel          |  2.36366% | 6833   |  2.364% | 0      |  0.000% | 
 | 66   | Victini            |  2.34532% | 6780   |  2.345% | 0      |  0.000% | 
 | 67   | Gyarados           |  2.32803% | 6730   |  2.328% | 0      |  0.000% | 
 | 68   | Gardevoir-Mega     |  2.31661% | 6697   |  2.317% | 0      |  0.000% | 
 | 69   | Blacephalon        |  2.28825% | 6615   |  2.288% | 0      |  0.000% | 
 | 70   | Deoxys-Attack      |  2.27994% | 6591   |  2.280% | 0      |  0.000% | 
 | 71   | Ludicolo           |  2.24259% | 6483   |  2.243% | 0      |  0.000% | 
 | 72   | Mawile-Mega        |  2.23705% | 6467   |  2.237% | 0      |  0.000% | 
 | 73   | Staraptor          |  2.21560% | 6405   |  2.216% | 0      |  0.000% | 
 | 74   | Lopunny-Mega       |  2.19623% | 6349   |  2.196% | 0      |  0.000% | 
 | 75   | Xurkitree          |  2.19381% | 6342   |  2.194% | 0      |  0.000% | 
 | 76   | Venusaur           |  2.19277% | 6339   |  2.193% | 0      |  0.000% | 
 | 77   | Thundurus-Therian  |  2.16925% | 6271   |  2.169% | 0      |  0.000% | 
 | 78   | Chansey            |  2.15507% | 6230   |  2.155% | 0      |  0.000% | 
 | 79   | Metagross          |  2.14953% | 6214   |  2.150% | 0      |  0.000% | 
 | 80   | Gliscor            |  2.14815% | 6210   |  2.148% | 0      |  0.000% | 
 | 81   | Charizard-Mega-X   |  2.11563% | 6116   |  2.116% | 0      |  0.000% | 
 | 82   | Audino-Mega        |  2.10041% | 6072   |  2.100% | 0      |  0.000% | 
 | 83   | Ninetales          |  2.09488% | 6056   |  2.095% | 0      |  0.000% | 
 | 84   | Bisharp            |  2.02189% | 5845   |  2.022% | 0      |  0.000% | 
 | 85   | Azumarill          |  1.99214% | 5759   |  1.992% | 0      |  0.000% | 
 | 86   | Hawlucha           |  1.98315% | 5733   |  1.983% | 0      |  0.000% | 
 | 87   | Gyarados-Mega      |  1.97484% | 5709   |  1.975% | 0      |  0.000% | 
 | 88   | Comfey             |  1.93022% | 5580   |  1.930% | 0      |  0.000% | 
 | 89   | Breloom            |  1.91569% | 5538   |  1.916% | 0      |  0.000% | 
 | 90   | Sylveon            |  1.85204% | 5354   |  1.852% | 0      |  0.000% | 
 | 91   | Scizor-Mega        |  1.83821% | 5314   |  1.838% | 0      |  0.000% | 
 | 92   | Typhlosion         |  1.81365% | 5243   |  1.814% | 0      |  0.000% | 
 | 93   | Electivire         |  1.80846% | 5228   |  1.808% | 0      |  0.000% | 
 | 94   | Manectric-Mega     |  1.76660% | 5107   |  1.767% | 0      |  0.000% | 
 | 95   | Krookodile         |  1.76383% | 5099   |  1.764% | 0      |  0.000% | 
 | 96   | Conkeldurr         |  1.76141% | 5092   |  1.761% | 0      |  0.000% | 
 | 97   | Crobat             |  1.75657% | 5078   |  1.757% | 0      |  0.000% | 
 | 98   | Gengar             |  1.73374% | 5012   |  1.734% | 0      |  0.000% | 
 | 99   | Salazzle           |  1.72994% | 5001   |  1.730% | 0      |  0.000% | 
