 Total battles: 34643
 Avg. weight/team: 0.005
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 39.54609% | 10688  | 15.426% | 7029   | 17.484% | 
 | 2    | Snorlax            | 35.00394% | 7130   | 10.291% | 4280   | 10.646% | 
 | 3    | Tapu Fini          | 34.03512% | 7276   | 10.501% | 4658   | 11.586% | 
 | 4    | Tapu Koko          | 21.49519% | 8059   | 11.631% | 4807   | 11.957% | 
 | 5    | Hoopa-Unbound      | 20.94932% | 3633   |  5.243% | 2070   |  5.149% | 
 | 6    | Scrafty            | 20.69667% | 3324   |  4.798% | 2136   |  5.313% | 
 | 7    | Tapu Bulu          | 19.01109% | 4249   |  6.133% | 2425   |  6.032% | 
 | 8    | Metagross-Mega     | 16.75781% | 4735   |  6.834% | 2926   |  7.278% | 
 | 9    | Volcanion          | 16.33587% | 2871   |  4.144% | 1819   |  4.525% | 
 | 10   | Zygarde            | 16.23641% | 2800   |  4.041% | 1749   |  4.350% | 
 | 11   | Victini            | 14.75650% | 1834   |  2.647% | 1052   |  2.617% | 
 | 12   | Kyurem-Black       | 13.88645% | 2800   |  4.041% | 1771   |  4.405% | 
 | 13   | Mew                | 13.57269% | 2707   |  3.907% | 1707   |  4.246% | 
 | 14   | Tapu Lele          | 13.00548% | 5635   |  8.133% | 3296   |  8.198% | 
 | 15   | Zapdos             | 12.98670% | 5125   |  7.397% | 3139   |  7.808% | 
 | 16   | Manectric-Mega     | 12.07564% | 1856   |  2.679% | 1213   |  3.017% | 
 | 17   | Camerupt-Mega      | 11.22979% | 2831   |  4.086% | 1725   |  4.291% | 
 | 18   | Gothitelle         | 10.97852% | 1719   |  2.481% | 1003   |  2.495% | 
 | 19   | Stakataka          | 10.19317% | 3245   |  4.683% | 1917   |  4.768% | 
 | 20   | Amoonguss          |  9.59732% | 4043   |  5.835% | 2444   |  6.079% | 
 | 21   | Celesteela         |  9.54334% | 4829   |  6.970% | 2886   |  7.179% | 
 | 22   | Salamence-Mega     |  9.02528% | 2920   |  4.214% | 1834   |  4.562% | 
 | 23   | Bronzong           |  8.69211% | 2192   |  3.164% | 1319   |  3.281% | 
 | 24   | Genesect           |  8.25718% | 1658   |  2.393% | 1097   |  2.729% | 
 | 25   | Heatran            |  7.74945% | 3994   |  5.765% | 2423   |  6.027% | 
 | 26   | Charizard-Mega-Y   |  7.44826% | 6172   |  8.908% | 3389   |  8.430% | 
 | 27   | Gengar-Mega        |  7.10754% | 2461   |  3.552% | 1354   |  3.368% | 
 | 28   | Tyranitar          |  6.96503% | 4005   |  5.780% | 2441   |  6.072% | 
 | 29   | Aegislash          |  6.56459% | 4606   |  6.648% | 2665   |  6.629% | 
