 Total battles: 24434
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 32.31153% | 15790  | 32.312% | 8955   | 32.872% | 
 | 2    | Kyogre-Primal      | 26.40378% | 12903  | 26.404% | 7244   | 26.591% | 
 | 3    | Xerneas            | 21.74634% | 10627  | 21.746% | 5623   | 20.641% | 
 | 4    | Rayquaza-Mega      | 21.68290% | 10596  | 21.683% | 5757   | 21.133% | 
 | 5    | Arceus             | 10.97242% | 5362   | 10.972% | 2953   | 10.840% | 
 | 6    | Yveltal            |  9.86535% | 4821   |  9.865% | 2857   | 10.488% | 
 | 7    | Mewtwo-Mega-Y      |  9.74871% | 4764   |  9.749% | 2873   | 10.546% | 
 | 8    | Necrozma-Dusk-Mane |  9.66890% | 4725   |  9.669% | 2701   |  9.915% | 
 | 9    | Magearna           |  8.49840% | 4153   |  8.498% | 2448   |  8.986% | 
 | 10   | Marshadow          |  8.42269% | 4116   |  8.423% | 2315   |  8.498% | 
 | 11   | Lugia              |  8.13006% | 3973   |  8.130% | 1970   |  7.232% | 
 | 12   | Zygarde            |  6.26791% | 3063   |  6.268% | 1719   |  6.310% | 
 | 13   | Eevee              |  6.03462% | 2949   |  6.035% | 1707   |  6.266% | 
 | 14   | Lunala             |  5.72154% | 2796   |  5.722% | 1740   |  6.387% | 
 | 15   | Tapu Lele          |  5.72154% | 2796   |  5.722% | 1537   |  5.642% | 
 | 16   | Mew                |  5.59057% | 2732   |  5.591% | 1517   |  5.569% | 
 | 17   | Greninja-Ash       |  5.58443% | 2729   |  5.584% | 1686   |  6.189% | 
 | 18   | Kangaskhan-Mega    |  5.50872% | 2692   |  5.509% | 1445   |  5.304% | 
 | 19   | Dialga             |  5.41868% | 2648   |  5.419% | 1455   |  5.341% | 
 | 20   | Necrozma-Dawn-Wings |  5.14447% | 2514   |  5.144% | 1445   |  5.304% | 
 | 21   | Tapu Koko          |  4.78227% | 2337   |  4.782% | 1282   |  4.706% | 
 | 22   | Aegislash          |  4.72293% | 2308   |  4.723% | 1344   |  4.934% | 
 | 23   | Smeargle           |  4.65540% | 2275   |  4.655% | 1439   |  5.282% | 
 | 24   | Ho-Oh              |  4.43849% | 2169   |  4.438% | 1301   |  4.776% | 
 | 25   | Giratina-Origin    |  4.40984% | 2155   |  4.410% | 1258   |  4.618% | 
 | 26   | Shedinja           |  3.95760% | 1934   |  3.958% | 1111   |  4.078% | 
 | 27   | Gengar-Mega        |  3.73455% | 1825   |  3.735% | 971    |  3.564% | 
 | 28   | Zekrom             |  3.69362% | 1805   |  3.694% | 1040   |  3.818% | 
 | 29   | Palkia             |  3.69158% | 1804   |  3.692% | 966    |  3.546% | 
 | 30   | Amoonguss          |  3.63428% | 1776   |  3.634% | 1011   |  3.711% | 
 | 31   | Mimikyu            |  3.56061% | 1740   |  3.561% | 1014   |  3.722% | 
 | 32   | Darkrai            |  3.54015% | 1730   |  3.540% | 984    |  3.612% | 
 | 33   | Oranguru           |  3.34779% | 1636   |  3.348% | 953    |  3.498% | 
 | 34   | Mewtwo-Mega-X      |  3.31505% | 1620   |  3.315% | 900    |  3.304% | 
 | 35   | Tapu Fini          |  3.25980% | 1593   |  3.260% | 959    |  3.520% | 
 | 36   | Garchomp           |  3.24957% | 1588   |  3.250% | 936    |  3.436% | 
 | 37   | Kyurem-White       |  3.06131% | 1496   |  3.061% | 767    |  2.816% | 
 | 38   | Greninja           |  2.94467% | 1439   |  2.945% | 842    |  3.091% | 
 | 39   | Lucario-Mega       |  2.90169% | 1418   |  2.902% | 769    |  2.823% | 
 | 40   | Swampert-Mega      |  2.87714% | 1406   |  2.877% | 838    |  3.076% | 
 | 41   | Whimsicott         |  2.85668% | 1396   |  2.857% | 865    |  3.175% | 
 | 42   | Charizard-Mega-X   |  2.85463% | 1395   |  2.855% | 827    |  3.036% | 
 | 43   | Landorus-Therian   |  2.83621% | 1386   |  2.836% | 803    |  2.948% | 
 | 44   | Deoxys-Attack      |  2.79119% | 1364   |  2.791% | 759    |  2.786% | 
 | 45   | Reshiram           |  2.67251% | 1306   |  2.673% | 725    |  2.661% | 
 | 46   | Snorlax            |  2.55791% | 1250   |  2.558% | 711    |  2.610% | 
 | 47   | Charizard-Mega-Y   |  2.53540% | 1239   |  2.535% | 721    |  2.647% | 
 | 48   | Blaziken-Mega      |  2.50675% | 1225   |  2.507% | 679    |  2.492% | 
 | 49   | Jirachi            |  2.49857% | 1221   |  2.499% | 716    |  2.628% | 
 | 50   | Togekiss           |  2.47606% | 1210   |  2.476% | 722    |  2.650% | 
 | 51   | Kartana            |  2.46992% | 1207   |  2.470% | 661    |  2.426% | 
 | 52   | Cresselia          |  2.46378% | 1204   |  2.464% | 622    |  2.283% | 
