 Total battles: 56294
 Avg. weight/team: 0.024
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Bonsly             |  1.06618% | 882    |  0.783% | 638    |  0.773% | 
 | 2    | Omastar            |  1.04270% | 878    |  0.780% | 639    |  0.775% | 
 | 3    | Mime Jr.           |  1.02918% | 830    |  0.737% | 586    |  0.710% | 
 | 4    | Croagunk           |  1.00381% | 885    |  0.786% | 658    |  0.798% | 
 | 5    | Duskull            |  1.00346% | 850    |  0.755% | 642    |  0.778% | 
 | 6    | Jynx               |  1.00038% | 852    |  0.757% | 594    |  0.720% | 
 | 7    | Jellicent          |  0.99803% | 857    |  0.761% | 640    |  0.776% | 
 | 8    | Tapu Lele          |  0.99211% | 820    |  0.728% | 610    |  0.739% | 
 | 9    | Pidove             |  0.98775% | 818    |  0.727% | 597    |  0.724% | 
 | 10   | Pikachu            |  0.97347% | 912    |  0.810% | 636    |  0.771% | 
 | 11   | Durant             |  0.97251% | 875    |  0.777% | 649    |  0.787% | 
 | 12   | Octillery          |  0.96994% | 890    |  0.790% | 654    |  0.793% | 
 | 13   | Chimchar           |  0.96662% | 863    |  0.767% | 625    |  0.758% | 
 | 14   | Nidoqueen          |  0.96378% | 829    |  0.736% | 623    |  0.755% | 
 | 15   | Kecleon            |  0.96345% | 890    |  0.790% | 646    |  0.783% | 
 | 16   | Woobat             |  0.96200% | 830    |  0.737% | 628    |  0.761% | 
 | 17   | Qwilfish           |  0.96074% | 794    |  0.705% | 584    |  0.708% | 
 | 18   | Blissey            |  0.95326% | 837    |  0.743% | 594    |  0.720% | 
 | 19   | Stufful            |  0.94844% | 851    |  0.756% | 626    |  0.759% | 
 | 20   | Cresselia          |  0.94781% | 793    |  0.704% | 575    |  0.697% | 
 | 21   | Cinccino           |  0.94643% | 841    |  0.747% | 608    |  0.737% | 
 | 22   | Tynamo             |  0.94377% | 853    |  0.758% | 634    |  0.768% | 
 | 23   | Snover             |  0.93777% | 857    |  0.761% | 617    |  0.748% | 
 | 24   | Goodra             |  0.93703% | 883    |  0.784% | 684    |  0.829% | 
 | 25   | Registeel          |  0.93648% | 872    |  0.775% | 643    |  0.779% | 
 | 26   | Ho-Oh              |  0.93504% | 829    |  0.736% | 624    |  0.756% | 
 | 27   | Noivern            |  0.93445% | 884    |  0.785% | 671    |  0.813% | 
 | 28   | Electabuzz         |  0.93430% | 883    |  0.784% | 674    |  0.817% | 
 | 29   | Slurpuff           |  0.92944% | 874    |  0.776% | 649    |  0.787% | 
 | 30   | Togekiss           |  0.92827% | 824    |  0.732% | 601    |  0.728% | 
 | 31   | Cacnea             |  0.92716% | 791    |  0.703% | 572    |  0.693% | 
 | 32   | Hydreigon          |  0.92612% | 886    |  0.787% | 648    |  0.785% | 
 | 33   | Braviary           |  0.92537% | 850    |  0.755% | 631    |  0.765% | 
 | 34   | Dialga             |  0.92435% | 839    |  0.745% | 631    |  0.765% | 
 | 35   | Chatot             |  0.92369% | 884    |  0.785% | 650    |  0.788% | 
 | 36   | Gible              |  0.92332% | 823    |  0.731% | 608    |  0.737% | 
 | 37   | Zangoose           |  0.92195% | 831    |  0.738% | 626    |  0.759% | 
 | 38   | Turtwig            |  0.92108% | 833    |  0.740% | 593    |  0.719% | 
 | 39   | Genesect           |  0.92057% | 901    |  0.800% | 650    |  0.788% | 
 | 40   | Boldore            |  0.91936% | 880    |  0.782% | 653    |  0.791% | 
 | 41   | Skarmory           |  0.91658% | 881    |  0.782% | 670    |  0.812% | 
 | 42   | Magmortar          |  0.91495% | 874    |  0.776% | 654    |  0.793% | 
 | 43   | Ninjask            |  0.91337% | 867    |  0.770% | 662    |  0.802% | 
 | 44   | Slowpoke           |  0.91170% | 859    |  0.763% | 614    |  0.744% | 
 | 45   | Binacle            |  0.91152% | 891    |  0.791% | 658    |  0.798% | 
 | 46   | Machoke            |  0.91018% | 874    |  0.776% | 648    |  0.785% | 
 | 47   | Cubchoo            |  0.90864% | 845    |  0.751% | 592    |  0.718% | 
 | 48   | Tentacruel         |  0.90787% | 896    |  0.796% | 676    |  0.819% | 
 | 49   | Marshadow          |  0.90710% | 833    |  0.740% | 625    |  0.758% | 
 | 50   | Sunflora           |  0.90100% | 825    |  0.733% | 609    |  0.738% | 
 | 51   | Leavanny           |  0.90015% | 809    |  0.719% | 610    |  0.739% | 
 | 52   | Smoochum           |  0.89899% | 840    |  0.746% | 575    |  0.697% | 
 | 53   | Weepinbell         |  0.89802% | 857    |  0.761% | 637    |  0.772% | 
 | 54   | Tranquill          |  0.89728% | 889    |  0.790% | 664    |  0.805% | 
 | 55   | Shiftry            |  0.89494% | 820    |  0.728% | 587    |  0.711% | 
 | 56   | Elekid             |  0.89346% | 816    |  0.725% | 584    |  0.708% | 
 | 57   | Darmanitan         |  0.89342% | 891    |  0.791% | 682    |  0.827% | 
 | 58   | NidoranF           |  0.89278% | 856    |  0.760% | 607    |  0.736% | 
 | 59   | Magnezone          |  0.89212% | 870    |  0.773% | 665    |  0.806% | 
 | 60   | Mismagius          |  0.89203% | 815    |  0.724% | 614    |  0.744% | 
 | 61   | Nidorino           |  0.89162% | 837    |  0.743% | 611    |  0.741% | 
 | 62   | Aegislash          |  0.89076% | 849    |  0.754% | 650    |  0.788% | 
 | 63   | Lampent            |  0.88993% | 841    |  0.747% | 657    |  0.796% | 
 | 64   | Cubone             |  0.88932% | 827    |  0.735% | 605    |  0.733% | 
 | 65   | Cofagrigus         |  0.88743% | 829    |  0.736% | 609    |  0.738% | 
 | 66   | Minccino           |  0.88666% | 867    |  0.770% | 642    |  0.778% | 
 | 67   | Numel              |  0.88497% | 859    |  0.763% | 623    |  0.755% | 
 | 68   | Castform           |  0.88451% | 843    |  0.749% | 634    |  0.768% | 
 | 69   | Lunala             |  0.88305% | 880    |  0.782% | 626    |  0.759% | 
 | 70   | Regice             |  0.88094% | 847    |  0.752% | 613    |  0.743% | 
 | 71   | Nidorina           |  0.88046% | 844    |  0.750% | 616    |  0.747% | 
 | 72   | Wurmple            |  0.87925% | 874    |  0.776% | 627    |  0.760% | 
 | 73   | Skuntank           |  0.87832% | 817    |  0.726% | 595    |  0.721% | 
 | 74   | Vullaby            |  0.87675% | 889    |  0.790% | 642    |  0.778% | 
 | 75   | Swinub             |  0.87659% | 836    |  0.743% | 604    |  0.732% | 
 | 76   | Honchkrow          |  0.87654% | 891    |  0.791% | 643    |  0.779% | 
 | 77   | Pelipper           |  0.87595% | 811    |  0.720% | 596    |  0.722% | 
 | 78   | Stunfisk           |  0.87543% | 892    |  0.792% | 690    |  0.836% | 
 | 79   | Vanilluxe          |  0.87531% | 901    |  0.800% | 641    |  0.777% | 
 | 80   | Patrat             |  0.87473% | 870    |  0.773% | 630    |  0.764% | 
 | 81   | Hippowdon          |  0.87403% | 814    |  0.723% | 611    |  0.741% | 
 | 82   | Magneton           |  0.87403% | 847    |  0.752% | 653    |  0.791% | 
 | 83   | Houndour           |  0.87375% | 874    |  0.776% | 634    |  0.768% | 
 | 84   | Poliwag            |  0.87360% | 859    |  0.763% | 625    |  0.758% | 
 | 85   | Xurkitree          |  0.87312% | 883    |  0.784% | 633    |  0.767% | 
 | 86   | Noctowl            |  0.87139% | 918    |  0.815% | 685    |  0.830% | 
 | 87   | Kartana            |  0.87073% | 874    |  0.776% | 641    |  0.777% | 
 | 88   | Swablu             |  0.86954% | 872    |  0.775% | 649    |  0.787% | 
 | 89   | Chesnaught         |  0.86930% | 831    |  0.738% | 614    |  0.744% | 
 | 90   | Mudkip             |  0.86888% | 905    |  0.804% | 643    |  0.779% | 
 | 91   | Haunter            |  0.86877% | 889    |  0.790% | 675    |  0.818% | 
 | 92   | Bulbasaur          |  0.86877% | 854    |  0.759% | 622    |  0.754% | 
 | 93   | Keldeo             |  0.86863% | 837    |  0.743% | 613    |  0.743% | 
 | 94   | Zubat              |  0.86776% | 812    |  0.721% | 618    |  0.749% | 
