 Total battles: 558
 Avg. weight/team: 0.008
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Charizard-Mega-X   | 75.24301% | 64     |  5.735% | 52     |  6.183% | 
 | 2    | Chansey            | 58.15992% | 184    | 16.487% | 150    | 17.836% | 
 | 3    | Marowak-Alola      | 57.81613% | 113    | 10.125% | 86     | 10.226% | 
 | 4    | Cresselia          | 57.77079% | 169    | 15.143% | 129    | 15.339% | 
 | 5    | Infernape          | 55.82410% | 75     |  6.720% | 53     |  6.302% | 
 | 6    | Steelix            | 43.19323% | 23     |  2.061% | 18     |  2.140% | 
 | 7    | Buzzwole           | 25.36467% | 164    | 14.695% | 125    | 14.863% | 
 | 8    | Muk-Alola          | 24.48234% | 146    | 13.082% | 124    | 14.744% | 
 | 9    | Terrakion          | 22.88058% | 133    | 11.918% | 104    | 12.366% | 
 | 10   | Tapu Fini          | 21.76227% | 53     |  4.749% | 50     |  5.945% | 
 | 11   | Raikou             | 21.22714% | 24     |  2.151% | 18     |  2.140% | 
 | 12   | Swampert           | 14.69148% | 64     |  5.735% | 54     |  6.421% | 
 | 13   | Xurkitree          | 10.84414% | 119    | 10.663% | 97     | 11.534% | 
 | 14   | Landorus-Therian   |  9.27223% | 233    | 20.878% | 173    | 20.571% | 
 | 15   | Magearna           |  8.30366% | 113    | 10.125% | 83     |  9.869% | 
 | 16   | Pidgeot-Mega       |  8.22775% | 64     |  5.735% | 42     |  4.994% | 
 | 17   | Azelf              |  6.16523% | 27     |  2.419% | 21     |  2.497% | 
 | 18   | Accelgor           |  6.07512% | 41     |  3.674% | 36     |  4.281% | 
 | 19   | Celesteela         |  4.20596% | 245    | 21.953% | 206    | 24.495% | 
 | 20   | Medicham-Mega      |  3.23936% | 53     |  4.749% | 39     |  4.637% | 
 | 21   | Jolteon            |  3.12222% | 122    | 10.932% | 92     | 10.939% | 
 | 22   | Garchomp           |  2.93135% | 130    | 11.649% | 107    | 12.723% | 
 | 23   | Zygarde            |  2.88719% | 91     |  8.154% | 77     |  9.156% | 
 | 24   | Suicune            |  2.82261% | 103    |  9.229% | 88     | 10.464% | 
 | 25   | Escavalier         |  2.06817% | 85     |  7.616% | 69     |  8.205% | 
 | 26   | Keldeo             |  2.06027% | 105    |  9.409% | 73     |  8.680% | 
 | 27   | Venusaur-Mega      |  1.92211% | 67     |  6.004% | 50     |  5.945% | 
 | 28   | Chandelure         |  1.81783% | 76     |  6.810% | 55     |  6.540% | 
 | 29   | Ninjask            |  1.79651% | 52     |  4.659% | 48     |  5.707% | 
 | 30   | Stakataka          |  1.78460% | 66     |  5.914% | 49     |  5.826% | 
 | 31   | Charizard-Mega-Y   |  1.64337% | 53     |  4.749% | 36     |  4.281% | 
 | 32   | Weavile            |  1.38132% | 45     |  4.032% | 31     |  3.686% | 
