 Total battles: 9750
 Avg. weight/team: 0.582
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Kadabra            | 42.80884% | 7510   | 38.513% | 5497   | 35.650% | 
 | 2    | Porygon2           | 37.91428% | 6363   | 32.631% | 4812   | 31.208% | 
 | 3    | Electabuzz         | 30.70005% | 5568   | 28.554% | 4289   | 27.816% | 
 | 4    | Doublade           | 28.29092% | 4504   | 23.097% | 3696   | 23.970% | 
 | 5    | Frogadier          | 23.23005% | 4253   | 21.810% | 3382   | 21.934% | 
 | 6    | Gurdurr            | 23.20307% | 3549   | 18.200% | 2833   | 18.373% | 
 | 7    | Monferno           | 22.63841% | 4267   | 21.882% | 3511   | 22.770% | 
 | 8    | Servine            | 21.34836% | 4054   | 20.790% | 3060   | 19.845% | 
 | 9    | Piloswine          | 18.95823% | 3061   | 15.697% | 2659   | 17.245% | 
 | 10   | Chansey            | 18.40916% | 3238   | 16.605% | 2533   | 16.428% | 
 | 11   | Fraxure            | 16.70283% | 3416   | 17.518% | 2403   | 15.584% | 
 | 12   | Magneton           | 16.07360% | 2855   | 14.641% | 2285   | 14.819% | 
 | 13   | Gabite             | 15.38878% | 2957   | 15.164% | 2491   | 16.155% | 
 | 14   | Rhydon             | 15.16725% | 2862   | 14.677% | 2251   | 14.599% | 
 | 15   | Krokorok           | 13.79244% | 2652   | 13.600% | 2125   | 13.782% | 
 | 16   | Haunter            | 13.18835% | 2546   | 13.056% | 1972   | 12.789% | 
 | 17   | Magmar             | 12.37395% | 2747   | 14.087% | 2121   | 13.756% | 
 | 18   | Wartortle          | 11.12239% | 2266   | 11.621% | 1855   | 12.030% | 
 | 19   | Togetic            | 11.05905% | 2369   | 12.149% | 1856   | 12.037% | 
 | 20   | Trumbeak           | 10.62030% | 2058   | 10.554% | 1625   | 10.539% | 
 | 21   | Metang             | 10.15436% | 2182   | 11.190% | 1870   | 12.128% | 
 | 22   | Golbat             |  9.98203% | 1711   |  8.774% | 1352   |  8.768% | 
 | 23   | Croconaw           |  9.19710% | 1688   |  8.656% | 1199   |  7.776% | 
 | 24   | Whirlipede         |  9.06022% | 1682   |  8.626% | 1532   |  9.936% | 
 | 25   | Dusclops           |  9.00689% | 1952   | 10.010% | 1592   | 10.325% | 
 | 26   | Swadloon           |  7.57187% | 1296   |  6.646% | 1212   |  7.860% | 
 | 27   | Staravia           |  6.42890% | 1254   |  6.431% | 992    |  6.434% | 
 | 28   | Machoke            |  6.15751% | 1357   |  6.959% | 1099   |  7.127% | 
 | 29   | Roselia            |  5.97022% | 1307   |  6.703% | 1052   |  6.823% | 
 | 30   | Fletchinder        |  5.82198% | 1284   |  6.585% | 990    |  6.421% | 
 | 31   | Dragonair          |  5.78473% | 1178   |  6.041% | 889    |  5.766% | 
 | 32   | Sliggoo            |  5.77662% | 1143   |  5.862% | 869    |  5.636% | 
 | 33   | Marill             |  5.65290% | 1288   |  6.605% | 1026   |  6.654% | 
 | 34   | Duosion            |  5.62953% | 1131   |  5.800% | 853    |  5.532% | 
 | 35   | Prinplup           |  5.52038% | 1111   |  5.697% | 920    |  5.967% | 
 | 36   | Vigoroth           |  4.85723% | 1167   |  5.985% | 895    |  5.804% | 
 | 37   | Zweilous           |  4.63648% | 977    |  5.010% | 762    |  4.942% | 
 | 38   | Hakamo-o           |  4.48953% | 1057   |  5.421% | 809    |  5.247% | 
 | 39   | Marshtomp          |  4.13130% | 857    |  4.395% | 773    |  5.013% | 
 | 40   | Clefairy           |  3.92122% | 900    |  4.615% | 721    |  4.676% | 
 | 41   | Graveler-Alola     |  3.90411% | 947    |  4.856% | 789    |  5.117% | 
 | 42   | Klang              |  3.73495% | 880    |  4.513% | 708    |  4.592% | 
 | 43   | Gloom              |  3.43895% | 637    |  3.267% | 520    |  3.372% | 
 | 44   | Seadra             |  3.29043% | 877    |  4.497% | 727    |  4.715% | 
 | 45   | Pikachu            |  3.09808% | 770    |  3.949% | 594    |  3.852% | 
