 Total battles: 33100
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 15.69335% | 10389  | 15.693% | 7923   | 17.251% | 
 | 2    | Zygarde            | 15.50906% | 10267  | 15.509% | 6977   | 15.191% | 
 | 3    | Charizard-Mega-X   | 15.23414% | 10085  | 15.234% | 7367   | 16.040% | 
 | 4    | Greninja-Ash       | 12.85347% | 8509   | 12.853% | 6365   | 13.859% | 
 | 5    | Kartana            |  9.98792% | 6612   |  9.988% | 4286   |  9.332% | 
 | 6    | Blissey            |  8.50755% | 5632   |  8.508% | 3957   |  8.616% | 
 | 7    | Kyogre-Primal      |  8.35045% | 5528   |  8.350% | 4030   |  8.775% | 
 | 8    | Mimikyu            |  7.61329% | 5040   |  7.613% | 3713   |  8.084% | 
 | 9    | Rayquaza-Mega      |  7.02417% | 4650   |  7.024% | 3276   |  7.133% | 
 | 10   | Lucario-Mega       |  6.60876% | 4375   |  6.609% | 3042   |  6.623% | 
 | 11   | Weavile            |  6.45166% | 4271   |  6.452% | 2931   |  6.382% | 
 | 12   | Tyranitar-Mega     |  6.32931% | 4190   |  6.329% | 2965   |  6.456% | 
 | 13   | Tapu Lele          |  6.13293% | 4060   |  6.133% | 2485   |  5.411% | 
 | 14   | Blaziken-Mega      |  6.06798% | 4017   |  6.068% | 2835   |  6.173% | 
 | 15   | Golisopod          |  5.94562% | 3936   |  5.946% | 2902   |  6.319% | 
 | 16   | Mewtwo-Mega-Y      |  5.92145% | 3920   |  5.921% | 2675   |  5.824% | 
 | 17   | Mewtwo-Mega-X      |  5.66465% | 3750   |  5.665% | 2566   |  5.587% | 
 | 18   | Genesect           |  5.56042% | 3681   |  5.560% | 2543   |  5.537% | 
 | 19   | Garchomp-Mega      |  5.46828% | 3620   |  5.468% | 2498   |  5.439% | 
 | 20   | Magearna           |  5.45619% | 3612   |  5.456% | 2611   |  5.685% | 
 | 21   | Tapu Koko          |  5.45015% | 3608   |  5.450% | 2448   |  5.330% | 
 | 22   | Zapdos             |  5.33988% | 3535   |  5.340% | 2468   |  5.374% | 
 | 23   | Xerneas            |  5.17069% | 3423   |  5.171% | 2155   |  4.692% | 
 | 24   | Gengar             |  5.08761% | 3368   |  5.088% | 2409   |  5.245% | 
 | 25   | Sceptile-Mega      |  5.04985% | 3343   |  5.050% | 2336   |  5.086% | 
 | 26   | Necrozma-Dusk-Mane |  5.00000% | 3310   |  5.000% | 2216   |  4.825% | 
 | 27   | Alakazam-Mega      |  4.98338% | 3299   |  4.983% | 2276   |  4.956% | 
 | 28   | Charizard-Mega-Y   |  4.77946% | 3164   |  4.779% | 2218   |  4.829% | 
 | 29   | Gardevoir-Mega     |  4.77644% | 3162   |  4.776% | 2181   |  4.749% | 
 | 30   | Naganadel          |  4.74622% | 3142   |  4.746% | 2043   |  4.448% | 
 | 31   | Metagross-Mega     |  4.53625% | 3003   |  4.536% | 2089   |  4.548% | 
 | 32   | Shuckle            |  4.50000% | 2979   |  4.500% | 2699   |  5.877% | 
 | 33   | Diancie-Mega       |  4.48489% | 2969   |  4.485% | 2184   |  4.755% | 
 | 34   | Swampert-Mega      |  4.26435% | 2823   |  4.264% | 2150   |  4.681% | 
 | 35   | Mew                |  4.20544% | 2784   |  4.205% | 1979   |  4.309% | 
 | 36   | Volcarona          |  4.11934% | 2727   |  4.119% | 1684   |  3.667% | 
 | 37   | Garchomp           |  4.07100% | 2695   |  4.071% | 1840   |  4.006% | 
 | 38   | Darkrai            |  4.04834% | 2680   |  4.048% | 1901   |  4.139% | 
 | 39   | Bisharp            |  3.95015% | 2615   |  3.950% | 1696   |  3.693% | 
 | 40   | Gyarados-Mega      |  3.94411% | 2611   |  3.944% | 1917   |  4.174% | 
 | 41   | Blacephalon        |  3.78852% | 2508   |  3.789% | 1633   |  3.556% | 
 | 42   | Landorus-Therian   |  3.76888% | 2495   |  3.769% | 1791   |  3.900% | 
 | 43   | Keldeo             |  3.61480% | 2393   |  3.615% | 1557   |  3.390% | 
 | 44   | Victini            |  3.50302% | 2319   |  3.503% | 1530   |  3.331% | 
 | 45   | Yveltal            |  3.46375% | 2293   |  3.464% | 1576   |  3.431% | 
 | 46   | Venusaur-Mega      |  3.45015% | 2284   |  3.450% | 1564   |  3.405% | 
 | 47   | Noivern            |  3.44411% | 2280   |  3.444% | 1529   |  3.329% | 
 | 48   | Ferrothorn         |  3.39275% | 2246   |  3.393% | 1737   |  3.782% | 
 | 49   | Salamence-Mega     |  3.30514% | 2188   |  3.305% | 1476   |  3.214% | 
 | 50   | Hoopa-Unbound      |  3.26586% | 2162   |  3.266% | 1396   |  3.040% | 
 | 51   | Greninja           |  3.25831% | 2157   |  3.258% | 1559   |  3.394% | 
 | 52   | Manaphy            |  3.17069% | 2099   |  3.171% | 1402   |  3.053% | 
 | 53   | Entei              |  3.14804% | 2084   |  3.148% | 1382   |  3.009% | 
 | 54   | Xurkitree          |  3.14653% | 2083   |  3.147% | 1323   |  2.881% | 
 | 55   | Celesteela         |  3.01964% | 1999   |  3.020% | 1387   |  3.020% | 
 | 56   | Blastoise-Mega     |  2.99849% | 1985   |  2.998% | 1454   |  3.166% | 
 | 57   | Lunala             |  2.97734% | 1971   |  2.977% | 1377   |  2.998% | 
 | 58   | Gallade-Mega       |  2.90937% | 1926   |  2.909% | 1370   |  2.983% | 
 | 59   | Marshadow          |  2.79154% | 1848   |  2.792% | 1274   |  2.774% | 
 | 60   | Buzzwole           |  2.71299% | 1796   |  2.713% | 1139   |  2.480% | 
 | 61   | Heatran            |  2.67372% | 1770   |  2.674% | 1262   |  2.748% | 
 | 62   | Kyurem-Black       |  2.59366% | 1717   |  2.594% | 1227   |  2.672% | 
 | 63   | Toxapex            |  2.59215% | 1716   |  2.592% | 1280   |  2.787% | 
 | 64   | Excadrill          |  2.58006% | 1708   |  2.580% | 1211   |  2.637% | 
