 Total battles: 7257
 Avg. weight/team: 0.188
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Zygarde            | 42.22798% | 2807   | 19.340% | 1789   | 18.019% | 
 | 2    | Groudon-Primal     | 29.16311% | 2592   | 17.859% | 2012   | 20.265% | 
 | 3    | Blissey            | 27.47443% | 1758   | 12.112% | 1276   | 12.852% | 
 | 4    | Kartana            | 22.17107% | 1659   | 11.430% | 1027   | 10.344% | 
 | 5    | Magearna           | 21.17438% | 1151   |  7.930% | 837    |  8.430% | 
 | 6    | Tapu Lele          | 16.95288% | 1028   |  7.083% | 616    |  6.204% | 
 | 7    | Genesect           | 14.09792% | 908    |  6.256% | 663    |  6.678% | 
 | 8    | Golisopod          | 12.07468% | 913    |  6.290% | 617    |  6.214% | 
 | 9    | Zapdos             | 11.22070% | 913    |  6.290% | 615    |  6.194% | 
 | 10   | Entei              | 11.01892% | 672    |  4.630% | 458    |  4.613% | 
 | 11   | Weavile            | 10.90584% | 996    |  6.862% | 667    |  6.718% | 
 | 12   | Necrozma-Dusk-Mane | 10.85747% | 872    |  6.008% | 604    |  6.083% | 
 | 13   | Naganadel          | 10.53234% | 693    |  4.775% | 449    |  4.522% | 
 | 14   | Xurkitree          | 10.26658% | 716    |  4.933% | 468    |  4.714% | 
 | 15   | Landorus-Therian   | 10.00245% | 742    |  5.112% | 587    |  5.912% | 
 | 16   | Shuckle            |  9.99643% | 547    |  3.769% | 520    |  5.237% | 
 | 17   | Tapu Koko          |  9.00514% | 981    |  6.759% | 676    |  6.809% | 
 | 18   | Heatran            |  8.84202% | 680    |  4.685% | 498    |  5.016% | 
 | 19   | Mimikyu            |  8.58542% | 1095   |  7.544% | 759    |  7.645% | 
 | 20   | Gengar             |  8.33346% | 887    |  6.111% | 643    |  6.476% | 
 | 21   | Mew                |  7.98952% | 670    |  4.616% | 484    |  4.875% | 
 | 22   | Ditto              |  7.91983% | 374    |  2.577% | 255    |  2.568% | 
 | 23   | Victini            |  7.23851% | 615    |  4.237% | 402    |  4.049% | 
 | 24   | Excadrill          |  7.11882% | 465    |  3.204% | 353    |  3.555% | 
 | 25   | Arceus-Ghost       |  6.85221% | 392    |  2.701% | 229    |  2.306% | 
 | 26   | Terrakion          |  6.76477% | 374    |  2.577% | 253    |  2.548% | 
 | 27   | Skarmory           |  6.59132% | 424    |  2.921% | 345    |  3.475% | 
 | 28   | Xerneas            |  6.31060% | 1171   |  8.068% | 780    |  7.856% | 
 | 29   | Volcarona          |  6.13592% | 620    |  4.272% | 382    |  3.847% | 
 | 30   | Buzzwole           |  5.84558% | 396    |  2.728% | 268    |  2.699% | 
