 Total battles: 305364
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Volcarona          |  9.09570% | 55550  |  9.096% | 37555  |  8.397% | 
 | 2    | Heatran            |  7.49040% | 45746  |  7.490% | 34174  |  7.641% | 
 | 3    | Greninja           |  7.35598% | 44925  |  7.356% | 31383  |  7.017% | 
 | 4    | Tapu Koko          |  7.12494% | 43514  |  7.125% | 34327  |  7.676% | 
 | 5    | Muk-Alola          |  6.89227% | 42093  |  6.892% | 32223  |  7.205% | 
 | 6    | Celesteela         |  6.36110% | 38849  |  6.361% | 29696  |  6.640% | 
 | 7    | Mimikyu            |  6.27874% | 38346  |  6.279% | 27470  |  6.142% | 
 | 8    | Venusaur-Mega      |  6.21537% | 37959  |  6.215% | 28232  |  6.313% | 
 | 9    | Galvantula         |  6.21046% | 37929  |  6.210% | 31689  |  7.086% | 
 | 10   | Toxapex            |  6.19359% | 37826  |  6.194% | 29429  |  6.580% | 
 | 11   | Excadrill          |  6.09502% | 37224  |  6.095% | 26879  |  6.010% | 
 | 12   | Dragonite          |  5.98057% | 36525  |  5.981% | 25651  |  5.736% | 
 | 13   | Azumarill          |  5.91540% | 36127  |  5.915% | 26168  |  5.851% | 
 | 14   | Ferrothorn         |  5.89755% | 36018  |  5.898% | 29677  |  6.636% | 
 | 15   | Scizor-Mega        |  5.84810% | 35716  |  5.848% | 24482  |  5.474% | 
 | 16   | Bisharp            |  5.50638% | 33629  |  5.506% | 22923  |  5.126% | 
 | 17   | Hydreigon          |  5.42222% | 33115  |  5.422% | 23122  |  5.170% | 
 | 18   | Rotom-Wash         |  5.33445% | 32579  |  5.334% | 25413  |  5.682% | 
 | 19   | Diancie-Mega       |  5.22835% | 31931  |  5.228% | 24434  |  5.464% | 
 | 20   | Infernape          |  5.22344% | 31901  |  5.223% | 24028  |  5.373% | 
 | 21   | Gengar             |  5.18938% | 31693  |  5.189% | 21366  |  4.778% | 
 | 22   | Zapdos             |  5.18676% | 31677  |  5.187% | 23749  |  5.310% | 
 | 23   | Garchomp           |  5.16482% | 31543  |  5.165% | 24817  |  5.549% | 
 | 24   | Gallade-Mega       |  5.16367% | 31536  |  5.164% | 21584  |  4.826% | 
 | 25   | Skarmory           |  5.07149% | 30973  |  5.071% | 25840  |  5.778% | 
 | 26   | Charizard-Mega-Y   |  5.04398% | 30805  |  5.044% | 22501  |  5.031% | 
 | 27   | Sableye-Mega       |  5.02450% | 30686  |  5.024% | 25625  |  5.730% | 
 | 28   | Swampert-Mega      |  5.01025% | 30599  |  5.010% | 23525  |  5.260% | 
