 Total battles: 45648
 Avg. weight/team: 0.199
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Steelix            | 26.75018% | 17639  | 19.321% | 15368  | 21.247% | 
 | 2    | Slowbro            | 22.50097% | 15305  | 16.764% | 12370  | 17.102% | 
 | 3    | Delphox            | 21.00149% | 15243  | 16.696% | 11614  | 16.057% | 
 | 4    | Whimsicott         | 19.76812% | 13425  | 14.705% | 10817  | 14.955% | 
 | 5    | Sneasel            | 18.15341% | 11616  | 12.723% | 8889   | 12.290% | 
 | 6    | Druddigon          | 17.23622% | 12849  | 14.074% | 11256  | 15.562% | 
 | 7    | Heliolisk          | 14.07916% | 11883  | 13.016% | 9469   | 13.092% | 
 | 8    | Venusaur           | 13.79200% | 9672   | 10.594% | 7732   | 10.690% | 
 | 9    | Xatu               | 13.75611% | 10136  | 11.102% | 8303   | 11.479% | 
 | 10   | Incineroar         | 12.44752% | 8901   |  9.750% | 7356   | 10.170% | 
 | 11   | Hariyama           | 11.48317% | 6813   |  7.463% | 5651   |  7.813% | 
 | 12   | Klinklang          | 11.23990% | 8584   |  9.402% | 6591   |  9.113% | 
 | 13   | Braviary           | 11.15219% | 9332   | 10.222% | 7133   |  9.862% | 
 | 14   | Garbodor           | 11.01562% | 5912   |  6.476% | 4983   |  6.889% | 
 | 15   | Scrafty            | 10.50021% | 8463   |  9.270% | 6659   |  9.207% | 
 | 16   | Medicham           | 10.16577% | 6178   |  6.767% | 4758   |  6.578% | 
 | 17   | Rhydon             |  9.06810% | 8590   |  9.409% | 7087   |  9.798% | 
 | 18   | Virizion           |  9.04138% | 7150   |  7.832% | 5446   |  7.529% | 
 | 19   | Vanilluxe          |  8.97291% | 4909   |  5.377% | 3878   |  5.362% | 
 | 20   | Piloswine          |  8.62486% | 6014   |  6.587% | 5255   |  7.265% | 
 | 21   | Vaporeon           |  8.57740% | 7898   |  8.651% | 6207   |  8.582% | 
 | 22   | Slowking           |  8.49833% | 6144   |  6.730% | 4842   |  6.694% | 
 | 23   | Toxicroak          |  8.41283% | 6932   |  7.593% | 5336   |  7.377% | 
 | 24   | Houndoom           |  8.25231% | 6581   |  7.208% | 5154   |  7.126% | 
 | 25   | Hitmonlee          |  8.21099% | 10529  | 11.533% | 7958   | 11.003% | 
 | 26   | Silvally-Steel     |  8.16058% | 5136   |  5.626% | 4312   |  5.962% | 
 | 27   | Emboar             |  7.95997% | 5598   |  6.132% | 4340   |  6.000% | 
 | 28   | Golbat             |  7.87879% | 7308   |  8.005% | 5898   |  8.154% | 
