 Total battles: 38070
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Steelix            | 21.66535% | 16496  | 21.665% | 14428  | 23.941% | 
 | 2    | Slowbro            | 19.45889% | 14816  | 19.459% | 11961  | 19.848% | 
 | 3    | Emboar             | 19.27239% | 14674  | 19.272% | 11367  | 18.862% | 
 | 4    | Whimsicott         | 16.35408% | 12452  | 16.354% | 10152  | 16.846% | 
 | 5    | Druddigon          | 13.61045% | 10363  | 13.610% | 9096   | 15.094% | 
 | 6    | Heliolisk          | 13.57237% | 10334  | 13.572% | 8149   | 13.522% | 
 | 7    | Delphox            | 13.26898% | 10103  | 13.269% | 7671   | 12.729% | 
 | 8    | Xatu               | 12.66614% | 9644   | 12.666% | 7847   | 13.021% | 
 | 9    | Sneasel            | 12.01208% | 9146   | 12.012% | 6923   | 11.488% | 
 | 10   | Hitmonlee          | 10.82742% | 8244   | 10.827% | 6081   | 10.091% | 
 | 11   | Cinccino           | 10.48201% | 7981   | 10.482% | 6096   | 10.116% | 
 | 12   | Braviary           | 10.18125% | 7752   | 10.181% | 5917   |  9.819% | 
 | 13   | Venusaur           |  9.59023% | 7302   |  9.590% | 5857   |  9.719% | 
 | 14   | Audino-Mega        |  9.28290% | 7068   |  9.283% | 5268   |  8.742% | 
 | 15   | Rhydon             |  9.24219% | 7037   |  9.242% | 5843   |  9.696% | 
 | 16   | Minior             |  9.22248% | 7022   |  9.222% | 5189   |  8.610% | 
 | 17   | Vaporeon           |  8.71684% | 6637   |  8.717% | 5287   |  8.773% | 
 | 18   | Klinklang          |  8.17573% | 6225   |  8.176% | 4768   |  7.912% | 
 | 19   | Malamar            |  8.07591% | 6149   |  8.076% | 4880   |  8.098% | 
 | 20   | Sceptile           |  7.91174% | 6024   |  7.912% | 4384   |  7.275% | 
 | 21   | Golbat             |  7.88547% | 6004   |  7.885% | 4832   |  8.018% | 
 | 22   | Jellicent          |  7.78303% | 5926   |  7.783% | 4706   |  7.809% | 
 | 23   | Mismagius          |  7.77515% | 5920   |  7.775% | 4377   |  7.263% | 
 | 24   | Vikavolt           |  7.73444% | 5889   |  7.734% | 4727   |  7.844% | 
 | 25   | Slowking           |  7.65038% | 5825   |  7.650% | 4690   |  7.782% | 
 | 26   | Hitmontop          |  7.53874% | 5740   |  7.539% | 4589   |  7.615% | 
 | 27   | Clawitzer          |  7.53480% | 5737   |  7.535% | 4399   |  7.300% | 
 | 28   | Cryogonal          |  7.50197% | 5712   |  7.502% | 4439   |  7.366% | 
 | 29   | Scrafty            |  7.46520% | 5684   |  7.465% | 4533   |  7.522% | 
 | 30   | Incineroar         |  7.36538% | 5608   |  7.365% | 4652   |  7.719% | 
 | 31   | Vanilluxe          |  7.28920% | 5550   |  7.289% | 4474   |  7.424% | 
 | 32   | Virizion           |  7.11453% | 5417   |  7.115% | 4083   |  6.775% | 
 | 33   | Toxicroak          |  7.09351% | 5401   |  7.094% | 4147   |  6.881% | 
 | 34   | Garbodor           |  7.02653% | 5350   |  7.027% | 4393   |  7.290% | 
 | 35   | Piloswine          |  6.77962% | 5162   |  6.780% | 4494   |  7.457% | 
 | 36   | Houndoom           |  6.49856% | 4948   |  6.499% | 3792   |  6.292% | 
 | 37   | Accelgor           |  6.37641% | 4855   |  6.376% | 3879   |  6.437% | 
 | 38   | Sigilyph           |  6.36722% | 4848   |  6.367% | 3684   |  6.113% | 
 | 39   | Hariyama           |  6.27922% | 4781   |  6.279% | 3892   |  6.458% | 
 | 40   | Guzzlord           |  6.26609% | 4771   |  6.266% | 3719   |  6.171% | 
 | 41   | Dodrio             |  5.84056% | 4447   |  5.841% | 3292   |  5.463% | 
 | 42   | Medicham           |  5.77489% | 4397   |  5.775% | 3345   |  5.551% | 
 | 43   | Typhlosion         |  5.75519% | 4382   |  5.755% | 3273   |  5.431% | 
 | 44   | Scyther            |  5.65274% | 4304   |  5.653% | 3266   |  5.420% | 
 | 45   | Froslass           |  5.63436% | 4290   |  5.634% | 3673   |  6.095% | 
 | 46   | Uxie               |  5.55950% | 4233   |  5.559% | 3735   |  6.198% | 
 | 47   | Rotom              |  5.55030% | 4226   |  5.550% | 3521   |  5.843% | 
 | 48   | Vileplume          |  5.54242% | 4220   |  5.542% | 3281   |  5.444% | 
 | 49   | Shuckle            |  5.30996% | 4043   |  5.310% | 3644   |  6.047% | 
 | 50   | Silvally-Steel     |  4.93696% | 3759   |  4.937% | 3153   |  5.232% | 
 | 51   | Vivillon           |  4.84896% | 3692   |  4.849% | 2656   |  4.407% | 
 | 52   | Aromatisse         |  4.73339% | 3604   |  4.733% | 2741   |  4.548% | 
 | 53   | Samurott           |  4.51537% | 3438   |  4.515% | 2611   |  4.333% | 
 | 54   | Omastar            |  4.38140% | 3336   |  4.381% | 2686   |  4.457% | 
 | 55   | Qwilfish           |  4.10165% | 3123   |  4.102% | 2708   |  4.494% | 
 | 56   | Altaria            |  2.91962% | 2223   |  2.920% | 1836   |  3.047% | 
 | 57   | Dugtrio            |  2.71474% | 2067   |  2.715% | 1585   |  2.630% | 
