 Total battles: 54803
 Avg. weight/team: 0.573
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mesprit            | 23.85984% | 20042  | 18.285% | 16873  | 19.585% | 
 | 2    | Hitmonchan         | 16.06706% | 15256  | 13.919% | 12316  | 14.295% | 
 | 3    | Skuntank           | 14.62247% | 12631  | 11.524% | 9955   | 11.555% | 
 | 4    | Primeape           | 11.83339% | 10503  |  9.583% | 8276   |  9.606% | 
 | 5    | Archeops           | 10.09850% | 10520  |  9.598% | 8453   |  9.812% | 
 | 6    | Magmortar          | 10.08020% | 10243  |  9.345% | 7811   |  9.066% | 
 | 7    | Eelektross         |  9.81910% | 9660   |  8.813% | 7984   |  9.267% | 
 | 8    | Gastrodon          |  9.51006% | 9721   |  8.869% | 7876   |  9.142% | 
 | 9    | Weezing            |  9.14160% | 8676   |  7.916% | 7345   |  8.525% | 
 | 10   | Ferroseed          |  8.29779% | 7180   |  6.551% | 6381   |  7.407% | 
 | 11   | Aggron             |  7.71526% | 8975   |  8.188% | 7374   |  8.559% | 
 | 12   | Palossand          |  7.53662% | 6627   |  6.046% | 5635   |  6.541% | 
 | 13   | Lanturn            |  7.27365% | 7007   |  6.393% | 5716   |  6.635% | 
 | 14   | Pyroar             |  7.10204% | 7117   |  6.493% | 5350   |  6.210% | 
 | 15   | Gurdurr            |  6.96207% | 5987   |  5.462% | 4962   |  5.759% | 
 | 16   | Spiritomb          |  6.37219% | 5289   |  4.825% | 4296   |  4.986% | 
 | 17   | Absol              |  6.25207% | 7216   |  6.584% | 5379   |  6.243% | 
 | 18   | Exeggutor-Alola    |  5.93354% | 5779   |  5.273% | 4501   |  5.224% | 
 | 19   | Komala             |  5.81432% | 5712   |  5.211% | 4328   |  5.024% | 
 | 20   | Altaria            |  5.78069% | 6340   |  5.784% | 4770   |  5.537% | 
 | 21   | Kingler            |  5.76076% | 5772   |  5.266% | 4285   |  4.974% | 
 | 22   | Drampa             |  5.57764% | 5923   |  5.404% | 4423   |  5.134% | 
 | 23   | Oricorio-Sensu     |  5.50156% | 4799   |  4.378% | 3605   |  4.184% | 
 | 24   | Miltank            |  5.14170% | 5414   |  4.940% | 4500   |  5.223% | 
 | 25   | Togedemaru         |  5.13156% | 4682   |  4.272% | 3875   |  4.498% | 
 | 26   | Haunter            |  4.99845% | 5580   |  5.091% | 4143   |  4.809% | 
 | 27   | Claydol            |  4.87927% | 5875   |  5.360% | 4854   |  5.634% | 
 | 28   | Floatzel           |  4.75945% | 5467   |  4.988% | 4104   |  4.764% | 
 | 29   | Regirock           |  4.53339% | 4365   |  3.982% | 3759   |  4.363% | 
 | 30   | Lilligant          |  4.46627% | 4311   |  3.933% | 3176   |  3.686% | 
 | 31   | Lycanroc           |  4.45024% | 4599   |  4.196% | 3627   |  4.210% | 
 | 32   | Electivire         |  4.36024% | 5484   |  5.003% | 4138   |  4.803% | 
 | 33   | Mudsdale           |  4.33660% | 4605   |  4.201% | 3757   |  4.361% | 
 | 34   | Aurorus            |  4.33316% | 4227   |  3.857% | 3521   |  4.087% | 
 | 35   | Zangoose           |  4.30065% | 4393   |  4.008% | 3332   |  3.867% | 
 | 36   | Raichu-Alola       |  4.23003% | 4646   |  4.239% | 3429   |  3.980% | 
 | 37   | Golurk             |  4.14434% | 4210   |  3.841% | 3554   |  4.125% | 
 | 38   | Kecleon            |  3.99414% | 3956   |  3.609% | 3295   |  3.825% | 
 | 39   | Jynx               |  3.96947% | 4308   |  3.930% | 3162   |  3.670% | 
 | 40   | Persian-Alola      |  3.96466% | 4481   |  4.088% | 3788   |  4.397% | 
 | 41   | Articuno           |  3.91720% | 4972   |  4.536% | 3807   |  4.419% | 
 | 42   | Lurantis           |  3.90144% | 4068   |  3.711% | 3255   |  3.778% | 
 | 43   | Cradily            |  3.80189% | 4606   |  4.202% | 3782   |  4.390% | 
 | 44   | Abomasnow          |  3.76982% | 3985   |  3.636% | 3205   |  3.720% | 
 | 45   | Pinsir             |  3.72470% | 3747   |  3.419% | 2866   |  3.327% | 
 | 46   | Gourgeist-Super    |  3.61322% | 3454   |  3.151% | 2752   |  3.194% | 
 | 47   | Liepard            |  3.60821% | 4079   |  3.722% | 3331   |  3.866% | 
 | 48   | Audino             |  3.58609% | 3691   |  3.368% | 2832   |  3.287% | 
 | 49   | Carracosta         |  3.51078% | 3959   |  3.612% | 3156   |  3.663% | 
 | 50   | Silvally-Fairy     |  3.50162% | 2995   |  2.733% | 2410   |  2.797% | 
 | 51   | Kabutops           |  3.47846% | 3567   |  3.254% | 2732   |  3.171% | 
 | 52   | Sableye            |  3.38277% | 3860   |  3.522% | 3256   |  3.779% | 
 | 53   | Crabominable       |  3.36970% | 3278   |  2.991% | 2484   |  2.883% | 
 | 54   | Granbull           |  3.36598% | 3620   |  3.303% | 2904   |  3.371% | 
 | 55   | Silvally-Ghost     |  3.35748% | 2638   |  2.407% | 2245   |  2.606% | 
 | 56   | Manectric          |  3.33532% | 3564   |  3.252% | 2801   |  3.251% | 
 | 57   | Carbink            |  3.33462% | 3442   |  3.140% | 3096   |  3.594% | 
 | 58   | Ditto              |  3.25961% | 4175   |  3.809% | 3240   |  3.761% | 
 | 59   | Poliwrath          |  3.22868% | 3309   |  3.019% | 2616   |  3.036% | 
 | 60   | Kangaskhan         |  3.22642% | 3035   |  2.769% | 2475   |  2.873% | 
