 Total battles: 65386
 Avg. weight/team: 0.019
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mesprit            | 38.91270% | 27661  | 21.152% | 23171  | 22.360% | 
 | 2    | Passimian          | 33.33480% | 19529  | 14.934% | 16194  | 15.627% | 
 | 3    | Skuntank           | 25.61167% | 19539  | 14.941% | 15543  | 14.999% | 
 | 4    | Altaria            | 22.30725% | 9793   |  7.489% | 7625   |  7.358% | 
 | 5    | Aurorus            | 19.47328% | 9772   |  7.473% | 8256   |  7.967% | 
 | 6    | Palossand          | 18.27638% | 11966  |  9.150% | 10249  |  9.890% | 
 | 7    | Weezing            | 16.54233% | 11690  |  8.939% | 9968   |  9.619% | 
 | 8    | Spiritomb          | 15.88378% | 8409   |  6.430% | 6857   |  6.617% | 
 | 9    | Lanturn            | 13.55691% | 8915   |  6.817% | 7318   |  7.062% | 
 | 10   | Hitmonchan         | 13.12475% | 15705  | 12.009% | 12501  | 12.064% | 
 | 11   | Primeape           | 12.77618% | 10612  |  8.115% | 8399   |  8.105% | 
 | 12   | Togedemaru         | 11.73779% | 8432   |  6.448% | 7061   |  6.814% | 
 | 13   | Ferroseed          | 11.08894% | 9388   |  7.179% | 8270   |  7.981% | 
 | 14   | Eelektross         | 10.59296% | 11470  |  8.771% | 9382   |  9.054% | 
 | 15   | Gastrodon          |  9.70801% | 11315  |  8.652% | 9124   |  8.805% | 
 | 16   | Aggron             |  9.64963% | 10142  |  7.755% | 8359   |  8.066% | 
 | 17   | Audino             |  9.25978% | 5059   |  3.869% | 3958   |  3.819% | 
 | 18   | Clefairy           |  8.21587% | 4043   |  3.092% | 3353   |  3.236% | 
 | 19   | Gurdurr            |  7.97683% | 7399   |  5.658% | 6085   |  5.872% | 
 | 20   | Oricorio-Sensu     |  7.66594% | 6662   |  5.094% | 5125   |  4.946% | 
 | 21   | Sandslash-Alola    |  7.52329% | 5630   |  4.305% | 4540   |  4.381% | 
 | 22   | Pyukumuku          |  7.32380% | 4018   |  3.073% | 3170   |  3.059% | 
 | 23   | Archeops           |  7.16070% | 12074  |  9.233% | 9808   |  9.465% | 
 | 24   | Magmortar          |  6.85478% | 12265  |  9.379% | 9355   |  9.028% | 
 | 25   | Articuno           |  6.79323% | 5533   |  4.231% | 4270   |  4.121% | 
 | 26   | Type: Null         |  6.64555% | 2888   |  2.208% | 2266   |  2.187% | 
 | 27   | Kangaskhan         |  6.21067% | 3725   |  2.848% | 3023   |  2.917% | 
 | 28   | Silvally-Ghost     |  6.13671% | 3224   |  2.465% | 2707   |  2.612% | 
 | 29   | Swanna             |  6.09017% | 4329   |  3.310% | 3416   |  3.296% | 
 | 30   | Regirock           |  5.99939% | 5915   |  4.523% | 5080   |  4.902% | 
 | 31   | Pyroar             |  5.47599% | 8059   |  6.163% | 5917   |  5.710% | 
 | 32   | Exeggutor-Alola    |  5.15692% | 6510   |  4.978% | 5027   |  4.851% | 
 | 33   | Kabutops           |  5.06753% | 4487   |  3.431% | 3492   |  3.370% | 
 | 34   | Lilligant          |  4.91875% | 7036   |  5.380% | 5169   |  4.988% | 
 | 35   | Carbink            |  4.89267% | 4002   |  3.060% | 3642   |  3.515% | 
 | 36   | Drampa             |  4.81044% | 6919   |  5.291% | 5154   |  4.974% | 
 | 37   | Kingler            |  4.50319% | 6116   |  4.677% | 4559   |  4.399% | 
