 Total battles: 209191
 Avg. weight/team: 0.083
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Clefable           | 24.23427% | 76989  | 18.402% | 45797  | 17.097% | 
 | 2    | Doublade           | 18.02921% | 47438  | 11.338% | 30592  | 11.420% | 
 | 3    | Porygon-Z          | 17.07158% | 57917  | 13.843% | 29296  | 10.937% | 
 | 4    | Gliscor            | 16.69181% | 63241  | 15.116% | 38510  | 14.376% | 
 | 5    | Dragonite          | 16.61700% | 55377  | 13.236% | 33044  | 12.336% | 
 | 6    | Alakazam           | 16.08522% | 55049  | 13.158% | 31944  | 11.925% | 
 | 7    | Durant             | 15.84737% | 42681  | 10.201% | 24716  |  9.227% | 
 | 8    | Tapu Lele          | 13.93511% | 32025  |  7.654% | 18711  |  6.985% | 
 | 9    | Bruxish            | 13.58969% | 50849  | 12.154% | 26242  |  9.796% | 
 | 10   | Crawdaunt          | 13.41137% | 50429  | 12.053% | 29238  | 10.915% | 
 | 11   | Beedrill-Mega      | 12.20187% | 40129  |  9.591% | 33977  | 12.684% | 
 | 12   | Tsareena           | 11.55118% | 39723  |  9.494% | 19792  |  7.389% | 
 | 13   | Cloyster           | 11.34566% | 30985  |  7.406% | 21094  |  7.875% | 
 | 14   | Toxapex            |  9.69292% | 32902  |  7.864% | 24673  |  9.211% | 
 | 15   | Blacephalon        |  9.15898% | 38503  |  9.203% | 25631  |  9.568% | 
 | 16   | Lycanroc-Dusk      |  9.00881% | 34686  |  8.291% | 22473  |  8.389% | 
 | 17   | Milotic            |  8.85101% | 20567  |  4.916% | 13540  |  5.055% | 
 | 18   | Kartana            |  8.76814% | 45923  | 10.976% | 29033  | 10.838% | 
 | 19   | Breloom            |  8.63834% | 33524  |  8.013% | 20728  |  7.738% | 
 | 20   | Espeon             |  8.26021% | 26914  |  6.433% | 14930  |  5.574% | 
 | 21   | Shuckle            |  8.23010% | 37672  |  9.004% | 30575  | 11.414% | 
 | 22   | Mudsdale           |  8.16604% | 16830  |  4.023% | 9061   |  3.383% | 
 | 23   | Pangoro            |  7.93311% | 15952  |  3.813% | 11548  |  4.311% | 
 | 24   | Comfey             |  7.89566% | 20076  |  4.798% | 9937   |  3.710% | 
 | 25   | Conkeldurr         |  6.90584% | 25908  |  6.192% | 15619  |  5.831% | 
 | 26   | Heatran            |  6.85162% | 43479  | 10.392% | 30584  | 11.417% | 
 | 27   | Zangoose           |  6.80719% | 34554  |  8.259% | 17972  |  6.709% | 
 | 28   | Kyurem-Black       |  6.37181% | 22921  |  5.478% | 14937  |  5.576% | 
 | 29   | Victini            |  6.23358% | 33000  |  7.888% | 23958  |  8.944% | 
 | 30   | Pinsir-Mega        |  5.85989% | 20847  |  4.983% | 17919  |  6.689% | 
 | 31   | Cinccino           |  5.76067% | 17909  |  4.281% | 11282  |  4.212% | 
 | 32   | Magearna           |  5.58547% | 29837  |  7.132% | 20094  |  7.501% | 
 | 33   | Sableye-Mega       |  5.24337% | 12635  |  3.020% | 10308  |  3.848% | 
 | 34   | Excadrill          |  5.00866% | 17372  |  4.152% | 13129  |  4.901% | 
 | 35   | Ambipom            |  4.43636% | 21623  |  5.168% | 15262  |  5.698% | 
 | 36   | Scizor-Mega        |  4.07090% | 19436  |  4.646% | 13254  |  4.948% | 
 | 37   | Heracross          |  3.97477% | 23894  |  5.711% | 12215  |  4.560% | 
 | 38   | Swellow            |  3.83718% | 15752  |  3.765% | 9412   |  3.514% | 
 | 39   | Buzzwole           |  3.83180% | 17737  |  4.239% | 10806  |  4.034% | 
 | 40   | Magnezone          |  3.77086% | 13000  |  3.107% | 8985   |  3.354% | 
 | 41   | Jirachi            |  3.57073% | 15430  |  3.688% | 9864   |  3.682% | 
 | 42   | Reuniclus          |  3.50830% | 12535  |  2.996% | 7287   |  2.720% | 
 | 43   | Skarmory           |  3.35326% | 9740   |  2.328% | 6985   |  2.608% | 
 | 44   | Serperior          |  3.22880% | 19928  |  4.763% | 11152  |  4.163% | 
 | 45   | Necrozma           |  3.14119% | 6425   |  1.536% | 3918   |  1.463% | 
 | 46   | Chansey            |  3.05960% | 8811   |  2.106% | 5571   |  2.080% | 
 | 47   | Machamp            |  2.98814% | 15541  |  3.715% | 9131   |  3.409% | 
 | 48   | Stakataka          |  2.95164% | 12425  |  2.970% | 8466   |  3.160% | 
 | 49   | Nidoking           |  2.90316% | 11287  |  2.698% | 6756   |  2.522% | 
 | 50   | Quagsire           |  2.87124% | 10650  |  2.546% | 6773   |  2.528% | 
 | 51   | Dhelmise           |  2.82629% | 12034  |  2.876% | 6500   |  2.427% | 
 | 52   | Celesteela         |  2.77152% | 17880  |  4.274% | 12166  |  4.542% | 
 | 53   | Hawlucha           |  2.73702% | 10085  |  2.410% | 6791   |  2.535% | 
 | 54   | Ursaring           |  2.67417% | 18156  |  4.340% | 8641   |  3.226% | 
 | 55   | Blaziken-Mega      |  2.66406% | 8306   |  1.985% | 6448   |  2.407% | 
 | 56   | Klefki             |  2.63006% | 6512   |  1.556% | 4345   |  1.622% | 
 | 57   | Tapu Koko          |  2.61635% | 12368  |  2.956% | 8254   |  3.081% | 
 | 58   | Pyukumuku          |  2.36725% | 6941   |  1.659% | 4626   |  1.727% | 
