 Total battles: 308206
 Avg. weight/team: 0.213
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 73.41586% | 253387 | 41.107% | 198925 | 46.131% | 
 | 2    | Yveltal            | 44.98416% | 128230 | 20.803% | 97234  | 22.549% | 
 | 3    | Xerneas            | 44.84704% | 178731 | 28.995% | 121774 | 28.239% | 
 | 4    | Necrozma-Dusk-Mane | 42.73647% | 117107 | 18.998% | 83477  | 19.358% | 
 | 5    | Marshadow          | 34.51844% | 130379 | 21.151% | 88778  | 20.588% | 
 | 6    | Kyogre-Primal      | 24.05189% | 130820 | 21.223% | 91257  | 21.163% | 
 | 7    | Arceus             | 17.32820% | 66356  | 10.765% | 46024  | 10.673% | 
 | 8    | Salamence-Mega     | 16.02878% | 55701  |  9.036% | 37723  |  8.748% | 
 | 9    | Arceus-Ground      | 15.32678% | 32537  |  5.278% | 25214  |  5.847% | 
 | 10   | Arceus-Fairy       | 13.29061% | 33451  |  5.427% | 25471  |  5.907% | 
 | 11   | Zygarde            | 11.22026% | 51076  |  8.286% | 35689  |  8.276% | 
 | 12   | Ho-Oh              | 10.85450% | 39947  |  6.481% | 28995  |  6.724% | 
 | 13   | Lugia              |  9.93439% | 53478  |  8.676% | 37016  |  8.584% | 
 | 14   | Gengar-Mega        |  9.81676% | 42144  |  6.837% | 28941  |  6.711% | 
 | 15   | Rayquaza           |  9.61620% | 60275  |  9.778% | 40867  |  9.477% | 
 | 16   | Giratina-Origin    |  9.46400% | 40772  |  6.614% | 28703  |  6.656% | 
 | 17   | Lucario-Mega       |  9.19394% | 50580  |  8.206% | 34114  |  7.911% | 
 | 18   | Arceus-Water       |  8.55049% | 23061  |  3.741% | 17452  |  4.047% | 
 | 19   | Magearna           |  7.84166% | 21102  |  3.423% | 15975  |  3.705% | 
 | 20   | Deoxys-Attack      |  7.71297% | 36149  |  5.864% | 25193  |  5.842% | 
 | 21   | Mewtwo-Mega-Y      |  7.53792% | 51794  |  8.402% | 33325  |  7.728% | 
 | 22   | Ferrothorn         |  6.37117% | 30234  |  4.905% | 24510  |  5.684% | 
 | 23   | Deoxys-Speed       |  5.95768% | 23921  |  3.881% | 21371  |  4.956% | 
 | 24   | Smeargle           |  5.94121% | 18443  |  2.992% | 17150  |  3.977% | 
 | 25   | Aegislash          |  5.27799% | 58191  |  9.440% | 40046  |  9.287% | 
 | 26   | Naganadel          |  4.82407% | 35476  |  5.755% | 22886  |  5.307% | 
 | 27   | Blaziken-Mega      |  3.99987% | 47975  |  7.783% | 33018  |  7.657% | 
 | 28   | Kyurem-White       |  3.95747% | 21603  |  3.505% | 13884  |  3.220% | 
 | 29   | Lunala             |  3.90068% | 19975  |  3.241% | 13780  |  3.196% | 
 | 30   | Necrozma-Dawn-Wings |  3.81523% | 31582  |  5.124% | 20711  |  4.803% | 
 | 31   | Darkrai            |  3.71624% | 47062  |  7.635% | 32271  |  7.484% | 
 | 32   | Pheromosa          |  3.68164% | 23643  |  3.836% | 16300  |  3.780% | 
 | 33   | Ditto              |  3.59365% | 11613  |  1.884% | 8083   |  1.874% | 
 | 34   | Shaymin-Sky        |  3.57386% | 23874  |  3.873% | 16226  |  3.763% | 
 | 35   | Arceus-Ghost       |  3.50709% | 12005  |  1.948% | 7919   |  1.836% | 
 | 36   | Dialga             |  3.35554% | 28471  |  4.619% | 20060  |  4.652% | 
 | 37   | Kangaskhan-Mega    |  3.33552% | 25579  |  4.150% | 18750  |  4.348% | 
 | 38   | Mewtwo-Mega-X      |  3.05001% | 25205  |  4.089% | 16891  |  3.917% | 
 | 39   | Metagross-Mega     |  2.98491% | 26555  |  4.308% | 18315  |  4.247% | 
 | 40   | Palkia             |  2.90744% | 18957  |  3.075% | 12734  |  2.953% | 
 | 41   | Tapu Lele          |  2.84143% | 10494  |  1.702% | 7650   |  1.774% | 
 | 42   | Genesect           |  2.58721% | 20593  |  3.341% | 14683  |  3.405% | 
 | 43   | Giratina           |  2.40115% | 11372  |  1.845% | 8038   |  1.864% | 
 | 44   | Arceus-Steel       |  2.31930% | 10404  |  1.688% | 7246   |  1.680% | 
 | 45   | Chansey            |  2.16059% | 15325  |  2.486% | 10305  |  2.390% | 
 | 46   | Arceus-Dark        |  2.11378% | 6361   |  1.032% | 4693   |  1.088% | 
 | 47   | Shuckle            |  2.07527% | 17806  |  2.889% | 15876  |  3.682% | 
 | 48   | Celesteela         |  2.07410% | 13299  |  2.157% | 9677   |  2.244% | 
 | 49   | Diancie-Mega       |  2.03754% | 10003  |  1.623% | 7532   |  1.747% | 
 | 50   | Blissey            |  2.03220% | 10638  |  1.726% | 7601   |  1.763% | 
 | 51   | Sableye-Mega       |  1.98470% | 8084   |  1.311% | 6568   |  1.523% | 
 | 52   | Excadrill          |  1.95643% | 10394  |  1.686% | 8074   |  1.872% | 
 | 53   | Mewtwo             |  1.90207% | 16711  |  2.711% | 10947  |  2.539% | 
 | 54   | Landorus           |  1.84664% | 11701  |  1.898% | 8561   |  1.985% | 
 | 55   | Zekrom             |  1.77793% | 17937  |  2.910% | 11486  |  2.664% | 
 | 56   | Cloyster           |  1.75242% | 13155  |  2.134% | 10376  |  2.406% | 
 | 57   | Kyogre             |  1.71723% | 10272  |  1.666% | 7047   |  1.634% | 
 | 58   | Arceus-Flying      |  1.71117% | 4594   |  0.745% | 3127   |  0.725% | 
 | 59   | Toxapex            |  1.60399% | 13725  |  2.227% | 10216  |  2.369% | 
 | 60   | Scizor-Mega        |  1.58399% | 9737   |  1.580% | 6915   |  1.604% | 
 | 61   | Greninja           |  1.56369% | 23820  |  3.864% | 17453  |  4.047% | 
 | 62   | Arceus-Poison      |  1.50058% | 6068   |  0.984% | 3947   |  0.915% | 
 | 63   | Landorus-Therian   |  1.44652% | 14425  |  2.340% | 11233  |  2.605% | 
 | 64   | Solgaleo           |  1.40500% | 14737  |  2.391% | 9734   |  2.257% | 
 | 65   | Greninja-Ash       |  1.17983% | 38118  |  6.184% | 27085  |  6.281% | 
 | 66   | Blaziken           |  1.17740% | 19814  |  3.214% | 13637  |  3.162% | 
 | 67   | Deoxys-Defense     |  1.10341% | 13654  |  2.215% | 10502  |  2.435% | 
 | 68   | Tapu Koko          |  1.06927% | 15527  |  2.519% | 10864  |  2.519% | 
 | 69   | Gothitelle         |  1.03663% | 2877   |  0.467% | 1956   |  0.454% | 
 | 70   | Mimikyu            |  0.99381% | 21376  |  3.468% | 15365  |  3.563% | 
 | 71   | Arceus-Dragon      |  0.98722% | 5750   |  0.933% | 3962   |  0.919% | 
 | 72   | Kartana            |  0.92523% | 15006  |  2.434% | 9796   |  2.272% | 
 | 73   | Skarmory           |  0.83793% | 8102   |  1.314% | 6381   |  1.480% | 
 | 74   | Tyranitar          |  0.78759% | 12051  |  1.955% | 8492   |  1.969% | 
 | 75   | Arceus-Electric    |  0.70299% | 5434   |  0.882% | 3631   |  0.842% | 
 | 76   | Tyranitar-Mega     |  0.68590% | 8477   |  1.375% | 5974   |  1.385% | 
 | 77   | Scolipede          |  0.68082% | 3955   |  0.642% | 3028   |  0.702% | 
 | 78   | Wobbuffet          |  0.66583% | 6047   |  0.981% | 4376   |  1.015% | 
 | 79   | Slurpuff           |  0.64183% | 2699   |  0.438% | 2163   |  0.502% | 
 | 80   | Venusaur-Mega      |  0.60910% | 9105   |  1.477% | 6142   |  1.424% | 
 | 81   | Reshiram           |  0.60713% | 8911   |  1.446% | 5786   |  1.342% | 
 | 82   | Klefki             |  0.60133% | 3718   |  0.603% | 3074   |  0.713% | 
 | 83   | Gyarados-Mega      |  0.59903% | 7138   |  1.158% | 5260   |  1.220% | 
 | 84   | Garchomp           |  0.59750% | 21321  |  3.459% | 14969  |  3.471% | 
 | 85   | Dugtrio            |  0.56888% | 4433   |  0.719% | 3426   |  0.794% | 
 | 86   | Groudon            |  0.56526% | 4457   |  0.723% | 3461   |  0.803% | 
 | 87   | Jirachi            |  0.55362% | 5744   |  0.932% | 3921   |  0.909% | 
 | 88   | Gliscor            |  0.52467% | 14636  |  2.374% | 10419  |  2.416% | 
 | 89   | Arceus-Rock        |  0.49744% | 1283   |  0.208% | 906    |  0.210% | 
 | 90   | Weavile            |  0.47559% | 8971   |  1.455% | 6494   |  1.506% | 
 | 91   | Arceus-Grass       |  0.47461% | 3068   |  0.498% | 2046   |  0.474% | 
 | 92   | Tapu Fini          |  0.44220% | 4816   |  0.781% | 3528   |  0.818% | 
 | 93   | Lopunny-Mega       |  0.41462% | 6277   |  1.018% | 4588   |  1.064% | 
 | 94   | Forretress         |  0.39226% | 7643   |  1.240% | 6734   |  1.562% | 
 | 95   | Charizard-Mega-X   |  0.37421% | 22390  |  3.632% | 15753  |  3.653% | 
 | 96   | Shedinja           |  0.37238% | 4000   |  0.649% | 2723   |  0.631% | 
 | 97   | Clefable           |  0.35900% | 7034   |  1.141% | 4780   |  1.108% | 
 | 98   | Blacephalon        |  0.34275% | 6536   |  1.060% | 4349   |  1.009% | 
 | 99   | Heatran            |  0.33217% | 6641   |  1.077% | 4598   |  1.066% | 
 | 100  | Serperior          |  0.31764% | 9233   |  1.498% | 6144   |  1.425% | 
 | 101  | Stakataka          |  0.31651% | 3496   |  0.567% | 2506   |  0.581% | 
 | 102  | Dragonite          |  0.31481% | 14741  |  2.391% | 10107  |  2.344% | 
 | 103  | Galvantula         |  0.30077% | 5338   |  0.866% | 4611   |  1.069% | 
 | 104  | Tapu Bulu          |  0.27645% | 3954   |  0.641% | 2505   |  0.581% | 
 | 105  | Arceus-Fire        |  0.27317% | 2793   |  0.453% | 1899   |  0.440% | 
 | 106  | Kyurem-Black       |  0.27124% | 8090   |  1.312% | 5286   |  1.226% | 
 | 107  | Xurkitree          |  0.26642% | 4752   |  0.771% | 3139   |  0.728% | 
 | 108  | Rotom-Wash         |  0.26529% | 6788   |  1.101% | 4872   |  1.130% | 
 | 109  | Latias-Mega        |  0.26363% | 2229   |  0.362% | 1527   |  0.354% | 
 | 110  | Umbreon            |  0.26214% | 6730   |  1.092% | 4656   |  1.080% | 
 | 111  | Scizor             |  0.25858% | 6715   |  1.089% | 4558   |  1.057% | 
 | 112  | Volcarona          |  0.25776% | 9635   |  1.563% | 6027   |  1.398% | 
 | 113  | Bronzong           |  0.25496% | 1625   |  0.264% | 1316   |  0.305% | 
 | 114  | Muk-Alola          |  0.25170% | 3443   |  0.559% | 2529   |  0.586% | 
 | 115  | Ribombee           |  0.24723% | 2052   |  0.333% | 1645   |  0.381% | 
 | 116  | Mawile-Mega        |  0.24405% | 4359   |  0.707% | 3001   |  0.696% | 
 | 117  | Espeon             |  0.23974% | 5214   |  0.846% | 3538   |  0.820% | 
 | 118  | Togedemaru         |  0.23867% | 1408   |  0.228% | 1104   |  0.256% | 
 | 119  | Bisharp            |  0.23281% | 8987   |  1.458% | 6152   |  1.427% | 
 | 120  | Hoopa-Unbound      |  0.22937% | 5620   |  0.912% | 3808   |  0.883% | 
 | 121  | Mew                |  0.22816% | 7024   |  1.139% | 5049   |  1.171% | 
 | 122  | Buzzwole           |  0.22324% | 4088   |  0.663% | 2677   |  0.621% | 
 | 123  | Beedrill-Mega      |  0.22299% | 5509   |  0.894% | 3848   |  0.892% | 
 | 124  | Breloom            |  0.22227% | 6046   |  0.981% | 4266   |  0.989% | 
 | 125  | Mamoswine          |  0.22115% | 4380   |  0.711% | 3329   |  0.772% | 
 | 126  | Talonflame         |  0.21954% | 7562   |  1.227% | 5236   |  1.214% | 
 | 127  | Zapdos             |  0.21788% | 5396   |  0.875% | 3684   |  0.854% | 
 | 128  | Charizard-Mega-Y   |  0.21730% | 11161  |  1.811% | 7822   |  1.814% | 
 | 129  | Gengar             |  0.21411% | 12894  |  2.092% | 8863   |  2.055% | 
 | 130  | Snorlax            |  0.20627% | 10404  |  1.688% | 7511   |  1.742% | 
 | 131  | Hydreigon          |  0.20556% | 6792   |  1.102% | 4732   |  1.097% | 
 | 132  | Ninetales-Alola    |  0.19910% | 7353   |  1.193% | 5225   |  1.212% | 
 | 133  | Tentacruel         |  0.19768% | 2822   |  0.458% | 2107   |  0.489% | 
 | 134  | Whimsicott         |  0.19760% | 3120   |  0.506% | 2257   |  0.523% | 
 | 135  | Swampert-Mega      |  0.19749% | 7737   |  1.255% | 5652   |  1.311% | 
 | 136  | Togekiss           |  0.19636% | 6665   |  1.081% | 4735   |  1.098% | 
 | 137  | Hawlucha           |  0.19267% | 6244   |  1.013% | 4193   |  0.972% | 
 | 138  | Cresselia          |  0.19072% | 2992   |  0.485% | 1848   |  0.429% | 
 | 139  | Victini            |  0.18736% | 4564   |  0.740% | 3125   |  0.725% | 
 | 140  | Araquanid          |  0.18659% | 1937   |  0.314% | 1481   |  0.343% | 
 | 141  | Accelgor           |  0.18617% | 934    |  0.152% | 765    |  0.177% | 
 | 142  | Aerodactyl         |  0.18216% | 1550   |  0.251% | 1234   |  0.286% | 
 | 143  | Garchomp-Mega      |  0.18084% | 8879   |  1.440% | 6085   |  1.411% | 
 | 144  | Alakazam-Mega      |  0.17744% | 6509   |  1.056% | 4335   |  1.005% | 
 | 145  | Salamence          |  0.17385% | 6373   |  1.034% | 4218   |  0.978% | 
 | 146  | Latios             |  0.17372% | 4326   |  0.702% | 2847   |  0.660% | 
 | 147  | Nosepass           |  0.16636% | 2474   |  0.401% | 1896   |  0.440% | 
 | 148  | Arceus-Ice         |  0.16170% | 1771   |  0.287% | 1162   |  0.269% | 
 | 149  | Mimikyu-Totem      |  0.15527% | 2963   |  0.481% | 2221   |  0.515% | 
 | 150  | Medicham-Mega      |  0.15340% | 2979   |  0.483% | 2066   |  0.479% | 
 | 151  | Hippowdon          |  0.14792% | 2194   |  0.356% | 1802   |  0.418% | 
 | 152  | Azumarill          |  0.14477% | 4182   |  0.678% | 3023   |  0.701% | 
 | 153  | Slowbro-Mega       |  0.14302% | 1352   |  0.219% | 947    |  0.220% | 
 | 154  | Latias             |  0.14289% | 1659   |  0.269% | 1081   |  0.251% | 
 | 155  | Nihilego           |  0.13862% | 2726   |  0.442% | 1988   |  0.461% | 
 | 156  | Magnezone          |  0.13683% | 5479   |  0.889% | 3723   |  0.863% | 
 | 157  | Pyukumuku          |  0.13661% | 1539   |  0.250% | 1137   |  0.264% | 
 | 158  | Infernape          |  0.13629% | 9439   |  1.531% | 6565   |  1.522% | 
 | 159  | Arcanine           |  0.13447% | 6399   |  1.038% | 4435   |  1.028% | 
 | 160  | Sylveon            |  0.13348% | 5271   |  0.855% | 3541   |  0.821% | 
 | 161  | Porygon2           |  0.12653% | 2725   |  0.442% | 1919   |  0.445% | 
 | 162  | Gyarados           |  0.12479% | 5368   |  0.871% | 3788   |  0.878% | 
 | 163  | Thundurus          |  0.12145% | 1516   |  0.246% | 1079   |  0.250% | 
 | 164  | Kommo-o            |  0.12034% | 4688   |  0.761% | 3155   |  0.732% | 
 | 165  | Chandelure         |  0.11855% | 4838   |  0.785% | 3352   |  0.777% | 
 | 166  | Metagross          |  0.11675% | 6375   |  1.034% | 4128   |  0.957% | 
 | 167  | Porygon-Z          |  0.11423% | 4725   |  0.767% | 3141   |  0.728% | 
 | 168  | Pinsir-Mega        |  0.11018% | 2311   |  0.375% | 1473   |  0.342% | 
 | 169  | Lycanroc-Dusk      |  0.11012% | 5521   |  0.896% | 3933   |  0.912% | 
 | 170  | Nidoking           |  0.10834% | 4402   |  0.714% | 3345   |  0.776% | 
 | 171  | Gardevoir-Mega     |  0.10820% | 7707   |  1.250% | 5109   |  1.185% | 
 | 172  | Milotic            |  0.10769% | 4679   |  0.759% | 3134   |  0.727% | 
 | 173  | Altaria-Mega       |  0.10511% | 3097   |  0.502% | 2190   |  0.508% | 
 | 174  | Manaphy            |  0.10407% | 2791   |  0.453% | 1904   |  0.442% | 
 | 175  | Pelipper           |  0.10273% | 1997   |  0.324% | 1529   |  0.355% | 
 | 176  | Jolteon            |  0.10229% | 5924   |  0.961% | 4119   |  0.955% | 
 | 177  | Deoxys             |  0.10199% | 1948   |  0.316% | 1365   |  0.317% | 
 | 178  | Crobat             |  0.10163% | 5894   |  0.956% | 4180   |  0.969% | 
 | 179  | Zoroark            |  0.09486% | 4246   |  0.689% | 2201   |  0.510% | 
 | 180  | Staraptor          |  0.09362% | 6462   |  1.048% | 4504   |  1.044% | 
 | 181  | Aerodactyl-Mega    |  0.09199% | 2551   |  0.414% | 1721   |  0.399% | 
 | 182  | Keldeo             |  0.09198% | 3486   |  0.566% | 2353   |  0.546% | 
 | 183  | Suicune            |  0.09076% | 2701   |  0.438% | 1810   |  0.420% | 
 | 184  | Arceus-Fighting    |  0.08856% | 1022   |  0.166% | 684    |  0.159% | 
 | 185  | Primarina          |  0.08716% | 4338   |  0.704% | 3058   |  0.709% | 
 | 186  | Pikachu            |  0.08671% | 5328   |  0.864% | 4008   |  0.929% | 
 | 187  | Haxorus            |  0.08509% | 4741   |  0.769% | 3028   |  0.702% | 
 | 188  | Gallade-Mega       |  0.08431% | 5250   |  0.852% | 3636   |  0.843% | 
 | 189  | Mandibuzz          |  0.08325% | 1875   |  0.304% | 1291   |  0.299% | 
 | 190  | Flygon             |  0.08319% | 3322   |  0.539% | 2439   |  0.566% | 
 | 191  | Volcanion          |  0.07964% | 3842   |  0.623% | 2750   |  0.638% | 
 | 192  | Gardevoir          |  0.07917% | 5721   |  0.928% | 3961   |  0.919% | 
 | 193  | Krookodile         |  0.07779% | 4172   |  0.677% | 3049   |  0.707% | 
 | 194  | Tangrowth          |  0.07369% | 2758   |  0.447% | 1763   |  0.409% | 
 | 195  | Glalie-Mega        |  0.07368% | 778    |  0.126% | 524    |  0.122% | 
 | 196  | Thundurus-Therian  |  0.07341% | 3305   |  0.536% | 2157   |  0.500% | 
 | 197  | Lucario            |  0.07281% | 5270   |  0.855% | 3639   |  0.844% | 
 | 198  | Durant             |  0.07237% | 2409   |  0.391% | 2049   |  0.475% | 
 | 199  | Manectric-Mega     |  0.07158% | 3437   |  0.558% | 2327   |  0.540% | 
 | 200  | Celebi             |  0.07156% | 1897   |  0.308% | 1293   |  0.300% | 
 | 201  | Gastrodon          |  0.07125% | 2145   |  0.348% | 1556   |  0.361% | 
 | 202  | Golduck            |  0.07077% | 1137   |  0.184% | 803    |  0.186% | 
 | 203  | Rattata            |  0.07064% | 3553   |  0.576% | 2650   |  0.615% | 
 | 204  | Houndoom-Mega      |  0.07052% | 1831   |  0.297% | 1252   |  0.290% | 
 | 205  | Alakazam           |  0.07034% | 3706   |  0.601% | 2476   |  0.574% | 
 | 206  | Ambipom            |  0.06936% | 2541   |  0.412% | 1937   |  0.449% | 
 | 207  | Arceus-Psychic     |  0.06801% | 893    |  0.145% | 609    |  0.141% | 
 | 208  | Decidueye          |  0.06750% | 6567   |  1.065% | 4484   |  1.040% | 
 | 209  | Goodra             |  0.06744% | 4796   |  0.778% | 3266   |  0.757% | 
 | 210  | Probopass          |  0.06690% | 984    |  0.160% | 721    |  0.167% | 
 | 211  | Salazzle           |  0.06664% | 2628   |  0.426% | 1773   |  0.411% | 
 | 212  | Aron               |  0.06572% | 2212   |  0.359% | 1378   |  0.320% | 
 | 213  | Xatu               |  0.06552% | 759    |  0.123% | 584    |  0.135% | 
 | 214  | Arceus-Bug         |  0.06521% | 736    |  0.119% | 497    |  0.115% | 
 | 215  | Aggron-Mega        |  0.06502% | 2535   |  0.411% | 1811   |  0.420% | 
 | 216  | Starmie            |  0.06485% | 2591   |  0.420% | 1729   |  0.401% | 
 | 217  | Conkeldurr         |  0.06451% | 3285   |  0.533% | 2236   |  0.519% | 
 | 218  | Sceptile-Mega      |  0.06449% | 8267   |  1.341% | 5656   |  1.312% | 
 | 219  | Absol-Mega         |  0.06412% | 2128   |  0.345% | 1543   |  0.358% | 
 | 220  | Electivire         |  0.06268% | 5655   |  0.917% | 3999   |  0.927% | 
 | 221  | Kingdra            |  0.06227% | 3095   |  0.502% | 2101   |  0.487% | 
 | 222  | Feraligatr         |  0.06213% | 3322   |  0.539% | 2308   |  0.535% | 
 | 223  | Darmanitan         |  0.05998% | 2143   |  0.348% | 1510   |  0.350% | 
 | 224  | Ninetales          |  0.05941% | 1771   |  0.287% | 1243   |  0.288% | 
 | 225  | Latios-Mega        |  0.05921% | 2706   |  0.439% | 1758   |  0.408% | 
 | 226  | Azelf              |  0.05905% | 954    |  0.155% | 779    |  0.181% | 
 | 227  | Venusaur           |  0.05801% | 4253   |  0.690% | 2843   |  0.659% | 
 | 228  | Zygarde-10%        |  0.05785% | 919    |  0.149% | 704    |  0.163% | 
 | 229  | Heracross          |  0.05749% | 1582   |  0.257% | 1100   |  0.255% | 
 | 230  | Uxie               |  0.05620% | 508    |  0.082% | 427    |  0.099% | 
 | 231  | Murkrow            |  0.05596% | 450    |  0.073% | 289    |  0.067% | 
 | 232  | Banette-Mega       |  0.05546% | 1820   |  0.295% | 1252   |  0.290% | 
 | 233  | Empoleon           |  0.05517% | 3043   |  0.494% | 2269   |  0.526% | 
 | 234  | Swellow            |  0.05440% | 2010   |  0.326% | 1359   |  0.315% | 
 | 235  | Marowak-Alola      |  0.05344% | 2468   |  0.400% | 1706   |  0.396% | 
 | 236  | Torkoal            |  0.05093% | 1219   |  0.198% | 1023   |  0.237% | 
 | 237  | Meloetta           |  0.05022% | 1684   |  0.273% | 1179   |  0.273% | 
 | 238  | Noivern            |  0.04958% | 4123   |  0.669% | 2894   |  0.671% | 
 | 239  | Minior             |  0.04916% | 1516   |  0.246% | 1149   |  0.266% | 
 | 240  | Mantine            |  0.04898% | 1056   |  0.171% | 738    |  0.171% | 
 | 241  | Quagsire           |  0.04850% | 1529   |  0.248% | 1123   |  0.260% | 
 | 242  | Malamar            |  0.04845% | 2003   |  0.325% | 1478   |  0.343% | 
 | 243  | Tangela            |  0.04827% | 395    |  0.064% | 260    |  0.060% | 
 | 244  | Golisopod          |  0.04713% | 1796   |  0.291% | 1284   |  0.298% | 
 | 245  | Vaporeon           |  0.04701% | 2162   |  0.351% | 1573   |  0.365% | 
 | 246  | Alomomola          |  0.04638% | 1058   |  0.172% | 708    |  0.164% | 
 | 247  | Amoonguss          |  0.04624% | 1439   |  0.233% | 898    |  0.208% | 
