 Total battles: 23083
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Garchomp           | 52.86141% | 24404  | 52.861% | 10577  | 50.464% | 
 | 2    | Infernape          | 41.93346% | 19359  | 41.933% | 9282   | 44.286% | 
 | 3    | Scizor             | 36.06117% | 16648  | 36.061% | 7746   | 36.957% | 
 | 4    | Rotom-Wash         | 30.28636% | 13982  | 30.286% | 7820   | 37.310% | 
 | 5    | Weavile            | 26.11879% | 12058  | 26.119% | 5991   | 28.584% | 
 | 6    | Azumarill          | 24.71083% | 11408  | 24.711% | 5360   | 25.573% | 
 | 7    | Togekiss           | 20.24434% | 9346   | 20.244% | 3960   | 18.894% | 
 | 8    | Gliscor            | 17.91362% | 8270   | 17.914% | 3568   | 17.023% | 
 | 9    | Porygon2           | 16.04428% | 7407   | 16.044% | 3106   | 14.819% | 
 | 10   | Roserade           | 14.90707% | 6882   | 14.907% | 2845   | 13.574% | 
 | 11   | Gengar             | 14.84859% | 6855   | 14.849% | 2796   | 13.340% | 
 | 12   | Gyarados           | 13.72005% | 6334   | 13.720% | 2958   | 14.113% | 
 | 13   | Magnezone          | 12.92076% | 5965   | 12.921% | 2681   | 12.791% | 
 | 14   | Clefable           | 12.81896% | 5918   | 12.819% | 2293   | 10.940% | 
 | 15   | Staraptor          | 12.66733% | 5848   | 12.667% | 2833   | 13.517% | 
 | 16   | Lucario            | 12.53303% | 5786   | 12.533% | 2772   | 13.226% | 
 | 17   | Tangrowth          | 11.85938% | 5475   | 11.859% | 2041   |  9.738% | 
 | 18   | Milotic            | 11.09475% | 5122   | 11.095% | 2579   | 12.305% | 
 | 19   | Gastrodon          |  9.43768% | 4357   |  9.438% | 2042   |  9.743% | 
 | 20   | Mamoswine          |  9.31855% | 4302   |  9.319% | 2031   |  9.690% | 
 | 21   | Rotom-Heat         |  8.90915% | 4113   |  8.909% | 2041   |  9.738% | 
 | 22   | Azelf              |  8.63406% | 3986   |  8.634% | 2087   |  9.957% | 
 | 23   | Snorlax            |  7.35606% | 3396   |  7.356% | 1573   |  7.505% | 
 | 24   | Porygon-Z          |  7.09397% | 3275   |  7.094% | 1412   |  6.737% | 
 | 25   | Glalie             |  6.85786% | 3166   |  6.858% | 1552   |  7.405% | 
 | 26   | Empoleon           |  6.79071% | 3135   |  6.791% | 1299   |  6.198% | 
 | 27   | Alakazam           |  6.62609% | 3059   |  6.626% | 1300   |  6.202% | 
 | 28   | Chansey            |  6.37266% | 2942   |  6.373% | 1077   |  5.139% | 
 | 29   | Hippowdon          |  6.14305% | 2836   |  6.143% | 1207   |  5.759% | 
 | 30   | Gardevoir          |  6.09539% | 2814   |  6.095% | 1299   |  6.198% | 
 | 31   | Bronzong           |  5.61236% | 2591   |  5.612% | 1100   |  5.248% | 
 | 32   | Crobat             |  5.34376% | 2467   |  5.344% | 1059   |  5.053% | 
 | 33   | Rotom-Mow          |  4.91054% | 2267   |  4.911% | 1083   |  5.167% | 
 | 34   | Jolteon            |  4.29753% | 1984   |  4.298% | 974    |  4.647% | 
 | 35   | Machamp            |  4.15674% | 1919   |  4.157% | 1030   |  4.914% | 
 | 36   | Uxie               |  4.01378% | 1853   |  4.014% | 936    |  4.466% | 
 | 37   | Mismagius          |  3.98778% | 1841   |  3.988% | 729    |  3.478% | 
 | 38   | Torterra           |  3.62821% | 1675   |  3.628% | 743    |  3.545% | 
 | 39   | Electivire         |  3.42676% | 1582   |  3.427% | 825    |  3.936% | 
 | 40   | Drapion            |  3.22748% | 1490   |  3.227% | 744    |  3.550% | 
 | 41   | Pelipper           |  3.16033% | 1459   |  3.160% | 866    |  4.132% | 
 | 42   | Luxray             |  3.12568% | 1443   |  3.126% | 671    |  3.201% | 
 | 43   | Blissey            |  3.07369% | 1419   |  3.074% | 783    |  3.736% | 
 | 44   | Umbreon            |  3.06719% | 1416   |  3.067% | 561    |  2.677% | 
 | 45   | Ambipom            |  3.05636% | 1411   |  3.056% | 730    |  3.483% | 
 | 46   | Quagsire           |  3.04120% | 1404   |  3.041% | 768    |  3.664% | 
 | 47   | Spiritomb          |  3.02820% | 1398   |  3.028% | 435    |  2.075% | 
 | 48   | Abomasnow          |  2.94589% | 1360   |  2.946% | 640    |  3.054% | 
 | 49   | Toxicroak          |  2.90907% | 1343   |  2.909% | 623    |  2.972% | 
 | 50   | Espeon             |  2.73795% | 1264   |  2.738% | 571    |  2.724% | 
 | 51   | Gallade            |  2.46502% | 1138   |  2.465% | 570    |  2.720% | 
 | 52   | Tentacruel         |  2.25924% | 1043   |  2.259% | 387    |  1.846% | 
 | 53   | Rhyperior          |  2.20292% | 1017   |  2.203% | 491    |  2.343% | 
 | 54   | Heracross          |  2.05563% | 949    |  2.056% | 411    |  1.961% | 
 | 55   | Dusknoir           |  2.01880% | 932    |  2.019% | 374    |  1.784% | 
 | 56   | Yanmega            |  1.85201% | 855    |  1.852% | 361    |  1.722% | 
 | 57   | Dusclops           |  1.69822% | 784    |  1.698% | 414    |  1.975% | 
 | 58   | Floatzel           |  1.66789% | 770    |  1.668% | 363    |  1.732% | 
 | 59   | Froslass           |  1.65057% | 762    |  1.651% | 361    |  1.722% | 
 | 60   | Magmortar          |  1.59208% | 735    |  1.592% | 249    |  1.188% | 
 | 61   | Golduck            |  1.58125% | 730    |  1.581% | 339    |  1.617% | 
 | 62   | Glaceon            |  1.55309% | 717    |  1.553% | 277    |  1.322% | 
 | 63   | Drifblim           |  1.51843% | 701    |  1.518% | 363    |  1.732% | 
 | 64   | Honchkrow          |  1.31265% | 606    |  1.313% | 212    |  1.011% | 
 | 65   | Vaporeon           |  1.27583% | 589    |  1.276% | 263    |  1.255% | 
 | 66   | Murkrow            |  1.05056% | 485    |  1.051% | 156    |  0.744% | 
 | 67   | Leafeon            |  1.03756% | 479    |  1.038% | 168    |  0.802% | 
 | 68   | Steelix            |  1.01157% | 467    |  1.012% | 210    |  1.002% | 
 | 69   | Rapidash           |  1.00940% | 466    |  1.009% | 170    |  0.811% | 
 | 70   | Kricketune         |  0.95741% | 442    |  0.957% | 188    |  0.897% | 
 | 71   | Rampardos          |  0.95092% | 439    |  0.951% | 170    |  0.811% | 
 | 72   | Mesprit            |  0.90976% | 420    |  0.910% | 181    |  0.864% | 
 | 73   | Mantine            |  0.90759% | 419    |  0.908% | 162    |  0.773% | 
 | 74   | Lopunny            |  0.88593% | 409    |  0.886% | 234    |  1.116% | 
 | 75   | Medicham           |  0.75380% | 348    |  0.754% | 187    |  0.892% | 
 | 76   | Bastiodon          |  0.69532% | 321    |  0.695% | 111    |  0.530% | 
 | 77   | Pikachu            |  0.68665% | 317    |  0.687% | 156    |  0.744% | 
 | 78   | Bibarel            |  0.67366% | 311    |  0.674% | 171    |  0.816% | 
 | 79   | Octillery          |  0.63683% | 294    |  0.637% | 147    |  0.701% | 
 | 80   | Houndoom           |  0.58918% | 272    |  0.589% | 120    |  0.573% | 
 | 81   | Flareon            |  0.51986% | 240    |  0.520% | 77     |  0.367% | 
 | 82   | Raichu             |  0.51986% | 240    |  0.520% | 112    |  0.534% | 
 | 83   | Scyther            |  0.50253% | 232    |  0.503% | 103    |  0.491% | 
 | 84   | Skuntank           |  0.44622% | 206    |  0.446% | 69     |  0.329% | 
 | 85   | Seaking            |  0.38990% | 180    |  0.390% | 71     |  0.339% | 
 | 86   | Rotom              |  0.37257% | 172    |  0.373% | 64     |  0.305% | 
 | 87   | Chatot             |  0.35307% | 163    |  0.353% | 90     |  0.429% | 
 | 88   | Misdreavus         |  0.32491% | 150    |  0.325% | 63     |  0.301% | 
 | 89   | Sudowoodo          |  0.31408% | 145    |  0.314% | 54     |  0.258% | 
 | 90   | Tangela            |  0.26643% | 123    |  0.266% | 52     |  0.248% | 
 | 91   | Absol              |  0.25127% | 116    |  0.251% | 30     |  0.143% | 
 | 92   | Grotle             |  0.24693% | 114    |  0.247% | 45     |  0.215% | 
 | 93   | Vespiquen          |  0.24260% | 112    |  0.243% | 30     |  0.143% | 
 | 94   | Lickilicky         |  0.22744% | 105    |  0.227% | 49     |  0.234% | 
 | 95   | Golbat             |  0.22094% | 102    |  0.221% | 26     |  0.124% | 
 | 96   | Altaria            |  0.21228% | 98     |  0.212% | 32     |  0.153% | 
 | 97   | Rotom-Fan          |  0.21011% | 97     |  0.210% | 56     |  0.267% | 
 | 98   | Haunter            |  0.19495% | 90     |  0.195% | 65     |  0.310% | 
 | 99   | Pachirisu          |  0.18845% | 87     |  0.188% | 29     |  0.138% | 
 | 100  | Lumineon           |  0.18412% | 85     |  0.184% | 32     |  0.153% | 
 | 101  | Purugly            |  0.17112% | 79     |  0.171% | 41     |  0.196% | 
 | 102  | Gligar             |  0.16029% | 74     |  0.160% | 30     |  0.143% | 
 | 103  | Buizel             |  0.15163% | 70     |  0.152% | 18     |  0.086% | 
 | 104  | Magneton           |  0.14729% | 68     |  0.147% | 36     |  0.172% | 
 | 105  | Carnivine          |  0.14080% | 65     |  0.141% | 24     |  0.115% | 
 | 106  | Probopass          |  0.13646% | 63     |  0.136% | 28     |  0.134% | 
 | 107  | Rotom-Frost        |  0.13646% | 63     |  0.136% | 45     |  0.215% | 
 | 108  | Golem              |  0.13213% | 61     |  0.132% | 32     |  0.153% | 
 | 109  | Munchlax           |  0.12780% | 59     |  0.128% | 27     |  0.129% | 
 | 110  | Mr. Mime           |  0.12347% | 57     |  0.123% | 25     |  0.119% | 
 | 111  | Rhydon             |  0.12347% | 57     |  0.123% | 27     |  0.129% | 
 | 112  | Cherrim            |  0.10397% | 48     |  0.104% | 18     |  0.086% | 
 | 113  | Dustox             |  0.09098% | 42     |  0.091% | 11     |  0.052% | 
 | 114  | Magmar             |  0.09098% | 42     |  0.091% | 14     |  0.067% | 
 | 115  | Drifloon           |  0.07148% | 33     |  0.071% | 30     |  0.143% | 
 | 116  | Wormadam-Trash     |  0.06932% | 32     |  0.069% | 7      |  0.033% | 
 | 117  | Piloswine          |  0.06065% | 28     |  0.061% | 10     |  0.048% | 
 | 118  | Sneasel            |  0.06065% | 28     |  0.061% | 19     |  0.091% | 
 | 119  | Girafarig          |  0.05848% | 27     |  0.058% | 10     |  0.048% | 
 | 120  | Togetic            |  0.05848% | 27     |  0.058% | 6      |  0.029% | 
 | 121  | Riolu              |  0.05199% | 24     |  0.052% | 16     |  0.076% | 
 | 122  | Starly             |  0.04549% | 21     |  0.045% | 10     |  0.048% | 
 | 123  | Wormadam-Sandy     |  0.04332% | 20     |  0.043% | 4      |  0.019% | 
 | 124  | Hippopotas         |  0.03899% | 18     |  0.039% | 15     |  0.072% | 
 | 125  | Noctowl            |  0.03682% | 17     |  0.037% | 3      |  0.014% | 
 | 126  | Piplup             |  0.03682% | 17     |  0.037% | 11     |  0.052% | 
 | 127  | Ponyta             |  0.03466% | 16     |  0.035% | 6      |  0.029% | 
 | 128  | Tropius            |  0.03466% | 16     |  0.035% | 8      |  0.038% | 
 | 129  | Turtwig            |  0.03466% | 16     |  0.035% | 6      |  0.029% | 
 | 130  | Gible              |  0.03249% | 15     |  0.032% | 0      |  0.000% | 
 | 131  | Mothim             |  0.03033% | 14     |  0.030% | 7      |  0.033% | 
 | 132  | Chimecho           |  0.02599% | 12     |  0.026% | 5      |  0.024% | 
 | 133  | Bidoof             |  0.02383% | 11     |  0.024% | 7      |  0.033% | 
 | 134  | Bonsly             |  0.02383% | 11     |  0.024% | 4      |  0.019% | 
 | 135  | Monferno           |  0.02383% | 11     |  0.024% | 6      |  0.029% | 
 | 136  | Roselia            |  0.02383% | 11     |  0.024% | 7      |  0.033% | 
 | 137  | Whiscash           |  0.02166% | 10     |  0.022% | 5      |  0.024% | 
 | 138  | Beautifly          |  0.01733% | 8      |  0.017% | 4      |  0.019% | 
 | 139  | Kadabra            |  0.01733% | 8      |  0.017% | 4      |  0.019% | 
 | 140  | Magnemite          |  0.01733% | 8      |  0.017% | 2      |  0.010% | 
 | 141  | Nosepass           |  0.01733% | 8      |  0.017% | 4      |  0.019% | 
 | 142  | Shieldon           |  0.01733% | 8      |  0.017% | 5      |  0.024% | 
 | 143  | Staravia           |  0.01733% | 8      |  0.017% | 4      |  0.019% | 
 | 144  | Wormadam           |  0.01733% | 8      |  0.017% | 3      |  0.014% | 
 | 145  | Clefairy           |  0.01516% | 7      |  0.015% | 1      |  0.005% | 
 | 146  | Croagunk           |  0.01516% | 7      |  0.015% | 6      |  0.029% | 
 | 147  | Gabite             |  0.01516% | 7      |  0.015% | 2      |  0.010% | 
 | 148  | Kirlia             |  0.01300% | 6      |  0.013% | 1      |  0.005% | 
 | 149  | Magikarp           |  0.01300% | 6      |  0.013% | 2      |  0.010% | 
 | 150  | Prinplup           |  0.01300% | 6      |  0.013% | 5      |  0.024% | 
 | 151  | Chimchar           |  0.01083% | 5      |  0.011% | 3      |  0.014% | 
 | 152  | Glameow            |  0.01083% | 5      |  0.011% | 2      |  0.010% | 
 | 153  | Graveler           |  0.01083% | 5      |  0.011% | 1      |  0.005% | 
 | 154  | Eevee              |  0.00866% | 4      |  0.009% | 2      |  0.010% | 
 | 155  | Onix               |  0.00866% | 4      |  0.009% | 2      |  0.010% | 
 | 156  | Abra               |  0.00650% | 3      |  0.006% | 0      |  0.000% | 
 | 157  | Aipom              |  0.00650% | 3      |  0.006% | 2      |  0.010% | 
 | 158  | Electabuzz         |  0.00650% | 3      |  0.006% | 1      |  0.005% | 
 | 159  | Geodude            |  0.00650% | 3      |  0.006% | 0      |  0.000% | 
 | 160  | Unown              |  0.00650% | 3      |  0.006% | 1      |  0.005% | 
 | 161  | Cleffa             |  0.00433% | 2      |  0.004% | 1      |  0.005% | 
