 Total battles: 57322
 Avg. weight/team: 0.02
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Scizor             | 34.76222% | 29673  | 25.883% | 23706  | 26.216% | 
 | 2    | Gliscor            | 25.57997% | 32508  | 28.356% | 27069  | 29.935% | 
 | 3    | Latias             | 24.21206% | 23433  | 20.440% | 17446  | 19.293% | 
 | 4    | Azumarill          | 23.85237% | 16180  | 14.113% | 12941  | 14.311% | 
 | 5    | Blissey            | 22.76906% | 8513   |  7.426% | 6550   |  7.244% | 
 | 6    | Alomomola          | 19.30690% | 6288   |  5.485% | 5156   |  5.702% | 
 | 7    | Aggron-Mega        | 18.53550% | 9217   |  8.040% | 7792   |  8.617% | 
 | 8    | Manectric-Mega     | 17.97262% | 17596  | 15.348% | 14084  | 15.575% | 
 | 9    | Tentacruel         | 13.99183% | 6566   |  5.727% | 5405   |  5.977% | 
 | 10   | Amoonguss          | 13.73352% | 12836  | 11.196% | 10101  | 11.171% | 
 | 11   | Swampert           | 13.23533% | 11149  |  9.725% | 10159  | 11.235% | 
 | 12   | Altaria-Mega       | 13.14218% | 7933   |  6.920% | 5885   |  6.508% | 
 | 13   | Buzzwole           | 13.07186% | 4194   |  3.658% | 3456   |  3.822% | 
 | 14   | Hydreigon          | 13.05639% | 13088  | 11.416% | 10077  | 11.144% | 
 | 15   | Aerodactyl-Mega    | 12.59843% | 9076   |  7.917% | 6839   |  7.563% | 
 | 16   | Muk-Alola          | 11.91130% | 11321  |  9.875% | 9245   | 10.224% | 
 | 17   | Crobat             | 11.71229% | 11340  |  9.891% | 8998   |  9.951% | 
 | 18   | Breloom            | 10.48236% | 6148   |  5.363% | 4946   |  5.470% | 
 | 19   | Togekiss           | 10.46324% | 8617   |  7.516% | 6679   |  7.386% | 
 | 20   | Quagsire           | 10.23240% | 1722   |  1.502% | 1371   |  1.516% | 
 | 21   | Infernape          |  9.96388% | 13559  | 11.827% | 10508  | 11.621% | 
 | 22   | Mamoswine          |  9.94313% | 11364  |  9.912% | 9499   | 10.505% | 
 | 23   | Krookodile         |  9.30891% | 8451   |  7.372% | 6911   |  7.643% | 
 | 24   | Serperior          |  8.38738% | 15814  | 13.794% | 11844  | 13.098% | 
 | 25   | Hippowdon          |  7.86765% | 6842   |  5.968% | 5910   |  6.536% | 
