 Total leads: 19700
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Alakazam           | 24.63452% | 4853   | 24.635% | 
 | 2    | Gengar             | 10.16244% | 2002   | 10.162% | 
 | 3    | Jynx               |  8.73096% | 1720   |  8.731% | 
 | 4    | Starmie            |  8.32487% | 1640   |  8.325% | 
 | 5    | Exeggutor          |  7.35533% | 1449   |  7.355% | 
 | 6    | Jolteon            |  6.28934% | 1239   |  6.289% | 
 | 7    | Chansey            |  3.78680% | 746    |  3.787% | 
 | 8    | Snorlax            |  3.36041% | 662    |  3.360% | 
 | 9    | Charizard          |  3.19289% | 629    |  3.193% | 
 | 10   | Tauros             |  2.96447% | 584    |  2.964% | 
 | 11   | Zapdos             |  2.01523% | 397    |  2.015% | 
 | 12   | Venusaur           |  1.63452% | 322    |  1.635% | 
 | 13   | Dragonite          |  1.50254% | 296    |  1.503% | 
 | 14   | Slowbro            |  1.38579% | 273    |  1.386% | 
 | 15   | Electrode          |  1.25888% | 248    |  1.259% | 
 | 16   | Lapras             |  1.11168% | 219    |  1.112% | 
 | 17   | Blastoise          |  0.97462% | 192    |  0.975% | 
 | 18   | Golem              |  0.92893% | 183    |  0.929% | 
 | 19   | Rhydon             |  0.89848% | 177    |  0.898% | 
 | 20   | Pikachu            |  0.82234% | 162    |  0.822% | 
 | 21   | Raichu             |  0.61421% | 121    |  0.614% | 
 | 22   | Cloyster           |  0.60914% | 120    |  0.609% | 
 | 23   | Arcanine           |  0.58376% | 115    |  0.584% | 
 | 24   | Ninetales          |  0.40609% | 80     |  0.406% | 
 | 25   | Gyarados           |  0.38579% | 76     |  0.386% | 
 | 26   | Nidoking           |  0.36548% | 72     |  0.365% | 
 | 27   | Hypno              |  0.30964% | 61     |  0.310% | 
 | 28   | Persian            |  0.30457% | 60     |  0.305% | 
 | 29   | Parasect           |  0.29442% | 58     |  0.294% | 
 | 30   | Pidgeot            |  0.29442% | 58     |  0.294% | 
 | 31   | Aerodactyl         |  0.20812% | 41     |  0.208% | 
 | 32   | Machamp            |  0.20812% | 41     |  0.208% | 
 | 33   | Wigglytuff         |  0.19797% | 39     |  0.198% | 
 | 34   | Articuno           |  0.15736% | 31     |  0.157% | 
 | 35   | Ditto              |  0.14721% | 29     |  0.147% | 
 | 36   | Raticate           |  0.13706% | 27     |  0.137% | 
 | 37   | Omastar            |  0.13198% | 26     |  0.132% | 
 | 38   | Charmander         |  0.12690% | 25     |  0.127% | 
 | 39   | Dugtrio            |  0.12690% | 25     |  0.127% | 
 | 40   | Onix               |  0.12183% | 24     |  0.122% | 
 | 41   | Dodrio             |  0.11675% | 23     |  0.117% | 
 | 42   | Victreebel         |  0.11675% | 23     |  0.117% | 
 | 43   | Rapidash           |  0.10660% | 21     |  0.107% | 
 | 44   | Magmar             |  0.10152% | 20     |  0.102% | 
 | 45   | Moltres            |  0.10152% | 20     |  0.102% | 
 | 46   | Pinsir             |  0.10152% | 20     |  0.102% | 
 | 47   | Venomoth           |  0.10152% | 20     |  0.102% | 
 | 48   | Beedrill           |  0.09645% | 19     |  0.096% | 
 | 49   | Clefable           |  0.09137% | 18     |  0.091% | 
 | 50   | Sandslash          |  0.08629% | 17     |  0.086% | 
 | 51   | Scyther            |  0.08629% | 17     |  0.086% | 
 | 52   | Tentacruel         |  0.08629% | 17     |  0.086% | 
 | 53   | Bulbasaur          |  0.08122% | 16     |  0.081% | 
 | 54   | Primeape           |  0.08122% | 16     |  0.081% | 
 | 55   | Arbok              |  0.07107% | 14     |  0.071% | 
 | 56   | Poliwrath          |  0.07107% | 14     |  0.071% | 
 | 57   | Kangaskhan         |  0.06599% | 13     |  0.066% | 
 | 58   | Nidoqueen          |  0.06091% | 12     |  0.061% | 
 | 59   | Vaporeon           |  0.06091% | 12     |  0.061% | 
 | 60   | Fearow             |  0.05584% | 11     |  0.056% | 
 | 61   | Haunter            |  0.05584% | 11     |  0.056% | 
 | 62   | Kadabra            |  0.05076% | 10     |  0.051% | 
 | 63   | Dewgong            |  0.04569% | 9      |  0.046% | 
 | 64   | Eevee              |  0.04569% | 9      |  0.046% | 
 | 65   | Electabuzz         |  0.04569% | 9      |  0.046% | 
 | 66   | Flareon            |  0.04569% | 9      |  0.046% | 
 | 67   | Hitmonlee          |  0.04569% | 9      |  0.046% | 
 | 68   | Kabutops           |  0.04569% | 9      |  0.046% | 
 | 69   | Muk                |  0.04569% | 9      |  0.046% | 
 | 70   | Squirtle           |  0.04569% | 9      |  0.046% | 
 | 71   | Butterfree         |  0.04061% | 8      |  0.041% | 
 | 72   | Gastly             |  0.04061% | 8      |  0.041% | 
 | 73   | Lickitung          |  0.04061% | 8      |  0.041% | 
 | 74   | Golbat             |  0.03553% | 7      |  0.036% | 
 | 75   | Golduck            |  0.03553% | 7      |  0.036% | 
 | 76   | Marowak            |  0.03553% | 7      |  0.036% | 
 | 77   | Mr. Mime           |  0.03553% | 7      |  0.036% | 
 | 78   | Tangela            |  0.03553% | 7      |  0.036% | 
 | 79   | Vileplume          |  0.03553% | 7      |  0.036% | 
 | 80   | Weezing            |  0.03553% | 7      |  0.036% | 
 | 81   | Dragonair          |  0.02538% | 5      |  0.025% | 
 | 82   | Geodude            |  0.02030% | 4      |  0.020% | 
 | 83   | Ivysaur            |  0.02030% | 4      |  0.020% | 
 | 84   | Kingler            |  0.02030% | 4      |  0.020% | 
