 Total leads: 1118
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Ho-Oh              | 22.80859% | 255    | 22.809% | 
 | 2    | Snorlax            | 10.82290% | 121    | 10.823% | 
 | 3    | Zapdos             |  8.31843% | 93     |  8.318% | 
 | 4    | Celebi             |  7.78175% | 87     |  7.782% | 
 | 5    | Raikou             |  7.15564% | 80     |  7.156% | 
 | 6    | Cloyster           |  5.18784% | 58     |  5.188% | 
 | 7    | Starmie            |  4.02504% | 45     |  4.025% | 
 | 8    | Marowak            |  3.22004% | 36     |  3.220% | 
 | 9    | Dragonite          |  2.59392% | 29     |  2.594% | 
 | 10   | Tyranitar          |  2.50447% | 28     |  2.504% | 
 | 11   | Forretress         |  2.32558% | 26     |  2.326% | 
 | 12   | Jolteon            |  2.32558% | 26     |  2.326% | 
 | 13   | Gengar             |  1.96780% | 22     |  1.968% | 
 | 14   | Umbreon            |  1.69946% | 19     |  1.699% | 
 | 15   | Smeargle           |  1.52057% | 17     |  1.521% | 
 | 16   | Blissey            |  1.25224% | 14     |  1.252% | 
 | 17   | Nidoking           |  1.07335% | 12     |  1.073% | 
 | 18   | Charizard          |  0.98390% | 11     |  0.984% | 
 | 19   | Shuckle            |  0.89445% | 10     |  0.894% | 
 | 20   | Skarmory           |  0.89445% | 10     |  0.894% | 
 | 21   | Steelix            |  0.80501% | 9      |  0.805% | 
 | 22   | Suicune            |  0.71556% | 8      |  0.716% | 
 | 23   | Typhlosion         |  0.71556% | 8      |  0.716% | 
 | 24   | Kingdra            |  0.53667% | 6      |  0.537% | 
 | 25   | Miltank            |  0.53667% | 6      |  0.537% | 
 | 26   | Alakazam           |  0.44723% | 5      |  0.447% | 
 | 27   | Arcanine           |  0.44723% | 5      |  0.447% | 
 | 28   | Feraligatr         |  0.44723% | 5      |  0.447% | 
 | 29   | Pikachu            |  0.44723% | 5      |  0.447% | 
 | 30   | Venusaur           |  0.44723% | 5      |  0.447% | 
 | 31   | Entei              |  0.35778% | 4      |  0.358% | 
 | 32   | Scizor             |  0.35778% | 4      |  0.358% | 
 | 33   | Blastoise          |  0.26834% | 3      |  0.268% | 
 | 34   | Espeon             |  0.26834% | 3      |  0.268% | 
 | 35   | Houndoom           |  0.26834% | 3      |  0.268% | 
 | 36   | Machamp            |  0.26834% | 3      |  0.268% | 
 | 37   | Moltres            |  0.26834% | 3      |  0.268% | 
 | 38   | Vaporeon           |  0.26834% | 3      |  0.268% | 
 | 39   | Dewgong            |  0.17889% | 2      |  0.179% | 
 | 40   | Exeggutor          |  0.17889% | 2      |  0.179% | 
 | 41   | Gyarados           |  0.17889% | 2      |  0.179% | 
 | 42   | Ninetales          |  0.17889% | 2      |  0.179% | 
 | 43   | Togetic            |  0.17889% | 2      |  0.179% | 
 | 44   | Aerodactyl         |  0.08945% | 1      |  0.089% | 
 | 45   | Articuno           |  0.08945% | 1      |  0.089% | 
 | 46   | Azumarill          |  0.08945% | 1      |  0.089% | 
 | 47   | Dodrio             |  0.08945% | 1      |  0.089% | 
 | 48   | Donphan            |  0.08945% | 1      |  0.089% | 
 | 49   | Electabuzz         |  0.08945% | 1      |  0.089% | 
 | 50   | Heracross          |  0.08945% | 1      |  0.089% | 
 | 51   | Ivysaur            |  0.08945% | 1      |  0.089% | 
 | 52   | Kangaskhan         |  0.08945% | 1      |  0.089% | 
 | 53   | Kingler            |  0.08945% | 1      |  0.089% | 
 | 54   | Lanturn            |  0.08945% | 1      |  0.089% | 
 | 55   | Magikarp           |  0.08945% | 1      |  0.089% | 
 | 56   | Meganium           |  0.08945% | 1      |  0.089% | 
 | 57   | Mr. Mime           |  0.08945% | 1      |  0.089% | 
 | 58   | Muk                |  0.08945% | 1      |  0.089% | 
 | 59   | Poliwrath          |  0.08945% | 1      |  0.089% | 
 | 60   | Porygon2           |  0.08945% | 1      |  0.089% | 
 | 61   | Raichu             |  0.08945% | 1      |  0.089% | 
 | 62   | Rhydon             |  0.08945% | 1      |  0.089% | 
 | 63   | Totodile           |  0.08945% | 1      |  0.089% | 
 | 64   | Weezing            |  0.08945% | 1      |  0.089% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
