 Total leads: 522
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Misdreavus         | 24.97956% | 40     |  7.663% | 
 | 2    | Qwilfish           | 15.62448% | 53     | 10.153% | 
 | 3    | Primeape           | 15.31221% | 15     |  2.874% | 
 | 4    | Hitmontop          | 15.01239% | 28     |  5.364% | 
 | 5    | Glalie             | 12.28690% | 40     |  7.663% | 
 | 6    | Fearow             |  8.67387% | 13     |  2.490% | 
 | 7    | Omastar            |  7.63570% | 47     |  9.004% | 
 | 8    | Ninetales          |  0.22329% | 3      |  0.575% | 
 | 9    | Walrein            |  0.19448% | 33     |  6.322% | 
 | 10   | Nidoking           |  0.02898% | 30     |  5.747% | 
 | 11   | Kangaskhan         |  0.01782% | 17     |  3.257% | 
 | 12   | Electabuzz         |  0.00830% | 33     |  6.322% | 
 | 13   | Gorebyss           |  0.00202% | 11     |  2.107% | 
 | 14   | Absol              |  0.00000% | 11     |  2.107% | 
 | 15   | Aggron             |  0.00000% | 12     |  2.299% | 
 | 16   | Altaria            |  0.00000% | 8      |  1.533% | 
 | 17   | Ampharos           |  0.00000% | 11     |  2.107% | 
 | 18   | Azumarill          |  0.00000% | 7      |  1.341% | 
 | 19   | Banette            |  0.00000% | 5      |  0.958% | 
 | 20   | Blastoise          |  0.00000% | 4      |  0.766% | 
 | 21   | Camerupt           |  0.00000% | 4      |  0.766% | 
 | 22   | Castform           |  0.00000% | 3      |  0.575% | 
 | 23   | Clefable           |  0.00000% | 3      |  0.575% | 
 | 24   | Cradily            |  0.00000% | 2      |  0.383% | 
 | 25   | Electrode          |  0.00000% | 1      |  0.192% | 
 | 26   | Exploud            |  0.00000% | 1      |  0.192% | 
 | 27   | Feraligatr         |  0.00000% | 1      |  0.192% | 
 | 28   | Flareon            |  0.00000% | 2      |  0.383% | 
 | 29   | Gligar             |  0.00000% | 6      |  1.149% | 
 | 30   | Golduck            |  0.00000% | 2      |  0.383% | 
 | 31   | Golem              |  0.00000% | 1      |  0.192% | 
 | 32   | Hitmonlee          |  0.00000% | 6      |  1.149% | 
 | 33   | Hypno              |  0.00000% | 1      |  0.192% | 
 | 34   | Kabutops           |  0.00000% | 1      |  0.192% | 
 | 35   | Lanturn            |  0.00000% | 5      |  0.958% | 
 | 36   | Linoone            |  0.00000% | 2      |  0.383% | 
 | 37   | Lunatone           |  0.00000% | 4      |  0.766% | 
 | 38   | Magmar             |  0.00000% | 1      |  0.192% | 
 | 39   | Manectric          |  0.00000% | 2      |  0.383% | 
 | 40   | Marshtomp          |  0.00000% | 1      |  0.192% | 
 | 41   | Mudkip             |  0.00000% | 1      |  0.192% | 
 | 42   | Muk                |  0.00000% | 33     |  6.322% | 
 | 43   | Pidgeot            |  0.00000% | 2      |  0.383% | 
 | 44   | Pikachu            |  0.00000% | 1      |  0.192% | 
 | 45   | Quagsire           |  0.00000% | 1      |  0.192% | 
 | 46   | Sandslash          |  0.00000% | 4      |  0.766% | 
 | 47   | Scyther            |  0.00000% | 2      |  0.383% | 
 | 48   | Shuckle            |  0.00000% | 1      |  0.192% | 
 | 49   | Tentacruel         |  0.00000% | 2      |  0.383% | 
 | 50   | Tropius            |  0.00000% | 1      |  0.192% | 
 | 51   | Victreebel         |  0.00000% | 1      |  0.192% | 
 | 52   | Xatu               |  0.00000% | 3      |  0.575% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
