 Total leads: 94
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Machop             | 64.35277% | 11     | 11.702% | 
 | 2    | Slowpoke           | 26.37492% | 8      |  8.511% | 
 | 3    | Drifloon           |  9.27231% | 3      |  3.191% | 
 | 4    | Abra               |  0.00000% | 8      |  8.511% | 
 | 5    | Aipom              |  0.00000% | 3      |  3.191% | 
 | 6    | Anorith            |  0.00000% | 2      |  2.128% | 
 | 7    | Azurill            |  0.00000% | 2      |  2.128% | 
 | 8    | Bagon              |  0.00000% | 1      |  1.064% | 
 | 9    | Beldum             |  0.00000% | 1      |  1.064% | 
 | 10   | Bidoof             |  0.00000% | 1      |  1.064% | 
 | 11   | Buizel             |  0.00000% | 1      |  1.064% | 
 | 12   | Cacnea             |  0.00000% | 1      |  1.064% | 
 | 13   | Chimchar           |  0.00000% | 3      |  3.191% | 
 | 14   | Diglett            |  0.00000% | 6      |  6.383% | 
 | 15   | Eevee              |  0.00000% | 5      |  5.319% | 
 | 16   | Elekid             |  0.00000% | 1      |  1.064% | 
 | 17   | Gastly             |  0.00000% | 1      |  1.064% | 
 | 18   | Gible              |  0.00000% | 1      |  1.064% | 
 | 19   | Glameow            |  0.00000% | 5      |  5.319% | 
 | 20   | Gligar             |  0.00000% | 2      |  2.128% | 
 | 21   | Growlithe          |  0.00000% | 1      |  1.064% | 
 | 22   | Hippopotas         |  0.00000% | 2      |  2.128% | 
 | 23   | Houndour           |  0.00000% | 5      |  5.319% | 
 | 24   | Kabuto             |  0.00000% | 1      |  1.064% | 
 | 25   | Lickitung          |  0.00000% | 1      |  1.064% | 
 | 26   | Meowth             |  0.00000% | 4      |  4.255% | 
 | 27   | Munchlax           |  0.00000% | 1      |  1.064% | 
 | 28   | Omanyte            |  0.00000% | 2      |  2.128% | 
 | 29   | Onix               |  0.00000% | 4      |  4.255% | 
 | 30   | Phanpy             |  0.00000% | 1      |  1.064% | 
 | 31   | Piplup             |  0.00000% | 1      |  1.064% | 
 | 32   | Snover             |  0.00000% | 3      |  3.191% | 
 | 33   | Spinarak           |  0.00000% | 1      |  1.064% | 
 | 34   | Totodile           |  0.00000% | 1      |  1.064% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
