 Total leads: 26706
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Tyranitar          |  1.39078% | 367    |  1.374% | 
 | 2    | Prinplup           |  1.33027% | 334    |  1.251% | 
 | 3    | Ferrothorn         |  1.24472% | 325    |  1.217% | 
 | 4    | Klefki             |  1.23309% | 341    |  1.277% | 
 | 5    | Deoxys-Speed       |  1.13031% | 274    |  1.026% | 
 | 6    | Bronzong           |  1.08312% | 271    |  1.015% | 
 | 7    | Archeops           |  1.01262% | 251    |  0.940% | 
 | 8    | Piloswine          |  0.97013% | 243    |  0.910% | 
 | 9    | Mesprit            |  0.94687% | 233    |  0.872% | 
 | 10   | Greninja           |  0.88570% | 224    |  0.839% | 
 | 11   | Smeargle           |  0.88536% | 223    |  0.835% | 
 | 12   | Camerupt           |  0.87998% | 227    |  0.850% | 
 | 13   | Clefairy           |  0.87179% | 231    |  0.865% | 
 | 14   | Diancie-Mega       |  0.85917% | 208    |  0.779% | 
 | 15   | Deoxys             |  0.83976% | 214    |  0.801% | 
 | 16   | Sableye-Mega       |  0.83481% | 208    |  0.779% | 
 | 17   | Dialga             |  0.79788% | 194    |  0.726% | 
 | 18   | Mamoswine          |  0.79292% | 198    |  0.741% | 
 | 19   | Ferroseed          |  0.79088% | 207    |  0.775% | 
 | 20   | Omastar            |  0.78996% | 201    |  0.753% | 
 | 21   | Rhyperior          |  0.77180% | 220    |  0.824% | 
 | 22   | Genesect           |  0.70707% | 169    |  0.633% | 
 | 23   | Azelf              |  0.69515% | 167    |  0.625% | 
 | 24   | Heatran            |  0.68894% | 178    |  0.667% | 
 | 25   | Probopass          |  0.64056% | 152    |  0.569% | 
 | 26   | Manectric          |  0.63310% | 160    |  0.599% | 
 | 27   | Diancie            |  0.62864% | 165    |  0.618% | 
 | 28   | Registeel          |  0.61053% | 152    |  0.569% | 
 | 29   | Rotom              |  0.60724% | 146    |  0.547% | 
 | 30   | Roselia            |  0.59969% | 173    |  0.648% | 
 | 31   | Empoleon           |  0.58457% | 159    |  0.595% | 
 | 32   | Uxie               |  0.57108% | 133    |  0.498% | 
 | 33   | Groudon-Primal     |  0.55131% | 139    |  0.520% | 
 | 34   | Terrakion          |  0.54975% | 142    |  0.532% | 
 | 35   | Shuckle            |  0.54947% | 150    |  0.562% | 
 | 36   | Clefable           |  0.54020% | 135    |  0.506% | 
 | 37   | Seismitoad         |  0.53833% | 136    |  0.509% | 
 | 38   | Golem              |  0.53727% | 130    |  0.487% | 
 | 39   | Forretress         |  0.52270% | 151    |  0.565% | 
 | 40   | Rotom-Wash         |  0.52082% | 126    |  0.472% | 
 | 41   | Infernape          |  0.50984% | 127    |  0.476% | 
 | 42   | Flygon             |  0.50510% | 141    |  0.528% | 
 | 43   | Groudon            |  0.49888% | 119    |  0.446% | 
 | 44   | Scizor-Mega        |  0.49805% | 137    |  0.513% | 
 | 45   | Crustle            |  0.49668% | 121    |  0.453% | 
 | 46   | Landorus-Therian   |  0.49466% | 127    |  0.476% | 
 | 47   | Donphan            |  0.48936% | 127    |  0.476% | 
 | 48   | Garchomp           |  0.48869% | 125    |  0.468% | 
 | 49   | Marowak            |  0.48746% | 130    |  0.487% | 
 | 50   | Hippowdon          |  0.47807% | 125    |  0.468% | 
 | 51   | Monferno           |  0.46423% | 128    |  0.479% | 
 | 52   | Solrock            |  0.45938% | 116    |  0.434% | 
 | 53   | Stunfisk           |  0.45627% | 115    |  0.431% | 
 | 54   | Venipede           |  0.45120% | 116    |  0.434% | 
 | 55   | Swampert           |  0.44947% | 112    |  0.419% | 
 | 56   | Aurorus            |  0.44502% | 111    |  0.416% | 
 | 57   | Gabite             |  0.44082% | 109    |  0.408% | 
 | 58   | Gligar             |  0.43620% | 122    |  0.457% | 
 | 59   | Metang             |  0.43592% | 114    |  0.427% | 
 | 60   | Deoxys-Defense     |  0.43495% | 113    |  0.423% | 
 | 61   | Galvantula         |  0.43317% | 109    |  0.408% | 
 | 62   | Skarmory           |  0.43283% | 125    |  0.468% | 
 | 63   | Malamar            |  0.43025% | 114    |  0.427% | 
 | 64   | Vivillon           |  0.42463% | 112    |  0.419% | 
 | 65   | Qwilfish           |  0.42211% | 110    |  0.412% | 
 | 66   | Carracosta         |  0.41914% | 107    |  0.401% | 
 | 67   | Darkrai            |  0.41813% | 108    |  0.404% | 
 | 68   | Cobalion           |  0.40849% | 100    |  0.374% | 
 | 69   | Armaldo            |  0.40623% | 107    |  0.401% | 
 | 70   | Krookodile         |  0.40232% | 111    |  0.416% | 
 | 71   | Kangaskhan-Mega    |  0.40179% | 109    |  0.408% | 
 | 72   | Landorus           |  0.40123% | 99     |  0.371% | 
 | 73   | Misdreavus         |  0.39846% | 105    |  0.393% | 
 | 74   | Regirock           |  0.39685% | 104    |  0.389% | 
 | 75   | Torterra           |  0.39162% | 105    |  0.393% | 
 | 76   | Nidoqueen          |  0.38543% | 99     |  0.371% | 
 | 77   | Froslass           |  0.38498% | 95     |  0.356% | 
 | 78   | Druddigon          |  0.38349% | 102    |  0.382% | 
 | 79   | Rampardos          |  0.38341% | 100    |  0.374% | 
 | 80   | Blaziken           |  0.38307% | 105    |  0.393% | 
 | 81   | Rhydon             |  0.38161% | 103    |  0.386% | 
 | 82   | Relicanth          |  0.37255% | 97     |  0.363% | 
 | 83   | Mew                |  0.37010% | 87     |  0.326% | 
 | 84   | Jolteon            |  0.36928% | 91     |  0.341% | 
 | 85   | Celebi             |  0.36799% | 90     |  0.337% | 
 | 86   | Sableye            |  0.36135% | 93     |  0.348% | 
 | 87   | Excadrill          |  0.35799% | 115    |  0.431% | 
 | 88   | Golurk             |  0.35785% | 99     |  0.371% | 
 | 89   | Cloyster           |  0.35361% | 91     |  0.341% | 
 | 90   | Blissey            |  0.34828% | 112    |  0.419% | 
 | 91   | Feraligatr         |  0.34440% | 103    |  0.386% | 
 | 92   | Pawniard           |  0.34245% | 107    |  0.401% | 
 | 93   | Electrode          |  0.34185% | 86     |  0.322% | 
 | 94   | Raichu             |  0.33528% | 79     |  0.296% | 
 | 95   | Blastoise          |  0.33510% | 94     |  0.352% | 
 | 96   | Chatot             |  0.33484% | 104    |  0.389% | 
 | 97   | Cryogonal          |  0.33136% | 89     |  0.333% | 
 | 98   | Tentacruel         |  0.33094% | 98     |  0.367% | 
 | 99   | Deoxys-Attack      |  0.32930% | 85     |  0.318% | 
 | 100  | Accelgor           |  0.32544% | 81     |  0.303% | 
 | 101  | Rotom-Mow          |  0.32463% | 82     |  0.307% | 
 | 102  | Basculin           |  0.32256% | 87     |  0.326% | 
 | 103  | Miltank            |  0.32084% | 87     |  0.326% | 
 | 104  | Chansey            |  0.31980% | 93     |  0.348% | 
 | 105  | Magnezone          |  0.30999% | 80     |  0.300% | 
 | 106  | Rotom-Frost        |  0.30976% | 68     |  0.255% | 
 | 107  | Purugly            |  0.30880% | 78     |  0.292% | 
 | 108  | Ho-Oh              |  0.30707% | 78     |  0.292% | 
 | 109  | Abomasnow          |  0.30288% | 79     |  0.296% | 
 | 110  | Pinsir             |  0.30131% | 71     |  0.266% | 
 | 111  | Aggron-Mega        |  0.29867% | 79     |  0.296% | 
 | 112  | Eelektross         |  0.29503% | 78     |  0.292% | 
 | 113  | Rotom-Heat         |  0.28446% | 66     |  0.247% | 
 | 114  | Lanturn            |  0.28218% | 65     |  0.243% | 
 | 115  | Exploud            |  0.28057% | 69     |  0.258% | 
 | 116  | Zebstrika          |  0.27873% | 66     |  0.247% | 
 | 117  | Tangela            |  0.27824% | 79     |  0.296% | 
 | 118  | Metagross          |  0.27627% | 74     |  0.277% | 
 | 119  | Ninjask            |  0.27507% | 70     |  0.262% | 
 | 120  | Hitmonlee          |  0.27489% | 85     |  0.318% | 
 | 121  | Scrafty            |  0.27017% | 81     |  0.303% | 
 | 122  | Aegislash          |  0.26844% | 83     |  0.311% | 
 | 123  | Crobat             |  0.26420% | 77     |  0.288% | 
 | 124  | Grumpig            |  0.26386% | 66     |  0.247% | 
 | 125  | Mawile-Mega        |  0.25981% | 74     |  0.277% | 
 | 126  | Yveltal            |  0.25956% | 69     |  0.258% | 
 | 127  | Heliolisk          |  0.25886% | 61     |  0.228% | 
