 Total leads: 362574
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Charizard-Mega-X   |  4.55861% | 14420  |  3.977% | 
 | 2    | Gyarados-Mega      |  4.55784% | 13071  |  3.605% | 
 | 3    | Mimikyu            |  3.94523% | 13231  |  3.649% | 
 | 4    | Kyurem-Black       |  3.76796% | 10577  |  2.917% | 
 | 5    | Tapu Koko          |  3.10941% | 8855   |  2.442% | 
 | 6    | Charizard-Mega-Y   |  2.26349% | 7384   |  2.037% | 
 | 7    | Metagross-Mega     |  2.15792% | 5812   |  1.603% | 
 | 8    | Zygarde            |  2.11231% | 5989   |  1.652% | 
 | 9    | Greninja           |  2.08162% | 7316   |  2.018% | 
 | 10   | Porygon-Z          |  2.01044% | 6050   |  1.669% | 
 | 11   | Magearna           |  1.96502% | 5076   |  1.400% | 
 | 12   | Lopunny-Mega       |  1.94398% | 7031   |  1.939% | 
 | 13   | Landorus-Therian   |  1.69112% | 4858   |  1.340% | 
 | 14   | Tapu Lele          |  1.61481% | 4428   |  1.221% | 
 | 15   | Magnezone          |  1.57624% | 4266   |  1.177% | 
 | 16   | Naganadel          |  1.45867% | 3964   |  1.093% | 
 | 17   | Dragonite          |  1.22420% | 3916   |  1.080% | 
 | 18   | Venusaur-Mega      |  1.19797% | 3826   |  1.055% | 
 | 19   | Blaziken-Mega      |  1.12690% | 3795   |  1.047% | 
 | 20   | Aegislash          |  1.05807% | 3173   |  0.875% | 
 | 21   | Victini            |  1.05459% | 3394   |  0.936% | 
 | 22   | Mawile-Mega        |  0.99608% | 3231   |  0.891% | 
 | 23   | Mew                |  0.96145% | 3294   |  0.909% | 
 | 24   | Alakazam-Mega      |  0.95807% | 4156   |  1.146% | 
 | 25   | Snorlax            |  0.95054% | 3426   |  0.945% | 
 | 26   | Kartana            |  0.93491% | 3408   |  0.940% | 
 | 27   | Garchomp           |  0.93416% | 3043   |  0.839% | 
 | 28   | Donphan            |  0.93212% | 2660   |  0.734% | 
 | 29   | Jirachi            |  0.89545% | 2994   |  0.826% | 
 | 30   | Genesect           |  0.88872% | 2342   |  0.646% | 
 | 31   | Whimsicott         |  0.86303% | 2900   |  0.800% | 
 | 32   | Gardevoir-Mega     |  0.85078% | 2843   |  0.784% | 
 | 33   | Sawk               |  0.83899% | 3579   |  0.987% | 
 | 34   | Primarina          |  0.81135% | 2312   |  0.638% | 
 | 35   | Crustle            |  0.79849% | 2118   |  0.584% | 
 | 36   | Aggron-Mega        |  0.77540% | 2276   |  0.628% | 
 | 37   | Blacephalon        |  0.75022% | 2793   |  0.770% | 
 | 38   | Tapu Fini          |  0.68613% | 1875   |  0.517% | 
 | 39   | Excadrill          |  0.67068% | 2151   |  0.593% | 
 | 40   | Celesteela         |  0.66657% | 2350   |  0.648% | 
 | 41   | Heatran            |  0.66468% | 2002   |  0.552% | 
 | 42   | Scizor-Mega        |  0.65123% | 2196   |  0.606% | 
 | 43   | Golem              |  0.64608% | 1919   |  0.529% | 
 | 44   | Heracross-Mega     |  0.61006% | 2388   |  0.659% | 
 | 45   | Ferrothorn         |  0.59148% | 2311   |  0.637% | 
 | 46   | Smeargle           |  0.59111% | 4403   |  1.214% | 
 | 47   | Diancie-Mega       |  0.58740% | 2420   |  0.667% | 
 | 48   | Slowbro-Mega       |  0.58131% | 1717   |  0.474% | 
 | 49   | Medicham-Mega      |  0.56829% | 2202   |  0.607% | 
 | 50   | Tyranitar-Mega     |  0.56301% | 1890   |  0.521% | 
 | 51   | Togekiss           |  0.51492% | 2061   |  0.568% | 
 | 52   | Sableye-Mega       |  0.51271% | 2069   |  0.571% | 
 | 53   | Gengar-Mega        |  0.47603% | 1901   |  0.524% | 
