 Total leads: 21712
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Gyarados-Mega      |  5.51859% | 889    |  4.095% | 
 | 2    | Kyurem-Black       |  3.92179% | 716    |  3.298% | 
 | 3    | Metagross-Mega     |  3.78149% | 572    |  2.634% | 
 | 4    | Mimikyu            |  3.43923% | 678    |  3.123% | 
 | 5    | Charizard-Mega-X   |  3.43766% | 651    |  2.998% | 
 | 6    | Tapu Koko          |  2.98823% | 489    |  2.252% | 
 | 7    | Charizard-Mega-Y   |  2.52990% | 448    |  2.063% | 
 | 8    | Magearna           |  2.19249% | 351    |  1.617% | 
 | 9    | Naganadel          |  2.04118% | 357    |  1.644% | 
 | 10   | Landorus-Therian   |  2.00543% | 321    |  1.478% | 
 | 11   | Zygarde            |  1.89428% | 313    |  1.442% | 
 | 12   | Lopunny-Mega       |  1.77652% | 380    |  1.750% | 
 | 13   | Porygon-Z          |  1.70500% | 332    |  1.529% | 
 | 14   | Garchomp           |  1.61086% | 265    |  1.221% | 
 | 15   | Tapu Lele          |  1.52310% | 240    |  1.105% | 
 | 16   | Aegislash          |  1.42222% | 258    |  1.188% | 
 | 17   | Aggron-Mega        |  1.33434% | 267    |  1.230% | 
 | 18   | Snorlax            |  1.31995% | 253    |  1.165% | 
 | 19   | Tapu Fini          |  1.31966% | 206    |  0.949% | 
 | 20   | Primarina          |  1.31342% | 243    |  1.119% | 
 | 21   | Dragonite          |  1.19581% | 234    |  1.078% | 
 | 22   | Medicham-Mega      |  1.16022% | 217    |  0.999% | 
 | 23   | Greninja           |  1.14284% | 319    |  1.469% | 
 | 24   | Venusaur-Mega      |  1.09197% | 194    |  0.894% | 
 | 25   | Celesteela         |  1.06595% | 197    |  0.907% | 
 | 26   | Crustle            |  1.00439% | 158    |  0.728% | 
 | 27   | Meloetta           |  1.00365% | 147    |  0.677% | 
 | 28   | Genesect           |  0.98416% | 162    |  0.746% | 
 | 29   | Smeargle           |  0.95837% | 400    |  1.842% | 
 | 30   | Mawile-Mega        |  0.93281% | 169    |  0.778% | 
 | 31   | Donphan            |  0.91563% | 160    |  0.737% | 
 | 32   | Kartana            |  0.90139% | 187    |  0.861% | 
 | 33   | Whimsicott         |  0.87334% | 165    |  0.760% | 
 | 34   | Blaziken-Mega      |  0.80485% | 193    |  0.889% | 
 | 35   | Blacephalon        |  0.77069% | 178    |  0.820% | 
 | 36   | Magnezone          |  0.76554% | 142    |  0.654% | 
 | 37   | Scizor-Mega        |  0.73692% | 151    |  0.695% | 
 | 38   | Jirachi            |  0.71449% | 141    |  0.649% | 
 | 39   | Sawk               |  0.71358% | 156    |  0.718% | 
 | 40   | Tyranitar-Mega     |  0.70806% | 138    |  0.636% | 
 | 41   | Togekiss           |  0.70546% | 152    |  0.700% | 
 | 42   | Victini            |  0.69197% | 140    |  0.645% | 
 | 43   | Alakazam-Mega      |  0.64881% | 204    |  0.940% | 
 | 44   | Gardevoir-Mega     |  0.64634% | 143    |  0.659% | 
 | 45   | Heatran            |  0.63514% | 112    |  0.516% | 
 | 46   | Golem              |  0.62168% | 100    |  0.461% | 
 | 47   | Clefable           |  0.61634% | 123    |  0.567% | 
 | 48   | Mew                |  0.61458% | 123    |  0.567% | 
 | 49   | Heracross-Mega     |  0.61229% | 167    |  0.769% | 
 | 50   | Buzzwole           |  0.57375% | 89     |  0.410% | 
 | 51   | Aron               |  0.55553% | 179    |  0.824% | 
 | 52   | Kommo-o            |  0.55522% | 91     |  0.419% | 
 | 53   | Swampert-Mega      |  0.53043% | 133    |  0.613% | 
 | 54   | Altaria-Mega       |  0.52583% | 122    |  0.562% | 
 | 55   | Lucario-Mega       |  0.52242% | 156    |  0.718% | 
 | 56   | Excadrill          |  0.51368% | 92     |  0.424% | 
 | 57   | Pheromosa          |  0.48911% | 104    |  0.479% | 
 | 58   | Ferrothorn         |  0.48243% | 113    |  0.520% | 
 | 59   | Sableye-Mega       |  0.44551% | 115    |  0.530% | 
 | 60   | Togedemaru         |  0.43661% | 104    |  0.479% | 
 | 61   | Cresselia          |  0.41078% | 84     |  0.387% | 
 | 62   | Pinsir-Mega        |  0.38980% | 69     |  0.318% | 
 | 63   | Hitmonlee          |  0.37620% | 108    |  0.497% | 
 | 64   | Cloyster           |  0.37364% | 141    |  0.649% | 
 | 65   | Haxorus            |  0.36264% | 71     |  0.327% | 
 | 66   | Slowbro-Mega       |  0.36011% | 66     |  0.304% | 
 | 67   | Keldeo             |  0.35262% | 64     |  0.295% | 
 | 68   | Chansey            |  0.35162% | 101    |  0.465% | 
 | 69   | Shuckle            |  0.34079% | 113    |  0.520% | 
