 Total leads: 14504
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Victini            |  9.07972% | 478    |  3.296% | 
 | 2    | Tapu Fini          |  4.85196% | 248    |  1.710% | 
 | 3    | Landorus-Therian   |  4.35883% | 430    |  2.965% | 
 | 4    | Ferrothorn         |  3.89395% | 587    |  4.047% | 
 | 5    | Weavile            |  3.54797% | 443    |  3.054% | 
 | 6    | Gengar             |  3.38020% | 260    |  1.793% | 
 | 7    | Noivern            |  3.10647% | 260    |  1.793% | 
 | 8    | Magearna           |  3.04055% | 298    |  2.055% | 
 | 9    | Zygarde            |  2.60286% | 213    |  1.469% | 
 | 10   | Tapu Koko          |  2.59635% | 251    |  1.731% | 
 | 11   | Buzzwole           |  2.44645% | 172    |  1.186% | 
 | 12   | Shuckle            |  2.02972% | 342    |  2.358% | 
 | 13   | Swampert           |  1.97821% | 203    |  1.400% | 
 | 14   | Suicune            |  1.84529% | 128    |  0.883% | 
 | 15   | Mew                |  1.81510% | 270    |  1.862% | 
 | 16   | Smeargle           |  1.71866% | 401    |  2.765% | 
 | 17   | Zapdos             |  1.61911% | 167    |  1.151% | 
 | 18   | Volcanion          |  1.57896% | 79     |  0.545% | 
 | 19   | Hippowdon          |  1.45328% | 110    |  0.758% | 
 | 20   | Snorlax            |  1.37393% | 117    |  0.807% | 
 | 21   | Aerodactyl         |  1.31878% | 121    |  0.834% | 
 | 22   | Heatran            |  1.31324% | 178    |  1.227% | 
 | 23   | Blacephalon        |  1.28124% | 173    |  1.193% | 
 | 24   | Nihilego           |  1.23698% | 196    |  1.351% | 
 | 25   | Excadrill          |  1.04469% | 96     |  0.662% | 
 | 26   | Minior             |  0.98490% | 158    |  1.089% | 
 | 27   | Tornadus           |  0.88351% | 120    |  0.827% | 
 | 28   | Bisharp            |  0.87710% | 77     |  0.531% | 
 | 29   | Azelf              |  0.78863% | 106    |  0.731% | 
 | 30   | Golisopod          |  0.78748% | 102    |  0.703% | 
 | 31   | Celesteela         |  0.77651% | 120    |  0.827% | 
 | 32   | Cresselia          |  0.77188% | 38     |  0.262% | 
 | 33   | Skarmory           |  0.72974% | 137    |  0.945% | 
 | 34   | Infernape          |  0.65585% | 104    |  0.717% | 
 | 35   | Kommo-o            |  0.64550% | 99     |  0.683% | 
 | 36   | Manaphy            |  0.62547% | 76     |  0.524% | 
 | 37   | Kyurem             |  0.61715% | 33     |  0.228% | 
 | 38   | Pyukumuku          |  0.59623% | 30     |  0.207% | 
 | 39   | Dusclops           |  0.59104% | 105    |  0.724% | 
 | 40   | Magnezone          |  0.57931% | 53     |  0.365% | 
 | 41   | Toxapex            |  0.57193% | 210    |  1.448% | 
 | 42   | Ribombee           |  0.56150% | 94     |  0.648% | 
 | 43   | Alakazam-Mega      |  0.55584% | 115    |  0.793% | 
 | 44   | Froslass           |  0.55365% | 49     |  0.338% | 
 | 45   | Mamoswine          |  0.52324% | 83     |  0.572% | 
 | 46   | Chansey            |  0.50867% | 296    |  2.041% | 
 | 47   | Greninja           |  0.47785% | 127    |  0.876% | 
 | 48   | Swampert-Mega      |  0.46998% | 119    |  0.820% | 
 | 49   | Muk-Alola          |  0.45988% | 82     |  0.565% | 
