 Total leads: 936
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Sceptile-Mega      |  9.93799% | 64     |  6.838% | 
 | 2    | Landorus-Therian   |  9.56591% | 43     |  4.594% | 
 | 3    | Sableye            |  6.54807% | 36     |  3.846% | 
 | 4    | Rotom-Wash         |  6.51628% | 35     |  3.739% | 
 | 5    | Weavile            |  5.51675% | 17     |  1.816% | 
 | 6    | Tapu Koko          |  5.12070% | 31     |  3.312% | 
 | 7    | Scolipede          |  4.98484% | 31     |  3.312% | 
 | 8    | Beedrill-Mega      |  3.73187% | 12     |  1.282% | 
 | 9    | Heatran            |  3.44261% | 25     |  2.671% | 
 | 10   | Excadrill          |  3.17191% | 27     |  2.885% | 
 | 11   | Sableye-Mega       |  2.89067% | 39     |  4.167% | 
 | 12   | Diancie-Mega       |  2.47847% | 11     |  1.175% | 
 | 13   | Frogadier          |  2.32486% | 13     |  1.389% | 
 | 14   | Slaking            |  2.29492% | 20     |  2.137% | 
 | 15   | Serperior          |  2.15603% | 16     |  1.709% | 
 | 16   | Mew                |  1.91490% | 6      |  0.641% | 
 | 17   | Claydol            |  1.87400% | 3      |  0.321% | 
 | 18   | Dragonite          |  1.45020% | 11     |  1.175% | 
 | 19   | Magearna           |  1.44200% | 10     |  1.068% | 
 | 20   | Ninetales-Alola    |  1.39616% | 6      |  0.641% | 
 | 21   | Salamence          |  1.02489% | 3      |  0.321% | 
 | 22   | Chansey            |  0.87858% | 9      |  0.962% | 
 | 23   | Scizor-Mega        |  0.84273% | 12     |  1.282% | 
 | 24   | Hoopa-Unbound      |  0.84146% | 4      |  0.427% | 
 | 25   | Escavalier         |  0.81429% | 7      |  0.748% | 
 | 26   | Registeel          |  0.76952% | 11     |  1.175% | 
 | 27   | Suicune            |  0.76600% | 4      |  0.427% | 
 | 28   | Tapu Bulu          |  0.76382% | 2      |  0.214% | 
 | 29   | Venusaur-Mega      |  0.74557% | 3      |  0.321% | 
 | 30   | Passimian          |  0.73718% | 2      |  0.214% | 
 | 31   | Chandelure         |  0.66532% | 5      |  0.534% | 
 | 32   | Emolga             |  0.64713% | 4      |  0.427% | 
 | 33   | Marowak-Alola      |  0.57007% | 2      |  0.214% | 
 | 34   | Ribombee           |  0.56115% | 13     |  1.389% | 
 | 35   | Darmanitan         |  0.53833% | 6      |  0.641% | 
 | 36   | Hippowdon          |  0.51179% | 2      |  0.214% | 
 | 37   | Blacephalon        |  0.47213% | 6      |  0.641% | 
 | 38   | Victini            |  0.43592% | 5      |  0.534% | 
 | 39   | Forretress         |  0.43586% | 5      |  0.534% | 
 | 40   | Skorupi            |  0.41611% | 8      |  0.855% | 
 | 41   | Latios             |  0.41504% | 2      |  0.214% | 
 | 42   | Galvantula         |  0.40538% | 10     |  1.068% | 
 | 43   | Florges            |  0.39353% | 7      |  0.748% | 
 | 44   | Bastiodon          |  0.39277% | 2      |  0.214% | 
 | 45   | Clefable           |  0.38537% | 1      |  0.107% | 
 | 46   | Charizard-Mega-Y   |  0.36089% | 5      |  0.534% | 
 | 47   | Regigigas          |  0.35233% | 4      |  0.427% | 
 | 48   | Araquanid          |  0.35068% | 4      |  0.427% | 
 | 49   | Medicham-Mega      |  0.34763% | 4      |  0.427% | 
 | 50   | Quilava            |  0.34278% | 1      |  0.107% | 
 | 51   | Tornadus-Therian   |  0.25152% | 1      |  0.107% | 
 | 52   | Mamoswine          |  0.23988% | 3      |  0.321% | 
 | 53   | Lopunny-Mega       |  0.23669% | 9      |  0.962% | 
 | 54   | Electivire         |  0.23146% | 1      |  0.107% | 
 | 55   | Breloom            |  0.21666% | 9      |  0.962% | 
 | 56   | Regirock           |  0.21629% | 1      |  0.107% | 
 | 57   | Quagsire           |  0.20676% | 6      |  0.641% | 
 | 58   | Alakazam-Mega      |  0.19301% | 2      |  0.214% | 
 | 59   | Lycanroc-Dusk      |  0.18182% | 3      |  0.321% | 
 | 60   | Samurott           |  0.17547% | 7      |  0.748% | 
 | 61   | Exploud            |  0.17345% | 3      |  0.321% | 
 | 62   | Nidoking           |  0.15604% | 3      |  0.321% | 
 | 63   | Piloswine          |  0.13077% | 1      |  0.107% | 
 | 64   | Celesteela         |  0.10702% | 10     |  1.068% | 
 | 65   | Froslass           |  0.10057% | 3      |  0.321% | 
 | 66   | Charizard-Mega-X   |  0.09737% | 2      |  0.214% | 
 | 67   | Kartana            |  0.08824% | 8      |  0.855% | 
 | 68   | Tyranitar          |  0.07976% | 9      |  0.962% | 
 | 69   | Kommo-o            |  0.07665% | 1      |  0.107% | 
 | 70   | Greninja           |  0.07542% | 4      |  0.427% | 
 | 71   | Diggersby          |  0.06974% | 7      |  0.748% | 
 | 72   | Magnezone          |  0.06452% | 3      |  0.321% | 
 | 73   | Sharpedo           |  0.04388% | 1      |  0.107% | 
 | 74   | Jirachi            |  0.04073% | 4      |  0.427% | 
 | 75   | Whimsicott         |  0.03846% | 2      |  0.214% | 
 | 76   | Dodrio             |  0.03792% | 2      |  0.214% | 
 | 77   | Buzzwole           |  0.03750% | 2      |  0.214% | 
 | 78   | Kecleon            |  0.03521% | 1      |  0.107% | 
 | 79   | Sandslash-Alola    |  0.03313% | 1      |  0.107% | 
 | 80   | Latias             |  0.03134% | 3      |  0.321% | 
 | 81   | Torkoal            |  0.03000% | 1      |  0.107% | 
 | 82   | Garchomp           |  0.02789% | 5      |  0.534% | 
 | 83   | Tapu Lele          |  0.02781% | 9      |  0.962% | 
 | 84   | Ferrothorn         |  0.02415% | 5      |  0.534% | 
 | 85   | Togekiss           |  0.02185% | 2      |  0.214% | 
 | 86   | Tyranitar-Mega     |  0.02078% | 6      |  0.641% | 
 | 87   | Empoleon           |  0.01998% | 1      |  0.107% | 
 | 88   | Greninja-Ash       |  0.01968% | 4      |  0.427% | 
 | 89   | Necrozma           |  0.01816% | 5      |  0.534% | 
 | 90   | Bisharp            |  0.01709% | 9      |  0.962% | 
 | 91   | Pelipper           |  0.01557% | 1      |  0.107% | 
 | 92   | Druddigon          |  0.01499% | 1      |  0.107% | 
 | 93   | Electrode          |  0.01414% | 3      |  0.321% | 
 | 94   | Terrakion          |  0.01333% | 1      |  0.107% | 
 | 95   | Espeon             |  0.01232% | 2      |  0.214% | 
 | 96   | Eelektross         |  0.01090% | 1      |  0.107% | 
 | 97   | Starmie            |  0.00921% | 2      |  0.214% | 
 | 98   | Shedinja           |  0.00911% | 2      |  0.214% | 
 | 99   | Archeops           |  0.00862% | 1      |  0.107% | 
 | 100  | Lucario            |  0.00821% | 1      |  0.107% | 
 | 101  | Azumarill          |  0.00816% | 4      |  0.427% | 
 | 102  | Salazzle           |  0.00750% | 2      |  0.214% | 
 | 103  | Thundurus          |  0.00743% | 12     |  1.282% | 
 | 104  | Cobalion           |  0.00362% | 1      |  0.107% | 
 | 105  | Tangrowth          |  0.00350% | 4      |  0.427% | 
 | 106  | Crobat             |  0.00313% | 2      |  0.214% | 
 | 107  | Lurantis           |  0.00289% | 1      |  0.107% | 
 | 108  | Vanilluxe          |  0.00198% | 3      |  0.321% | 
 | 109  | Klefki             |  0.00193% | 2      |  0.214% | 
 | 110  | Pyukumuku          |  0.00129% | 2      |  0.214% | 
 | 111  | Sceptile           |  0.00087% | 3      |  0.321% | 
 | 112  | Pangoro            |  0.00085% | 1      |  0.107% | 
 | 113  | Talonflame         |  0.00060% | 2      |  0.214% | 
 | 114  | Keldeo             |  0.00047% | 2      |  0.214% | 
 | 115  | Floatzel           |  0.00040% | 14     |  1.496% | 
 | 116  | Thundurus-Therian  |  0.00038% | 3      |  0.321% | 
 | 117  | Skarmory           |  0.00023% | 4      |  0.427% | 
 | 118  | Kommo-o-Totem      |  0.00008% | 1      |  0.107% | 
 | 119  | Absol-Mega         |  0.00008% | 5      |  0.534% | 
 | 120  | Entei              |  0.00007% | 3      |  0.321% | 
 | 121  | Meloetta           |  0.00005% | 1      |  0.107% | 
 | 122  | Jolteon            |  0.00005% | 2      |  0.214% | 
 | 123  | Type: Null         |  0.00000% | 1      |  0.107% | 
 | 124  | Accelgor           |  0.00000% | 3      |  0.321% | 
 | 125  | Aerodactyl         |  0.00000% | 1      |  0.107% | 
 | 126  | Alakazam           |  0.00000% | 1      |  0.107% | 
 | 127  | Arcanine           |  0.00000% | 4      |  0.427% | 
 | 128  | Ariados            |  0.00000% | 1      |  0.107% | 
 | 129  | Bewear             |  0.00000% | 2      |  0.214% | 
 | 130  | Blastoise          |  0.00000% | 1      |  0.107% | 
 | 131  | Celebi             |  0.00000% | 1      |  0.107% | 
 | 132  | Charizard          |  0.00000% | 1      |  0.107% | 
 | 133  | Cloyster           |  0.00000% | 1      |  0.107% | 
 | 134  | Decidueye          |  0.00000% | 1      |  0.107% | 
 | 135  | Doublade           |  0.00000% | 2      |  0.214% | 
 | 136  | Drapion            |  0.00000% | 1      |  0.107% | 
 | 137  | Emboar             |  0.00000% | 1      |  0.107% | 
 | 138  | Gallade-Mega       |  0.00000% | 1      |  0.107% | 
 | 139  | Gengar             |  0.00000% | 1      |  0.107% | 
 | 140  | Gliscor            |  0.00000% | 3      |  0.321% | 
 | 141  | Goodra             |  0.00000% | 1      |  0.107% | 
 | 142  | Gyarados           |  0.00000% | 1      |  0.107% | 
 | 143  | Haxorus            |  0.00000% | 1      |  0.107% | 
 | 144  | Heracross-Mega     |  0.00000% | 1      |  0.107% | 
 | 145  | Hydreigon          |  0.00000% | 1      |  0.107% | 
 | 146  | Infernape          |  0.00000% | 2      |  0.214% | 
 | 147  | Lickitung          |  0.00000% | 1      |  0.107% | 
 | 148  | Manaphy            |  0.00000% | 1      |  0.107% | 
 | 149  | Mawile-Mega        |  0.00000% | 1      |  0.107% | 
 | 150  | Mimikyu            |  0.00000% | 3      |  0.321% | 
 | 151  | Mudsdale           |  0.00000% | 1      |  0.107% | 
 | 152  | Nihilego           |  0.00000% | 2      |  0.214% | 
 | 153  | Porygon-Z          |  0.00000% | 2      |  0.214% | 
 | 154  | Porygon2           |  0.00000% | 3      |  0.321% | 
 | 155  | Qwilfish           |  0.00000% | 2      |  0.214% | 
 | 156  | Raichu-Alola       |  0.00000% | 1      |  0.107% | 
 | 157  | Rotom-Heat         |  0.00000% | 4      |  0.427% | 
 | 158  | Scizor             |  0.00000% | 2      |  0.214% | 
 | 159  | Seismitoad         |  0.00000% | 2      |  0.214% | 
 | 160  | Shaymin            |  0.00000% | 3      |  0.321% | 
 | 161  | Shuckle            |  0.00000% | 1      |  0.107% | 
 | 162  | Sigilyph           |  0.00000% | 3      |  0.321% | 
 | 163  | Silvally           |  0.00000% | 1      |  0.107% | 
 | 164  | Snorlax            |  0.00000% | 3      |  0.321% | 
 | 165  | Staraptor          |  0.00000% | 1      |  0.107% | 
 | 166  | Tapu Fini          |  0.00000% | 1      |  0.107% | 
 | 167  | Tentacruel         |  0.00000% | 1      |  0.107% | 
 | 168  | Toxapex            |  0.00000% | 1      |  0.107% | 
 | 169  | Typhlosion         |  0.00000% | 2      |  0.214% | 
 | 170  | Uxie               |  0.00000% | 1      |  0.107% | 
 | 171  | Venusaur           |  0.00000% | 1      |  0.107% | 
 | 172  | Volcarona          |  0.00000% | 1      |  0.107% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
