 Total leads: 1046578
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Groudon-Primal     |  8.85620% | 29806  |  2.848% | 
 | 2    | Smeargle           |  5.03915% | 43990  |  4.203% | 
 | 3    | Rayquaza-Mega      |  4.74775% | 21143  |  2.020% | 
 | 4    | Deoxys-Speed       |  3.81666% | 10480  |  1.001% | 
 | 5    | Arceus-Ground      |  3.36241% | 5906   |  0.564% | 
 | 6    | Yveltal            |  3.14556% | 7757   |  0.741% | 
 | 7    | Scolipede          |  2.69297% | 16319  |  1.559% | 
 | 8    | Arceus             |  2.33264% | 7776   |  0.743% | 
 | 9    | Shuckle            |  2.16170% | 16927  |  1.617% | 
 | 10   | Arceus-Fairy       |  2.13478% | 4090   |  0.391% | 
 | 11   | Kyogre-Primal      |  1.83461% | 9169   |  0.876% | 
 | 12   | Necrozma-Dusk-Mane |  1.81867% | 6841   |  0.654% | 
 | 13   | Marshadow          |  1.71556% | 10072  |  0.962% | 
 | 14   | Xerneas            |  1.69797% | 10819  |  1.034% | 
 | 15   | Deoxys-Attack      |  1.60907% | 5110   |  0.488% | 
 | 16   | Ferrothorn         |  1.43210% | 14932  |  1.427% | 
 | 17   | Eevee              |  1.00453% | 20657  |  1.974% | 
 | 18   | Gengar-Mega        |  1.00293% | 6405   |  0.612% | 
 | 19   | Ninjask            |  0.98789% | 15037  |  1.437% | 
 | 20   | Skarmory           |  0.94976% | 11359  |  1.085% | 
 | 21   | Darkrai            |  0.91637% | 9903   |  0.946% | 
 | 22   | Sableye-Mega       |  0.88596% | 6606   |  0.631% | 
 | 23   | Weavile            |  0.87602% | 6325   |  0.604% | 
 | 24   | Forretress         |  0.86713% | 12239  |  1.169% | 
 | 25   | Zygarde            |  0.85321% | 4991   |  0.477% | 
 | 26   | Cloyster           |  0.78979% | 8094   |  0.773% | 
 | 27   | Ho-Oh              |  0.75268% | 2887   |  0.276% | 
 | 28   | Blaziken           |  0.72919% | 7546   |  0.721% | 
 | 29   | Galvantula         |  0.70933% | 10317  |  0.986% | 
 | 30   | Landorus-Therian   |  0.68328% | 4974   |  0.475% | 
 | 31   | Greninja           |  0.66666% | 7528   |  0.719% | 
 | 32   | Toxapex            |  0.62949% | 7600   |  0.726% | 
