 Total leads: 71596
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Shedinja           |  6.95011% | 4976   |  6.950% | 
 | 2    | Deoxys-Speed       |  5.44025% | 3895   |  5.440% | 
 | 3    | Rayquaza-Mega      |  4.46952% | 3200   |  4.470% | 
 | 4    | Mewtwo-Mega-Y      |  4.21253% | 3016   |  4.213% | 
 | 5    | Chansey            |  3.20549% | 2295   |  3.205% | 
 | 6    | Shuckle            |  3.10492% | 2223   |  3.105% | 
 | 7    | Zygarde-Complete   |  2.69847% | 1932   |  2.698% | 
 | 8    | Gengar-Mega        |  2.69149% | 1927   |  2.691% | 
 | 9    | Giratina           |  2.54204% | 1820   |  2.542% | 
 | 10   | Mewtwo-Mega-X      |  2.28504% | 1636   |  2.285% | 
 | 11   | Blissey            |  1.81016% | 1296   |  1.810% | 
 | 12   | Deoxys-Defense     |  1.71239% | 1226   |  1.712% | 
 | 13   | Eevee              |  1.59646% | 1143   |  1.596% | 
 | 14   | Diancie-Mega       |  1.41628% | 1014   |  1.416% | 
 | 15   | Tyranitar-Mega     |  1.36600% | 978    |  1.366% | 
 | 16   | Aegislash          |  1.35063% | 967    |  1.351% | 
 | 17   | Regigigas          |  1.34784% | 965    |  1.348% | 
 | 18   | Greninja-Ash       |  1.28499% | 920    |  1.285% | 
 | 19   | Deoxys-Attack      |  1.25985% | 902    |  1.260% | 
 | 20   | Necrozma-Ultra     |  1.21515% | 870    |  1.215% | 
 | 21   | Kyogre-Primal      |  1.18442% | 848    |  1.184% | 
 | 22   | Arceus             |  1.12576% | 806    |  1.126% | 
 | 23   | Slaking            |  1.00006% | 716    |  1.000% | 
 | 24   | Darkrai            |  0.98888% | 708    |  0.989% | 
 | 25   | Xerneas            |  0.98609% | 706    |  0.986% | 
 | 26   | Yveltal            |  0.97352% | 697    |  0.974% | 
 | 27   | Necrozma-Dusk-Mane |  0.96653% | 692    |  0.967% | 
 | 28   | Blaziken-Mega      |  0.90927% | 651    |  0.909% | 
 | 29   | Dialga             |  0.84362% | 604    |  0.844% | 
 | 30   | Registeel          |  0.82547% | 591    |  0.825% | 
 | 31   | Audino-Mega        |  0.80591% | 577    |  0.806% | 
 | 32   | Kyurem-Black       |  0.70535% | 505    |  0.705% | 
 | 33   | Arceus-Ghost       |  0.68859% | 493    |  0.689% | 
 | 34   | Lugia              |  0.67183% | 481    |  0.672% | 
 | 35   | Solgaleo           |  0.63411% | 454    |  0.634% | 
 | 36   | Zeraora            |  0.63132% | 452    |  0.631% | 
 | 37   | Lucario-Mega       |  0.60059% | 430    |  0.601% | 
 | 38   | Steelix-Mega       |  0.59920% | 429    |  0.599% | 
 | 39   | Alakazam-Mega      |  0.57126% | 409    |  0.571% | 
 | 40   | Gyarados-Mega      |  0.52936% | 379    |  0.529% | 
 | 41   | Metagross-Mega     |  0.52377% | 375    |  0.524% | 
 | 42   | Ferrothorn         |  0.50981% | 365    |  0.510% | 
 | 43   | Beedrill-Mega      |  0.48606% | 348    |  0.486% | 
 | 44   | Giratina-Origin    |  0.46651% | 334    |  0.467% | 
 | 45   | Kyurem-White       |  0.46232% | 331    |  0.462% | 
 | 46   | Marshadow          |  0.45533% | 326    |  0.455% | 
 | 47   | Sceptile-Mega      |  0.44556% | 319    |  0.446% | 
 | 48   | Garchomp-Mega      |  0.43997% | 315    |  0.440% | 
 | 49   | Pheromosa          |  0.43019% | 308    |  0.430% | 
 | 50   | Ninjask            |  0.42181% | 302    |  0.422% | 
 | 51   | Scizor-Mega        |  0.42181% | 302    |  0.422% | 
 | 52   | Magikarp           |  0.41902% | 300    |  0.419% | 
 | 53   | Magearna           |  0.41343% | 296    |  0.413% | 
 | 54   | Charizard-Mega-X   |  0.40505% | 290    |  0.405% | 
 | 55   | Sableye-Mega       |  0.39527% | 283    |  0.395% | 
