 Total leads: 37266
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Deoxys-Speed       |  5.48758% | 2045   |  5.488% | 
 | 2    | Shedinja           |  5.16825% | 1926   |  5.168% | 
 | 3    | Rayquaza-Mega      |  4.52691% | 1687   |  4.527% | 
 | 4    | Mewtwo-Mega-Y      |  3.72726% | 1389   |  3.727% | 
 | 5    | Chansey            |  3.65749% | 1363   |  3.657% | 
 | 6    | Shuckle            |  3.01079% | 1122   |  3.011% | 
 | 7    | Gengar-Mega        |  2.85783% | 1065   |  2.858% | 
 | 8    | Mewtwo-Mega-X      |  2.83905% | 1058   |  2.839% | 
 | 9    | Zygarde-Complete   |  2.75050% | 1025   |  2.750% | 
 | 10   | Giratina           |  2.63511% | 982    |  2.635% | 
 | 11   | Blissey            |  2.09574% | 781    |  2.096% | 
 | 12   | Aegislash          |  2.02866% | 756    |  2.029% | 
 | 13   | Diancie-Mega       |  1.74690% | 651    |  1.747% | 
 | 14   | Greninja-Ash       |  1.71470% | 639    |  1.715% | 
 | 15   | Tyranitar-Mega     |  1.69055% | 630    |  1.691% | 
 | 16   | Regigigas          |  1.55370% | 579    |  1.554% | 
 | 17   | Eevee              |  1.44368% | 538    |  1.444% | 
 | 18   | Registeel          |  1.43294% | 534    |  1.433% | 
 | 19   | Yveltal            |  1.35244% | 504    |  1.352% | 
 | 20   | Deoxys-Attack      |  1.26120% | 470    |  1.261% | 
 | 21   | Deoxys-Defense     |  1.25584% | 468    |  1.256% | 
 | 22   | Kyogre-Primal      |  1.21827% | 454    |  1.218% | 
 | 23   | Necrozma-Ultra     |  1.21290% | 452    |  1.213% | 
 | 24   | Arceus             |  1.18875% | 443    |  1.189% | 
 | 25   | Blaziken-Mega      |  1.18070% | 440    |  1.181% | 
 | 26   | Solgaleo           |  1.02775% | 383    |  1.028% | 
 | 27   | Xerneas            |  0.97139% | 362    |  0.971% | 
 | 28   | Kyurem-Black       |  0.86943% | 324    |  0.869% | 
 | 29   | Necrozma-Dusk-Mane |  0.86406% | 322    |  0.864% | 
 | 30   | Slaking            |  0.79697% | 297    |  0.797% | 
 | 31   | Dialga             |  0.77282% | 288    |  0.773% | 
 | 32   | Metagross-Mega     |  0.72452% | 270    |  0.725% | 
 | 33   | Audino-Mega        |  0.69769% | 260    |  0.698% | 
 | 34   | Ferrothorn         |  0.69769% | 260    |  0.698% | 
 | 35   | Darkrai            |  0.67622% | 252    |  0.676% | 
 | 36   | Gyarados-Mega      |  0.65744% | 245    |  0.657% | 
 | 37   | Zeraora            |  0.63060% | 235    |  0.631% | 
 | 38   | Steelix-Mega       |  0.60645% | 226    |  0.606% | 
 | 39   | Beedrill-Mega      |  0.59303% | 221    |  0.593% | 
 | 40   | Kyurem-White       |  0.53668% | 200    |  0.537% | 
 | 41   | Garchomp-Mega      |  0.50716% | 189    |  0.507% | 
 | 42   | Lucario-Mega       |  0.50180% | 187    |  0.502% | 
 | 43   | Lugia              |  0.50180% | 187    |  0.502% | 
 | 44   | Lopunny-Mega       |  0.49106% | 183    |  0.491% | 
 | 45   | Kartana            |  0.48838% | 182    |  0.488% | 
 | 46   | Marshadow          |  0.48570% | 181    |  0.486% | 
 | 47   | Arceus-Ghost       |  0.48301% | 180    |  0.483% | 
 | 48   | Stakataka          |  0.45886% | 171    |  0.459% | 
 | 49   | Scizor-Mega        |  0.45081% | 168    |  0.451% | 
