 Total leads: 1270
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Rayquaza-Mega      |  8.04365% | 78     |  6.142% | 
 | 2    | Tapu Koko          |  7.45206% | 62     |  4.882% | 
 | 3    | Banette-Mega       |  4.10505% | 28     |  2.205% | 
 | 4    | Landorus-Therian   |  3.97320% | 32     |  2.520% | 
 | 5    | Greninja-Ash       |  2.96242% | 44     |  3.465% | 
 | 6    | Yveltal            |  2.56273% | 23     |  1.811% | 
 | 7    | Gengar-Mega        |  2.31325% | 27     |  2.126% | 
 | 8    | Ditto              |  1.84880% | 17     |  1.339% | 
 | 9    | Latios             |  1.55684% | 12     |  0.945% | 
 | 10   | Swampert-Mega      |  1.55391% | 12     |  0.945% | 
 | 11   | Tapu Lele          |  1.43154% | 15     |  1.181% | 
 | 12   | Hippowdon          |  1.40645% | 14     |  1.102% | 
 | 13   | Charizard-Mega-X   |  1.30763% | 22     |  1.732% | 
 | 14   | Shuckle            |  1.17092% | 10     |  0.787% | 
 | 15   | Mimikyu            |  1.11000% | 13     |  1.024% | 
 | 16   | Ferrothorn         |  1.06592% | 10     |  0.787% | 
 | 17   | Blaziken-Mega      |  0.89254% | 11     |  0.866% | 
 | 18   | Pheromosa          |  0.87613% | 9      |  0.709% | 
 | 19   | Lopunny-Mega       |  0.84108% | 9      |  0.709% | 
 | 20   | Ribombee           |  0.79856% | 7      |  0.551% | 
 | 21   | Blaziken           |  0.77639% | 11     |  0.866% | 
 | 22   | Groudon-Primal     |  0.77435% | 8      |  0.630% | 
 | 23   | Magnezone          |  0.73289% | 7      |  0.551% | 
 | 24   | Kangaskhan-Mega    |  0.71520% | 11     |  0.866% | 
 | 25   | Greninja           |  0.68114% | 11     |  0.866% | 
 | 26   | Charizard-Mega-Y   |  0.67983% | 10     |  0.787% | 
 | 27   | Noivern            |  0.67042% | 6      |  0.472% | 
 | 28   | Xerneas            |  0.66668% | 7      |  0.551% | 
 | 29   | Naganadel          |  0.64656% | 7      |  0.551% | 
 | 30   | Exeggutor-Alola    |  0.62690% | 6      |  0.472% | 
 | 31   | Metagross          |  0.59858% | 10     |  0.787% | 
 | 32   | Gardevoir-Mega     |  0.56728% | 9      |  0.709% | 
 | 33   | Garchomp           |  0.56363% | 7      |  0.551% | 
 | 34   | Gyarados-Mega      |  0.54227% | 7      |  0.551% | 
 | 35   | Sceptile-Mega      |  0.53917% | 13     |  1.024% | 
 | 36   | Lucario-Mega       |  0.53223% | 10     |  0.787% | 
 | 37   | Pikachu            |  0.53145% | 11     |  0.866% | 
 | 38   | Kyogre-Primal      |  0.52991% | 6      |  0.472% | 
 | 39   | Entei              |  0.52288% | 4      |  0.315% | 
 | 40   | Aegislash          |  0.48699% | 9      |  0.709% | 
 | 41   | Crobat             |  0.47548% | 6      |  0.472% | 
 | 42   | Heliolisk          |  0.46861% | 33     |  2.598% | 
 | 43   | Salamence-Mega     |  0.46843% | 7      |  0.551% | 
 | 44   | Charizard          |  0.46300% | 7      |  0.551% | 
 | 45   | Talonflame         |  0.44872% | 10     |  0.787% | 
 | 46   | Mewtwo-Mega-Y      |  0.44665% | 7      |  0.551% | 
 | 47   | Ninetales-Alola    |  0.44468% | 7      |  0.551% | 
 | 48   | Arceus-Fairy       |  0.44256% | 4      |  0.315% | 
 | 49   | Metagross-Mega     |  0.43022% | 7      |  0.551% | 
 | 50   | Garchomp-Mega      |  0.42860% | 8      |  0.630% | 
