 Total leads: 41636
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Weavile            |  2.09674% | 579    |  1.391% | 
 | 2    | Slurpuff           |  1.97372% | 706    |  1.696% | 
 | 3    | Tapu Koko          |  1.94447% | 705    |  1.693% | 
 | 4    | Kartana            |  1.88635% | 543    |  1.304% | 
 | 5    | Pheromosa          |  1.87926% | 748    |  1.797% | 
 | 6    | Celesteela         |  1.84505% | 385    |  0.925% | 
 | 7    | Raikou             |  1.62454% | 477    |  1.146% | 
 | 8    | Beedrill-Mega      |  1.60284% | 563    |  1.352% | 
 | 9    | Naganadel          |  1.59318% | 553    |  1.328% | 
 | 10   | Greninja           |  1.57185% | 625    |  1.501% | 
 | 11   | Manectric-Mega     |  1.52060% | 648    |  1.556% | 
 | 12   | Lopunny-Mega       |  1.42956% | 567    |  1.362% | 
 | 13   | Landorus-Therian   |  1.37820% | 739    |  1.775% | 
 | 14   | Breloom            |  1.34508% | 560    |  1.345% | 
 | 15   | Medicham-Mega      |  1.27990% | 506    |  1.215% | 
 | 16   | Excadrill          |  1.25486% | 457    |  1.098% | 
 | 17   | Xurkitree          |  1.25370% | 498    |  1.196% | 
 | 18   | Ninetales-Alola    |  1.24011% | 485    |  1.165% | 
 | 19   | Shuckle            |  1.22493% | 602    |  1.446% | 
 | 20   | Cloyster           |  1.19513% | 464    |  1.114% | 
 | 21   | Nidoking           |  1.18671% | 541    |  1.299% | 
 | 22   | Kangaskhan-Mega    |  1.16987% | 450    |  1.081% | 
 | 23   | Hydreigon          |  1.14971% | 341    |  0.819% | 
 | 24   | Tapu Lele          |  1.14300% | 411    |  0.987% | 
 | 25   | Araquanid          |  1.13021% | 371    |  0.891% | 
 | 26   | Aegislash          |  1.11694% | 329    |  0.790% | 
 | 27   | Volcarona          |  1.10368% | 378    |  0.908% | 
 | 28   | Garchomp           |  1.08906% | 504    |  1.210% | 
 | 29   | Gliscor            |  1.07672% | 492    |  1.182% | 
 | 30   | Zapdos             |  1.07578% | 470    |  1.129% | 
 | 31   | Golisopod          |  1.06515% | 410    |  0.985% | 
 | 32   | Blaziken           |  1.06159% | 400    |  0.961% | 
 | 33   | Blacephalon        |  1.05563% | 336    |  0.807% | 
 | 34   | Nihilego           |  1.05354% | 388    |  0.932% | 
 | 35   | Muk-Alola          |  1.04994% | 320    |  0.769% | 
 | 36   | Terrakion          |  1.04912% | 466    |  1.119% | 
 | 37   | Mamoswine          |  1.04659% | 421    |  1.011% | 
 | 38   | Lucario-Mega       |  1.02723% | 259    |  0.622% | 
 | 39   | Blastoise-Mega     |  1.02359% | 323    |  0.776% | 
 | 40   | Chandelure         |  1.00848% | 320    |  0.769% | 
 | 41   | Magnezone          |  0.97472% | 415    |  0.997% | 
 | 42   | Ferrothorn         |  0.96415% | 447    |  1.074% | 
 | 43   | Pelipper           |  0.95266% | 396    |  0.951% | 
 | 44   | Sharpedo           |  0.95228% | 233    |  0.560% | 
 | 45   | Dragonite          |  0.91072% | 337    |  0.809% | 
 | 46   | Rhyperior          |  0.90406% | 353    |  0.848% | 
 | 47   | Gigalith           |  0.88683% | 327    |  0.785% | 
 | 48   | Espeon             |  0.88447% | 297    |  0.713% | 
 | 49   | Latios             |  0.87769% | 314    |  0.754% | 
 | 50   | Clefable           |  0.87118% | 328    |  0.788% | 
 | 51   | Pidgeot-Mega       |  0.86829% | 374    |  0.898% | 
 | 52   | Mimikyu            |  0.84957% | 418    |  1.004% | 
 | 53   | Salamence-Mega     |  0.84860% | 301    |  0.723% | 
 | 54   | Azumarill          |  0.84431% | 317    |  0.761% | 
 | 55   | Skarmory           |  0.84051% | 370    |  0.889% | 
 | 56   | Venusaur-Mega      |  0.83872% | 314    |  0.754% | 
 | 57   | Mawile-Mega        |  0.75917% | 312    |  0.749% | 
 | 58   | Primarina          |  0.74580% | 349    |  0.838% | 
 | 59   | Heatran            |  0.73531% | 326    |  0.783% | 
 | 60   | Metagross-Mega     |  0.72982% | 409    |  0.982% | 
 | 61   | Conkeldurr         |  0.72407% | 329    |  0.790% | 
 | 62   | Stakataka          |  0.71996% | 408    |  0.980% | 
