 Total leads: 88
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Gliscor            | 10.88799% | 7      |  7.955% | 
 | 2    | Ferrothorn         |  7.94437% | 5      |  5.682% | 
 | 3    | Tornadus-Therian   |  7.44936% | 5      |  5.682% | 
 | 4    | Sableye-Mega       |  7.22788% | 4      |  4.545% | 
 | 5    | Haxorus            |  6.31581% | 4      |  4.545% | 
 | 6    | Tapu Lele          |  5.85425% | 4      |  4.545% | 
 | 7    | Hydreigon          |  3.97557% | 3      |  3.409% | 
 | 8    | Beedrill-Mega      |  2.74480% | 2      |  2.273% | 
 | 9    | Mew                |  2.74160% | 2      |  2.273% | 
 | 10   | Terrakion          |  2.13594% | 2      |  2.273% | 
 | 11   | Miltank            |  1.97212% | 2      |  2.273% | 
 | 12   | Tapu Koko          |  1.81787% | 1      |  1.136% | 
 | 13   | Tentacruel         |  1.81699% | 1      |  1.136% | 
 | 14   | Ditto              |  1.78880% | 1      |  1.136% | 
 | 15   | Chansey            |  1.78572% | 1      |  1.136% | 
 | 16   | Slowking           |  1.77648% | 1      |  1.136% | 
 | 17   | Rhydon             |  1.76503% | 1      |  1.136% | 
 | 18   | Dragonite          |  1.68554% | 1      |  1.136% | 
 | 19   | Lucario            |  1.41930% | 1      |  1.136% | 
 | 20   | Azelf              |  1.33934% | 1      |  1.136% | 
 | 21   | Heatran            |  1.28378% | 1      |  1.136% | 
 | 22   | Kyurem-Black       |  1.27687% | 1      |  1.136% | 
 | 23   | Togepi             |  1.24433% | 2      |  2.273% | 
 | 24   | Tyrantrum          |  1.23967% | 1      |  1.136% | 
 | 25   | Pelipper           |  1.16287% | 1      |  1.136% | 
 | 26   | Volcarona          |  1.15942% | 1      |  1.136% | 
 | 27   | Victini            |  1.14198% | 1      |  1.136% | 
 | 28   | Noivern            |  1.11578% | 2      |  2.273% | 
 | 29   | Latios             |  1.03500% | 1      |  1.136% | 
 | 30   | Mawile-Mega        |  1.02971% | 1      |  1.136% | 
 | 31   | Ninetales          |  0.99267% | 3      |  3.409% | 
 | 32   | Scyther            |  0.86154% | 1      |  1.136% | 
 | 33   | Zygarde            |  0.83880% | 1      |  1.136% | 
 | 34   | Araquanid          |  0.82386% | 1      |  1.136% | 
 | 35   | Charizard-Mega-X   |  0.80488% | 1      |  1.136% | 
 | 36   | Tyranitar-Mega     |  0.79041% | 1      |  1.136% | 
 | 37   | Blacephalon        |  0.74903% | 1      |  1.136% | 
 | 38   | Bisharp            |  0.73221% | 1      |  1.136% | 
 | 39   | Typhlosion         |  0.72005% | 1      |  1.136% | 
 | 40   | Galvantula         |  0.67666% | 1      |  1.136% | 
 | 41   | Cloyster           |  0.67611% | 1      |  1.136% | 
 | 42   | Forretress         |  0.67605% | 1      |  1.136% | 
 | 43   | Greninja-Ash       |  0.66933% | 1      |  1.136% | 
 | 44   | Accelgor           |  0.66548% | 1      |  1.136% | 
 | 45   | Krabby             |  0.62918% | 1      |  1.136% | 
 | 46   | Shuckle            |  0.61899% | 2      |  2.273% | 
 | 47   | Feraligatr         |  0.46645% | 1      |  1.136% | 
 | 48   | Cresselia          |  0.45009% | 2      |  2.273% | 
 | 49   | Medicham-Mega      |  0.41381% | 1      |  1.136% | 
 | 50   | Porygon-Z          |  0.37147% | 1      |  1.136% | 
 | 51   | Sceptile-Mega      |  0.13446% | 1      |  1.136% | 
 | 52   | Manectric-Mega     |  0.07150% | 1      |  1.136% | 
 | 53   | Hawlucha           |  0.03281% | 1      |  1.136% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
