 Total leads: 9616
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Tomohawk           |  7.92429% | 762    |  7.924% | 
 | 2    | Crucibelle-Mega    |  5.59484% | 538    |  5.595% | 
 | 3    | Fidgit             |  4.95008% | 476    |  4.950% | 
 | 4    | Stratagem          |  4.66930% | 449    |  4.669% | 
 | 5    | Syclant            |  4.15973% | 400    |  4.160% | 
 | 6    | Aurumoth           |  3.93095% | 378    |  3.931% | 
 | 7    | Pyroak             |  3.56697% | 343    |  3.567% | 
 | 8    | Colossoil          |  3.36938% | 324    |  3.369% | 
 | 9    | Cawmodore          |  3.27579% | 315    |  3.276% | 
 | 10   | Landorus-Therian   |  2.98461% | 287    |  2.985% | 
 | 11   | Kerfluffle         |  2.89101% | 278    |  2.891% | 
 | 12   | Pajantom           |  2.80782% | 270    |  2.808% | 
 | 13   | Necturna           |  2.54784% | 245    |  2.548% | 
 | 14   | Arghonaut          |  2.21506% | 213    |  2.215% | 
 | 15   | Kitsunoh           |  2.00707% | 193    |  2.007% | 
 | 16   | Malaconda          |  2.00707% | 193    |  2.007% | 
 | 17   | Volkraken          |  1.99667% | 192    |  1.997% | 
 | 18   | Tapu Koko          |  1.93428% | 186    |  1.934% | 
 | 19   | Plasmanta          |  1.86148% | 179    |  1.861% | 
 | 20   | Cyclohm            |  1.71589% | 165    |  1.716% | 
 | 21   | Naviathan          |  1.70549% | 164    |  1.705% | 
 | 22   | Mollux             |  1.43511% | 138    |  1.435% | 
 | 23   | Krilowatt          |  1.33111% | 128    |  1.331% | 
 | 24   | Revenankh          |  1.19592% | 115    |  1.196% | 
 | 25   | Ferrothorn         |  0.95674% | 92     |  0.957% | 
 | 26   | Greninja-Ash       |  0.94634% | 91     |  0.946% | 
 | 27   | Voodoom            |  0.89434% | 86     |  0.894% | 
 | 28   | Excadrill          |  0.72795% | 70     |  0.728% | 
 | 29   | Pelipper           |  0.70715% | 68     |  0.707% | 
 | 30   | Charizard-Mega-Y   |  0.66556% | 64     |  0.666% | 
 | 31   | Ribombee           |  0.66556% | 64     |  0.666% | 
 | 32   | Sableye-Mega       |  0.62396% | 60     |  0.624% | 
 | 33   | Medicham-Mega      |  0.59276% | 57     |  0.593% | 
 | 34   | Ninetales-Alola    |  0.51997% | 50     |  0.520% | 
 | 35   | Skarmory           |  0.48877% | 47     |  0.489% | 
 | 36   | Charizard-Mega-X   |  0.46797% | 45     |  0.468% | 
 | 37   | Chansey            |  0.44717% | 43     |  0.447% | 
 | 38   | Crucibelle         |  0.44717% | 43     |  0.447% | 
 | 39   | Greninja           |  0.39517% | 38     |  0.395% | 
