 Total leads: 169670
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Marshadow          |  0.37956% | 644    |  0.380% | 
 | 2    | Kyogre             |  0.36836% | 625    |  0.368% | 
 | 3    | Palkia             |  0.35481% | 602    |  0.355% | 
 | 4    | Reshiram           |  0.35481% | 602    |  0.355% | 
 | 5    | Rayquaza           |  0.35304% | 599    |  0.353% | 
 | 6    | Dialga             |  0.34832% | 591    |  0.348% | 
 | 7    | Solgaleo           |  0.33536% | 569    |  0.335% | 
 | 8    | Volcanion          |  0.33005% | 560    |  0.330% | 
 | 9    | Zekrom             |  0.32946% | 559    |  0.329% | 
 | 10   | Arceus             |  0.32828% | 557    |  0.328% | 
 | 11   | Groudon            |  0.32239% | 547    |  0.322% | 
 | 12   | Mewtwo             |  0.30825% | 523    |  0.308% | 
 | 13   | Yveltal            |  0.30530% | 518    |  0.305% | 
 | 14   | Buzzwole           |  0.30471% | 517    |  0.305% | 
 | 15   | Dragonite          |  0.30176% | 512    |  0.302% | 
 | 16   | Blaziken           |  0.29999% | 509    |  0.300% | 
 | 17   | Guzzlord           |  0.29882% | 507    |  0.299% | 
 | 18   | Salamence          |  0.29823% | 506    |  0.298% | 
 | 19   | Eelektross         |  0.29469% | 500    |  0.295% | 
 | 20   | Lunala             |  0.29410% | 499    |  0.294% | 
 | 21   | Garchomp           |  0.29292% | 497    |  0.293% | 
 | 22   | Genesect           |  0.28526% | 484    |  0.285% | 
 | 23   | Hydreigon          |  0.28349% | 481    |  0.283% | 
 | 24   | Celesteela         |  0.28231% | 479    |  0.282% | 
 | 25   | Nidoking           |  0.28231% | 479    |  0.282% | 
 | 26   | Conkeldurr         |  0.27937% | 474    |  0.279% | 
 | 27   | Lugia              |  0.27701% | 470    |  0.277% | 
 | 28   | Haxorus            |  0.27642% | 469    |  0.276% | 
 | 29   | Tyranitar          |  0.27347% | 464    |  0.273% | 
 | 30   | Emboar             |  0.27229% | 462    |  0.272% | 
 | 31   | Tyrantrum          |  0.27229% | 462    |  0.272% | 
 | 32   | Swampert           |  0.27111% | 460    |  0.271% | 
 | 33   | Victini            |  0.26817% | 455    |  0.268% | 
 | 34   | Magearna           |  0.26581% | 451    |  0.266% | 
 | 35   | Heatran            |  0.26345% | 447    |  0.263% | 
 | 36   | Kartana            |  0.26345% | 447    |  0.263% | 
 | 37   | Snorlax            |  0.26345% | 447    |  0.263% | 
 | 38   | Metagross          |  0.26227% | 445    |  0.262% | 
 | 39   | Goodra             |  0.25992% | 441    |  0.260% | 
 | 40   | Infernape          |  0.25697% | 436    |  0.257% | 
 | 41   | Gyarados           |  0.25638% | 435    |  0.256% | 
 | 42   | Tapu Koko          |  0.25402% | 431    |  0.254% | 
 | 43   | Pangoro            |  0.25166% | 427    |  0.252% | 
 | 44   | Hariyama           |  0.25049% | 425    |  0.250% | 
 | 45   | Lucario            |  0.25049% | 425    |  0.250% | 
