 Total leads: 48868
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Groudon-Primal     |  8.87243% | 2652   |  5.427% | 
 | 2    | Xerneas            |  7.96214% | 2298   |  4.702% | 
 | 3    | Arceus             |  4.87526% | 913    |  1.868% | 
 | 4    | Rayquaza-Mega      |  4.64148% | 1279   |  2.617% | 
 | 5    | Kyogre-Primal      |  4.55935% | 1669   |  3.415% | 
 | 6    | Smeargle           |  4.24242% | 802    |  1.641% | 
 | 7    | Yveltal            |  4.17272% | 845    |  1.729% | 
 | 8    | Lunala             |  3.15015% | 520    |  1.064% | 
 | 9    | Magearna           |  2.76486% | 731    |  1.496% | 
 | 10   | Lugia              |  2.46406% | 608    |  1.244% | 
 | 11   | Mew                |  2.44902% | 593    |  1.213% | 
 | 12   | Necrozma-Dusk-Mane |  2.38508% | 558    |  1.142% | 
 | 13   | Tapu Lele          |  2.26900% | 434    |  0.888% | 
 | 14   | Mewtwo-Mega-Y      |  2.14246% | 611    |  1.250% | 
 | 15   | Kangaskhan-Mega    |  1.48569% | 640    |  1.310% | 
 | 16   | Eevee              |  1.26377% | 1156   |  2.366% | 
 | 17   | Liepard            |  1.22537% | 334    |  0.683% | 
 | 18   | Deoxys-Attack      |  1.10831% | 251    |  0.514% | 
 | 19   | Ho-Oh              |  1.03928% | 339    |  0.694% | 
 | 20   | Amoonguss          |  1.02611% | 241    |  0.493% | 
 | 21   | Landorus-Therian   |  0.93875% | 264    |  0.540% | 
 | 22   | Whimsicott         |  0.93017% | 424    |  0.868% | 
 | 23   | Necrozma-Dawn-Wings |  0.89870% | 369    |  0.755% | 
 | 24   | Darkrai            |  0.79206% | 339    |  0.694% | 
 | 25   | Victini            |  0.77226% | 192    |  0.393% | 
 | 26   | Tapu Fini          |  0.67022% | 203    |  0.415% | 
 | 27   | Meowstic           |  0.65416% | 136    |  0.278% | 
 | 28   | Arceus-Ghost       |  0.64546% | 97     |  0.198% | 
 | 29   | Dialga             |  0.64505% | 410    |  0.839% | 
 | 30   | Jirachi            |  0.64146% | 245    |  0.501% | 
 | 31   | Marshadow          |  0.62807% | 463    |  0.947% | 
 | 32   | Zygarde            |  0.59389% | 411    |  0.841% | 
 | 33   | Zekrom             |  0.58651% | 311    |  0.636% | 
 | 34   | Kyogre             |  0.58339% | 162    |  0.332% | 
 | 35   | Tapu Koko          |  0.54960% | 420    |  0.859% | 
