 Total leads: 18982
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Kommo-o            |  5.58738% | 272    |  1.433% | 
 | 2    | Breloom            |  3.76565% | 145    |  0.764% | 
 | 3    | Weavile            |  3.31370% | 253    |  1.333% | 
 | 4    | Incineroar         |  2.63488% | 102    |  0.537% | 
 | 5    | Sylveon            |  2.61622% | 108    |  0.569% | 
 | 6    | Gardevoir-Mega     |  2.57614% | 117    |  0.616% | 
 | 7    | Togekiss           |  2.56753% | 246    |  1.296% | 
 | 8    | Entei              |  2.56649% | 113    |  0.595% | 
 | 9    | Crobat             |  2.30075% | 149    |  0.785% | 
 | 10   | Manectric-Mega     |  2.24994% | 146    |  0.769% | 
 | 11   | Victini            |  2.14725% | 65     |  0.342% | 
 | 12   | Staraptor          |  1.88804% | 77     |  0.406% | 
 | 13   | Mawile-Mega        |  1.71152% | 65     |  0.342% | 
 | 14   | Krookodile         |  1.71029% | 196    |  1.033% | 
 | 15   | Azumarill          |  1.62780% | 123    |  0.648% | 
 | 16   | Magnezone          |  1.62614% | 25     |  0.132% | 
 | 17   | Machamp            |  1.60567% | 61     |  0.321% | 
 | 18   | Sableye-Mega       |  1.48575% | 62     |  0.327% | 
 | 19   | Ninetales          |  1.43555% | 237    |  1.249% | 
 | 20   | Necrozma           |  1.40755% | 29     |  0.153% | 
 | 21   | Blaziken-Mega      |  1.39076% | 94     |  0.495% | 
 | 22   | Musharna           |  1.21262% | 133    |  0.701% | 
 | 23   | Suicune            |  1.20463% | 99     |  0.522% | 
 | 24   | Tsareena           |  1.20310% | 61     |  0.321% | 
 | 25   | Thundurus          |  1.14577% | 53     |  0.279% | 
 | 26   | Clefable           |  1.12757% | 135    |  0.711% | 
 | 27   | Raichu             |  1.10645% | 113    |  0.595% | 
 | 28   | Gengar             |  1.10365% | 91     |  0.479% | 
 | 29   | Blastoise-Mega     |  1.08690% | 71     |  0.374% | 
 | 30   | Hitmontop          |  0.96643% | 133    |  0.701% | 
 | 31   | Landorus           |  0.94337% | 37     |  0.195% | 
 | 32   | Blacephalon        |  0.94163% | 77     |  0.406% | 
 | 33   | Comfey             |  0.87001% | 76     |  0.400% | 
 | 34   | Infernape          |  0.85379% | 132    |  0.695% | 
 | 35   | Abomasnow-Mega     |  0.83257% | 65     |  0.342% | 
 | 36   | Scizor             |  0.82845% | 79     |  0.416% | 
 | 37   | Hariyama           |  0.78981% | 66     |  0.348% | 
 | 38   | Lucario            |  0.77737% | 39     |  0.205% | 
 | 39   | Rotom-Heat         |  0.76812% | 50     |  0.263% | 
 | 40   | Hydreigon          |  0.74261% | 51     |  0.269% | 
 | 41   | Gothitelle         |  0.71994% | 53     |  0.279% | 
 | 42   | Slowbro-Mega       |  0.70931% | 81     |  0.427% | 
 | 43   | Darkrai            |  0.70804% | 43     |  0.227% | 
 | 44   | Serperior          |  0.70124% | 212    |  1.117% | 
 | 45   | Xurkitree          |  0.69381% | 60     |  0.316% | 
 | 46   | Porygon-Z          |  0.63886% | 78     |  0.411% | 
 | 47   | Bruxish            |  0.59423% | 118    |  0.622% | 
 | 48   | Smeargle           |  0.57584% | 71     |  0.374% | 
 | 49   | Stantler           |  0.57558% | 105    |  0.553% | 
 | 50   | Shaymin-Sky        |  0.57486% | 130    |  0.685% | 
 | 51   | Mamoswine          |  0.53487% | 50     |  0.263% | 
 | 52   | Dhelmise           |  0.51961% | 18     |  0.095% | 
 | 53   | Milotic            |  0.51124% | 92     |  0.485% | 
 | 54   | Togetic            |  0.49699% | 51     |  0.269% | 
 | 55   | Zygarde-10%        |  0.48818% | 11     |  0.058% | 
 | 56   | Muk-Alola          |  0.47793% | 125    |  0.659% | 
 | 57   | Persian-Alola      |  0.46809% | 92     |  0.485% | 
 | 58   | Moltres            |  0.42198% | 37     |  0.195% | 
 | 59   | Empoleon           |  0.41682% | 46     |  0.242% | 
 | 60   | Swampert           |  0.41463% | 76     |  0.400% | 
 | 61   | Bisharp            |  0.39341% | 35     |  0.184% | 
 | 62   | Aerodactyl-Mega    |  0.37340% | 100    |  0.527% | 
 | 63   | Keldeo             |  0.36496% | 15     |  0.079% | 
 | 64   | Goodra             |  0.35887% | 62     |  0.327% | 
 | 65   | Metagross          |  0.35344% | 110    |  0.579% | 
 | 66   | Dusknoir           |  0.34985% | 81     |  0.427% | 
 | 67   | Chandelure         |  0.34770% | 72     |  0.379% | 
 | 68   | Ambipom            |  0.34108% | 311    |  1.638% | 
 | 69   | Venusaur-Mega      |  0.33035% | 36     |  0.190% | 
 | 70   | Gallade-Mega       |  0.32919% | 25     |  0.132% | 
 | 71   | Gyarados           |  0.32044% | 49     |  0.258% | 
 | 72   | Latios             |  0.31883% | 45     |  0.237% | 
 | 73   | Kommo-o-Totem      |  0.31827% | 51     |  0.269% | 
 | 74   | Vivillon           |  0.31177% | 36     |  0.190% | 
 | 75   | Beedrill-Mega      |  0.31012% | 70     |  0.369% | 
 | 76   | Darmanitan         |  0.30421% | 139    |  0.732% | 
 | 77   | Gigalith           |  0.30389% | 57     |  0.300% | 
 | 78   | Gourgeist-Small    |  0.30368% | 34     |  0.179% | 
 | 79   | Greninja           |  0.29975% | 93     |  0.490% | 
 | 80   | Nidoking           |  0.29569% | 84     |  0.443% | 
 | 81   | Dusclops           |  0.29284% | 124    |  0.653% | 
 | 82   | Skarmory           |  0.28674% | 39     |  0.205% | 
 | 83   | Carbink            |  0.28435% | 69     |  0.364% | 
 | 84   | Cloyster           |  0.28374% | 57     |  0.300% | 
 | 85   | Blastoise          |  0.27548% | 35     |  0.184% | 
 | 86   | Drampa             |  0.26886% | 23     |  0.121% | 
 | 87   | Mienshao           |  0.25643% | 59     |  0.311% | 
 | 88   | Abomasnow          |  0.24202% | 28     |  0.148% | 
 | 89   | Latias-Mega        |  0.23483% | 22     |  0.116% | 
 | 90   | Rotom-Wash         |  0.22657% | 16     |  0.084% | 
 | 91   | Latias             |  0.22486% | 17     |  0.090% | 
 | 92   | Yanmega            |  0.21956% | 18     |  0.095% | 
 | 93   | Pheromosa          |  0.21611% | 35     |  0.184% | 
 | 94   | Kangaskhan         |  0.21356% | 13     |  0.068% | 
 | 95   | Talonflame         |  0.21313% | 18     |  0.095% | 
 | 96   | Stoutland          |  0.21042% | 10     |  0.053% | 
 | 97   | Shedinja           |  0.21002% | 155    |  0.817% | 
 | 98   | Hoopa              |  0.20534% | 22     |  0.116% | 
 | 99   | Illumise           |  0.20160% | 22     |  0.116% | 
 | 100  | Charizard-Mega-X   |  0.20076% | 92     |  0.485% | 
 | 101  | Aromatisse         |  0.19867% | 40     |  0.211% | 
 | 102  | Slurpuff           |  0.19752% | 29     |  0.153% | 
 | 103  | Eelektross         |  0.19429% | 75     |  0.395% | 
 | 104  | Gliscor            |  0.18916% | 105    |  0.553% | 
 | 105  | Aerodactyl         |  0.18545% | 25     |  0.132% | 
 | 106  | Venusaur           |  0.18457% | 102    |  0.537% | 
 | 107  | Liepard            |  0.18410% | 50     |  0.263% | 
 | 108  | Altaria-Mega       |  0.18233% | 45     |  0.237% | 
 | 109  | Meloetta           |  0.17884% | 29     |  0.153% | 
 | 110  | Tornadus           |  0.17800% | 20     |  0.105% | 
 | 111  | Ribombee           |  0.16232% | 160    |  0.843% | 
 | 112  | Jolteon            |  0.15930% | 193    |  1.017% | 
 | 113  | Glaceon            |  0.15485% | 38     |  0.200% | 
 | 114  | Heracross-Mega     |  0.15471% | 29     |  0.153% | 
 | 115  | Vanilluxe          |  0.15067% | 23     |  0.121% | 
 | 116  | Greninja-Ash       |  0.14211% | 65     |  0.342% | 
 | 117  | Aurorus            |  0.14138% | 42     |  0.221% | 
 | 118  | Raikou             |  0.14068% | 35     |  0.184% | 
 | 119  | Steelix-Mega       |  0.14064% | 34     |  0.179% | 
 | 120  | Galvantula         |  0.13908% | 134    |  0.706% | 
 | 121  | Salamence          |  0.13839% | 49     |  0.258% | 
 | 122  | Exeggutor-Alola    |  0.13681% | 32     |  0.169% | 
 | 123  | Ampharos-Mega      |  0.13525% | 58     |  0.306% | 
 | 124  | Lilligant          |  0.12789% | 164    |  0.864% | 
 | 125  | Golisopod          |  0.12667% | 30     |  0.158% | 
 | 126  | Tauros             |  0.12645% | 97     |  0.511% | 
 | 127  | Deoxys-Speed       |  0.12150% | 51     |  0.269% | 
 | 128  | Florges            |  0.11949% | 35     |  0.184% | 
 | 129  | Conkeldurr         |  0.11846% | 30     |  0.158% | 
 | 130  | Sceptile-Mega      |  0.11326% | 157    |  0.827% | 
 | 131  | Sawsbuck           |  0.10584% | 20     |  0.105% | 
 | 132  | Dragonite          |  0.10425% | 46     |  0.242% | 
 | 133  | Blaziken           |  0.10335% | 44     |  0.232% | 
 | 134  | Exploud            |  0.10244% | 49     |  0.258% | 
 | 135  | Thundurus-Therian  |  0.09874% | 43     |  0.227% | 
 | 136  | Electivire         |  0.09787% | 41     |  0.216% | 
 | 137  | Vaporeon           |  0.09461% | 52     |  0.274% | 
 | 138  | Cofagrigus         |  0.09192% | 180    |  0.948% | 
 | 139  | Decidueye          |  0.09153% | 27     |  0.142% | 
 | 140  | Aggron             |  0.08846% | 25     |  0.132% | 
 | 141  | Solrock            |  0.08634% | 13     |  0.068% | 
 | 142  | Cinccino           |  0.08565% | 39     |  0.205% | 
