 Total leads: 112588
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Lickilicky         |  0.19194% | 172    |  0.153% | 
 | 2    | Electabuzz         |  0.18210% | 159    |  0.141% | 
 | 3    | Skarmory           |  0.16481% | 154    |  0.137% | 
 | 4    | Weepinbell         |  0.16467% | 160    |  0.142% | 
 | 5    | Charjabug          |  0.16419% | 158    |  0.140% | 
 | 6    | Serperior          |  0.16418% | 159    |  0.141% | 
 | 7    | Starmie            |  0.16313% | 146    |  0.130% | 
 | 8    | Suicune            |  0.16293% | 157    |  0.139% | 
 | 9    | Zigzagoon          |  0.16257% | 160    |  0.142% | 
 | 10   | Ferroseed          |  0.16192% | 151    |  0.134% | 
 | 11   | Butterfree         |  0.16165% | 137    |  0.122% | 
 | 12   | Victini            |  0.16121% | 161    |  0.143% | 
 | 13   | Vanilluxe          |  0.16096% | 155    |  0.138% | 
 | 14   | Solgaleo           |  0.16095% | 158    |  0.140% | 
 | 15   | Dragonair          |  0.16088% | 148    |  0.131% | 
 | 16   | Grovyle            |  0.16086% | 155    |  0.138% | 
 | 17   | Gothita            |  0.16021% | 168    |  0.149% | 
 | 18   | Magnezone          |  0.16007% | 157    |  0.139% | 
 | 19   | Cutiefly           |  0.15992% | 161    |  0.143% | 
 | 20   | Brionne            |  0.15969% | 146    |  0.130% | 
 | 21   | Tynamo             |  0.15944% | 152    |  0.135% | 
 | 22   | Goodra             |  0.15891% | 142    |  0.126% | 
 | 23   | Torterra           |  0.15853% | 158    |  0.140% | 
 | 24   | Tentacruel         |  0.15567% | 146    |  0.130% | 
 | 25   | Dialga             |  0.15536% | 139    |  0.123% | 
 | 26   | Haxorus            |  0.15524% | 144    |  0.128% | 
 | 27   | Shiinotic          |  0.15504% | 153    |  0.136% | 
 | 28   | Deino              |  0.15484% | 141    |  0.125% | 
 | 29   | Tapu Bulu          |  0.15329% | 144    |  0.128% | 
 | 30   | Avalugg            |  0.15319% | 157    |  0.139% | 
 | 31   | Sunflora           |  0.15319% | 155    |  0.138% | 
 | 32   | Jellicent          |  0.15313% | 139    |  0.123% | 
 | 33   | Throh              |  0.15286% | 145    |  0.129% | 
 | 34   | Ambipom            |  0.15264% | 146    |  0.130% | 
 | 35   | Wartortle          |  0.15243% | 142    |  0.126% | 
 | 36   | Venipede           |  0.15225% | 143    |  0.127% | 
 | 37   | Haunter            |  0.15223% | 158    |  0.140% | 
 | 38   | Salandit           |  0.15223% | 148    |  0.131% | 
 | 39   | Stunfisk           |  0.15218% | 155    |  0.138% | 
 | 40   | Aipom              |  0.15211% | 152    |  0.135% | 
 | 41   | Beartic            |  0.15207% | 148    |  0.131% | 
 | 42   | Magneton           |  0.15168% | 141    |  0.125% | 
 | 43   | Ditto              |  0.15162% | 133    |  0.118% | 
 | 44   | Flaaffy            |  0.15162% | 153    |  0.136% | 
 | 45   | Weezing            |  0.15153% | 157    |  0.139% | 
 | 46   | Ursaring           |  0.15138% | 155    |  0.138% | 
 | 47   | Drowzee            |  0.15138% | 155    |  0.138% | 
 | 48   | Komala             |  0.15112% | 152    |  0.135% | 
 | 49   | Ledian             |  0.15108% | 154    |  0.137% | 
 | 50   | Chatot             |  0.15092% | 152    |  0.135% | 
 | 51   | Kartana            |  0.15080% | 134    |  0.119% | 
 | 52   | Weedle             |  0.15061% | 152    |  0.135% | 
 | 53   | Typhlosion         |  0.15059% | 141    |  0.125% | 
 | 54   | Wingull            |  0.15057% | 148    |  0.131% | 
 | 55   | Grubbin            |  0.15052% | 158    |  0.140% | 
 | 56   | Shroomish          |  0.15011% | 160    |  0.142% | 
 | 57   | Bonsly             |  0.14993% | 141    |  0.125% | 
 | 58   | Wooper             |  0.14987% | 144    |  0.128% | 
 | 59   | Tranquill          |  0.14970% | 167    |  0.148% | 
 | 60   | Zangoose           |  0.14968% | 142    |  0.126% | 
 | 61   | Florges            |  0.14956% | 154    |  0.137% | 
 | 62   | Omanyte            |  0.14940% | 154    |  0.137% | 
 | 63   | Piplup             |  0.14935% | 139    |  0.123% | 
 | 64   | Machoke            |  0.14919% | 141    |  0.125% | 
 | 65   | Burmy              |  0.14910% | 151    |  0.134% | 
 | 66   | Amoonguss          |  0.14909% | 159    |  0.141% | 
 | 67   | Krokorok           |  0.14857% | 138    |  0.123% | 
 | 68   | Swirlix            |  0.14847% | 156    |  0.139% | 
 | 69   | Cinccino           |  0.14828% | 135    |  0.120% | 
 | 70   | Magby              |  0.14814% | 160    |  0.142% | 
 | 71   | Vivillon           |  0.14802% | 138    |  0.123% | 
 | 72   | Axew               |  0.14796% | 145    |  0.129% | 
 | 73   | Simipour           |  0.14790% | 165    |  0.147% | 
 | 74   | Kakuna             |  0.14786% | 173    |  0.154% | 
 | 75   | Durant             |  0.14778% | 151    |  0.134% | 
 | 76   | Krookodile         |  0.14754% | 155    |  0.138% | 
 | 77   | Murkrow            |  0.14700% | 140    |  0.124% | 
 | 78   | Liepard            |  0.14697% | 148    |  0.131% | 
 | 79   | Incineroar         |  0.14686% | 161    |  0.143% | 
 | 80   | Ninjask            |  0.14661% | 162    |  0.144% | 
 | 81   | Scatterbug         |  0.14646% | 143    |  0.127% | 
 | 82   | Mime Jr.           |  0.14644% | 133    |  0.118% | 
 | 83   | Amaura             |  0.14636% | 145    |  0.129% | 
 | 84   | Dartrix            |  0.14618% | 154    |  0.137% | 
 | 85   | Forretress         |  0.14618% | 142    |  0.126% | 
 | 86   | Dedenne            |  0.14614% | 144    |  0.128% | 
 | 87   | Gligar             |  0.14612% | 128    |  0.114% | 
 | 88   | Mienfoo            |  0.14538% | 143    |  0.127% | 
 | 89   | Omastar            |  0.14535% | 144    |  0.128% | 
 | 90   | Shelmet            |  0.14526% | 161    |  0.143% | 
 | 91   | Munchlax           |  0.14486% | 168    |  0.149% | 
 | 92   | Mandibuzz          |  0.14480% | 157    |  0.139% | 
 | 93   | Mudsdale           |  0.14468% | 161    |  0.143% | 
 | 94   | Mareep             |  0.14464% | 128    |  0.114% | 
 | 95   | Froslass           |  0.14458% | 144    |  0.128% | 
 | 96   | Mesprit            |  0.14453% | 146    |  0.130% | 
 | 97   | Virizion           |  0.14422% | 167    |  0.148% | 
 | 98   | Vespiquen          |  0.14416% | 147    |  0.131% | 
 | 99   | Klefki             |  0.14415% | 138    |  0.123% | 
 | 100  | Flareon            |  0.14382% | 141    |  0.125% | 
 | 101  | Abra               |  0.14372% | 152    |  0.135% | 
 | 102  | Leavanny           |  0.14354% | 157    |  0.139% | 
 | 103  | Lombre             |  0.14352% | 146    |  0.130% | 
 | 104  | Azurill            |  0.14335% | 157    |  0.139% | 
 | 105  | Hydreigon          |  0.14320% | 154    |  0.137% | 
 | 106  | Turtonator         |  0.14300% | 152    |  0.135% | 
 | 107  | Plusle             |  0.14299% | 151    |  0.134% | 
 | 108  | Lampent            |  0.14291% | 140    |  0.124% | 
 | 109  | Carnivine          |  0.14287% | 141    |  0.125% | 
 | 110  | Riolu              |  0.14281% | 146    |  0.130% | 
 | 111  | Machop             |  0.14265% | 150    |  0.133% | 
 | 112  | Snover             |  0.14236% | 130    |  0.115% | 
 | 113  | Decidueye          |  0.14233% | 152    |  0.135% | 
 | 114  | Bisharp            |  0.14225% | 131    |  0.116% | 
 | 115  | Cofagrigus         |  0.14209% | 142    |  0.126% | 
 | 116  | Boldore            |  0.14201% | 149    |  0.132% | 
 | 117  | Grumpig            |  0.14197% | 147    |  0.131% | 
 | 118  | Pignite            |  0.14190% | 146    |  0.130% | 
 | 119  | Honedge            |  0.14186% | 141    |  0.125% | 
 | 120  | Pikipek            |  0.14174% | 154    |  0.137% | 
 | 121  | Mudkip             |  0.14163% | 157    |  0.139% | 
 | 122  | Doduo              |  0.14144% | 138    |  0.123% | 
 | 123  | Skuntank           |  0.14142% | 145    |  0.129% | 
 | 124  | Sliggoo            |  0.14135% | 143    |  0.127% | 
 | 125  | Klang              |  0.14134% | 146    |  0.130% | 
 | 126  | Tsareena           |  0.14117% | 146    |  0.130% | 
 | 127  | Gible              |  0.14116% | 135    |  0.120% | 
 | 128  | Gigalith           |  0.14116% | 153    |  0.136% | 
 | 129  | Vanillish          |  0.14106% | 142    |  0.126% | 
 | 130  | Huntail            |  0.14105% | 138    |  0.123% | 
 | 131  | Stufful            |  0.14100% | 161    |  0.143% | 
 | 132  | Glaceon            |  0.14099% | 141    |  0.125% | 
 | 133  | Dragonite          |  0.14098% | 152    |  0.135% | 
 | 134  | Skiploom           |  0.14066% | 139    |  0.123% | 
