 Total leads: 66200
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Shuckle            |  4.85477% | 2076   |  3.136% | 
 | 2    | Groudon-Primal     |  3.62884% | 2111   |  3.189% | 
 | 3    | Blissey            |  2.75429% | 1236   |  1.867% | 
 | 4    | Mimikyu            |  1.81050% | 1083   |  1.636% | 
 | 5    | Zygarde            |  1.71816% | 1083   |  1.636% | 
 | 6    | Weavile            |  1.56066% | 719    |  1.086% | 
 | 7    | Magearna           |  1.47560% | 670    |  1.012% | 
 | 8    | Golisopod          |  1.47303% | 634    |  0.958% | 
 | 9    | Deoxys-Speed       |  1.44769% | 602    |  0.909% | 
 | 10   | Mew                |  1.39322% | 717    |  1.083% | 
 | 11   | Charizard-Mega-X   |  1.33817% | 1447   |  2.186% | 
 | 12   | Greninja-Ash       |  1.31976% | 1576   |  2.381% | 
 | 13   | Genesect           |  1.22574% | 518    |  0.782% | 
 | 14   | Tapu Koko          |  1.17613% | 627    |  0.947% | 
 | 15   | Ferrothorn         |  1.16906% | 595    |  0.899% | 
 | 16   | Kartana            |  1.11674% | 556    |  0.840% | 
 | 17   | Gengar             |  1.10103% | 649    |  0.980% | 
 | 18   | Landorus-Therian   |  1.05556% | 510    |  0.770% | 
 | 19   | Naganadel          |  0.98190% | 471    |  0.711% | 
 | 20   | Zapdos             |  0.89841% | 465    |  0.702% | 
 | 21   | Kyogre-Primal      |  0.88680% | 859    |  1.298% | 
 | 22   | Toxapex            |  0.81296% | 434    |  0.656% | 
 | 23   | Tapu Lele          |  0.81184% | 384    |  0.580% | 
 | 24   | Rayquaza-Mega      |  0.80343% | 753    |  1.137% | 
 | 25   | Skarmory           |  0.79356% | 350    |  0.529% | 
 | 26   | Lucario-Mega       |  0.75012% | 657    |  0.992% | 
 | 27   | Keldeo             |  0.73541% | 379    |  0.573% | 
 | 28   | Heatran            |  0.72445% | 350    |  0.529% | 
 | 29   | Garchomp           |  0.70763% | 400    |  0.604% | 
 | 30   | Mewtwo-Mega-Y      |  0.70566% | 547    |  0.826% | 
 | 31   | Blaziken-Mega      |  0.69319% | 694    |  1.048% | 
 | 32   | Excadrill          |  0.68891% | 346    |  0.523% | 
 | 33   | Diancie-Mega       |  0.68865% | 611    |  0.923% | 
 | 34   | Smeargle           |  0.67899% | 321    |  0.485% | 
 | 35   | Ninetales-Alola    |  0.67694% | 382    |  0.577% | 
 | 36   | Xurkitree          |  0.66852% | 336    |  0.508% | 
 | 37   | Manaphy            |  0.65313% | 299    |  0.452% | 
 | 38   | Noivern            |  0.64005% | 331    |  0.500% | 
 | 39   | Archeops           |  0.63282% | 266    |  0.402% | 
 | 40   | Blacephalon        |  0.61549% | 345    |  0.521% | 
 | 41   | Victini            |  0.61153% | 314    |  0.474% | 
 | 42   | Darkrai            |  0.58828% | 512    |  0.773% | 
 | 43   | Necrozma-Dusk-Mane |  0.58161% | 439    |  0.663% | 
 | 44   | Volcarona          |  0.56579% | 323    |  0.488% | 
 | 45   | Garchomp-Mega      |  0.56424% | 522    |  0.789% | 
 | 46   | Tyranitar-Mega     |  0.55466% | 715    |  1.080% | 
 | 47   | Breloom            |  0.55429% | 295    |  0.446% | 
 | 48   | Xerneas            |  0.53880% | 463    |  0.699% | 
 | 49   | Charizard-Mega-Y   |  0.52731% | 480    |  0.725% | 
 | 50   | Stakataka          |  0.51648% | 255    |  0.385% | 
 | 51   | Alakazam           |  0.51307% | 218    |  0.329% | 
 | 52   | Greninja           |  0.50307% | 408    |  0.616% | 
 | 53   | Nihilego           |  0.50205% | 270    |  0.408% | 
 | 54   | Hippowdon          |  0.46215% | 209    |  0.316% | 
 | 55   | Gyarados           |  0.46049% | 243    |  0.367% | 
 | 56   | Slurpuff           |  0.45925% | 198    |  0.299% | 
 | 57   | Raikou             |  0.44580% | 221    |  0.334% | 
 | 58   | Alakazam-Mega      |  0.44015% | 453    |  0.684% | 
 | 59   | Gardevoir-Mega     |  0.43971% | 445    |  0.672% | 
 | 60   | Cloyster           |  0.43787% | 243    |  0.367% | 
 | 61   | Forretress         |  0.42817% | 301    |  0.455% | 
 | 62   | Swampert-Mega      |  0.42699% | 446    |  0.674% | 
 | 63   | Deoxys-Defense     |  0.42532% | 206    |  0.311% | 
 | 64   | Entei              |  0.40056% | 171    |  0.258% | 
 | 65   | Metagross-Mega     |  0.38521% | 379    |  0.573% | 
 | 66   | Tyranitar          |  0.38501% | 225    |  0.340% | 
 | 67   | Hoopa-Unbound      |  0.38028% | 268    |  0.405% | 
 | 68   | Celesteela         |  0.37369% | 217    |  0.328% | 
 | 69   | Gyarados-Mega      |  0.36499% | 379    |  0.573% | 
 | 70   | Buzzwole           |  0.36061% | 221    |  0.334% | 
 | 71   | Kangaskhan-Mega    |  0.35429% | 320    |  0.483% | 
 | 72   | Bisharp            |  0.35390% | 292    |  0.441% | 
 | 73   | Volcanion          |  0.35219% | 224    |  0.338% | 
 | 74   | Staraptor          |  0.35148% | 223    |  0.337% | 
 | 75   | Crobat             |  0.35045% | 172    |  0.260% | 
 | 76   | Jolteon            |  0.34384% | 227    |  0.343% | 
 | 77   | Galvantula         |  0.34024% | 174    |  0.263% | 
 | 78   | Hydreigon          |  0.32948% | 196    |  0.296% | 
 | 79   | Sceptile-Mega      |  0.32915% | 378    |  0.571% | 
 | 80   | Mewtwo-Mega-X      |  0.31390% | 372    |  0.562% | 
 | 81   | Ho-Oh              |  0.30892% | 204    |  0.308% | 
 | 82   | Kommo-o            |  0.30891% | 179    |  0.270% | 
 | 83   | Yveltal            |  0.30057% | 313    |  0.473% | 
 | 84   | Necrozma-Dawn-Wings |  0.29436% | 325    |  0.491% | 
 | 85   | Ribombee           |  0.29289% | 132    |  0.199% | 
 | 86   | Terrakion          |  0.28802% | 131    |  0.198% | 
 | 87   | Marshadow          |  0.28788% | 254    |  0.384% | 
 | 88   | Cofagrigus         |  0.28781% | 140    |  0.211% | 
 | 89   | Azelf              |  0.28745% | 125    |  0.189% | 
 | 90   | Gliscor            |  0.28739% | 217    |  0.328% | 
 | 91   | Jirachi            |  0.28680% | 130    |  0.196% | 
 | 92   | Magnezone          |  0.28224% | 153    |  0.231% | 
 | 93   | Ambipom            |  0.28213% | 155    |  0.234% | 
 | 94   | Infernape          |  0.28196% | 220    |  0.332% | 
 | 95   | Leavanny           |  0.28183% | 120    |  0.181% | 
 | 96   | Shaymin-Sky        |  0.28062% | 135    |  0.204% | 
 | 97   | Pikachu            |  0.28049% | 408    |  0.616% | 
 | 98   | Metagross          |  0.27920% | 139    |  0.210% | 
 | 99   | Lunala             |  0.27654% | 199    |  0.301% | 
 | 100  | Dragonite          |  0.26925% | 267    |  0.403% | 
 | 101  | Salamence-Mega     |  0.26626% | 256    |  0.387% | 
 | 102  | Venusaur-Mega      |  0.26338% | 284    |  0.429% | 
 | 103  | Porygon-Z          |  0.26312% | 161    |  0.243% | 
 | 104  | Goodra             |  0.24693% | 143    |  0.216% | 
 | 105  | Cresselia          |  0.24358% | 116    |  0.175% | 
 | 106  | Snorlax            |  0.23514% | 230    |  0.347% | 
 | 107  | Clefable           |  0.23440% | 172    |  0.260% | 
 | 108  | Mimikyu-Totem      |  0.23055% | 157    |  0.237% | 
 | 109  | Manectric-Mega     |  0.22874% | 188    |  0.284% | 
 | 110  | Krookodile         |  0.22863% | 168    |  0.254% | 
 | 111  | Gallade-Mega       |  0.22811% | 290    |  0.438% | 
 | 112  | Raichu-Alola       |  0.22503% | 149    |  0.225% | 
 | 113  | Dialga             |  0.22418% | 215    |  0.325% | 
 | 114  | Blastoise-Mega     |  0.22230% | 283    |  0.427% | 
 | 115  | Scizor             |  0.21961% | 100    |  0.151% | 
 | 116  | Tapu Bulu          |  0.21467% | 107    |  0.162% | 
 | 117  | Lopunny-Mega       |  0.21350% | 198    |  0.299% | 
 | 118  | Serperior          |  0.21129% | 200    |  0.302% | 
 | 119  | Sableye-Mega       |  0.21060% | 173    |  0.261% | 
 | 120  | Araquanid          |  0.20968% | 90     |  0.136% | 
 | 121  | Aegislash          |  0.20761% | 221    |  0.334% | 
 | 122  | Arceus             |  0.20699% | 217    |  0.328% | 
 | 123  | Lucario            |  0.20516% | 158    |  0.239% | 
 | 124  | Scolipede          |  0.20368% | 107    |  0.162% | 
 | 125  | Haxorus            |  0.20277% | 124    |  0.187% | 
 | 126  | Arceus-Ground      |  0.19648% | 85     |  0.128% | 
 | 127  | Kyurem-Black       |  0.19579% | 218    |  0.329% | 
 | 128  | Mamoswine          |  0.19542% | 101    |  0.153% | 
 | 129  | Ditto              |  0.19542% | 190    |  0.287% | 
 | 130  | Ninjask            |  0.19524% | 97     |  0.147% | 
 | 131  | Pelipper           |  0.19494% | 108    |  0.163% | 
 | 132  | Lycanroc-Dusk      |  0.19339% | 273    |  0.412% | 
