 Total leads: 14514
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Shuckle            |  7.60361% | 427    |  2.942% | 
 | 2    | Blissey            |  7.13020% | 456    |  3.142% | 
 | 3    | Groudon-Primal     |  6.25105% | 643    |  4.430% | 
 | 4    | Genesect           |  4.85893% | 238    |  1.640% | 
 | 5    | Zygarde            |  3.29989% | 233    |  1.605% | 
 | 6    | Excadrill          |  3.02688% | 157    |  1.082% | 
 | 7    | Magearna           |  2.67178% | 129    |  0.889% | 
 | 8    | Landorus-Therian   |  2.62084% | 199    |  1.371% | 
 | 9    | Gengar             |  2.26728% | 257    |  1.771% | 
 | 10   | Tapu Lele          |  2.03942% | 111    |  0.765% | 
 | 11   | Tapu Koko          |  2.00776% | 175    |  1.206% | 
 | 12   | Naganadel          |  1.90896% | 128    |  0.882% | 
 | 13   | Mew                |  1.84942% | 161    |  1.109% | 
 | 14   | Zapdos             |  1.78318% | 145    |  0.999% | 
 | 15   | Heatran            |  1.51279% | 130    |  0.896% | 
 | 16   | Kartana            |  1.49162% | 179    |  1.233% | 
 | 17   | Golisopod          |  1.42049% | 116    |  0.799% | 
 | 18   | Necrozma-Dusk-Mane |  1.37115% | 132    |  0.909% | 
 | 19   | Weavile            |  1.35469% | 121    |  0.834% | 
 | 20   | Skarmory           |  1.32361% | 109    |  0.751% | 
 | 21   | Mimikyu            |  1.07302% | 160    |  1.102% | 
 | 22   | Deoxys-Defense     |  1.04454% | 91     |  0.627% | 
 | 23   | Xurkitree          |  1.02515% | 91     |  0.627% | 
 | 24   | Terrakion          |  0.98430% | 93     |  0.641% | 
 | 25   | Metagross          |  0.95437% | 43     |  0.296% | 
 | 26   | Raikou             |  0.95426% | 96     |  0.661% | 
 | 27   | Ferrothorn         |  0.94125% | 163    |  1.123% | 
 | 28   | Keldeo             |  0.80816% | 69     |  0.475% | 
 | 29   | Ho-Oh              |  0.80172% | 58     |  0.400% | 
 | 30   | Victini            |  0.78441% | 60     |  0.413% | 
 | 31   | Entei              |  0.75127% | 46     |  0.317% | 
 | 32   | Staraptor          |  0.73946% | 86     |  0.593% | 
 | 33   | Lunala             |  0.69337% | 36     |  0.248% | 
 | 34   | Gliscor            |  0.67897% | 69     |  0.475% | 
 | 35   | Araquanid          |  0.66711% | 40     |  0.276% | 
 | 36   | Hippowdon          |  0.66616% | 44     |  0.303% | 
 | 37   | Kangaskhan-Mega    |  0.63655% | 55     |  0.379% | 
 | 38   | Porygon-Z          |  0.59118% | 51     |  0.351% | 
 | 39   | Blacephalon        |  0.57603% | 91     |  0.627% | 
 | 40   | Rayquaza-Mega      |  0.56590% | 216    |  1.488% | 
 | 41   | Breloom            |  0.56069% | 63     |  0.434% | 
 | 42   | Ribombee           |  0.55203% | 33     |  0.227% | 
 | 43   | Arceus-Ground      |  0.54250% | 23     |  0.158% | 
 | 44   | Volcarona          |  0.54232% | 72     |  0.496% | 
 | 45   | Xerneas            |  0.51702% | 161    |  1.109% | 
 | 46   | Slurpuff           |  0.51518% | 39     |  0.269% | 
 | 47   | Dugtrio            |  0.47397% | 24     |  0.165% | 
 | 48   | Crobat             |  0.46194% | 46     |  0.317% | 
 | 49   | Stakataka          |  0.44306% | 32     |  0.220% | 
 | 50   | Suicune            |  0.44023% | 23     |  0.158% | 
 | 51   | Tyranitar          |  0.43842% | 55     |  0.379% | 
 | 52   | Arcanine           |  0.43449% | 41     |  0.282% | 
 | 53   | Mienshao           |  0.42544% | 17     |  0.117% | 
 | 54   | Minior             |  0.41692% | 47     |  0.324% | 
 | 55   | Manaphy            |  0.40701% | 30     |  0.207% | 
 | 56   | Starmie            |  0.40465% | 29     |  0.200% | 
 | 57   | Garchomp           |  0.40038% | 89     |  0.613% | 
 | 58   | Smeargle           |  0.38345% | 41     |  0.282% | 
 | 59   | Diancie            |  0.36265% | 23     |  0.158% | 
 | 60   | Toxapex            |  0.35996% | 53     |  0.365% | 
 | 61   | Cresselia          |  0.35689% | 22     |  0.152% | 
 | 62   | Tapu Bulu          |  0.34700% | 33     |  0.227% | 
 | 63   | Kyogre-Primal      |  0.32420% | 184    |  1.268% | 
