 Total leads: 610728
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Greninja           |  3.96248% | 6784   |  1.111% | 
 | 2    | Garchomp           |  3.92413% | 9650   |  1.580% | 
 | 3    | Tapu Koko          |  3.71449% | 11756  |  1.925% | 
 | 4    | Sableye-Mega       |  2.82771% | 13098  |  2.145% | 
 | 5    | Diancie-Mega       |  2.67706% | 8564   |  1.402% | 
 | 6    | Galvantula         |  2.29187% | 18495  |  3.028% | 
 | 7    | Diggersby          |  2.09605% | 3384   |  0.554% | 
 | 8    | Kyurem-Black       |  2.05398% | 2929   |  0.480% | 
 | 9    | Infernape          |  2.00061% | 8208   |  1.344% | 
 | 10   | Pelipper           |  1.98129% | 14759  |  2.417% | 
 | 11   | Heatran            |  1.93741% | 7354   |  1.204% | 
 | 12   | Keldeo             |  1.88578% | 2875   |  0.471% | 
 | 13   | Landorus-Therian   |  1.87403% | 5694   |  0.932% | 
 | 14   | Jirachi            |  1.74173% | 4066   |  0.666% | 
 | 15   | Skarmory           |  1.73909% | 11305  |  1.851% | 
 | 16   | Lopunny-Mega       |  1.57371% | 5949   |  0.974% | 
 | 17   | Deoxys-Speed       |  1.53162% | 4490   |  0.735% | 
 | 18   | Araquanid          |  1.49372% | 3789   |  0.620% | 
 | 19   | Excadrill          |  1.44488% | 3689   |  0.604% | 
 | 20   | Ferrothorn         |  1.34633% | 11785  |  1.930% | 
 | 21   | Victini            |  1.31702% | 3827   |  0.627% | 
 | 22   | Charizard-Mega-Y   |  1.22036% | 5166   |  0.846% | 
 | 23   | Landorus           |  1.21273% | 1594   |  0.261% | 
 | 24   | Hippowdon          |  1.20883% | 9218   |  1.509% | 
 | 25   | Forretress         |  1.19551% | 7449   |  1.220% | 
 | 26   | Scizor             |  1.17388% | 1734   |  0.284% | 
 | 27   | Celesteela         |  1.16077% | 3880   |  0.635% | 
 | 28   | Hydreigon          |  1.13199% | 3513   |  0.575% | 
 | 29   | Krookodile         |  1.11144% | 4830   |  0.791% | 
 | 30   | Cobalion           |  1.09159% | 4355   |  0.713% | 
 | 31   | Klefki             |  1.05984% | 6541   |  1.071% | 
 | 32   | Togekiss           |  1.04596% | 3170   |  0.519% | 
 | 33   | Breloom            |  1.04566% | 5246   |  0.859% | 
 | 34   | Thundurus-Therian  |  1.02629% | 2029   |  0.332% | 
 | 35   | Chansey            |  1.01696% | 5010   |  0.820% | 
 | 36   | Mamoswine          |  0.97734% | 5233   |  0.857% | 
 | 37   | Swampert           |  0.97422% | 1686   |  0.276% | 
 | 38   | Azumarill          |  0.92667% | 3440   |  0.563% | 
 | 39   | Latios             |  0.91620% | 1749   |  0.286% | 
 | 40   | Magnezone          |  0.88726% | 2896   |  0.474% | 
 | 41   | Toxapex            |  0.81895% | 7034   |  1.152% | 
