 Total leads: 91296
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Druddigon          |  5.89109% | 4221   |  4.623% | 
 | 2    | Steelix            |  5.84683% | 5368   |  5.880% | 
 | 3    | Heliolisk          |  3.57807% | 2636   |  2.887% | 
 | 4    | Whimsicott         |  3.56494% | 2235   |  2.448% | 
 | 5    | Piloswine          |  3.15771% | 2361   |  2.586% | 
 | 6    | Sneasel            |  2.55741% | 1512   |  1.656% | 
 | 7    | Slowbro            |  2.44275% | 1438   |  1.575% | 
 | 8    | Froslass           |  2.31358% | 2310   |  2.530% | 
 | 9    | Incineroar         |  2.30623% | 1451   |  1.589% | 
 | 10   | Omastar            |  2.18314% | 1578   |  1.728% | 
 | 11   | Vanilluxe          |  2.17810% | 920    |  1.008% | 
 | 12   | Hariyama           |  2.15053% | 1219   |  1.335% | 
 | 13   | Medicham           |  2.00362% | 1044   |  1.144% | 
 | 14   | Rhydon             |  1.89988% | 2174   |  2.381% | 
 | 15   | Rotom              |  1.89469% | 1169   |  1.280% | 
 | 16   | Uxie               |  1.87553% | 2010   |  2.202% | 
 | 17   | Delphox            |  1.76728% | 1306   |  1.431% | 
 | 18   | Cinccino           |  1.66032% | 2108   |  2.309% | 
 | 19   | Qwilfish           |  1.58841% | 1177   |  1.289% | 
 | 20   | Shuckle            |  1.56638% | 3403   |  3.727% | 
 | 21   | Braviary           |  1.52575% | 1214   |  1.330% | 
 | 22   | Scrafty            |  1.48023% | 1073   |  1.175% | 
 | 23   | Accelgor           |  1.46872% | 1873   |  2.052% | 
 | 24   | Venusaur           |  1.38248% | 709    |  0.777% | 
 | 25   | Vikavolt           |  1.28341% | 897    |  0.983% | 
 | 26   | Scyther            |  1.20554% | 816    |  0.894% | 
 | 27   | Slowking           |  1.17169% | 612    |  0.670% | 
 | 28   | Xatu               |  1.15132% | 1222   |  1.339% | 
 | 29   | Garbodor           |  1.11302% | 1080   |  1.183% | 
 | 30   | Clawitzer          |  1.10806% | 1257   |  1.377% | 
 | 31   | Palossand          |  1.09029% | 384    |  0.421% | 
 | 32   | Miltank            |  1.02621% | 715    |  0.783% | 
 | 33   | Archeops           |  0.89508% | 707    |  0.774% | 
 | 34   | Passimian          |  0.89350% | 390    |  0.427% | 
 | 35   | Silvally-Steel     |  0.88183% | 695    |  0.761% | 
 | 36   | Aurorus            |  0.87676% | 635    |  0.696% | 
 | 37   | Vaporeon           |  0.86205% | 606    |  0.664% | 
 | 38   | Guzzlord           |  0.86070% | 562    |  0.616% | 
 | 39   | Emboar             |  0.81172% | 560    |  0.613% | 
 | 40   | Audino-Mega        |  0.78611% | 556    |  0.609% | 
 | 41   | Houndoom           |  0.77298% | 734    |  0.804% | 
 | 42   | Vivillon           |  0.75248% | 839    |  0.919% | 
 | 43   | Mismagius          |  0.72910% | 910    |  0.997% | 
 | 44   | Sigilyph           |  0.71390% | 663    |  0.726% | 
 | 45   | Smeargle           |  0.71304% | 960    |  1.052% | 
 | 46   | Cryogonal          |  0.71068% | 515    |  0.564% | 
 | 47   | Malamar            |  0.70550% | 1064   |  1.165% | 
 | 48   | Regirock           |  0.69906% | 530    |  0.581% | 
 | 49   | Klinklang          |  0.69144% | 804    |  0.881% | 
 | 50   | Hitmonlee          |  0.62910% | 1273   |  1.394% | 
 | 51   | Typhlosion         |  0.61450% | 751    |  0.823% | 
