 Total leads: 76140
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Steelix            |  7.01132% | 4932   |  6.478% | 
 | 2    | Druddigon          |  4.73952% | 3413   |  4.483% | 
 | 3    | Whimsicott         |  3.38178% | 2170   |  2.850% | 
 | 4    | Heliolisk          |  3.30540% | 2234   |  2.934% | 
 | 5    | Froslass           |  2.74006% | 1915   |  2.515% | 
 | 6    | Piloswine          |  2.60407% | 1918   |  2.519% | 
 | 7    | Shuckle            |  2.45049% | 2325   |  3.054% | 
 | 8    | Rhydon             |  2.30575% | 1733   |  2.276% | 
 | 9    | Vanilluxe          |  2.19902% | 1276   |  1.676% | 
 | 10   | Slowbro            |  2.15126% | 1416   |  1.860% | 
 | 11   | Emboar             |  2.13373% | 1572   |  2.065% | 
 | 12   | Uxie               |  2.08589% | 1658   |  2.178% | 
 | 13   | Cinccino           |  1.90761% | 1641   |  2.155% | 
 | 14   | Sneasel            |  1.81904% | 1200   |  1.576% | 
 | 15   | Accelgor           |  1.68544% | 1463   |  1.921% | 
 | 16   | Rotom              |  1.66416% | 1107   |  1.454% | 
 | 17   | Vikavolt           |  1.59164% | 1045   |  1.372% | 
 | 18   | Xatu               |  1.52338% | 1204   |  1.581% | 
 | 19   | Delphox            |  1.50252% | 1109   |  1.457% | 
 | 20   | Omastar            |  1.48299% | 1135   |  1.491% | 
 | 21   | Incineroar         |  1.35909% | 912    |  1.198% | 
 | 22   | Braviary           |  1.31941% | 963    |  1.265% | 
 | 23   | Qwilfish           |  1.23512% | 917    |  1.204% | 
 | 24   | Hariyama           |  1.22496% | 798    |  1.048% | 
 | 25   | Medicham           |  1.16120% | 770    |  1.011% | 
 | 26   | Garbodor           |  1.10458% | 983    |  1.291% | 
 | 27   | Vaporeon           |  1.06090% | 717    |  0.942% | 
 | 28   | Hitmonlee          |  1.03515% | 890    |  1.169% | 
 | 29   | Malamar            |  1.01001% | 836    |  1.098% | 
