 Total leads: 109606
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Mesprit            |  6.58652% | 5654   |  5.158% | 
 | 2    | Archeops           |  2.87872% | 2845   |  2.596% | 
 | 3    | Primeape           |  2.76695% | 2415   |  2.203% | 
 | 4    | Eelektross         |  2.15336% | 1860   |  1.697% | 
 | 5    | Carbink            |  2.10299% | 1992   |  1.817% | 
 | 6    | Aggron             |  2.08301% | 2397   |  2.187% | 
 | 7    | Ferroseed          |  1.78658% | 1700   |  1.551% | 
 | 8    | Persian-Alola      |  1.62284% | 1797   |  1.640% | 
 | 9    | Regirock           |  1.61522% | 1455   |  1.327% | 
 | 10   | Palossand          |  1.58686% | 1404   |  1.281% | 
 | 11   | Ariados            |  1.57546% | 2204   |  2.011% | 
 | 12   | Aurorus            |  1.47679% | 1375   |  1.254% | 
 | 13   | Togedemaru         |  1.46159% | 1242   |  1.133% | 
 | 14   | Golurk             |  1.41797% | 1264   |  1.153% | 
 | 15   | Masquerain         |  1.36336% | 1438   |  1.312% | 
 | 16   | Hitmonchan         |  1.29611% | 1288   |  1.175% | 
 | 17   | Leavanny           |  1.26299% | 1483   |  1.353% | 
 | 18   | Weezing            |  1.21652% | 1236   |  1.128% | 
 | 19   | Miltank            |  1.20270% | 1182   |  1.078% | 
 | 20   | Liepard            |  1.18037% | 1323   |  1.207% | 
 | 21   | Claydol            |  1.17756% | 1414   |  1.290% | 
 | 22   | Crustle            |  1.12362% | 1185   |  1.081% | 
 | 23   | Lycanroc           |  1.10572% | 1112   |  1.015% | 
 | 24   | Magmortar          |  1.07215% | 1057   |  0.964% | 
 | 25   | Sableye            |  1.03417% | 1120   |  1.022% | 
 | 26   | Golem              |  1.02908% | 1076   |  0.982% | 
 | 27   | Smeargle           |  0.93850% | 1018   |  0.929% | 
 | 28   | Lanturn            |  0.92404% | 853    |  0.778% | 
 | 29   | Cradily            |  0.90250% | 1068   |  0.974% | 
 | 30   | Skuntank           |  0.87836% | 773    |  0.705% | 
 | 31   | Mudsdale           |  0.86612% | 957    |  0.873% | 
 | 32   | Passimian          |  0.85519% | 689    |  0.629% | 
 | 33   | Electrode          |  0.84023% | 1063   |  0.970% | 
 | 34   | Kecleon            |  0.78482% | 810    |  0.739% | 
 | 35   | Abomasnow          |  0.78042% | 865    |  0.789% | 
 | 36   | Ninjask            |  0.76066% | 877    |  0.800% | 
 | 37   | Manectric          |  0.75632% | 792    |  0.723% | 
 | 38   | Dugtrio-Alola      |  0.74828% | 807    |  0.736% | 
 | 39   | Gastrodon          |  0.73459% | 770    |  0.703% | 
 | 40   | Pyroar             |  0.72921% | 742    |  0.677% | 
 | 41   | Kingler            |  0.70207% | 696    |  0.635% | 
 | 42   | Gurdurr            |  0.69088% | 617    |  0.563% | 
 | 43   | Silvally-Ghost     |  0.68841% | 489    |  0.446% | 
 | 44   | Floatzel           |  0.66905% | 667    |  0.609% | 
 | 45   | Probopass          |  0.64618% | 713    |  0.651% | 
 | 46   | Armaldo            |  0.63906% | 723    |  0.660% | 
 | 47   | Carracosta         |  0.63154% | 774    |  0.706% | 
 | 48   | Exeggutor-Alola    |  0.60254% | 602    |  0.549% | 
 | 49   | Purugly            |  0.56748% | 475    |  0.433% | 
 | 50   | Bastiodon          |  0.56732% | 850    |  0.776% | 
 | 51   | Kangaskhan         |  0.55633% | 492    |  0.449% | 
 | 52   | Raichu-Alola       |  0.54992% | 598    |  0.546% | 
 | 53   | Rotom-Fan          |  0.53935% | 510    |  0.465% | 
 | 54   | Wishiwashi         |  0.53604% | 479    |  0.437% | 
 | 55   | Electivire         |  0.53567% | 620    |  0.566% | 
 | 56   | Absol              |  0.52835% | 690    |  0.630% | 
 | 57   | Volbeat            |  0.50286% | 495    |  0.452% | 
 | 58   | Ditto              |  0.47716% | 657    |  0.599% | 
 | 59   | Jynx               |  0.47132% | 519    |  0.474% | 
 | 60   | Rotom-Frost        |  0.46847% | 418    |  0.381% | 
 | 61   | Mawile             |  0.46418% | 478    |  0.436% | 
 | 62   | Golem-Alola        |  0.44726% | 592    |  0.540% | 
