 Total leads: 130772
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Passimian          |  8.93613% | 5510   |  4.213% | 
 | 2    | Mesprit            |  8.88708% | 7418   |  5.672% | 
 | 3    | Aurorus            |  4.39180% | 3379   |  2.584% | 
 | 4    | Palossand          |  3.04169% | 2575   |  1.969% | 
 | 5    | Carbink            |  2.94983% | 2427   |  1.856% | 
 | 6    | Togedemaru         |  2.84914% | 2223   |  1.700% | 
 | 7    | Primeape           |  2.50146% | 2424   |  1.854% | 
 | 8    | Archeops           |  2.27804% | 3519   |  2.691% | 
 | 9    | Weezing            |  2.20591% | 1820   |  1.392% | 
 | 10   | Eelektross         |  2.10786% | 1935   |  1.480% | 
 | 11   | Aggron             |  1.93715% | 2609   |  1.995% | 
 | 12   | Crustle            |  1.92959% | 1740   |  1.331% | 
 | 13   | Ferroseed          |  1.75885% | 2105   |  1.610% | 
 | 14   | Regirock           |  1.66302% | 1826   |  1.396% | 
 | 15   | Smeargle           |  1.61373% | 1337   |  1.022% | 
 | 16   | Skuntank           |  1.45648% | 1268   |  0.970% | 
 | 17   | Liepard            |  1.40706% | 1530   |  1.170% | 
 | 18   | Golurk             |  1.34240% | 1515   |  1.159% | 
 | 19   | Masquerain         |  1.20105% | 1617   |  1.237% | 
 | 20   | Lanturn            |  1.05709% | 956    |  0.731% | 
 | 21   | Magmortar          |  1.05635% | 1276   |  0.976% | 
 | 22   | Sableye            |  1.03569% | 1319   |  1.009% | 
 | 23   | Hitmonchan         |  1.03011% | 1276   |  0.976% | 
 | 24   | Persian-Alola      |  0.98820% | 1614   |  1.234% | 
 | 25   | Kangaskhan         |  0.95893% | 575    |  0.440% | 
 | 26   | Leavanny           |  0.92826% | 1929   |  1.475% | 
 | 27   | Altaria            |  0.83074% | 493    |  0.377% | 
 | 28   | Miltank            |  0.81263% | 1138   |  0.870% | 
 | 29   | Clefairy           |  0.75459% | 684    |  0.523% | 
 | 30   | Ariados            |  0.75431% | 2242   |  1.714% | 
 | 31   | Abomasnow          |  0.70184% | 1023   |  0.782% | 
 | 32   | Purugly            |  0.67120% | 425    |  0.325% | 
 | 33   | Articuno           |  0.66690% | 510    |  0.390% | 
 | 34   | Gurdurr            |  0.64413% | 671    |  0.513% | 
 | 35   | Gastrodon          |  0.63932% | 854    |  0.653% | 
 | 36   | Silvally-Water     |  0.62584% | 312    |  0.239% | 
 | 37   | Carracosta         |  0.61611% | 838    |  0.641% | 
 | 38   | Claydol            |  0.60048% | 1547   |  1.183% | 
 | 39   | Golem              |  0.59752% | 1130   |  0.864% | 
 | 40   | Drampa             |  0.58103% | 618    |  0.473% | 
 | 41   | Mudsdale           |  0.56621% | 1074   |  0.821% | 
 | 42   | Kingler            |  0.56619% | 742    |  0.567% | 
 | 43   | Spiritomb          |  0.56145% | 494    |  0.378% | 
 | 44   | Oricorio-Sensu     |  0.55985% | 534    |  0.408% | 
 | 45   | Swanna             |  0.54444% | 455    |  0.348% | 
 | 46   | Pyroar             |  0.53295% | 735    |  0.562% | 
 | 47   | Pinsir             |  0.53175% | 366    |  0.280% | 
 | 48   | Ninjask            |  0.51552% | 1056   |  0.808% | 
 | 49   | Rotom-Frost        |  0.50273% | 470    |  0.359% | 
 | 50   | Whirlipede         |  0.48090% | 431    |  0.330% | 
 | 51   | Kabutops           |  0.46658% | 525    |  0.401% | 
 | 52   | Dugtrio-Alola      |  0.45975% | 771    |  0.590% | 
 | 53   | Raichu-Alola       |  0.44588% | 771    |  0.590% | 
 | 54   | Lycanroc           |  0.44521% | 1048   |  0.801% | 
 | 55   | Exeggutor-Alola    |  0.43891% | 579    |  0.443% | 
 | 56   | Jynx               |  0.42944% | 653    |  0.499% | 
 | 57   | Stoutland          |  0.42460% | 282    |  0.216% | 
 | 58   | Probopass          |  0.42051% | 693    |  0.530% | 
 | 59   | Silvally-Ghost     |  0.41070% | 395    |  0.302% | 
 | 60   | Volbeat            |  0.40814% | 606    |  0.463% | 
 | 61   | Raticate-Alola     |  0.40714% | 264    |  0.202% | 
 | 62   | Electrode          |  0.39948% | 1119   |  0.856% | 
 | 63   | Manectric          |  0.39062% | 796    |  0.609% | 
 | 64   | Silvally-Fairy     |  0.38314% | 358    |  0.274% | 
 | 65   | Audino             |  0.34486% | 230    |  0.176% | 
 | 66   | Rotom-Fan          |  0.32660% | 676    |  0.517% | 
 | 67   | Mawile             |  0.31689% | 420    |  0.321% | 
 | 68   | Floatzel           |  0.31506% | 612    |  0.468% | 
 | 69   | Silvally-Dragon    |  0.31417% | 207    |  0.158% | 
 | 70   | Kecleon            |  0.29453% | 720    |  0.551% | 
 | 71   | Cradily            |  0.29160% | 774    |  0.592% | 
 | 72   | Lilligant          |  0.28651% | 482    |  0.369% | 
 | 73   | Metang             |  0.28635% | 287    |  0.219% | 
 | 74   | Armaldo            |  0.28628% | 772    |  0.590% | 
 | 75   | Sandslash-Alola    |  0.28561% | 316    |  0.242% | 
 | 76   | Hippopotas         |  0.28083% | 435    |  0.333% | 
 | 77   | Haunter            |  0.27056% | 578    |  0.442% | 
 | 78   | Poliwrath          |  0.25922% | 314    |  0.240% | 
 | 79   | Shiftry            |  0.25785% | 280    |  0.214% | 
 | 80   | Swirlix            |  0.25444% | 516    |  0.395% | 
 | 81   | Oricorio-Pom-Pom   |  0.24303% | 259    |  0.198% | 
 | 82   | Roselia            |  0.24225% | 292    |  0.223% | 
 | 83   | Pyukumuku          |  0.24142% | 348    |  0.266% | 
 | 84   | Absol              |  0.23774% | 720    |  0.551% | 
 | 85   | Chatot             |  0.23596% | 587    |  0.449% | 
 | 86   | Granbull           |  0.23566% | 393    |  0.301% | 
 | 87   | Monferno           |  0.23189% | 191    |  0.146% | 
 | 88   | Sandslash          |  0.23164% | 496    |  0.379% | 
 | 89   | Slaking            |  0.21937% | 237    |  0.181% | 
 | 90   | Torterra           |  0.21209% | 605    |  0.463% | 
 | 91   | Lurantis           |  0.20935% | 574    |  0.439% | 
 | 92   | Type: Null         |  0.19539% | 185    |  0.141% | 
 | 93   | Basculin           |  0.19162% | 423    |  0.323% | 
