 Total leads: 199448
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Galvantula         |  5.07952% | 10131  |  5.080% | 
 | 2    | Araquanid          |  3.39337% | 6768   |  3.393% | 
 | 3    | Nidoqueen          |  3.16323% | 6309   |  3.163% | 
 | 4    | Bronzong           |  3.12813% | 6239   |  3.128% | 
 | 5    | Blastoise-Mega     |  3.11008% | 6203   |  3.110% | 
 | 6    | Donphan            |  2.95967% | 5903   |  2.960% | 
 | 7    | Rotom-Heat         |  2.70497% | 5395   |  2.705% | 
 | 8    | Steelix-Mega       |  2.49840% | 4983   |  2.498% | 
 | 9    | Jolteon            |  2.25422% | 4496   |  2.254% | 
 | 10   | Cloyster           |  2.13740% | 4263   |  2.137% | 
 | 11   | Aerodactyl         |  1.82504% | 3640   |  1.825% | 
 | 12   | Gligar             |  1.65005% | 3291   |  1.650% | 
 | 13   | Gigalith           |  1.60292% | 3197   |  1.603% | 
 | 14   | Ribombee           |  1.59841% | 3188   |  1.598% | 
 | 15   | Espeon             |  1.55780% | 3107   |  1.558% | 
 | 16   | Machamp            |  1.55128% | 3094   |  1.551% | 
 | 17   | Registeel          |  1.53724% | 3066   |  1.537% | 
 | 18   | Salazzle           |  1.51167% | 3015   |  1.512% | 
 | 19   | Necrozma           |  1.44850% | 2889   |  1.448% | 
 | 20   | Flygon             |  1.40387% | 2800   |  1.404% | 
 | 21   | Feraligatr         |  1.30761% | 2608   |  1.308% | 
 | 22   | Rotom-Mow          |  1.29858% | 2590   |  1.299% | 
 | 23   | Swellow            |  1.27452% | 2542   |  1.275% | 
 | 24   | Rhyperior          |  1.24092% | 2475   |  1.241% | 
 | 25   | Roserade           |  1.16171% | 2317   |  1.162% | 
 | 26   | Banette-Mega       |  1.15218% | 2298   |  1.152% | 
 | 27   | Torkoal            |  1.14215% | 2278   |  1.142% | 
 | 28   | Milotic            |  1.14015% | 2274   |  1.140% | 
 | 29   | Moltres            |  1.12761% | 2249   |  1.128% | 
 | 30   | Diancie            |  1.08800% | 2170   |  1.088% | 
 | 31   | Drapion            |  1.01480% | 2024   |  1.015% | 
 | 32   | Smeargle           |  1.00728% | 2009   |  1.007% | 
 | 33   | Golisopod          |  0.97870% | 1952   |  0.979% | 
 | 34   | Yanmega            |  0.97469% | 1944   |  0.975% | 
 | 35   | Ampharos-Mega      |  0.93658% | 1868   |  0.937% | 
 | 36   | Chesnaught         |  0.90450% | 1804   |  0.904% | 
 | 37   | Shuckle            |  0.86439% | 1724   |  0.864% | 
 | 38   | Gardevoir          |  0.80071% | 1597   |  0.801% | 
 | 39   | Tsareena           |  0.79921% | 1594   |  0.799% | 
 | 40   | Tyrantrum          |  0.78717% | 1570   |  0.787% | 
 | 41   | Porygon2           |  0.75258% | 1501   |  0.753% | 
 | 42   | Goodra             |  0.69492% | 1386   |  0.695% | 
 | 43   | Pangoro            |  0.68288% | 1362   |  0.683% | 
 | 44   | Meloetta           |  0.65782% | 1312   |  0.658% | 
