 Total leads: 418382
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Beedrill-Mega      |  6.87774% | 24370  |  5.825% | 
 | 2    | Shuckle            |  5.68441% | 22642  |  5.412% | 
 | 3    | Pinsir-Mega        |  3.24071% | 11918  |  2.849% | 
 | 4    | Gliscor            |  2.37287% | 9758   |  2.332% | 
 | 5    | Lycanroc-Dusk      |  2.20224% | 7308   |  1.747% | 
 | 6    | Pidgeot-Mega       |  2.09591% | 8734   |  2.088% | 
 | 7    | Clefable           |  2.00070% | 7528   |  1.799% | 
 | 8    | Sableye-Mega       |  1.90829% | 7260   |  1.735% | 
 | 9    | Diancie-Mega       |  1.77590% | 7412   |  1.772% | 
 | 10   | Heatran            |  1.74413% | 8023   |  1.918% | 
 | 11   | Cloyster           |  1.53570% | 5851   |  1.398% | 
 | 12   | Excadrill          |  1.50670% | 4966   |  1.187% | 
 | 13   | Toxapex            |  1.45616% | 6785   |  1.622% | 
 | 14   | Blacephalon        |  1.43307% | 5721   |  1.367% | 
 | 15   | Victini            |  1.40214% | 6843   |  1.636% | 
 | 16   | Weavile            |  1.37783% | 4653   |  1.112% | 
 | 17   | Ambipom            |  1.29507% | 5844   |  1.397% | 
 | 18   | Crawdaunt          |  1.28955% | 4941   |  1.181% | 
 | 19   | Durant             |  1.25155% | 4107   |  0.982% | 
 | 20   | Breloom            |  1.18916% | 4872   |  1.164% | 
 | 21   | Porygon-Z          |  1.07884% | 4218   |  1.008% | 
 | 22   | Pangoro            |  0.93078% | 2889   |  0.691% | 
 | 23   | Lopunny-Mega       |  0.92334% | 4130   |  0.987% | 
 | 24   | Magearna           |  0.90191% | 3665   |  0.876% | 
 | 25   | Kartana            |  0.88585% | 4111   |  0.983% | 
 | 26   | Alakazam           |  0.88322% | 3390   |  0.810% | 
 | 27   | Mudsdale           |  0.88289% | 2882   |  0.689% | 
 | 28   | Bruxish            |  0.81618% | 2906   |  0.695% | 
 | 29   | Kyurem-Black       |  0.78837% | 3037   |  0.726% | 
 | 30   | Dragonite          |  0.78382% | 3443   |  0.823% | 
 | 31   | Scizor-Mega        |  0.75472% | 3306   |  0.790% | 
 | 32   | Cinccino           |  0.74940% | 2903   |  0.694% | 
 | 33   | Tapu Lele          |  0.74612% | 2421   |  0.579% | 
 | 34   | Klinklang          |  0.72660% | 2422   |  0.579% | 
 | 35   | Swampert-Mega      |  0.72587% | 3849   |  0.920% | 
 | 36   | Zangoose           |  0.67941% | 3260   |  0.779% | 
 | 37   | Aerodactyl-Mega    |  0.67366% | 2588   |  0.619% | 
 | 38   | Skarmory           |  0.64192% | 2247   |  0.537% | 
 | 39   | Aggron-Mega        |  0.63399% | 2772   |  0.663% | 
 | 40   | Bronzong           |  0.63089% | 2577   |  0.616% | 
 | 41   | Conkeldurr         |  0.61886% | 2686   |  0.642% | 
 | 42   | Sharpedo-Mega      |  0.57109% | 2046   |  0.489% | 
 | 43   | Blaziken-Mega      |  0.56627% | 2300   |  0.550% | 
 | 44   | Charizard-Mega-X   |  0.56627% | 2910   |  0.696% | 
