 Total leads: 21914
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 11.06950% | 2268   | 10.350% | 
 | 2    | Rotom-Wash         |  6.39590% | 1188   |  5.421% | 
 | 3    | Greninja-Ash       |  3.87066% | 835    |  3.810% | 
 | 4    | Aerodactyl         |  3.32940% | 710    |  3.240% | 
 | 5    | Lopunny-Mega       |  2.98663% | 698    |  3.185% | 
 | 6    | Tyranitar          |  2.60151% | 521    |  2.377% | 
 | 7    | Charizard-Mega-Y   |  2.16964% | 418    |  1.907% | 
 | 8    | Ferrothorn         |  2.02756% | 487    |  2.222% | 
 | 9    | Skarmory           |  1.92207% | 406    |  1.853% | 
 | 10   | Sableye-Mega       |  1.79468% | 290    |  1.323% | 
 | 11   | Porygon-Z          |  1.73088% | 348    |  1.588% | 
 | 12   | Heatran            |  1.68370% | 332    |  1.515% | 
 | 13   | Keldeo             |  1.66277% | 287    |  1.310% | 
 | 14   | Pidgeot-Mega       |  1.63822% | 335    |  1.529% | 
 | 15   | Diggersby          |  1.58484% | 317    |  1.447% | 
 | 16   | Thundurus-Therian  |  1.42350% | 280    |  1.278% | 
 | 17   | Celesteela         |  1.40593% | 297    |  1.355% | 
 | 18   | Scolipede          |  1.38179% | 283    |  1.291% | 
 | 19   | Chansey            |  1.38085% | 268    |  1.223% | 
 | 20   | Pelipper           |  1.37134% | 335    |  1.529% | 
 | 21   | Thundurus          |  1.24695% | 221    |  1.008% | 
 | 22   | Ninjask            |  1.16189% | 291    |  1.328% | 
 | 23   | Forretress         |  1.06812% | 259    |  1.182% | 
 | 24   | Excadrill          |  1.03517% | 230    |  1.050% | 
 | 25   | Garchomp           |  0.93854% | 230    |  1.050% | 
 | 26   | Snorlax            |  0.80998% | 210    |  0.958% | 
 | 27   | Buzzwole           |  0.79082% | 166    |  0.758% | 
 | 28   | Yanmega            |  0.76432% | 178    |  0.812% | 
 | 29   | Rotom-Heat         |  0.73759% | 130    |  0.593% | 
 | 30   | Hippowdon          |  0.71534% | 236    |  1.077% | 
 | 31   | Infernape          |  0.71507% | 143    |  0.653% | 
 | 32   | Magearna           |  0.70704% | 143    |  0.653% | 
 | 33   | Sceptile-Mega      |  0.67431% | 108    |  0.493% | 
 | 34   | Araquanid          |  0.64449% | 137    |  0.625% | 
 | 35   | Medicham-Mega      |  0.62945% | 129    |  0.589% | 
 | 36   | Rotom-Mow          |  0.60533% | 108    |  0.493% | 
 | 37   | Whimsicott         |  0.57543% | 133    |  0.607% | 
 | 38   | Greninja           |  0.56921% | 120    |  0.548% | 
 | 39   | Terrakion          |  0.55599% | 113    |  0.516% | 
 | 40   | Scizor-Mega        |  0.55334% | 116    |  0.529% | 
 | 41   | Zygarde            |  0.53481% | 84     |  0.383% | 
 | 42   | Charizard-Mega-X   |  0.53460% | 122    |  0.557% | 
 | 43   | Mimikyu            |  0.53457% | 125    |  0.570% | 
 | 44   | Accelgor           |  0.53100% | 105    |  0.479% | 
 | 45   | Beedrill-Mega      |  0.52684% | 114    |  0.520% | 
 | 46   | Toxapex            |  0.52326% | 103    |  0.470% | 
 | 47   | Swampert           |  0.51623% | 103    |  0.470% | 
 | 48   | Tapu Bulu          |  0.49196% | 122    |  0.557% | 
 | 49   | Tornadus           |  0.47744% | 62     |  0.283% | 
 | 50   | Scizor             |  0.47353% | 113    |  0.516% | 
 | 51   | Serperior          |  0.47014% | 95     |  0.434% | 
 | 52   | Bewear             |  0.46128% | 113    |  0.516% | 
 | 53   | Tyranitar-Mega     |  0.44615% | 99     |  0.452% | 
 | 54   | Sylveon            |  0.43645% | 103    |  0.470% | 
 | 55   | Tornadus-Therian   |  0.43310% | 92     |  0.420% | 
 | 56   | Pinsir             |  0.42117% | 76     |  0.347% | 
 | 57   | Ninetales-Alola    |  0.41804% | 99     |  0.452% | 
 | 58   | Venusaur-Mega      |  0.41750% | 80     |  0.365% | 
 | 59   | Tapu Fini          |  0.40359% | 78     |  0.356% | 
 | 60   | Bisharp            |  0.40052% | 117    |  0.534% | 
 | 61   | Gengar             |  0.40037% | 97     |  0.443% | 
 | 62   | Altaria-Mega       |  0.39092% | 74     |  0.338% | 
 | 63   | Shedinja           |  0.37069% | 72     |  0.329% | 
 | 64   | Hoopa-Unbound      |  0.36588% | 68     |  0.310% | 
 | 65   | Volcarona          |  0.36489% | 101    |  0.461% | 
 | 66   | Gyarados           |  0.34838% | 77     |  0.351% | 
 | 67   | Shuckle            |  0.34687% | 83     |  0.379% | 
 | 68   | Chandelure         |  0.34359% | 95     |  0.434% | 
 | 69   | Zapdos             |  0.33413% | 77     |  0.351% | 
 | 70   | Ursaring           |  0.31864% | 82     |  0.374% | 
 | 71   | Latios             |  0.31133% | 70     |  0.319% | 
 | 72   | Marowak-Alola      |  0.30625% | 66     |  0.301% | 
 | 73   | Steelix-Mega       |  0.30555% | 85     |  0.388% | 
 | 74   | Porygon2           |  0.29186% | 48     |  0.219% | 
 | 75   | Galvantula         |  0.26465% | 70     |  0.319% | 
 | 76   | Meloetta           |  0.26354% | 52     |  0.237% | 
 | 77   | Darmanitan         |  0.26097% | 63     |  0.287% | 
 | 78   | Braviary           |  0.24675% | 38     |  0.173% | 
 | 79   | Sableye            |  0.23573% | 56     |  0.256% | 
 | 80   | Talonflame         |  0.23013% | 45     |  0.205% | 
 | 81   | Victini            |  0.22725% | 59     |  0.269% | 
 | 82   | Durant             |  0.21386% | 61     |  0.278% | 
 | 83   | Banette-Mega       |  0.21378% | 59     |  0.269% | 
 | 84   | Jolteon            |  0.21343% | 42     |  0.192% | 
 | 85   | Seismitoad         |  0.20948% | 45     |  0.205% | 
 | 86   | Togekiss           |  0.20302% | 51     |  0.233% | 
 | 87   | Gliscor            |  0.20236% | 47     |  0.214% | 
 | 88   | Magnezone          |  0.20133% | 44     |  0.201% | 
 | 89   | Clefable           |  0.19937% | 43     |  0.196% | 
 | 90   | Diancie-Mega       |  0.19934% | 90     |  0.411% | 
 | 91   | Staraptor          |  0.19453% | 55     |  0.251% | 
 | 92   | Rotom              |  0.18924% | 33     |  0.151% | 
 | 93   | Espeon             |  0.18783% | 53     |  0.242% | 
 | 94   | Mimikyu-Totem      |  0.18029% | 36     |  0.164% | 
 | 95   | Malamar            |  0.17697% | 68     |  0.310% | 
 | 96   | Pyroar             |  0.16875% | 31     |  0.141% | 
 | 97   | Salamence          |  0.16640% | 40     |  0.183% | 
 | 98   | Steelix            |  0.16286% | 50     |  0.228% | 
 | 99   | Slowbro-Mega       |  0.16119% | 28     |  0.128% | 
 | 100  | Stakataka          |  0.16118% | 35     |  0.160% | 
 | 101  | Krookodile         |  0.15656% | 35     |  0.160% | 
 | 102  | Kommo-o            |  0.15591% | 40     |  0.183% | 
 | 103  | Celebi             |  0.15550% | 31     |  0.141% | 
 | 104  | Cradily            |  0.15519% | 38     |  0.173% | 
 | 105  | Arcanine           |  0.15379% | 24     |  0.110% | 
 | 106  | Mew                |  0.14981% | 37     |  0.169% | 
 | 107  | Breloom            |  0.14619% | 34     |  0.155% | 
 | 108  | Dragonite          |  0.14459% | 56     |  0.256% | 
 | 109  | Volcanion          |  0.14292% | 36     |  0.164% | 
 | 110  | Mawile-Mega        |  0.14271% | 32     |  0.146% | 
 | 111  | Type: Null         |  0.13610% | 32     |  0.146% | 
 | 112  | Uxie               |  0.13476% | 26     |  0.119% | 
 | 113  | Azelf              |  0.12812% | 38     |  0.173% | 
 | 114  | Mudsdale           |  0.12644% | 32     |  0.146% | 
 | 115  | Archeops           |  0.12248% | 18     |  0.082% | 
 | 116  | Alakazam           |  0.12166% | 29     |  0.132% | 
 | 117  | Mawile             |  0.12154% | 16     |  0.073% | 
 | 118  | Nidoqueen          |  0.11944% | 28     |  0.128% | 
 | 119  | Slowking           |  0.11909% | 18     |  0.082% | 
 | 120  | Salazzle           |  0.11828% | 28     |  0.128% | 
 | 121  | Jirachi            |  0.11733% | 25     |  0.114% | 
 | 122  | Escavalier         |  0.11733% | 20     |  0.091% | 
 | 123  | Amoonguss          |  0.11609% | 19     |  0.087% | 
 | 124  | Raichu-Alola       |  0.11503% | 18     |  0.082% | 
 | 125  | Ribombee-Totem     |  0.11420% | 25     |  0.114% | 
 | 126  | Vaporeon           |  0.11390% | 19     |  0.087% | 
 | 127  | Drapion            |  0.10626% | 29     |  0.132% | 
 | 128  | Tangrowth          |  0.10601% | 20     |  0.091% | 
 | 129  | Empoleon           |  0.10522% | 24     |  0.110% | 
 | 130  | Heracross          |  0.10405% | 29     |  0.132% | 
 | 131  | Gyarados-Mega      |  0.10368% | 23     |  0.105% | 
 | 132  | Gallade-Mega       |  0.10359% | 38     |  0.173% | 
 | 133  | Garchomp-Mega      |  0.10282% | 27     |  0.123% | 
 | 134  | Starmie            |  0.10021% | 23     |  0.105% | 
 | 135  | Weavile            |  0.09970% | 36     |  0.164% | 
 | 136  | Ribombee           |  0.09769% | 28     |  0.128% | 
 | 137  | Hawlucha           |  0.09692% | 43     |  0.196% | 
 | 138  | Torkoal            |  0.09646% | 22     |  0.100% | 
 | 139  | Manaphy            |  0.09308% | 21     |  0.096% | 
 | 140  | Hydreigon          |  0.09302% | 20     |  0.091% | 
 | 141  | Diancie            |  0.09302% | 20     |  0.091% | 
 | 142  | Alakazam-Mega      |  0.09219% | 30     |  0.137% | 
 | 143  | Blastoise-Mega     |  0.09148% | 43     |  0.196% | 
 | 144  | Klefki             |  0.09055% | 29     |  0.132% | 
 | 145  | Swampert-Mega      |  0.08987% | 32     |  0.146% | 
 | 146  | Ditto              |  0.08981% | 26     |  0.119% | 
 | 147  | Regigigas          |  0.08561% | 36     |  0.164% | 
 | 148  | Heracross-Mega     |  0.08540% | 20     |  0.091% | 
 | 149  | Muk-Alola          |  0.08457% | 19     |  0.087% | 
 | 150  | Cloyster           |  0.08013% | 27     |  0.123% | 
 | 151  | Araquanid-Totem    |  0.07888% | 18     |  0.082% | 
 | 152  | Latios-Mega        |  0.07746% | 18     |  0.082% | 
 | 153  | Nihilego           |  0.07720% | 26     |  0.119% | 
 | 154  | Azumarill          |  0.07696% | 31     |  0.141% | 
 | 155  | Murkrow            |  0.07692% | 20     |  0.091% | 
 | 156  | Blissey            |  0.07685% | 20     |  0.091% | 
 | 157  | Metagross          |  0.07402% | 30     |  0.137% | 
 | 158  | Virizion           |  0.07397% | 12     |  0.055% | 
 | 159  | Gallade            |  0.07140% | 15     |  0.068% | 
 | 160  | Hoopa              |  0.06939% | 14     |  0.064% | 
 | 161  | Dhelmise           |  0.06704% | 18     |  0.082% | 
 | 162  | Electivire         |  0.06704% | 26     |  0.119% | 
 | 163  | Vikavolt-Totem     |  0.06334% | 11     |  0.050% | 
 | 164  | Crobat             |  0.06329% | 16     |  0.073% | 
 | 165  | Moltres            |  0.06065% | 11     |  0.050% | 
 | 166  | Lycanroc-Dusk      |  0.06032% | 17     |  0.078% | 
